dates,satname,nzd0001-0000,nzd0001-0001,nzd0001-0002,nzd0001-0003,nzd0001-0004,nzd0001-0005,nzd0001-0006,nzd0001-0008,nzd0001-0009,nzd0001-0010,nzd0001-0011,nzd0001-0012,nzd0001-0013,nzd0001-0014,nzd0001-0015,nzd0001-0016,nzd0001-0017,nzd0001-0020,nzd0001-0021,nzd0001-0022,nzd0001-0023,nzd0001-0024,nzd0001-0025,nzd0001-0007,nzd0001-0018,nzd0001-0019,nzd0001-0026,nzd0001-0027,nzd0001-0028,nzd0001-0030,nzd0001-0031,nzd0001-0032,nzd0001-0029
1999-08-17 22:10:26.276000,L7,461.55,435.31,455.22,437.62,416.05,406.00,422.99,423.90,418.88,465.44,466.46,386.74,384.42,382.80,356.58,393.82,371.91,375.40,378.10,422.01,394.90,368.90,349.94,,,,,,,,,,
2000-08-03 22:08:44.137000,L7,400.58,400.27,402.56,402.65,406.36,232.95,228.10,425.85,412.87,397.14,386.03,384.65,377.66,380.14,362.84,355.99,346.01,334.51,368.21,355.60,353.35,234.20,231.39,244.62,344.48,354.79,246.98,230.45,340.42,255.88,235.62,238.79,
2000-09-04 22:08:22.800000,L7,491.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-27 22:07:54.461000,L7,,,,,409.48,415.04,435.23,,381.24,421.62,414.92,407.05,370.14,,,,,,223.04,236.37,224.27,221.75,208.17,,,,196.02,,,,,,
2001-11-26 22:06:09.518000,L7,510.77,356.01,506.11,520.67,219.80,281.28,294.33,265.10,286.92,180.62,424.34,408.69,363.58,385.13,367.04,376.53,380.44,380.63,378.55,262.87,268.55,260.17,253.08,320.50,382.63,,257.36,272.54,268.31,305.92,322.50,268.01,274.69
2002-02-14 22:06:29.522000,L7,402.32,392.79,397.22,398.49,408.55,423.66,434.33,416.66,402.32,411.60,393.66,382.93,380.46,376.35,369.04,,373.76,372.00,236.47,246.52,229.97,228.96,224.64,433.22,367.56,366.14,221.93,229.26,,360.46,359.41,354.54,
2002-03-18 22:06:22.131000,L7,428.32,405.52,386.51,455.31,468.46,470.15,460.24,494.83,475.60,451.80,453.68,420.19,441.90,438.15,422.19,376.80,407.58,386.50,380.63,376.03,,,,513.33,402.58,404.01,389.83,411.99,411.77,,232.21,245.71,415.07
2002-10-12 22:05:14.598000,L7,442.53,459.60,410.71,419.23,427.20,461.68,484.30,486.09,518.88,534.62,519.80,459.07,545.10,415.27,297.89,290.47,281.48,358.88,364.66,282.35,365.11,362.67,268.82,502.29,366.66,357.07,357.61,282.03,283.91,369.24,372.82,377.53,362.85
2003-03-21 22:06:15.912000,L7,414.60,409.30,397.58,396.14,419.24,422.74,434.34,432.84,428.21,421.23,386.76,386.17,385.87,382.60,374.26,,388.11,,,,,,,430.59,378.55,379.22,,,,,,,
2003-05-08 22:06:20.773000,L7,400.22,401.29,397.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-26 21:56:18.593000,L5,,,,,,,,,,,,,,,,,,,243.06,243.52,240.68,236.62,239.69,,,,238.69,239.71,235.44,233.11,215.92,233.73,237.29
2004-05-18 21:58:14.785000,L5,,,,,,244.18,266.19,230.81,254.42,,,,,,,,,,224.50,236.45,232.28,237.04,225.49,291.44,,,224.62,240.47,243.57,236.69,235.51,246.29,232.48
2004-08-06 22:00:22.463000,L5,,,,,,,,,,,,,,,,,,,212.79,226.35,216.68,223.81,216.36,,,,215.54,214.37,214.61,209.25,199.02,214.01,196.16
2004-08-22 22:00:48.706000,L5,,,,,,,,,,,,,,,,,,,227.89,237.37,234.25,235.27,229.58,,,,230.75,242.03,235.18,237.80,222.99,234.63,237.26
2005-01-13 22:03:41.143000,L5,,,,,,,,,,,,,,,,,,,218.55,221.52,224.14,228.45,226.52,,,,228.71,235.15,236.83,233.16,209.58,216.81,221.69
2005-02-14 22:04:09.465000,L5,,,,,,244.11,259.23,211.77,260.84,,,,,,,,,,239.70,236.31,221.22,226.70,220.63,288.21,,,223.43,233.68,234.58,,,,227.55
2005-04-03 22:04:40.528000,L5,,,,,,256.19,270.95,233.79,260.56,,,,,,,,,,239.05,243.10,239.06,238.60,232.73,294.66,,,242.52,245.95,243.89,230.43,227.09,237.22,230.72
2005-04-19 22:04:43.597000,L5,,,,,,247.62,278.94,228.86,266.81,,,,,,,,,,237.31,242.90,232.07,232.65,229.69,293.09,,,235.48,241.04,243.26,236.59,231.54,245.53,240.63
2005-06-06 22:05:05.724000,L5,,,,,201.80,265.11,278.78,233.01,267.69,212.79,,,,,,,,,237.45,238.06,234.10,234.42,229.82,292.63,,,231.51,238.94,238.49,241.38,225.68,242.25,240.50
2005-08-25 22:05:41.221000,L5,,,,,,,,,,,,,,,,,,,202.93,216.13,206.33,213.90,202.96,,,,208.98,219.74,223.33,,,,195.69
2005-09-26 22:05:42.687000,L5,,,,,,247.64,264.61,210.52,264.11,,,,,,,,,,232.41,240.81,238.15,242.24,228.37,291.34,,,229.39,240.46,236.56,240.02,225.21,236.27,241.12
2005-11-13 22:05:57.059000,L5,,,,,,249.64,275.19,218.39,268.79,,,,,,,,,,238.91,238.64,235.48,226.83,225.08,290.95,,,234.91,246.92,242.49,252.51,237.61,244.27,248.84
