dates,nzd0001-0000,nzd0001-0001,nzd0001-0002,nzd0001-0003,nzd0001-0004,nzd0001-0005,nzd0001-0006,nzd0001-0010,nzd0001-0011,nzd0001-0012,nzd0001-0013,nzd0001-0014,nzd0001-0015,nzd0001-0016,nzd0001-0022,nzd0001-0023,nzd0001-0024,nzd0001-0007,nzd0001-0008,nzd0001-0009,nzd0001-0017,nzd0001-0018,nzd0001-0019,nzd0001-0020,nzd0001-0021,nzd0001-0025,nzd0001-0026,nzd0001-0027,nzd0001-0028,nzd0001-0029,nzd0001-0030,nzd0001-0031,nzd0001-0032,satname
1999-08-17 22:10:26.276,459.88,457.8,,,,,,422.52,,,,,,389.0,,,,,,,,,,,,,,,,,,,,L7
1999-10-04 22:10:38.131,447.305,444.805,,,,,,431.345,454.96,,481.3,488.23,,406.9,,,,,,,,462.78,468.69,491.55,,,,,,,,505.08,363.7,L7
2000-02-09 22:10:19.398,441.31333333333333,429.5733333333333,414.06,400.99,,,,431.345,454.96,,481.3,488.23,,406.9,,,,,,,,462.78,468.69,491.55,,,,,,,,505.08,370.305,L7
2000-08-03 22:08:44.137,402.65999999999997,387.225,405.395,400.015,402.24,410.55,416.67,,,,,,,,,,,424.78,,,,,,,,,,,,,,,376.91,L7
2000-09-04 22:08:22.800,386.34000000000003,388.91999999999996,400.8,401.265,402.385,410.55,416.67,,,,483.07,477.1,461.58,,,,,424.78,,,,,,,,,,,,,,,,L7
2000-10-06 22:07:59.689,386.33,391.54333333333335,410.02666666666664,401.265,397.82,422.82500000000005,427.35,459.15,434.21,420.14,456.86,459.8,456.1,424.35,,,,424.78,,450.25,,437.32,429.9,487.13,,,,,,,,467.01,,L7
2001-11-26 22:06:09.518,399.17,428.75,438.41,372.2,,419.8,446.93,424.29,421.1,402.87,406.72,,,,,,,408.79,,435.53,,,,,376.6,,,268.95,,,,,,L7
2002-01-29 22:06:21.478,414.495,418.93,411.91,380.28999999999996,,419.8,446.93,424.29,421.1,399.065,406.72,,388.03,,,,,408.79,,435.53,340.1,,,,370.73,,,270.49,,,,,352.17,L7
2002-02-14 22:06:29.522,408.6666666666667,405.49666666666667,404.24333333333334,383.39000000000004,403.02,419.8,446.93,424.29,421.1,399.065,406.72,,388.03,,,,,408.79,,435.53,340.1,,,,370.73,,,270.49,,,,,352.17,L7
2002-03-18 22:06:22.131,408.6666666666667,403.98,403.2925,396.64,433.63,443.23,464.0,424.29,421.1,401.87000000000006,418.38,,388.03,,,,,408.79,,435.53,340.1,,,,370.73,,,270.49,,,,,352.17,L7
