dates,nzd0003-0000,nzd0003-0001,nzd0003-0002,nzd0003-0030,nzd0003-0031,nzd0003-0005,nzd0003-0006,nzd0003-0007,nzd0003-0008,nzd0003-0009,nzd0003-0010,nzd0003-0011,nzd0003-0012,nzd0003-0013,nzd0003-0014,nzd0003-0015,nzd0003-0016,nzd0003-0017,nzd0003-0018,nzd0003-0003,nzd0003-0004,nzd0003-0019,nzd0003-0020,nzd0003-0029,nzd0003-0021,nzd0003-0022,nzd0003-0026,nzd0003-0027,nzd0003-0028,satname
2003-12-26 21:56:18+00:00,,,,236.64,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-08-06 22:00:22+00:00,,270.93,260.01,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2005-04-03 22:04:40+00:00,302.24,263.93,256.93,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2005-06-06 22:05:05+00:00,309.76,272.485,258.845,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2005-09-26 22:05:42+00:00,309.6466666666667,274.2966666666667,259.47,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2005-11-13 22:05:57+00:00,311.56333333333333,278.64,263.1433333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2006-05-08 22:09:38+00:00,308.59000000000003,274.37,265.08500000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2006-06-25 22:10:20+00:00,309.19,274.84,265.125,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2008-11-21 22:01:05+00:00,310.37,278.32,268.23,243.45,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2010-01-27 22:08:26+00:00,,,,244.42,313.14,,,,,,,,,,,,,,,,,,,,,,,,,L5
2011-02-15 22:07:34+00:00,,269.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2013-04-25 22:19:21+00:00,,,,309.0,296.91,,,,,,,,,,,,,,,,,,,,,,,,,L8
2013-06-28 22:19:33+00:00,,,,310.41999999999996,298.84000000000003,,,,,,,,,,,,,,,,,,,,,,,,,L8
