dates,satname,nzd0005-0000,nzd0005-0001,nzd0005-0006,nzd0005-0007,nzd0005-0008,nzd0005-0012,nzd0005-0013,nzd0005-0014,nzd0005-0018,nzd0005-0019,nzd0005-0020,nzd0005-0021,nzd0005-0022,nzd0005-0023,nzd0005-0024,nzd0005-0025,nzd0005-0026,nzd0005-0027,nzd0005-0028,nzd0005-0030,nzd0005-0031,nzd0005-0032,nzd0005-0033,nzd0005-0034,nzd0005-0035,nzd0005-0036,nzd0005-0037,nzd0005-0038,nzd0005-0039,nzd0005-0040,nzd0005-0041,nzd0005-0005,nzd0005-0015,nzd0005-0016,nzd0005-0017,nzd0005-0029,nzd0005-0002,nzd0005-0003,nzd0005-0004,nzd0005-0009,nzd0005-0010,nzd0005-0011
2003-12-26 21:56:18.593000,L5,,,,,,,,,,,,,,,,,,,,,,,207.82,219.58,236.32,218.43,235.89,248.15,269.72,271.34,260.17,,,,,,,,,,,
2004-08-22 22:00:48.706000,L5,,,,,,,,,,,,,,,,,,,,,,186.00,220.98,223.69,237.38,220.28,247.72,254.89,264.38,276.60,270.21,,,,,,,,,,,
2005-01-13 22:03:41.143000,L5,,,,,,,,,,,,,,,,,,,,,,,217.34,223.43,240.19,220.50,251.40,263.09,277.60,274.02,265.04,,,,,,,,,,,
2005-04-03 22:04:40.528000,L5,,,,,,,,,,,,,,,,,,,,,,,220.53,223.92,243.97,220.22,251.61,254.95,271.69,276.26,264.23,,,,,,,,,,,
2005-04-19 22:04:43.597000,L5,,,,,,,,,,,,,,,,,,,,,,,203.68,217.04,235.15,212.37,241.32,255.84,273.13,271.70,263.96,,,,,,,,,,,
2005-09-26 22:05:42.687000,L5,,,,,,,,,,,,,,,,,,,,,215.22,185.54,228.50,223.45,232.62,212.30,243.77,255.20,269.93,279.88,283.02,,,,,,,,,,,
2005-11-13 22:05:57.059000,L5,,,,,,,,,,,,,,,,,,,,,,,213.56,209.73,229.40,207.11,241.29,255.55,273.47,282.54,272.85,,,,,,,,,,,
2006-05-08 22:09:38.251000,L5,,,,,,,,,,,,,,,,,,,,,,,214.61,213.23,225.82,218.51,233.80,240.83,250.12,271.99,263.59,,,,,,,,,,,
2006-06-25 22:10:20.606000,L5,,,,,,,,,,,,,,,,,,,,,,,204.88,205.91,222.50,205.61,237.29,,,,,,,,,,,,,,,
2007-01-03 22:12:49.248000,L5,,,,,,,,,,,,,,,,,,,,,,226.60,311.43,305.56,327.38,304.92,335.92,348.09,365.25,372.21,356.63,,,,,,,,,,,
2007-10-02 22:10:31.289000,L5,,,,,,,,,,,,,,,,,,,,,207.23,181.70,227.76,214.18,233.96,210.73,244.87,263.73,275.81,286.46,289.14,,,,,,,,,,,
2009-01-24 22:02:55.057000,L5,,,,,,,,,,,,,,,,,,,,,,,219.58,215.99,234.41,210.49,243.48,242.56,268.53,269.42,265.43,,,,,,,,,,,
2010-02-12 22:08:30.110000,L5,,,,,,,,,,,,,,,,,,,,,,,208.89,207.23,225.68,203.39,233.39,253.28,275.04,281.08,271.44,,,,,,,,,,,
2010-11-27 22:07:24.215000,L5,,,,,,,,,,,,,,,,,,,,,224.86,194.20,230.44,224.77,225.43,218.12,236.85,242.62,265.86,284.19,283.50,,,,,,,,,,,
2011-01-14 22:07:31.728000,L5,,,,,,,,,,,,,,,,,,,,,,196.70,225.38,220.60,232.05,213.53,241.86,254.91,275.24,283.66,273.48,,,,,,,,,,,
