dates,nzd0005-0000,nzd0005-0001,nzd0005-0002,nzd0005-0003,nzd0005-0004,nzd0005-0006,nzd0005-0007,nzd0005-0008,nzd0005-0012,nzd0005-0013,nzd0005-0014,nzd0005-0017,nzd0005-0018,nzd0005-0019,nzd0005-0020,nzd0005-0021,nzd0005-0022,nzd0005-0023,nzd0005-0024,nzd0005-0025,nzd0005-0026,nzd0005-0027,nzd0005-0028,nzd0005-0029,nzd0005-0030,nzd0005-0031,nzd0005-0032,nzd0005-0033,nzd0005-0034,nzd0005-0035,nzd0005-0036,nzd0005-0037,nzd0005-0038,nzd0005-0039,nzd0005-0040,nzd0005-0041,nzd0005-0015,nzd0005-0016,nzd0005-0005,nzd0005-0011,nzd0005-0009,nzd0005-0010,satname
2003-12-26 21:56:18+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.58,221.87,238.36,221.03,238.21,250.61,271.67,273.79,262.71,,,,,,,L5
2004-08-22 22:00:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.72,216.69,230.92,214.27,241.06,248.55,251.23,269.8,259.93,,,,,,,L5
2005-01-13 22:03:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.19,219.015,234.70499999999998,214.27,244.84,248.55,251.23,270.82,260.64,,,,,,,L5
2005-04-03 22:04:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.02499999999998,222.125,240.37,219.09,249.23000000000002,253.73,269.54,271.84,261.92,,,,,,,L5
2005-04-19 22:04:43+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.11333333333332,219.85,238.26,219.09,246.27333333333334,253.73,270.645,271.01,261.96000000000004,,,,,,,L5
2005-09-26 22:05:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,215.22,185.54,216.06000000000003,220.5533333333333,236.3033333333333,215.695,244.65666666666667,254.46499999999997,270.4066666666667,275.03,269.18333333333334,,,,,,,L5
2006-06-25 22:10:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.88,205.91,222.5,205.61,237.29,,,,,,,,,,,L5
2007-01-03 22:12:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,220.56,,,,,,,,,,,,,,,,L5
2007-10-02 22:10:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.17,208.6,229.59,205.68,239.89,260.1,271.52,282.05,282.39,,,,,,,L5
2009-01-24 22:02:55+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.17,217.2,235.42,211.63,244.4,243.79,269.49,270.63,267.02,,,,,,,L5
2010-02-12 22:08:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.38,204.67,223.13,200.6,230.5,249.53,273.26,277.78,267.81,,,,,,,L5
2011-01-14 22:07:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.6,214.09,225.56,207.14,233.79,248.08,268.97,277.98,264.27,,,,,,,L5
2011-09-11 22:06:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,203.8,228.17,206.88,225.63,223.83,,,,,,269.01,,,,,,,,L5
2013-04-25 22:19:21+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.42,221.97,242.75,215.75,249.86,259.85,273.18,287.4,284.07,,,,,,,L8
2013-05-11 22:19:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.175,223.925,242.64,219.62,251.935,260.36,274.195,286.095,287.25,,,,,,,L8
2013-06-28 22:19:33+00:00,303.63,261.05,,258.2,,,,,,,,225.34,217.43,,274.98,,281.84,276.06,,,,,,,,,,225.26666666666665,226.47,244.5,222.06333333333336,253.71666666666667,260.72333333333336,278.01666666666665,286.85999999999996,289.81333333333333,,,,,,,L8
2013-08-31 22:19:38+00:00,303.63,261.05,,258.2,,,,263.63,,,,225.34,217.43,,258.565,240.62,274.78999999999996,263.74,,,,228.24,238.17,,237.15,240.55,215.79,226.655,227.425,245.0975,222.2575,254.2175,260.9475,277.675,287.2525,288.67,,,,,,,L8
2013-10-02 22:19:28+00:00,302.1,260.75,,258.2,,,,263.63,,,,223.56,227.765,254.01,262.38666666666666,253.9,274.63666666666666,267.4066666666667,,,,247.485,247.96499999999997,246.64,245.715,245.085,222.64499999999998,228.246,229.23600000000002,245.37600000000003,222.87600000000003,255.28000000000003,261.14,279.128,288.418,289.8,,,,,,,L8
2013-10-18 22:19:25+00:00,302.1,260.75,,258.2,,,,263.63,,,,223.56,218.49333333333334,245.62,260.3575,251.78666666666666,273.0175,266.2275,210.03,224.45,226.31,244.1966666666667,247.60666666666665,246.64,240.95666666666668,242.4,220.67999999999998,226.985,229.98666666666668,246.005,222.405,255.76833333333332,262.3016666666667,280.17,289.62833333333333,291.0683333333333,,,,,,,L8
2013-11-03 22:19:20+00:00,302.1,260.75,,258.2,,,,263.63,,,,223.56,212.755,235.65333333333334,257.908,249.87,272.01,264.226,209.45499999999998,220.0,223.37,241.3125,247.1,246.64,240.9025,241.375,219.655,227.5283333333333,231.70166666666668,246.49,222.56333333333336,256.865,262.65000000000003,280.8883333333333,289.71166666666664,291.65833333333336,,,,,,,L8
2013-12-05 22:19:13+00:00,302.1,260.75,,258.2,,,,263.63,,,,223.56,212.755,235.65333333333334,257.908,249.87,272.01,264.226,209.45499999999998,220.0,223.37,241.3125,247.1,246.64,240.9025,241.375,219.655,225.70833333333334,231.71833333333333,246.77333333333334,221.785,256.895,262.7183333333333,281.1666666666667,290.74666666666667,290.8616666666667,,,,,,,L8
2014-01-06 22:18:54+00:00,300.57,260.45,,,,,302.71,256.125,,,,221.78,211.19666666666663,235.65333333333334,253.64,249.87,269.5525,261.26750000000004,209.45499999999998,220.0,223.37,241.3125,247.1,246.64,240.9025,241.375,217.416,224.11166666666668,231.1833333333333,245.95333333333335,219.76666666666665,256.56333333333333,262.93666666666667,280.75333333333333,290.7266666666667,289.85833333333335,,,,,,,L8
2014-02-07 22:18:33+00:00,301.755,263.2,,,,280.7,307.515,256.125,,,,221.78,211.19666666666663,235.65333333333334,261.548,249.87,273.948,266.564,209.45499999999998,223.37,223.37,241.3125,247.1,246.64,240.9025,243.638,218.03,226.70857142857145,233.17714285714283,246.9857142857143,220.29571428571427,257.0814285714286,264.03000000000003,281.16,292.9414285714286,291.74142857142857,,,273.74,,,,L8
2014-02-23 22:18:20+00:00,301.755,263.2,,,,280.7,307.515,256.125,,,,221.78,211.19666666666663,235.65333333333334,261.548,249.87,273.948,266.564,209.45499999999998,223.37,223.37,241.3125,247.1,246.64,240.9025,243.638,213.72714285714284,226.3475,232.55374999999998,246.8475,219.63125,256.96875,263.95124999999996,281.1975,292.58625,290.86625,,,273.74,,,,L8
2014-04-28 22:17:22+00:00,302.94,265.95,,,,280.7,307.515,248.62,,,,,195.54,215.72,270.64500000000004,244.12,279.755,271.985,208.88,222.83,220.43,232.66,245.58,,240.74,245.495,208.5125,224.93399999999997,231.98399999999998,244.09833333333336,217.762,253.96,262.0566666666667,280.522,292.7,289.99199999999996,,,273.74,,,,L8
