dates,satname,nzd0007-0000,nzd0007-0001,nzd0007-0002,nzd0007-0003,nzd0007-0032,nzd0007-0033,nzd0007-0034,nzd0007-0035,nzd0007-0011,nzd0007-0012,nzd0007-0013,nzd0007-0014,nzd0007-0015,nzd0007-0016,nzd0007-0017,nzd0007-0018,nzd0007-0019,nzd0007-0020,nzd0007-0021,nzd0007-0025,nzd0007-0026,nzd0007-0027,nzd0007-0028,nzd0007-0029,nzd0007-0030,nzd0007-0031,nzd0007-0022,nzd0007-0023,nzd0007-0010,nzd0007-0024,nzd0007-0004,nzd0007-0007,nzd0007-0008,nzd0007-0009,nzd0007-0005,nzd0007-0006
2003-10-23 21:55:36.755000,L5,264.38,216.83,219.48,208.48,189.44,265.96,361.58,357.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-18 21:58:14.785000,L5,253.10,226.52,240.63,215.97,179.20,259.79,353.88,338.22,288.92,328.82,335.40,314.75,345.31,295.83,265.06,302.92,257.16,171.68,221.27,,,,,,,,,,,,,,,,,
2004-06-19 21:59:10.521000,L5,255.90,225.87,247.70,224.64,177.87,250.64,354.15,341.40,283.29,324.66,334.39,297.39,337.91,291.48,271.07,308.84,262.20,173.87,219.86,165.62,254.64,196.21,250.41,189.37,,,,,,,,,,,,
2004-07-21 22:00:04.249000,L5,,,,,195.50,269.86,351.30,356.25,290.63,329.03,347.01,322.16,353.44,294.65,263.48,315.74,270.86,183.09,232.08,183.26,267.76,266.61,287.90,185.96,,,,,,,,,,,,
2004-08-06 22:00:22.463000,L5,267.57,232.19,254.76,218.80,186.38,277.23,356.83,348.15,296.69,334.96,339.01,306.58,344.33,295.03,266.74,309.86,261.61,187.27,233.73,178.34,266.75,275.71,281.96,183.59,274.24,292.77,,,,,,,,,,
2005-01-13 22:03:41.143000,L5,240.38,207.44,226.78,202.95,190.25,259.79,352.26,347.52,277.09,306.21,316.92,297.21,331.75,276.27,262.98,306.10,257.77,181.51,221.69,,,,241.08,181.46,257.30,,,,,,,,,,,
2005-02-14 22:04:09.465000,L5,242.77,241.52,248.08,233.52,195.37,276.46,353.87,347.94,300.15,339.08,351.63,324.82,367.82,299.75,274.46,303.52,257.46,181.09,226.21,179.41,272.58,289.03,292.01,287.20,263.22,286.24,203.91,201.16,,,,,,,,
2005-04-03 22:04:40.528000,L5,251.73,214.67,228.64,210.33,181.66,242.10,351.86,341.93,275.97,298.20,286.23,292.71,333.61,281.71,241.11,295.71,255.61,173.04,197.19,,,,,,,,,,,,,,,,,
2005-06-06 22:05:05.724000,L5,265.83,235.07,243.44,228.36,331.73,315.52,360.03,354.13,301.85,347.37,358.96,320.68,354.91,306.10,271.08,316.77,275.91,183.94,254.53,176.32,266.48,288.87,295.22,291.67,279.31,308.14,202.43,215.15,169.76,249.64,,,,,,
2005-08-25 22:05:41.221000,L5,264.53,227.91,245.83,218.20,197.92,269.75,355.42,343.49,290.98,339.01,332.56,311.35,350.51,298.23,268.93,242.65,270.69,183.22,234.91,,,,,,,,204.49,204.64,167.12,,,,,,,
