dates,nzd0007-0000,nzd0007-0001,nzd0007-0002,nzd0007-0003,nzd0007-0032,nzd0007-0033,nzd0007-0034,nzd0007-0035,nzd0007-0011,nzd0007-0012,nzd0007-0013,nzd0007-0014,nzd0007-0015,nzd0007-0016,nzd0007-0017,nzd0007-0018,nzd0007-0019,nzd0007-0020,nzd0007-0021,nzd0007-0025,nzd0007-0026,nzd0007-0027,nzd0007-0028,nzd0007-0029,nzd0007-0030,nzd0007-0031,nzd0007-0022,nzd0007-0023,nzd0007-0010,nzd0007-0024,nzd0007-0004,nzd0007-0007,nzd0007-0008,nzd0007-0009,nzd0007-0005,nzd0007-0006,satname
2004-05-18 21:58:14+00:00,253.1,226.52,240.63,215.97,179.2,259.79,,,288.92,328.82,,314.75,,295.83,265.06,302.92,257.16,171.68,221.27,,,,,,,,,,,,,,,,,,L5
2004-06-19 21:59:10+00:00,254.5,226.195,244.165,220.305,179.2,259.79,,,288.92,328.82,,314.75,,295.83,265.06,302.92,257.16,171.68,220.565,165.62,254.64,,,,,,,,,,,,,,,,L5
2004-07-21 22:00:04+00:00,254.5,226.195,244.165,220.305,187.35,264.82500000000005,,,289.775,328.92499999999995,347.01,318.45500000000004,,295.24,264.27,302.92,264.01,177.385,224.40333333333334,174.44,261.2,266.61,,185.96,,,,,,,,,,,,,L5
2004-08-06 22:00:22+00:00,258.8566666666666,228.19333333333336,244.165,219.8033333333333,187.02666666666664,268.96000000000004,,,292.08,330.93666666666667,343.01,314.49666666666667,,295.17,265.0933333333333,306.39,263.21000000000004,180.67999999999998,226.735,175.74,263.05,271.15999999999997,,184.775,,,,,,,,,,,,,L5
2005-01-13 22:03:41+00:00,253.975,219.815,,210.875,190.71,268.96000000000004,,,288.1366666666666,323.40000000000003,334.31333333333333,308.65000000000003,331.75,288.65000000000003,264.40000000000003,307.98,263.41333333333336,183.95666666666668,229.16666666666666,180.8,267.255,271.15999999999997,241.08,183.67,257.3,,,,,,,,,,,,L5
2005-06-06 22:05:05+00:00,253.105,221.255,243.44,215.655,190.25,287.655,,,289.47,326.78999999999996,337.94,308.945,343.33000000000004,291.185,267.03,311.435,266.84000000000003,182.725,238.11,176.32,266.48,288.87,241.08,181.46,268.305,,202.43,215.15,169.76,249.64,,,,,,,L5
2005-09-26 22:05:42+00:00,264.225,236.985,245.135,226.815,187.78,297.145,,,300.725,342.145,356.855,317.89,353.58500000000004,299.555,266.445,308.775,267.07000000000005,182.125,246.785,180.155,264.53,288.87,275.72,190.36,268.94,,209.04000000000002,211.16,169.385,249.64,,,,,,,L5
2006-05-08 22:09:38+00:00,269.27,232.86,242.74,222.92,180.74,277.77,,,292.69,341.53,331.89,303.27,348.4,295.61,266.81,308.56,261.73,181.77,244.07,179.28,265.9,,,,274.97,,210.62,209.52,,,,,,,,,L5
2006-06-25 22:10:20+00:00,269.27,232.86,242.74,222.92,181.245,275.12,,,292.645,341.53,331.89,309.61,348.4,297.015,268.68,309.68,265.885,179.695,242.865,179.70999999999998,265.9,,,194.77,274.97,,206.66,204.87,,,,,,,,,L5
2006-12-02 22:12:34+00:00,207.44,,,,181.75,247.17000000000002,,,292.6,,281.12,289.88,,298.42,242.29000000000002,310.8,270.04,177.62,241.66,180.14,,,,194.77,,,202.7,200.22,,,,,,,,,L5
2008-11-21 22:01:05+00:00,242.31,219.67,,213.62,190.86,253.37,336.42,,278.84,314.75,299.53,297.47,,289.08,251.94,299.27,260.07,177.54,233.52,,,,,,,,210.85,186.3,164.23,,,,,,,,L5
2010-01-27 22:08:26+00:00,237.18,212.78,236.8,213.96,192.59,254.67,334.61,350.18,,,235.01,299.5,336.2,280.5,245.58,302.11,257.09,,,,,,,,,,,,,,,,,,,,L5
2010-02-12 22:08:30+00:00,234.67000000000002,211.91500000000002,234.695,215.925,184.81,244.14999999999998,323.815,345.18,,,233.54,296.435,334.865,281.09000000000003,240.36,298.19,254.305,,,,,,,,,,,,,,,,,,,,L5
2013-06-28 22:19:33+00:00,,,,,,,256.16,323.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2014-05-30 22:17:11+00:00,,,,,,,258.22,,,,199.92,237.74,218.26,260.96,,,,,,,,,,,,,,,,,,,,,,,L8
2014-07-17 22:17:28+00:00,,,,,,,256.82500000000005,,,,199.92,238.25,217.225,260.96,,,,,,,,,,,,,,,,,,,,,,,L8
2015-01-09 22:17:38+00:00,,,,,,,255.43,,,,200.01,237.92000000000002,220.43,,,,,,,,,,,,,,,,,,,,,,,,L8
2015-06-02 22:16:44+00:00,,,,,,,,,,,200.16,236.10500000000002,223.135,,,,,,,,,,,,,,,,,,,,,,,,L8
2016-10-10 22:17:54+00:00,,,,,,,,,,,198.05,233.88,220.64,261.25,,,,,,,,,,,,,,,,,,,,,,,L8
2017-06-07 22:17:15+00:00,,,,,,,,,,,,,221.34,261.02,,,,,,,,,,236.43,,,,,,,,,,,,,L8
