dates,nzd0009-0000,nzd0009-0001,nzd0009-0002,nzd0009-0003,nzd0009-0004,nzd0009-0005,nzd0009-0006,nzd0009-0007,nzd0009-0008,nzd0009-0009,nzd0009-0010,nzd0009-0011,nzd0009-0012,nzd0009-0013,nzd0009-0014,nzd0009-0015,nzd0009-0016,nzd0009-0017,nzd0009-0018,nzd0009-0019,nzd0009-0020,nzd0009-0021,nzd0009-0022,nzd0009-0023,nzd0009-0024,nzd0009-0025,nzd0009-0026,nzd0009-0027,nzd0009-0028,nzd0009-0029,nzd0009-0030,nzd0009-0031,nzd0009-0032,nzd0009-0033,nzd0009-0034,nzd0009-0035,nzd0009-0036,nzd0009-0037,nzd0009-0038,nzd0009-0039,nzd0009-0040,nzd0009-0041,nzd0009-0042,nzd0009-0043,nzd0009-0044,nzd0009-0045,nzd0009-0046,nzd0009-0047,nzd0009-0048,nzd0009-0049,nzd0009-0050,nzd0009-0051,nzd0009-0052,nzd0009-0053,nzd0009-0054,nzd0009-0055,nzd0009-0056,nzd0009-0057,nzd0009-0058,nzd0009-0059,nzd0009-0060,nzd0009-0061,nzd0009-0062,nzd0009-0063,nzd0009-0064,nzd0009-0065,nzd0009-0066,nzd0009-0067,nzd0009-0068,nzd0009-0069,nzd0009-0070,nzd0009-0071,nzd0009-0072,nzd0009-0073,nzd0009-0074,nzd0009-0075,nzd0009-0076,nzd0009-0077,nzd0009-0078,nzd0009-0079,nzd0009-0080,nzd0009-0081,nzd0009-0082,nzd0009-0083,nzd0009-0084,nzd0009-0085,nzd0009-0086,nzd0009-0087,nzd0009-0088,nzd0009-0089,nzd0009-0090,nzd0009-0091,nzd0009-0092,nzd0009-0093,nzd0009-0094,nzd0009-0095,nzd0009-0096,nzd0009-0097,nzd0009-0098,nzd0009-0099,nzd0009-0100,nzd0009-0101,nzd0009-0102,nzd0009-0103,nzd0009-0104,nzd0009-0106,nzd0009-0107,nzd0009-0108,nzd0009-0109,nzd0009-0110,nzd0009-0111,nzd0009-0112,nzd0009-0113,nzd0009-0114,nzd0009-0115,nzd0009-0116,nzd0009-0117,nzd0009-0118,nzd0009-0119,nzd0009-0120,nzd0009-0121,nzd0009-0122,nzd0009-0123,nzd0009-0124,nzd0009-0125,nzd0009-0126,nzd0009-0127,nzd0009-0128,nzd0009-0129,nzd0009-0130,nzd0009-0131,nzd0009-0132,nzd0009-0133,nzd0009-0134,nzd0009-0135,nzd0009-0136,nzd0009-0137,nzd0009-0138,nzd0009-0139,nzd0009-0140,nzd0009-0141,nzd0009-0142,nzd0009-0143,nzd0009-0144,nzd0009-0145,nzd0009-0146,nzd0009-0147,nzd0009-0148,nzd0009-0149,nzd0009-0150,nzd0009-0151,nzd0009-0152,nzd0009-0153,nzd0009-0154,nzd0009-0155,nzd0009-0156,nzd0009-0157,nzd0009-0158,nzd0009-0159,nzd0009-0160,nzd0009-0161,nzd0009-0162,nzd0009-0163,nzd0009-0164,nzd0009-0165,nzd0009-0166,nzd0009-0167,nzd0009-0168,nzd0009-0169,nzd0009-0170,nzd0009-0171,nzd0009-0172,nzd0009-0173,nzd0009-0174,nzd0009-0175,nzd0009-0176,nzd0009-0177,nzd0009-0178,nzd0009-0179,nzd0009-0180,nzd0009-0181,nzd0009-0182,nzd0009-0183,nzd0009-0184,nzd0009-0185,nzd0009-0186,nzd0009-0187,nzd0009-0188,nzd0009-0189,nzd0009-0190,nzd0009-0191,nzd0009-0192,nzd0009-0193,nzd0009-0194,nzd0009-0195,nzd0009-0196,nzd0009-0197,nzd0009-0198,nzd0009-0199,nzd0009-0200,nzd0009-0201,nzd0009-0202,nzd0009-0203,nzd0009-0204,nzd0009-0205,nzd0009-0206,nzd0009-0207,nzd0009-0208,nzd0009-0209,nzd0009-0210,nzd0009-0211,nzd0009-0212,nzd0009-0213,nzd0009-0214,nzd0009-0215,nzd0009-0216,nzd0009-0217,nzd0009-0218,nzd0009-0219,nzd0009-0220,nzd0009-0221,nzd0009-0222,nzd0009-0223,nzd0009-0224,nzd0009-0225,nzd0009-0226,nzd0009-0227,nzd0009-0228,nzd0009-0229,nzd0009-0230,nzd0009-0231,nzd0009-0232,nzd0009-0233,nzd0009-0234,nzd0009-0235,nzd0009-0236,nzd0009-0237,nzd0009-0238,nzd0009-0239,nzd0009-0240,nzd0009-0241,nzd0009-0242,nzd0009-0243,nzd0009-0244,nzd0009-0245,nzd0009-0246,nzd0009-0247,nzd0009-0248,nzd0009-0249,nzd0009-0250,nzd0009-0251,nzd0009-0252,nzd0009-0253,nzd0009-0254,nzd0009-0255,nzd0009-0256,nzd0009-0257,nzd0009-0258,nzd0009-0259,nzd0009-0260,nzd0009-0261,nzd0009-0262,nzd0009-0263,nzd0009-0264,nzd0009-0265,nzd0009-0266,nzd0009-0267,nzd0009-0268,nzd0009-0269,nzd0009-0270,nzd0009-0271,nzd0009-0272,nzd0009-0273,nzd0009-0274,nzd0009-0275,nzd0009-0276,nzd0009-0277,nzd0009-0105,nzd0009-0278,satname
2000-04-29 22:09:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.93,,,195.36,,,,,,225.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.72,,,247.43,,,225.21,212.86,,,,,,,,,,,214.46,187.7,215.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.31,197.82,,,,,,299.52,,,L7
2000-05-15 22:09:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,208.45,,,,235.5,231.92,221.0,228.61,223.74,216.14,242.35,,195.36,,,,,,225.62,,,,212.75,,,202.37,,,,201.7,216.95,,198.08,206.74,,,178.87,,,201.28,197.06,209.37,220.41,,,,,,,,,,,,,,,231.72,,,247.43,,,225.21,212.86,,,232.22,,,198.12,,,,226.57,196.055,197.74,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.78,258.71,,,296.23,303.3,195.89,234.66,233.28,,,,,250.1,274.37,265.19,,,309.03,309.1,,298.76,306.23,,,,,344.33,,,,,,323.32,305.14,,331.19,,,,,,,352.41,,,,,,,,,301.78,313.77,329.3,,,315.16,306.81,301.5,307.6,284.03,334.45,255.85,207.39,281.84,278.17,,,,,,,,,,,,,,,,,,,,211.31,197.82,,307.11,288.76,,,299.52,,,L7
2000-09-20 22:08:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,208.45,,,,235.5,231.92,221.0,208.025,227.95,216.14,228.315,,195.36,,,,,,225.62,,,,212.75,,,202.37,,,,201.7,216.95,,198.08,206.74,,,178.87,,,201.28,197.06,209.37,220.41,,,,,,,,,,,,,,,231.72,,,247.43,224.83,,225.21,212.86,,,232.22,,,198.12,,,,226.57,196.055,197.74,220.0,,,,,,,,,,,,,,,,,,,,187.62,,,,,,,,,,,,,,,,,269.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.78,258.71,,,296.23,303.3,195.89,234.66,233.28,,,,,250.1,274.37,265.19,,,309.03,309.1,,305.75,305.3,,,,,344.33,,,,,,323.32,305.14,,331.19,,,,,,,352.41,288.83,,,,,,320.94,,301.78,313.77,329.3,,,315.16,306.81,301.5,307.6,290.23,334.45,255.85,207.39,281.84,278.17,,,,,,,,,,,,,,,,,,,,199.89,197.82,,301.595,288.76,,,299.52,,,L7
2000-10-06 22:07:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,208.45,,207.9,193.59,235.5,231.92,221.0,208.025,227.95,216.14,228.315,,195.36,,,,,,225.62,,,,212.75,,,202.37,,,,201.7,216.95,,198.08,206.74,,,178.87,,,201.28,197.06,209.37,220.41,,228.35,,,,,,,,,,,,,231.72,,,247.43,224.83,,213.22500000000002,212.86,,,232.22,,,198.12,,,,226.57,196.055,197.74,220.0,,,,,,,,,,,,,,,,,,,,187.62,,,,,,,,,,,,,,,,,269.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.78,258.71,,,296.23,303.3,195.89,234.66,233.28,,,,,250.1,274.37,265.19,,,311.025,307.855,,310.05333333333334,305.3,,,,,344.33,,,,,,323.32,305.14,,331.19,,,,,,,352.41,288.83,,,,,,320.94,,301.78,313.77,329.3,,,315.16,316.34000000000003,301.5,307.6,290.23,334.45,255.85,207.39,281.84,278.17,,,,,,,,,,,,,,,,,,190.24,,199.89,197.82,216.52,301.595,288.76,,,299.52,,,L7
2000-10-22 22:07:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,208.45,,207.9,193.59,235.5,231.92,221.0,208.025,227.95,216.14,228.315,,195.36,221.16,214.96,,,,225.62,,,,212.75,,,202.37,,,,201.7,216.95,,198.08,206.74,,,178.87,,,201.28,197.06,209.37,220.41,,228.35,,,,,,,,,,,,,231.72,,,247.43,224.83,,213.22500000000002,212.86,,,232.22,,,198.12,,,,226.57,196.055,197.74,220.0,,,,,,,,,,,,,,,,,,,,187.62,,,,,,,,,,,,,,,,,269.53,,,,,,,,,,,,,210.18,206.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.78,258.71,,,296.23,303.3,195.89,234.66,233.28,,,,,250.1,265.96500000000003,265.19,,,311.025,307.855,,310.05333333333334,305.3,,,,,344.33,,,,,,323.32,305.14,,331.19,,,,,,,339.145,288.83,,,,,,320.94,,301.78,313.77,329.3,,,315.16,316.34000000000003,301.5,307.6,290.23,297.765,255.85,207.39,281.84,278.17,,,,,,,,,,,,,,,,,,190.24,,199.89,197.82,216.52,301.595,288.76,,,299.52,,,L7
2001-06-03 22:07:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.95,189.91,209.72,217.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.26,,,,,,,,,,,,,,,,,,,,,,,,299.85,,,,,,,,,,,,,,,,,,303.47,,,,,,,,,,,,,,,,,,,,,,,,274.42,308.07,,,,,,,,,,,,,,,,,,,L7
2001-12-12 22:06:14+00:00,235.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.68,,,,266.78,274.2,259.38,266.32,,287.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.26,,,,,,,,,,,305.97,287.81,273.05,,,,,,,,,275.92,,279.68,285.26,,,,,,,,298.62,303.72,,,,,,,,,,,,,,268.88,,,,,,,271.7,,233.94,,,,,,,,,223.45,,270.38,,,L7
2001-12-28 22:06:14+00:00,235.35,,,,197.56,205.43,208.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.19,212.86,185.31,,,,,,,203.47,,,,,,,,,,,,,,,,,,,193.28,,,,,,,,,240.68,,,,266.78,274.2,259.38,266.32,,287.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.84,,,,,,,,,,,,,,,,,,,,312.26,,,,,,,,,,,305.97,287.81,273.05,,,,,,,,,275.92,,279.68,285.26,,,319.61,242.35,,,,298.62,303.72,,,,,,,,,,,,,,268.88,,,,,,,271.7,,233.94,,,,,,,,,223.45,,270.38,,,L7
2002-03-18 22:06:22+00:00,235.35,,,,197.56,205.43,208.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.63,188.79500000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.19,212.86,185.31,,,,,,,203.47,,,,,,,,,,,,,,,,,,,193.28,,,,,,,,230.65,240.68,305.91,,,266.78,274.2,259.38,266.32,,287.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.84,,,,,,,,,,,,248.27,,315.61,,,,,,312.26,,,322.28,,,,,,,,305.97,287.81,273.05,,,,,,,,,275.92,,279.68,285.26,,,319.61,242.35,,,,298.62,303.72,,,,,,,,,,,,,,268.88,,,,,,,271.7,,233.94,,,,,,,,,223.45,,251.36,,,L7
2002-06-22 22:06:03+00:00,,179.73,,,197.56,205.43,208.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.63,189.07,,,,,,,,,196.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.19,212.86,185.31,,,,,,,203.47,,,,,,,,,,,,,,,,,,,193.28,,,,,,,,230.65,,305.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.84,,,,,,,,,,,,248.27,,315.61,297.28,,,,,,,,322.28,,,,,324.35,,,,252.59,,315.93,,,,,,,,,,255.59,239.31,,266.21,319.61,242.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.2,312.44,,,,,,,,,,232.34,,,L7
