dates,nzd0011-0000,nzd0011-0001,nzd0011-0002,nzd0011-0003,nzd0011-0004,nzd0011-0005,nzd0011-0006,nzd0011-0007,nzd0011-0008,nzd0011-0009,nzd0011-0010,nzd0011-0011,nzd0011-0012,nzd0011-0013,nzd0011-0022,nzd0011-0023,nzd0011-0024,nzd0011-0025,nzd0011-0026,nzd0011-0027,nzd0011-0028,nzd0011-0029,nzd0011-0030,nzd0011-0031,nzd0011-0032,nzd0011-0033,nzd0011-0034,nzd0011-0035,nzd0011-0038,nzd0011-0039,nzd0011-0049,nzd0011-0054,nzd0011-0055,nzd0011-0056,nzd0011-0057,nzd0011-0064,nzd0011-0065,nzd0011-0066,nzd0011-0069,nzd0011-0070,nzd0011-0071,nzd0011-0072,nzd0011-0073,nzd0011-0074,nzd0011-0082,nzd0011-0083,nzd0011-0084,nzd0011-0085,nzd0011-0086,nzd0011-0088,nzd0011-0089,nzd0011-0090,nzd0011-0091,nzd0011-0092,nzd0011-0093,nzd0011-0094,nzd0011-0095,nzd0011-0014,nzd0011-0015,nzd0011-0016,nzd0011-0017,nzd0011-0018,nzd0011-0019,nzd0011-0020,nzd0011-0021,nzd0011-0036,nzd0011-0037,nzd0011-0040,nzd0011-0041,nzd0011-0042,nzd0011-0043,nzd0011-0044,nzd0011-0045,nzd0011-0046,nzd0011-0051,nzd0011-0053,nzd0011-0058,nzd0011-0059,nzd0011-0063,nzd0011-0067,nzd0011-0068,nzd0011-0077,nzd0011-0078,nzd0011-0079,nzd0011-0080,nzd0011-0081,nzd0011-0087,nzd0011-0047,nzd0011-0048,nzd0011-0050,nzd0011-0052,nzd0011-0060,nzd0011-0061,nzd0011-0062,nzd0011-0075,nzd0011-0076
1999-12-07 22:10:30+00:00,,,,297.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.84,,,,,,185.57,,,,320.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-06 22:07:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.34,,,,329.05,179.07,196.31,,,,349.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-22 22:07:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.34,,,,329.05,177.84,196.34,273.12,212.48,229.97,349.66,288.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-07 22:06:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,391.55,,,,,,,,,,,,,,,,,,,,,,,,,186.69,292.44,204.72,225.49,,283.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-23 22:06:03+00:00,324.8,329.88,323.56,336.75,356.77,354.17,346.3,354.32,312.31,325.22,332.92,340.55,266.31,278.6,317.91,300.83,313.55,,,,,,,318.51,285.72,288.38,391.55,,,281.16,,295.51,,,,,,,,,,,,272.84,233.43,,343.76,,,352.57,,186.69,292.44,204.72,225.49,,283.57,345.21,276.89,300.75,268.06,305.44,334.0,326.43,293.37,,,350.18,344.44,344.99,335.49,345.52,293.93,337.72,294.48,290.19,,284.26,,,,320.34,,,,,198.85,,,,,,,,,
2001-12-12 22:06:14+00:00,324.8,329.88,323.56,336.75,356.77,354.17,346.3,354.32,312.31,325.22,332.92,340.55,266.31,278.6,317.91,300.83,313.55,,,,,,,318.51,285.72,288.38,391.55,,,281.16,,295.51,,,,,,,,,,,,272.84,233.43,,343.76,,,352.57,,186.69,292.44,204.72,223.715,,279.4,345.21,276.89,300.75,268.06,305.44,334.0,326.43,293.37,,,350.18,344.44,344.99,335.49,345.52,293.93,337.72,294.48,290.19,,284.26,,,,320.34,,,,,198.85,,,,,,,,,
2001-12-28 22:06:14+00:00,320.94,319.235,315.16999999999996,334.71500000000003,337.09000000000003,337.15,332.8,336.54499999999996,315.745,315.535,318.67,323.615,266.31,279.46500000000003,306.645,297.435,313.55,,299.89,,,,308.95,304.845,311.8,297.905,345.395,,,281.16,,295.51,,300.4,,,,,,,,,257.72,291.565,260.45000000000005,,339.66999999999996,333.12,,352.57,178.05,189.63,299.95,204.72,223.715,354.36,279.4,325.55499999999995,294.055,301.125,279.145,302.06,314.05,308.69,264.205,,,312.95500000000004,309.405,298.42,335.49,345.52,293.93,337.72,294.48,290.19,255.24,284.26,,,,320.34,,,,307.95,198.85,299.59,276.36,,303.82,,,,,307.18
2002-06-22 22:06:03+00:00,317.08,308.59,306.78,332.68,317.41,320.13,319.3,318.77,319.18,305.85,304.42,306.68,,280.33,295.38,294.04,,,299.89,,,,308.95,291.18,337.88,307.43,299.24,,,,,,,300.4,,,,,,,,,257.72,310.29,287.47,,335.58,333.12,,,178.05,192.57,307.46,229.5,,354.36,,305.9,311.22,301.5,290.23,298.68,294.1,290.95,235.04,,,275.73,274.37,251.85,,,,,,,255.24,,,,,,,,,307.95,,299.59,276.36,,303.82,,,,,307.18
2002-10-12 22:05:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.18,227.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-28 22:05:22+00:00,346.0,280.56,342.29,,,,341.17,354.56,334.31,354.27,,335.56,299.15,,,,306.18,,,,,,,,,,,,,,,,,,322.24,,,,,,,,,,,,,,,,185.47,196.68,349.51,214.18,227.5,,,291.52,322.43,324.12,,317.16,,,,,,,,,,314.03,,,,,,,,,,,,,,,197.44,,,,,,,,,306.38
2002-11-13 22:05:30+00:00,336.78499999999997,280.56,323.415,348.87,335.77,337.01,339.73,351.46500000000003,332.66999999999996,336.59000000000003,311.48,332.9,287.61,,296.97,228.85,288.995,,271.7,,,283.01,295.79,319.31,287.72,311.37,,198.91,253.05,279.36,280.86,302.38,,289.42,307.19,,,,,,,,255.76,283.36,,,312.75,306.07,,286.93,219.60500000000002,208.2,330.91999999999996,214.18,227.5,355.81,,291.52,329.01,322.96000000000004,304.82,314.65,284.28,300.78,284.95,285.7,289.39,,,,,290.485,287.57,,235.84,280.41,288.28,299.11,,,,313.28,,,,,197.44,,216.12,272.86,296.37,,,,,325.51
2003-01-16 22:06:02+00:00,317.07,281.91499999999996,303.65333333333336,318.43,312.28,316.96000000000004,326.97,336.37333333333333,321.52666666666664,329.25,300.065,332.9,287.61,,296.97,228.85,288.995,,271.7,,,283.01,295.79,319.31,287.72,311.37,,198.91,285.695,273.46000000000004,280.86,302.38,,289.42,307.19,,,,,,,,255.76,283.36,,,312.75,306.07,,286.93,219.60500000000002,208.2,323.53666666666663,198.86,257.255,334.555,355.78,291.52,329.01,322.96000000000004,304.82,302.15000000000003,284.815,300.78,284.95,269.395,287.46500000000003,234.72,,,,290.485,287.57,,235.84,280.41,288.28,299.11,,,,313.28,,,,,197.44,,216.12,272.86,296.37,,,,,325.51
2003-12-26 21:56:18+00:00,241.95,,231.3,238.14,210.92,247.59,233.75,250.64,223.21,223.0,238.69,241.54,,214.99,,197.17,,209.97,235.87,242.33,205.66,211.64,,,,,,,,,,200.7,180.41,195.64,204.59,242.15,236.14,234.78,231.61,230.88,218.49,198.88,199.79,220.33,,,203.91,,236.42,240.85,235.61,224.16,232.27,249.36,273.84,301.63,318.51,220.26,214.95,207.94,,213.28,190.74,,,,,,,,,,,,,196.42,198.83,210.44,239.47,227.65,227.08,242.03,237.65,236.83,232.26,,243.92,,,,,230.54,232.34,237.1,232.97,239.38
2004-05-18 21:58:14+00:00,241.95,,225.79500000000002,239.94,203.31,237.82,226.195,239.90499999999997,216.835,218.025,239.55,238.1,,211.57,,197.17,,206.695,230.01,234.87,201.1,209.82999999999998,181.42,,,,,,,,,209.265,187.635,197.815,200.61,235.925,231.695,233.65,230.14,230.88,225.385,201.595,204.0,221.62,,,199.54,,237.675,245.165,237.015,227.055,232.005,249.99,274.72,299.65,321.78499999999997,219.79,217.62,208.04,,213.505,195.5,173.29,,,,,,,,,,,,200.225,196.115,203.63,234.5,234.79000000000002,232.62,238.19,234.73000000000002,234.53500000000003,228.98,,248.245,,,,,222.76999999999998,226.48000000000002,232.07999999999998,233.025,236.14999999999998
