dates,satname,nzd0018-0000,nzd0018-0001,nzd0018-0002,nzd0018-0003,nzd0018-0006,nzd0018-0007,nzd0018-0008,nzd0018-0009,nzd0018-0010,nzd0018-0011,nzd0018-0012,nzd0018-0013,nzd0018-0014,nzd0018-0015,nzd0018-0016,nzd0018-0017,nzd0018-0018,nzd0018-0019,nzd0018-0022,nzd0018-0023,nzd0018-0024,nzd0018-0004,nzd0018-0005,nzd0018-0020,nzd0018-0021
1999-10-04 22:10:38.131000,L7,391.48,394.96,422.60,426.00,391.11,385.85,389.12,379.49,392.57,402.90,410.03,407.02,402.50,410.25,409.66,448.30,485.33,491.83,480.68,460.75,408.77,,,,
2000-02-09 22:10:19.398000,L7,379.23,379.79,384.75,390.91,403.51,397.71,396.15,401.62,398.16,,,420.79,465.22,468.18,467.62,468.65,461.61,464.26,459.77,459.79,465.74,402.60,400.64,452.17,464.71
2000-03-28 22:10:07.233000,L7,,,,,,,445.11,430.03,439.24,443.47,445.81,449.42,468.40,461.11,466.19,488.58,463.33,,,,,,,,
2000-04-29 22:09:53.797000,L7,391.30,393.09,397.34,404.94,417.76,414.76,419.35,417.64,427.42,439.86,440.42,433.12,439.31,438.79,424.11,419.39,427.84,462.02,440.92,445.27,441.54,416.45,408.50,452.24,440.66
2000-08-03 22:08:44.137000,L7,414.70,417.78,404.70,397.65,397.50,401.37,322.65,337.65,,,,,,,,,,,,425.39,433.25,,,,
2000-09-04 22:08:22.800000,L7,,,,,,,,,368.02,375.57,380.27,481.19,477.77,486.51,467.91,466.01,465.25,487.58,377.44,377.82,380.72,,,473.50,377.71
2000-09-20 22:08:03.348000,L7,392.67,419.67,423.53,412.81,439.12,405.89,426.99,,,,,,,,460.00,443.70,441.20,,,441.51,469.37,427.13,420.35,,
2002-02-14 22:06:29.522000,L7,397.74,399.70,408.16,412.07,,,416.12,432.72,409.80,,,,,,,,,,476.38,460.38,450.51,435.42,425.36,,
2002-03-18 22:06:22.131000,L7,384.79,389.72,393.10,371.04,357.87,403.93,405.22,399.40,401.84,412.29,412.86,412.94,414.16,411.61,395.72,399.24,401.01,,,,,385.17,371.40,,
2002-07-24 22:05:50.655000,L7,449.68,448.23,432.89,423.71,,,,,,,,,,,,,,,,,,440.43,436.53,,
2002-11-13 22:05:30.425000,L7,359.20,376.66,376.77,,409.05,415.00,379.07,418.62,434.58,452.96,456.76,459.96,450.67,434.08,440.07,425.09,431.50,,,463.11,472.93,,,,
2002-12-31 22:05:56.221000,L7,335.83,347.15,366.85,428.80,,435.32,435.51,418.14,392.73,399.17,447.69,423.52,420.20,,,,,,,,,448.24,,,
2003-04-06 22:06:21.012000,L7,390.14,395.33,395.74,398.79,413.81,354.40,369.84,368.30,376.02,440.48,429.13,430.73,,,,,,504.47,432.43,426.45,,415.55,416.81,420.91,419.47
2005-04-03 22:04:40.528000,L5,333.12,327.60,344.33,319.37,336.16,,,,,,,,,,,,,,,,,339.34,329.59,,
2005-04-19 22:04:43.597000,L5,334.60,343.12,351.95,328.20,341.78,,,,,,,,,,,,,,,,,351.12,332.71,,
2010-01-27 22:08:26.527000,L5,366.06,351.72,359.98,335.04,,,,,,,,,,,,,,,,,,347.08,331.13,,
2014-02-23 22:18:20.398000,L8,415.42,419.49,415.81,411.21,,,,,,,,,,,,,,,,,,,,,
2015-12-27 22:17:43.409000,L8,423.72,418.45,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12 22:17:40.472000,L8,414.62,413.15,,,,,,,,,,,,,,,,,,,,,,,
2017-01-30 22:17:38.957000,L8,418.70,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-07 22:17:15.240000,L8,358.12,344.93,349.76,343.84,,,,,,,,,,,,,,,,,,336.50,,,
2017-08-10 22:17:37.375000,L8,359.21,348.84,350.69,344.92,,,,,,,,,,,,,,,,,,338.45,326.31,,
2018-05-09 22:16:40.331000,L8,352.55,344.55,347.68,338.78,,,,,,,,,,,,,,,,,,329.49,321.06,,
2018-05-25 22:16:28.178000,L8,423.15,423.23,431.00,414.02,,,,,,,,,,,,,,,,,,454.23,,,
2018-06-26 22:16:36.823000,L8,362.74,349.69,351.31,344.95,,,,,,,,,,,,,,,,,,342.82,328.05,,
2018-11-17 22:17:31.986000,L8,426.81,425.15,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03 22:17:30.217000,L8,358.26,347.04,352.67,344.36,,,,,,,,,,,,,,,,,,343.75,324.85,,
2018-12-19 22:17:28.292000,L8,428.11,424.95,429.61,427.22,,,,,,,,,,,,,,,,,,344.55,334.18,,
2019-03-25 22:17:09.739000,L8,,,349.95,344.74,,,,,,,,,,,,,,,,,,343.98,329.25,,
2019-04-26 22:16:59.330000,L8,,,352.90,347.94,,,,,,,,,,,,,,,,,,341.53,330.89,,
2019-05-12 22:17:08.680000,L8,359.47,344.74,351.77,344.97,,,,,,,,,,,,,,,,,,339.16,326.98,,
2019-06-29 22:17:29.720000,L8,,,348.01,340.03,,,,,,,,,,,,,,,,,,339.20,329.11,,
2019-12-22 22:17:51.823000,L8,422.70,423.15,425.55,422.99,429.57,440.99,439.44,445.35,446.08,,,,,,,,,,,,,,,,
2020-01-07 22:17:47.735000,L8,404.76,407.17,408.56,410.44,420.20,417.65,414.83,448.11,449.14,,,,,,,,,,,,,419.39,409.06,,
2020-02-08 22:17:38.924000,L8,365.14,416.76,416.33,426.67,430.26,411.05,433.79,407.78,433.52,449.35,,,,,,,,,,,,436.60,427.94,,
2020-02-24 22:17:35.189000,L8,367.99,352.28,354.98,348.03,,,,,,,,,,,,,,,,,,343.74,334.23,,
2020-03-11 22:17:28.877000,L8,422.19,417.19,352.62,344.82,384.66,381.73,398.88,394.58,376.18,409.20,,,,,,,,,,,,341.57,384.92,,
2020-03-27 22:17:20.128000,L8,,,,331.04,363.26,369.23,,,,,,,,,,,,,,,,345.52,334.61,,
2020-04-12 22:17:12.700000,L8,359.54,348.07,351.93,343.67,,,,,,,,,,,,,,,,,,340.36,326.87,,
2021-01-25 22:17:44.203000,L8,424.40,427.75,431.97,430.19,441.57,438.62,442.87,445.98,429.24,431.91,,,,,,,,,,,,438.08,432.86,,
2021-05-17 22:17:12.707000,L8,356.30,344.00,352.54,341.72,,,,,,,,,,,,,,,,,,340.16,330.03,,
2022-04-18 22:17:25.504000,L8,365.42,383.68,358.93,352.15,364.26,373.41,361.37,350.28,369.23,,,,,,,,,,,,,378.71,365.73,,
2023-09-12 22:17:38.225000,L8,415.93,418.96,,,,,,,,,,,,,,,,,,,,,,,
2024-02-19 22:17:39.652000,L8,432.93,433.58,423.35,419.37,370.64,378.96,,,,,,,,,,,,,,,,447.03,379.77,,
2024-03-30 22:17:36.478000,L9,413.45,416.22,420.36,424.27,377.37,,,,,,,,,,,,,,,,,389.63,388.61,,
2024-04-07 22:17:11.830000,L8,,,,,374.40,375.62,,,,,,,,,,,,,,,,352.53,382.67,,
2024-05-17 22:17:03.987000,L9,428.07,427.20,404.98,431.51,438.51,432.29,434.03,429.00,432.36,418.80,442.70,443.47,441.87,,,,,,,,,439.67,431.80,,
2025-01-12 22:17:45.559000,L9,423.42,421.55,,,,,,,,,,,,,,,,,,,,,,,
2025-02-13 22:17:46.901000,L9,415.44,348.78,352.89,345.02,,,,,,,,,,,,,,,,,,358.32,373.45,,
2025-03-01 22:17:39.455000,L9,349.10,344.56,351.62,345.92,,,,,,,,,,,,,,,,,,330.33,328.79,,
2025-03-09 22:17:26.663000,L8,424.28,417.50,414.52,413.51,425.23,411.44,429.17,419.39,405.41,439.86,440.27,436.81,436.19,,,,,,,,,397.59,424.28,,
2025-03-25 22:17:16.100000,L8,426.76,423.25,419.90,418.81,,,,,,,,,,,,,,,,,,,,,
