dates,satname,nzd0019-0000,nzd0019-0001,nzd0019-0002,nzd0019-0003,nzd0019-0004,nzd0019-0005,nzd0019-0006,nzd0019-0007,nzd0019-0008,nzd0019-0009,nzd0019-0010,nzd0019-0011
1999-08-17 22:10:26.276000,L7,435.75,,,,,,,,,,,
1999-11-21 22:10:24.244000,L7,,419.78,421.93,423.05,342.36,337.42,429.31,426.66,425.45,422.29,417.66,410.68
2000-02-09 22:10:19.398000,L7,403.68,401.92,410.45,414.80,435.17,437.92,426.90,419.23,415.43,409.70,404.10,395.52
2000-04-29 22:09:53.797000,L7,421.14,422.67,426.70,425.78,339.79,333.83,437.06,429.18,429.62,424.11,420.57,415.91
2000-05-15 22:09:42.527000,L7,,388.91,405.29,344.28,350.32,336.62,,,,,,
2000-08-03 22:08:44.137000,L7,436.98,410.55,406.17,394.64,,,,,,,,
2000-08-19 22:08:38.248000,L7,432.67,389.08,406.50,390.42,,,,,,,,
2000-09-04 22:08:22.800000,L7,,,406.70,363.10,377.26,366.02,,,,,,
2000-09-20 22:08:03.348000,L7,,394.66,390.20,401.57,418.49,425.01,413.42,404.28,408.73,396.29,396.36,379.10
2000-10-06 22:07:59.689000,L7,,399.88,412.06,418.14,429.77,335.21,,434.32,431.60,425.43,420.27,413.72
2000-11-07 22:07:53.532000,L7,433.24,428.55,414.69,341.50,344.87,339.24,,,,,,
2001-02-27 22:07:54.461000,L7,395.26,393.38,391.07,399.24,418.50,423.05,411.01,401.73,398.34,393.62,390.09,388.09
2001-03-15 22:07:52.114000,L7,,,381.89,403.44,417.68,425.22,409.46,407.58,395.53,409.52,394.24,387.53
2001-06-03 22:07:16.736000,L7,447.14,,,,,,,,,,,
2001-12-12 22:06:14.960000,L7,397.16,445.30,323.01,336.67,339.60,334.23,,,,,,
2002-01-29 22:06:21.478000,L7,,389.32,393.98,426.31,354.15,349.93,,427.85,399.20,401.33,389.97,367.17
2002-02-14 22:06:29.522000,L7,409.21,409.64,420.16,420.27,438.78,438.38,425.10,419.07,414.92,409.75,398.94,392.01
2002-10-12 22:05:14.598000,L7,397.40,435.09,415.34,337.86,337.74,328.57,,,,,361.61,443.93
2002-10-21 21:59:12.494000,L7,,375.57,371.72,384.87,398.02,404.96,392.81,406.36,412.02,431.58,,
2002-10-28 22:05:22.323000,L7,,399.29,402.83,401.04,425.86,428.10,417.85,412.57,411.49,405.91,393.11,389.39
2002-11-22 21:59:33.639000,L7,,376.65,378.17,387.24,413.43,412.98,432.91,,,,,
2002-12-31 22:05:56.221000,L7,,396.40,398.23,425.35,339.55,336.99,,,,,,
2003-01-16 22:06:02.914000,L7,422.63,440.48,438.05,,,,,,,,,
2003-03-21 22:06:15.912000,L7,414.24,409.90,416.24,418.05,,,428.62,421.22,413.16,409.97,411.75,397.41
2003-04-06 22:06:21.012000,L7,,407.20,341.19,423.59,344.22,338.54,417.44,423.63,423.05,408.56,400.93,399.17
2003-05-24 22:06:17.162000,L7,484.88,,,,,,,,,,,
2003-08-29 21:48:38.429000,L5,387.38,319.75,303.25,,,,,,,,,
2003-12-26 21:56:18.593000,L5,406.40,365.86,342.79,343.37,343.39,330.06,,,,,,
2004-05-18 21:58:14.785000,L5,395.98,358.75,339.33,330.82,326.65,309.84,,,,,,
2004-08-06 22:00:22.463000,L5,380.25,337.98,307.46,,,,,,,,,
2004-09-16 21:55:17.605000,L5,371.96,323.92,308.06,313.63,328.02,318.26,,,,,,
2004-10-18 21:55:59.918000,L5,376.94,326.03,310.35,316.28,323.56,316.26,,,,,,
2004-11-03 21:56:19.004000,L5,379.60,324.38,305.30,308.32,319.13,,,,,,,
2005-01-13 22:03:41.143000,L5,411.51,363.29,340.15,336.39,342.04,328.36,,,,,,
2005-02-14 22:04:09.465000,L5,369.66,330.50,,,,,,,,,,
2005-02-23 21:58:07.648000,L5,376.94,326.53,310.37,312.33,319.70,,,,,,,
2005-03-02 22:04:24.338000,L5,395.09,363.42,345.34,340.88,339.04,327.55,,,,,,
2005-04-03 22:04:40.528000,L5,413.65,361.63,341.20,336.70,338.56,328.95,,,,,,
2005-04-19 22:04:43.597000,L5,369.52,326.77,,,,,,,,,,
2005-06-06 22:05:05.724000,L5,389.03,345.33,323.32,304.66,303.42,,,,,,,
2005-07-08 22:05:15.796000,L5,409.44,369.14,365.66,365.18,381.35,379.62,365.01,369.67,361.64,,338.05,334.03
2005-08-25 22:05:41.221000,L5,402.78,356.63,343.04,342.67,347.71,333.15,,,,,,
2005-09-03 21:59:32.312000,L5,375.28,318.11,301.77,,,,,,,,,
2005-09-26 22:05:42.687000,L5,399.31,362.89,344.56,345.17,344.80,334.66,,,,,,
2005-11-22 21:59:59.141000,L5,395.13,328.82,306.90,306.21,318.92,,,,,,,
2006-02-17 22:08:11.136000,L5,401.20,360.34,341.14,334.53,338.78,327.17,,,,,,
2006-04-06 22:09:08.139000,L5,400.10,361.71,340.51,336.86,338.01,328.79,,,,,,
2006-06-25 22:10:20.606000,L5,405.84,366.45,350.01,344.75,351.62,343.19,,,,,,
2006-08-12 22:10:59.603000,L5,405.57,362.18,338.60,323.33,,,,,,,,
2006-08-28 22:11:11.674000,L5,408.19,359.31,341.40,338.79,346.91,338.62,,,,,,
2006-09-29 22:11:34.525000,L5,399.46,367.66,366.78,363.64,373.50,349.05,337.25,331.04,331.26,,,
2006-10-24 22:05:38.832000,L5,387.89,326.10,309.90,311.29,322.00,318.80,,,,,,
2006-11-25 22:06:19.953000,L5,330.58,316.33,326.49,332.28,334.32,,,,,,,
2006-12-02 22:12:34.352000,L5,375.49,354.39,354.88,355.29,349.59,327.14,341.47,,,,,
2006-12-11 22:06:28.205000,L5,322.91,339.83,353.92,352.67,343.90,394.78,,,,,,
2007-01-03 22:12:49.248000,L5,363.45,356.51,363.66,354.83,371.52,355.11,355.96,,,,,
2007-01-19 22:12:30.924000,L5,398.93,363.99,348.34,348.58,351.43,338.66,324.18,,,,,
2007-02-13 22:06:23.395000,L5,371.87,318.60,,,,,,,,,,
2007-10-02 22:10:31.289000,L5,389.76,357.12,341.47,339.17,331.70,327.88,,,,,,
2008-11-21 22:01:05.982000,L5,406.48,360.37,345.21,344.65,343.00,336.47,,,,,,
2009-01-01 21:56:07.642000,L5,389.72,317.85,,,,,,,,,,
2009-01-24 22:02:55.057000,L5,409.44,360.73,335.64,329.57,329.53,326.95,,,,,,
2010-01-27 22:08:26.527000,L5,407.09,361.59,338.15,328.35,335.15,329.04,,,,,,
2010-02-05 22:02:17.935000,L5,388.82,316.97,298.73,,,,,,,,,
2010-02-12 22:08:30.110000,L5,402.65,359.91,337.74,328.54,334.91,331.18,,,,,,
2010-10-03 22:01:28.836000,L5,379.45,308.00,,,,,,,,,,
2010-10-10 22:07:36.102000,L5,380.03,340.95,325.38,320.80,320.44,,,,,,,
2011-01-14 22:07:31.728000,L5,410.58,361.09,340.22,331.53,336.55,335.06,,,,,,
2013-04-25 22:19:21.025000,L8,384.35,349.99,312.46,,,,,,,,,
2013-05-11 22:19:31.249000,L8,396.97,362.57,357.89,351.71,352.53,348.23,,,,,,
2013-06-28 22:19:33.252000,L8,402.94,368.15,363.54,356.58,381.60,382.93,,,,,,342.70
2013-07-14 22:19:34.707000,L8,403.32,367.91,364.34,356.45,381.05,386.66,358.98,362.51,361.31,,,
2013-08-31 22:19:38.558000,L8,400.09,364.44,360.73,355.81,378.02,349.17,,,,,,
2013-10-02 22:19:28.820000,L8,396.82,364.63,358.39,356.10,377.87,352.21,,,,,,
2013-10-18 22:19:25.762000,L8,397.67,364.44,359.36,355.52,378.46,349.49,,,,,,
2013-11-03 22:19:20.378000,L8,390.85,360.37,358.34,353.52,344.30,345.21,,,,,,
2013-12-05 22:19:13.005000,L8,389.11,364.02,352.52,349.93,347.07,348.02,,,,,,
2014-01-06 22:18:54.881000,L8,388.68,361.09,355.40,345.85,338.79,342.46,,,,,,
2014-02-07 22:18:33.391000,L8,392.77,362.21,361.24,352.71,342.40,342.02,,,,,,
2014-02-23 22:18:20.398000,L8,389.12,362.79,359.45,344.25,339.60,337.51,,,,,,
2014-03-27 22:17:50.001000,L8,392.90,359.07,347.86,348.82,338.12,338.00,,,,,,
2014-04-12 22:17:37.464000,L8,395.17,365.26,360.91,354.06,381.25,376.36,,,,,,338.92
2014-04-28 22:17:22.576000,L8,382.70,346.02,311.62,307.15,,,,,,,,
2014-05-14 22:17:08.923000,L8,395.88,363.86,360.37,354.26,355.91,346.81,,,,,,
2014-05-30 22:17:11.184000,L8,379.53,342.95,306.79,,,,,,,,,
2014-07-01 22:17:22.417000,L8,397.73,364.88,356.90,355.13,359.40,349.39,,,,,,
2014-07-17 22:17:28.260000,L8,405.30,361.82,360.54,352.71,344.01,374.69,,,,,,
2015-01-25 22:17:32.812000,L8,397.02,366.77,366.55,349.40,342.96,339.48,,,,,,
2015-02-10 22:17:27.012000,L8,398.52,366.39,369.70,359.92,350.28,,,,,,,
2015-07-04 22:17:02.361000,L8,378.80,345.53,305.04,,,,,,,,,
2015-07-20 22:17:10.706000,L8,378.87,344.41,308.07,,,,,,,,,
2015-08-05 22:17:13.094000,L8,377.96,339.06,301.43,,,,,,,,,
2015-09-06 22:17:26.976000,L8,400.59,368.65,366.43,359.03,381.15,384.86,,,,,,345.39
2015-10-24 22:17:40.820000,L8,392.50,363.79,363.80,354.80,350.24,347.20,,,,,,
2015-12-11 22:17:42.627000,L8,390.94,364.44,364.66,356.30,381.31,348.56,,,,,,
2015-12-27 22:17:43.409000,L8,390.55,360.31,360.72,343.69,338.18,339.29,,,,,,
2016-01-12 22:17:40.472000,L8,389.90,359.07,362.66,344.99,341.08,343.79,,,,,,
2016-01-28 22:17:39.790000,L8,372.45,342.46,302.39,,,,,,,,,
2016-05-19 22:17:11.230000,L8,377.87,342.08,301.49,,,,,,,,,
2016-08-07 22:17:37.552000,L8,394.71,363.23,362.59,351.26,345.25,374.24,,,,,,337.90
2016-09-08 22:17:48.858000,L8,382.08,348.64,308.18,310.54,,,,,,,,
2016-09-24 22:17:49.840000,L8,393.57,363.87,361.11,356.46,378.85,348.23,,,,,,
2016-10-10 22:17:54.274000,L8,395.57,363.29,364.06,357.07,351.51,346.47,,,,,,
2016-10-26 22:17:56.874000,L8,391.29,362.02,360.02,354.88,343.53,344.27,,,,,,
2017-01-30 22:17:38.957000,L8,394.94,363.83,362.79,350.01,343.62,348.54,,,,,,
2017-03-19 22:17:15.956000,L8,376.04,348.03,304.31,,,,,,,,,
2017-05-06 22:16:55.401000,L8,398.92,366.97,367.46,361.51,385.71,373.99,,,,,,343.97
2017-06-07 22:17:15.240000,L8,399.86,366.35,364.35,357.95,344.32,381.06,,,,,,
2017-07-09 22:17:23.906000,L8,404.21,369.17,367.44,361.71,355.20,388.03,,,,,,
2017-08-10 22:17:37.375000,L8,382.24,346.19,309.67,,,,,,,,,
2017-09-27 22:17:48.664000,L8,394.61,364.79,359.67,355.29,344.69,346.10,,,,,,
2017-11-30 22:17:44.511000,L8,397.63,366.38,365.33,358.58,383.11,347.60,,,,,,
2018-02-18 22:17:22.771000,L8,390.10,365.92,362.60,350.45,343.43,346.32,,,,,,
2018-04-07 22:16:59.037000,L8,391.61,367.13,367.32,360.08,384.07,383.78,,,,,,341.88
2018-05-09 22:16:40.331000,L8,389.25,361.11,347.10,335.80,336.19,338.23,,,,,,
2018-05-25 22:16:28.178000,L8,381.32,347.86,309.91,306.68,,,,,,,,
2018-06-26 22:16:36.823000,L8,396.62,365.12,362.54,348.22,340.20,339.65,,,,,,
2018-11-01 22:17:30.804000,L8,399.82,364.53,365.28,357.03,382.16,376.63,,,,,,
2018-11-17 22:17:31.986000,L8,393.01,369.55,367.51,372.79,386.68,382.16,375.26,365.37,342.83,368.10,358.20,349.33
2018-12-19 22:17:28.292000,L8,394.41,364.42,363.04,359.83,343.35,347.94,,,,,,
2019-01-04 22:17:27.803000,L8,390.29,364.35,361.98,361.35,340.76,343.94,,,,,,
2019-02-05 22:17:21.574000,L8,390.60,363.43,362.92,348.65,339.23,343.37,,,,,,
2019-03-25 22:17:09.739000,L8,391.30,364.76,365.02,361.28,339.82,379.26,,,,,,
2019-04-26 22:16:59.330000,L8,371.14,339.04,,,,,,,,,,
2019-05-12 22:17:08.680000,L8,403.34,369.13,368.61,366.24,386.89,389.05,369.11,367.98,362.52,,,
2019-05-28 22:17:17.913000,L8,379.89,342.38,302.22,,,,,,,,,
2019-06-29 22:17:29.720000,L8,378.85,358.61,328.29,320.85,,,,,,,,
2019-07-31 22:17:38.893000,L8,384.86,355.40,318.39,315.22,,,,,,,,
2019-08-16 22:17:44.396000,L8,392.84,364.84,362.10,355.80,340.75,342.85,,,,,,
2019-11-04 22:17:58.697000,L8,392.80,367.15,368.11,365.77,387.03,358.39,370.06,369.37,362.27,362.33,,
2019-11-20 22:17:54.950000,L8,394.89,368.48,368.87,366.21,390.77,388.63,367.14,363.89,327.35,364.40,,
2020-01-07 22:17:47.735000,L8,392.41,365.52,368.43,361.91,386.18,389.38,368.17,370.92,362.12,,,
2020-01-23 22:17:43.927000,L8,392.27,367.40,367.27,365.67,386.90,389.76,,,,,,
2020-02-08 22:17:38.924000,L8,391.23,366.51,367.33,364.26,387.17,388.64,,,,,,348.76
2020-02-24 22:17:35.189000,L8,390.62,365.36,367.78,365.60,364.81,384.91,,,,,,350.02
2020-03-11 22:17:28.877000,L8,390.25,364.10,366.66,363.28,385.71,385.00,,,,,,340.91
2020-03-27 22:17:20.128000,L8,388.76,364.57,365.58,351.07,340.47,367.50,,,,,,
2020-04-28 22:17:04.952000,L8,393.12,368.55,370.47,370.43,389.87,389.52,372.78,371.29,367.55,364.22,,
2020-07-01 22:17:22.957000,L8,408.95,375.65,369.50,371.18,390.06,390.53,371.79,369.88,368.14,364.65,353.34,347.48
2020-08-18 22:17:38.586000,L8,379.87,343.41,304.01,308.08,,,,,,,,
2020-09-03 22:17:46.393000,L8,394.41,363.81,362.84,360.07,381.85,360.09,,,,,,
2020-09-19 22:17:52.015000,L8,390.31,360.67,358.08,349.27,339.60,337.90,,,,,,
2021-01-09 22:17:48.906000,L8,388.91,362.84,363.56,361.01,357.21,337.67,,,,,,
2021-01-25 22:17:44.203000,L8,387.93,364.54,365.96,363.59,340.85,340.73,,,,,,
2021-02-26 22:17:35.944000,L8,396.99,367.23,369.37,369.24,388.47,391.10,,,,,357.61,348.96
2021-03-14 22:17:26.977000,L8,386.22,361.21,361.62,333.86,336.13,334.61,,,,,,
2021-03-30 22:17:22.624000,L8,391.15,365.66,365.02,364.01,383.21,377.09,,,,,,
2021-04-15 22:17:16.883000,L8,388.31,363.35,361.92,363.46,341.68,378.30,,,,,,
2021-05-01 22:17:07.841000,L8,389.21,363.69,365.37,364.00,343.53,384.08,,,,,,
2021-05-17 22:17:12.707000,L8,389.89,365.77,364.37,363.09,382.83,378.64,,,,,,
2021-05-26 22:11:07.110000,L8,377.11,338.43,324.93,339.19,336.23,363.40,,,,,,
2021-07-04 22:17:29.944000,L8,401.26,368.28,367.24,364.57,384.42,387.20,363.75,327.73,366.94,364.07,,343.12
2021-10-24 22:18:01.850000,L8,390.25,362.28,358.73,351.29,340.03,340.20,,,,,,
2021-11-25 22:17:57.047000,L8,398.72,369.22,366.04,379.57,387.15,358.24,379.30,375.27,373.03,370.90,363.28,362.77
