dates,nzd0019-0000,nzd0019-0001,nzd0019-0002,nzd0019-0003,nzd0019-0004,nzd0019-0005,nzd0019-0006,nzd0019-0007,nzd0019-0008,nzd0019-0011,nzd0019-0009,nzd0019-0010,satname
1999-08-17 22:10:26+00:00,,354.93,343.05,352.31,348.47,346.42,337.71,,,,,,L7
1999-11-21 22:10:24+00:00,,358.67,347.515,352.96000000000004,353.57500000000005,350.82500000000005,346.205,300.44,,,,,L7
2000-02-09 22:10:19+00:00,,358.67,347.515,352.96000000000004,353.57500000000005,350.82500000000005,353.2133333333333,304.0,,,,,L7
2000-04-29 22:09:53+00:00,,360.395,347.27,353.235,353.305,349.595,356.78999999999996,302.70666666666665,,,,,L7
2000-05-15 22:09:42+00:00,,337.55333333333334,313.38,353.235,353.305,349.595,356.78999999999996,302.70666666666665,,,,,L7
2000-08-03 22:08:44+00:00,,316.71,285.46,352.86,347.93,343.96,357.835,303.84000000000003,,,,,L7
2000-08-19 22:08:38+00:00,,321.395,288.73,338.77,343.505,343.96,348.44,300.12,,317.97,,,L7
2000-09-20 22:08:03+00:00,283.22,323.988,288.73,338.77,343.505,343.96,348.44,300.12,,317.97,,,L7
2000-10-06 22:07:59+00:00,268.545,323.988,288.73,338.77,343.505,343.96,348.44,300.12,,317.97,,,L7
2000-11-07 22:07:53+00:00,268.545,315.39000000000004,270.7866666666667,341.41499999999996,355.54999999999995,379.81,365.05,,,317.97,,,L7
2001-06-03 22:07:16+00:00,,306.21,247.62,,,,,,,,,,L7
2001-06-19 22:07:05+00:00,,307.89,264.09000000000003,,,,285.04,,,,,,L7
2002-01-29 22:06:21+00:00,,,,,361.8,357.34,312.7,302.81,,,,,L7
2002-06-22 22:06:03+00:00,,298.55,,,361.8,357.34,312.7,302.81,,,,,L7
2002-08-09 22:05:46+00:00,,298.55,290.95,,,,,,,,,,L7
2002-10-28 22:05:22+00:00,,298.55,292.645,,,,,,,,,,L7
2002-11-13 22:05:30+00:00,269.59,298.55,292.645,,,,,,,,,,L7
2002-12-31 22:05:56+00:00,269.59,,292.645,350.13,350.04,349.96,304.27,304.03,,329.53,,,L7
2003-01-16 22:06:02+00:00,269.59,,297.78666666666663,337.315,338.5,349.96,304.27,304.03,,329.53,,,L7
2003-03-21 22:06:15+00:00,269.59,,301.2049999999999,337.315,342.40333333333336,350.275,304.27,303.19,,329.53,,,L7
2003-05-08 22:06:20+00:00,276.30999999999995,297.46,293.61,337.315,342.40333333333336,350.275,304.27,303.19,,329.53,,,L7
2003-05-24 22:06:17+00:00,285.355,297.73,293.61,337.315,342.40333333333336,350.275,304.27,303.19,,329.53,,,L7
2003-07-28 21:48:04+00:00,285.355,302.40333333333336,279.15,,350.21,350.59,,302.35,,,,,L5
2003-08-29 21:48:38+00:00,285.355,312.12,302.635,325.6,340.745,338.65,310.44,301.475,,,,,L5
2003-09-30 21:49:06+00:00,285.355,312.12,312.53,331.8,338.03,336.645,317.34000000000003,317.45000000000005,188.74,,,,L5
2004-04-16 21:57:19+00:00,,353.12,331.33,321.42,318.96,300.85,304.23,,,,,,L5
2004-05-18 21:58:14+00:00,278.16,353.12,331.33,321.42,318.96,300.85,304.23,,,,,,L5
2004-06-12 21:52:47+00:00,315.865,353.12,331.33,321.42,318.96,300.85,304.23,,,,,,L5
2004-07-30 21:54:04+00:00,315.865,347.99,326.02,324.84000000000003,327.37,315.19500000000005,310.98,295.27,,,,,L5
2004-08-06 22:00:22+00:00,330.72333333333336,338.51,311.3766666666666,324.84000000000003,327.37,315.19500000000005,310.98,295.27,,,,,L5
2004-09-16 21:55:17+00:00,344.8225,340.05,315.8875,328.22333333333336,334.87999999999994,325.8433333333333,319.36333333333334,309.225,177.51,,,,L5
2004-10-18 21:55:59+00:00,354.244,338.135,315.47,332.7233333333333,342.5133333333333,339.02,324.54,307.41333333333336,179.14,,,,L5
2004-11-03 21:56:19+00:00,361.4116666666667,339.864,318.144,332.74,343.0225,338.3875,323.94,308.9175,179.73000000000002,,,,L5
2005-01-13 22:03:41+00:00,387.322,341.8533333333333,319.75333333333333,330.214,339.32,332.538,314.29200000000003,308.9175,179.73000000000002,,,,L5
2005-02-14 22:04:09+00:00,393.378,348.616,329.096,329.002,336.216,329.12600000000003,308.352,313.4666666666667,179.73000000000002,,,,L5
2005-02-23 21:58:07+00:00,393.40333333333336,348.21,329.2866666666667,329.395,336.69666666666666,329.17,305.91,307.9275,179.73000000000002,343.59,,,L5
2005-04-03 22:04:40+00:00,396.7633333333333,350.0133333333333,330.67,329.2366666666667,334.355,325.4433333333333,302.33,296.26,180.84000000000003,334.075,,267.47,L5
2005-04-19 22:04:43+00:00,398.50333333333333,351.25666666666666,331.6116666666667,329.25333333333333,333.79,322.105,299.4083333333333,287.28499999999997,180.91,328.82,,264.39,L5
2005-06-06 22:05:05+00:00,396.93333333333334,351.61833333333334,331.7133333333333,328.2633333333333,330.205,317.67333333333335,297.48499999999996,276.03749999999997,,325.2575,,257.98,L5
2005-08-25 22:05:41+00:00,387.61,340.1875,334.16,331.96999999999997,332.4533333333333,318.3433333333333,309.15999999999997,270.94666666666666,,319.1466666666667,,257.98,L5
2005-09-03 21:59:32+00:00,388.536,339.96,331.5375,329.89250000000004,333.095,320.935,305.3475,276.1125,,319.1466666666667,,257.98,L5
2005-09-26 22:05:42+00:00,389.09833333333336,342.6466666666667,333.088,331.86800000000005,334.54,321.922,308.786,283.502,,318.295,,260.58500000000004,L5
2006-02-17 22:08:11+00:00,382.0575,337.2075,331.29,329.0566666666667,334.01666666666665,322.1566666666667,305.9066666666667,302.33500000000004,,315.74,,268.4,L5
2006-05-08 22:09:38+00:00,376.375,332.745,308.27,296.85,326.71,311.89,301.27,,,,,,L5
2006-06-25 22:10:20+00:00,378.47333333333336,336.10999999999996,309.74,297.30333333333334,316.91999999999996,297.26,281.42999999999995,,,,,,L5
2006-08-28 22:11:11+00:00,381.02,336.06333333333333,310.2333333333333,299.41,322.24,304.72,284.01,,,,,,L5
2006-10-24 22:05:38+00:00,386.92,338.9825,315.775,308.2025,330.0266666666667,317.72,298.4066666666667,318.42,189.55,,,,L5
2006-11-25 22:06:19+00:00,384.29,344.5525,331.39,329.1525,330.0266666666667,320.64750000000004,313.0375,337.15999999999997,204.54000000000002,,,,L5
2006-12-02 22:12:34+00:00,380.832,344.866,334.538,332.82599999999996,333.425,320.14,317.46799999999996,337.15999999999997,197.82333333333335,,,,L5
2006-12-11 22:06:28+00:00,374.715,347.73499999999996,341.3616666666667,339.6716666666666,339.82,320.14,325.245,337.15999999999997,197.82333333333335,,,,L5
2007-01-03 22:12:49+00:00,370.1766666666667,348.8516666666667,348.8666666666666,347.8616666666667,351.294,334.73,340.0466666666667,337.15999999999997,197.6875,,,,L5
2007-01-19 22:12:30+00:00,372.7457142857143,349.4157142857143,347.00999999999993,346.0071428571428,348.76500000000004,332.70000000000005,335.7514285714286,337.15999999999997,197.6875,,,,L5
2007-02-13 22:06:23+00:00,375.25625,348.675,343.90999999999997,342.28,346.54714285714283,331.91571428571433,330.02875,321.92333333333335,194.726,,,,L5
2007-10-02 22:10:31+00:00,383.89,353.29,343.71,341.19,337.64,330.34,320.66,275.28,,,,,L5
2008-11-21 22:01:05+00:00,,349.93,334.67,334.24,331.73,323.33,321.26,283.49,,,,,L5
2009-01-24 22:02:55+00:00,399.61,350.28999999999996,330.02,326.6,325.185,317.575,300.275,283.49,,,,,L5
2010-01-27 22:08:26+00:00,397.71,352.36,329.14,319.49,326.1,317.15,307.45,266.57,,,,,L5
2010-02-12 22:08:30+00:00,395.6,351.665,329.115,319.945,326.05,317.64,306.815,261.385,,306.13,,236.98,L5
2010-11-27 22:07:24+00:00,390.86,351.59,337.77,332.63,331.98,329.96,321.87,224.82,,312.04,,,L5
2011-01-14 22:07:31+00:00,396.415,352.2,334.94,328.3,330.25,327.39,309.59000000000003,249.775,,312.04,,,L5
2011-02-15 22:07:34+00:00,398.9066666666667,351.18,331.5466666666667,319.7966666666667,324.27666666666664,322.62666666666667,304.0733333333333,255.66333333333333,,312.04,,,L5
2011-03-12 22:01:19+00:00,398.9066666666667,351.18,331.5466666666667,317.69,322.9675,322.3275,296.3725,261.7125,,312.04,,,L5
2013-04-25 22:19:21+00:00,394.39,366.77,357.04,363.19,383.0,378.66,356.9,303.09,196.04,343.17,,262.66,L8
2013-05-11 22:19:31+00:00,393.21500000000003,365.96500000000003,357.89,363.1,378.695,368.775,354.835,303.1,196.04,343.21000000000004,,261.425,L8
2013-06-28 22:19:33+00:00,393.68333333333334,365.31,354.35666666666674,360.2833333333333,372.32666666666665,363.75,352.9166666666667,303.32666666666665,196.04,342.77666666666664,,260.05,L8
2013-07-14 22:19:34+00:00,394.0325,365.435,356.51,359.71999999999997,369.6325,367.7575,354.2725,303.5275,196.04,342.90500000000003,,261.125,L8
2013-08-31 22:19:38+00:00,394.576,365.54200000000003,357.758,360.426,372.236,370.986,355.784,315.9,196.04,342.08000000000004,,260.36199999999997,L8
2013-10-02 22:19:28+00:00,394.79833333333335,365.55833333333334,357.60833333333335,360.30833333333334,371.2483333333333,369.06333333333333,356.64333333333326,323.76666666666665,196.04,342.1166666666666,,260.0116666666667,L8
2013-10-18 22:19:25+00:00,394.4342857142857,365.57,357.6657142857143,360.2628571428572,370.4614285714286,367.5228571428571,357.0585714285714,329.4642857142857,195.75,342.07000000000005,,259.86285714285714,L8
2013-11-03 22:19:20+00:00,393.7257142857143,364.7757142857143,357.05000000000007,359.1528571428571,365.92285714285714,363.7085714285714,357.55571428571426,337.90714285714284,195.46,341.95142857142855,,258.85285714285715,L8
2013-12-05 22:19:13+00:00,393.17142857142863,364.10714285714283,354.9771428571429,356.3542857142857,361.46999999999997,362.2928571428571,358.3533333333333,343.70666666666665,195.46,340.90285714285716,,258.63000000000005,L8
2014-01-06 22:18:54+00:00,391.99142857142857,363.69428571428574,355.4385714285714,354.2914285714286,358.4628571428571,360.8728571428571,360.20799999999997,351.69199999999995,195.46,340.5614285714286,,258.896,L8
2014-02-07 22:18:33+00:00,391.4714285714286,363.92857142857144,355.81428571428575,354.8985714285714,358.07,357.1014285714286,362.12399999999997,351.074,195.135,340.9842857142857,,258.096,L8
2014-02-23 22:18:20+00:00,391.28375,364.28125,356.9225,355.16625,357.22249999999997,356.24625000000003,362.71333333333337,348.535,194.44000000000003,341.51125,,257.34833333333336,L8
2014-03-27 22:17:50+00:00,390.95375,364.0125,356.16875000000005,354.495,353.235,352.46000000000004,361.2516666666667,338.05,194.5625,342.10875000000004,,257.55833333333334,L8
2014-04-12 22:17:37+00:00,390.37625,364.03375,356.65875,354.3875,355.27125,351.93625,359.8283333333334,327.83666666666664,194.528,342.2975,,256.7916666666667,L8
2014-04-28 22:17:22+00:00,390.34250000000003,363.66,355.35375000000005,353.15625,353.09000000000003,350.9675,353.75666666666666,317.50333333333333,194.295,342.0925,,255.38833333333335,L8
2014-05-14 22:17:08+00:00,390.51750000000004,364.07875,356.39125,353.8875,354.47625,354.38375,351.94666666666666,307.53499999999997,194.438,342.16375,,256.33833333333337,L8
2014-05-30 22:17:11+00:00,390.6288888888889,364.09333333333336,356.4266666666667,354.27,354.1144444444445,357.0422222222222,351.75999999999993,307.18571428571425,194.438,342.09222222222223,,257.0514285714286,L8
2014-07-01 22:17:22+00:00,391.34777777777776,364.81,358.22777777777776,356.64222222222224,357.79,358.06333333333333,351.51625,307.0275,195.1783333333333,342.7388888888889,,258.39125,L8
2014-07-17 22:17:28+00:00,390.8544444444444,363.8388888888889,356.46444444444444,358.69625,360.19624999999996,359.85125000000005,351.51625,307.0275,195.1783333333333,340.79999999999995,,258.39125,L8
2015-01-25 22:17:32+00:00,395.56,370.93,369.48,356.84,385.5,353.46,329.36,302.74,201.58,343.09,,261.09,L8
2015-07-04 22:17:02+00:00,393.03999999999996,366.145,359.435,354.43499999999995,365.935,351.04999999999995,312.385,302.74,201.58,338.89,,258.09,L8
2015-07-20 22:17:10+00:00,392.41,365.09999999999997,357.24666666666667,354.21666666666664,364.74666666666667,352.17,324.24666666666667,303.21000000000004,201.58,338.21999999999997,,257.24,L8
2015-08-05 22:17:13+00:00,385.31666666666666,355.6466666666667,351.13,352.905,354.37,351.525,321.69,303.68,,335.78499999999997,,255.31500000000003,L8
2015-09-06 22:17:26+00:00,388.97,359.4325,357.67,357.3833333333334,365.18333333333334,363.44,335.35333333333335,303.68,,339.54999999999995,365.54,259.6433333333334,L8
2015-10-24 22:17:40+00:00,389.65,360.746,359.71500000000003,357.66499999999996,362.78,361.3125,341.05,303.68,197.77,339.84,365.54,257.48,L8
2015-12-11 22:17:42+00:00,389.56,361.41,360.704,357.35,360.238,359.452,334.558,302.55,197.77,340.412,365.54,257.794,L8
2015-12-27 22:17:43+00:00,389.5942857142857,361.6171428571429,361.1616666666667,356.58666666666664,358.48333333333335,358.83166666666665,332.6983333333333,301.87666666666667,197.235,340.7783333333333,365.54,257.315,L8
2016-01-12 22:17:40+00:00,389.5657142857143,361.68285714285713,363.54,357.1033333333333,359.26666666666665,359.82666666666665,342.10999999999996,301.87666666666667,197.26666666666665,341.74333333333334,365.54,258.63166666666666,L8
2016-01-28 22:17:39+00:00,389.2742857142857,361.9271428571429,364.845,357.67833333333334,360.5916666666667,360.02666666666664,344.0466666666666,300.975,196.685,343.1366666666667,365.54,260.17,L8
2016-05-19 22:17:11+00:00,390.552,364.12,363.61600000000004,355.82800000000003,353.92199999999997,354.452,335.37,300.61333333333334,196.32333333333335,342.962,,259.106,L8
2016-08-07 22:17:37+00:00,391.68,363.98,356.065,354.235,349.525,353.47,332.235,301.475,,341.625,,254.33,L8
2016-09-08 22:17:48+00:00,388.0933333333333,360.7633333333333,341.41333333333336,354.235,349.525,353.47,332.235,301.475,,341.625,,254.33,L8
2016-09-24 22:17:49+00:00,389.4525,361.4925,346.315,356.07666666666665,359.66333333333336,353.97333333333336,341.31666666666666,322.74333333333334,196.76,341.8566666666666,,257.73333333333335,L8
2016-10-10 22:17:54+00:00,389.87,362.698,350.322,357.63,360.0425,360.6825,347.1175,333.65,197.23,341.6975,,257.4725,L8
2016-10-26 22:17:56+00:00,390.27666666666664,363.1933333333333,352.5133333333333,358.17400000000004,362.48400000000004,359.258,345.12,339.548,196.71666666666667,341.894,,257.136,L8
2017-01-30 22:17:38+00:00,389.68333333333334,363.00499999999994,352.0516666666667,357.13,362.806,359.67400000000004,351.49,352.63399999999996,195.77249999999998,342.098,,257.52000000000004,L8
2017-03-19 22:17:15+00:00,392.21000000000004,366.228,364.586,360.238,364.188,364.996,358.056,365.658,195.738,343.194,,258.106,L8
2017-05-06 22:16:55+00:00,392.17333333333335,367.5433333333333,367.46000000000004,361.8133333333333,365.45666666666665,362.85999999999996,361.5033333333334,366.75,194.26999999999998,344.72,,255.58333333333334,L8
2017-06-07 22:17:15+00:00,392.9125,368.06,367.405,363.0925,363.775,368.01750000000004,358.885,366.75,194.63333333333333,344.1575,,256.35,L8
2017-07-09 22:17:23+00:00,393.736,368.164,367.47200000000004,362.88599999999997,362.558,370.774,358.386,366.5133333333333,194.70499999999998,343.86199999999997,,257.28599999999994,L8
2017-09-27 22:17:48+00:00,395.11749999999995,369.155,367.47,365.1825,372.5725,374.93,355.69,366.21500000000003,195.9466666666667,343.32500000000005,,259.3025,L8
2018-02-18 22:17:22+00:00,395.46,370.07,364.61,365.09,367.115,368.11,356.07000000000005,366.39,198.285,342.385,,257.68,L8
2018-04-07 22:16:59+00:00,392.1,370.66,371.21,367.32,349.16,369.95000000000005,361.115,369.09,198.70499999999998,343.15999999999997,,253.225,L8
2018-05-09 22:16:40+00:00,387.57000000000005,362.135,371.21,367.32,349.16,369.95000000000005,361.115,369.09,198.70499999999998,343.15999999999997,,253.225,L8
2018-05-25 22:16:28+00:00,393.24333333333334,366.46000000000004,372.85,371.055,371.89,377.7,366.46333333333337,371.075,198.70499999999998,344.3566666666666,366.75,253.225,L8
2018-06-26 22:16:36+00:00,394.99,368.21750000000003,372.6333333333334,371.3866666666667,378.4866666666667,380.83000000000004,366.68,370.93333333333334,198.70499999999998,344.1975,366.75,258.3966666666667,L8
2018-12-19 22:17:28+00:00,399.05,371.63,370.86,371.345,390.84000000000003,388.845,370.28,370.80499999999995,,346.415,365.36,270.08000000000004,L8
2019-01-04 22:17:27+00:00,394.49,370.235,368.79499999999996,370.4,370.075,371.005,371.305,369.09000000000003,,348.375,365.36,265.255,L8
2019-02-05 22:17:21+00:00,393.1266666666667,368.84,367.8233333333333,364.3333333333333,361.84999999999997,363.8500000000001,345.31,345.6666666666667,,346.52666666666664,365.36,260.56,L8
2019-03-25 22:17:09+00:00,392.4575,368.2625,367.60249999999996,362.1425,357.11,359.37,332.015,325.675,,345.315,365.36,259.1475,L8
2019-04-26 22:16:59+00:00,391.782,367.88,367.63,362.726,354.312,356.86400000000003,323.912,311.93600000000004,,344.526,365.36,257.254,L8
2019-05-12 22:17:08+00:00,391.8183333333333,367.8233333333333,367.62166666666667,363.53,353.1666666666667,356.6266666666667,328.30833333333334,309.92333333333335,193.26,344.2816666666667,365.36,257.27,L8
2019-05-28 22:17:17+00:00,391.9342857142857,368.0728571428572,365.4157142857143,364.3142857142857,352.7342857142857,359.96285714285716,332.63571428571424,308.67857142857144,193.26,343.79714285714283,365.36,257.05428571428575,L8
2019-06-29 22:17:29+00:00,390.945,369.2242857142857,367.8157142857143,365.7914285714286,354.36,361.9914285714286,334.4842857142857,298.29833333333335,193.26,343.4814285714286,374.9,257.25857142857143,L8
2019-07-31 22:17:38+00:00,392.5783333333333,369.5314285714286,368.5428571428571,366.29571428571427,360.4942857142857,366.8885714285714,334.52714285714285,284.514,193.26,343.1528571428571,370.155,258.7685714285714,L8
2019-08-16 22:17:44+00:00,390.63333333333327,367.3142857142857,368.9866666666667,368.645,363.01000000000005,369.78,341.39500000000004,280.9375,193.26,343.20666666666665,370.155,260.035,L8
2019-11-04 22:17:58+00:00,391.04400000000004,368.00666666666666,369.906,372.178,376.18999999999994,381.73199999999997,366.992,300.53499999999997,194.20999999999998,343.92199999999997,370.155,262.33000000000004,L8
2019-11-20 22:17:54+00:00,390.80500000000006,368.1,378.20799999999997,373.335,390.21799999999996,392.41600000000005,375.44200000000006,301.21,195.16,344.1375,370.155,263.57500000000005,L8
2020-01-23 22:17:43+00:00,390.4875,365.59250000000003,379.90999999999997,370.5233333333333,386.54999999999995,391.3025,377.48,298.1,195.16,345.1366666666666,365.41,258.17333333333335,L8
2020-02-08 22:17:38+00:00,388.18,365.10499999999996,379.40250000000003,369.46999999999997,375.4475,391.20500000000004,381.38000000000005,299.44500000000005,196.06,346.9533333333334,,253.24,L8
2020-02-24 22:17:35+00:00,391.04499999999996,370.245,377.812,370.03,370.054,389.692,378.46333333333337,299.44500000000005,195.54333333333332,348.225,,253.7275,L8
