dates,satname,nzd0022-0000,nzd0022-0001,nzd0022-0006,nzd0022-0002,nzd0022-0003,nzd0022-0004,nzd0022-0005
1999-08-17 22:10:26.276000,L7,205.08,79.05,301.00,,,,
1999-10-04 22:10:38.131000,L7,140.44,,,,,,
2000-02-09 22:10:19.398000,L7,,,306.11,,,,
2000-10-06 22:07:59.689000,L7,263.96,,,,,,
2002-02-14 22:06:29.522000,L7,,,311.14,317.92,321.82,322.45,314.74
2002-10-21 21:59:12.494000,L7,329.74,324.82,363.54,341.24,338.40,329.26,361.45
2002-10-28 22:05:22.323000,L7,270.66,,,,,,
2002-11-13 22:05:30.425000,L7,371.87,420.65,396.94,405.59,427.12,440.70,401.58
2002-11-22 21:59:33.639000,L7,,,396.42,366.11,384.62,411.35,419.48
2002-12-31 22:05:56.221000,L7,,,317.66,319.05,323.34,326.17,318.30
2003-03-21 22:06:15.912000,L7,257.23,110.66,,,,,
2003-12-26 21:56:18.593000,L5,,,305.37,,,,
2005-02-23 21:58:07.648000,L5,,,323.09,,,310.96,312.64
2006-11-25 22:06:19.953000,L5,317.05,310.97,379.13,333.45,341.09,362.63,367.99
2006-12-02 22:12:34.352000,L5,,,326.28,,,,332.55
2007-01-03 22:12:49.248000,L5,365.28,357.55,389.77,378.71,389.86,388.43,383.45
2013-08-31 22:19:38.558000,L8,,,328.13,324.07,327.21,332.46,326.13
2013-10-02 22:19:28.820000,L8,324.11,314.43,337.25,330.40,334.94,343.28,339.93
2013-10-18 22:19:25.762000,L8,320.60,310.17,333.48,327.60,331.14,335.05,333.37
2013-11-03 22:19:20.378000,L8,84.00,326.33,366.44,343.00,342.61,351.66,361.47
2013-12-05 22:19:13.005000,L8,333.26,319.35,344.74,338.41,339.36,340.04,351.29
2014-01-06 22:18:54.881000,L8,321.17,311.10,332.41,326.83,327.90,334.72,332.91
2014-02-07 22:18:33.391000,L8,197.03,306.96,331.45,325.47,328.12,331.27,326.76
2014-02-23 22:18:20.398000,L8,,,322.58,319.58,322.51,324.50,323.38
2014-03-27 22:17:50.001000,L8,328.43,317.66,339.12,331.96,335.15,344.11,340.44
2014-04-12 22:17:37.464000,L8,327.18,316.21,337.54,332.14,334.45,342.11,339.90
2014-04-28 22:17:22.576000,L8,,,318.89,319.96,324.28,330.62,320.29
2014-05-14 22:17:08.923000,L8,,,315.05,318.68,322.30,323.35,318.93
2015-01-25 22:17:32.812000,L8,322.04,310.92,332.28,323.83,325.47,334.14,332.34
2015-09-06 22:17:26.976000,L8,329.80,323.45,342.45,338.38,338.61,345.63,345.08
2015-10-24 22:17:40.820000,L8,,,329.78,324.16,328.76,335.78,326.73
2015-12-11 22:17:42.627000,L8,331.11,315.87,344.97,334.57,339.42,342.67,347.70
2015-12-27 22:17:43.409000,L8,318.74,308.64,332.03,322.31,326.37,331.01,330.16
2016-01-12 22:17:40.472000,L8,322.80,310.31,331.51,326.11,328.16,336.51,330.54
2016-01-28 22:17:39.790000,L8,322.26,311.57,329.35,326.55,333.79,335.25,332.48
2016-09-08 22:17:48.858000,L8,321.68,312.55,331.49,326.45,331.67,335.43,331.06
2016-09-24 22:17:49.840000,L8,323.85,318.99,335.03,333.18,335.90,341.52,339.57
2016-10-10 22:17:54.274000,L8,437.13,332.73,362.14,346.98,347.38,354.97,364.64
2016-10-26 22:17:56.874000,L8,319.30,310.43,331.59,324.95,330.29,336.70,330.15
2017-01-30 22:17:38.957000,L8,324.49,313.29,339.06,327.59,329.74,337.44,340.56
2017-03-19 22:17:15.956000,L8,323.13,314.16,334.03,327.86,332.38,339.73,333.97
2017-05-06 22:16:55.401000,L8,331.49,319.26,340.36,336.61,336.62,344.25,343.69
2017-07-09 22:17:23.906000,L8,,,316.87,318.91,321.84,321.30,318.31
2017-09-27 22:17:48.664000,L8,324.08,312.96,333.88,330.84,330.78,333.54,335.40
2018-02-18 22:17:22.771000,L8,336.60,328.97,340.25,344.10,340.05,348.82,343.20
2018-04-07 22:16:59.037000,L8,330.58,318.00,338.17,335.41,336.41,342.73,341.24
2018-05-09 22:16:40.331000,L8,,,318.68,320.61,322.78,326.19,317.67
2018-05-25 22:16:28.178000,L8,,,328.32,327.37,329.04,335.00,326.12
2018-11-01 22:17:30.804000,L8,330.46,322.29,356.70,336.88,342.39,349.98,352.00
2018-12-19 22:17:28.292000,L8,326.30,316.08,337.10,331.57,334.29,341.51,337.68
2019-01-04 22:17:27.803000,L8,333.36,322.52,348.95,333.27,340.31,347.91,350.55
2019-02-05 22:17:21.574000,L8,323.02,311.73,335.99,327.46,330.55,337.42,336.91
2019-03-25 22:17:09.739000,L8,330.20,317.50,339.69,335.88,334.62,343.07,346.64
2019-04-26 22:16:59.330000,L8,319.92,309.75,331.91,325.05,329.12,337.66,328.88
2019-05-28 22:17:17.913000,L8,327.81,317.44,335.69,333.49,336.43,343.82,341.84
2019-11-04 22:17:58.697000,L8,85.42,322.12,362.69,335.97,340.90,349.82,357.79
2019-11-20 22:17:54.950000,L8,,,329.73,319.32,323.08,327.76,323.33
2019-12-22 22:17:51.823000,L8,331.21,321.86,361.04,336.68,340.59,348.99,355.53
2020-01-07 22:17:47.735000,L8,,,322.12,,,,320.48
2020-01-23 22:17:43.927000,L8,318.10,308.94,336.35,321.62,326.74,337.28,337.42
2020-02-24 22:17:35.189000,L8,320.47,312.48,339.05,325.62,329.95,338.31,338.66
2020-03-11 22:17:28.877000,L8,,,333.58,322.54,332.15,332.87,332.38
2020-03-27 22:17:20.128000,L8,,,328.54,317.97,323.51,328.41,326.97
2020-09-03 22:17:46.393000,L8,318.93,312.84,332.66,324.91,330.26,336.68,331.93
2020-09-19 22:17:52.015000,L8,334.31,327.40,344.45,341.28,341.53,350.58,355.41
2021-01-09 22:17:48.906000,L8,320.03,310.64,334.95,326.63,328.40,338.23,332.56
2021-01-25 22:17:44.203000,L8,346.79,335.84,373.70,349.39,347.98,355.66,366.06
2021-03-14 22:17:26.977000,L8,,,329.61,322.42,323.88,325.81,323.96
2021-03-30 22:17:22.624000,L8,,,326.07,321.44,321.10,322.86,321.13
2021-05-01 22:17:07.841000,L8,320.61,310.48,332.61,327.03,329.09,331.93,333.80
2021-05-26 22:11:07.110000,L8,,,322.35,,,320.07,316.71
2021-10-24 22:18:01.850000,L8,340.29,330.07,341.75,340.86,340.81,346.62,347.83
2021-12-19 22:17:52.616000,L9,,,324.14,323.68,324.52,323.59,324.58
2022-02-21 22:17:43.336000,L9,,,318.77,321.56,322.93,330.93,323.56
