dates,satname,nzd0025-0000,nzd0025-0014,nzd0025-0015,nzd0025-0058,nzd0025-0059,nzd0025-0001,nzd0025-0002,nzd0025-0003,nzd0025-0004,nzd0025-0005,nzd0025-0006,nzd0025-0007,nzd0025-0008,nzd0025-0009,nzd0025-0010,nzd0025-0011,nzd0025-0012,nzd0025-0013,nzd0025-0023,nzd0025-0024,nzd0025-0025,nzd0025-0026,nzd0025-0027,nzd0025-0028,nzd0025-0029,nzd0025-0030,nzd0025-0031,nzd0025-0032,nzd0025-0033,nzd0025-0034,nzd0025-0035,nzd0025-0036,nzd0025-0037,nzd0025-0038,nzd0025-0039,nzd0025-0040,nzd0025-0041,nzd0025-0042,nzd0025-0043,nzd0025-0044,nzd0025-0045,nzd0025-0046,nzd0025-0047,nzd0025-0089,nzd0025-0090,nzd0025-0091,nzd0025-0092,nzd0025-0093,nzd0025-0016,nzd0025-0017,nzd0025-0018,nzd0025-0019,nzd0025-0020,nzd0025-0021,nzd0025-0022,nzd0025-0071,nzd0025-0072,nzd0025-0073,nzd0025-0074,nzd0025-0075,nzd0025-0085,nzd0025-0086,nzd0025-0087,nzd0025-0048,nzd0025-0049,nzd0025-0050,nzd0025-0051,nzd0025-0052,nzd0025-0053,nzd0025-0054,nzd0025-0055,nzd0025-0056,nzd0025-0057,nzd0025-0060,nzd0025-0061,nzd0025-0062,nzd0025-0063,nzd0025-0076,nzd0025-0077,nzd0025-0078,nzd0025-0079,nzd0025-0080,nzd0025-0081,nzd0025-0082,nzd0025-0083,nzd0025-0084,nzd0025-0088,nzd0025-0094,nzd0025-0095,nzd0025-0064,nzd0025-0065,nzd0025-0066,nzd0025-0067,nzd0025-0068,nzd0025-0069,nzd0025-0070
1999-10-04 22:10:38.131000,L7,,,,314.33,369.06,324.31,365.68,382.69,,,,,,,,,,,,318.88,327.49,315.22,297.11,303.37,293.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.93,,,,,,,,,,,,,,,,,,,,,,,
1999-11-21 22:10:24.244000,L7,,276.69,277.09,,,,397.58,306.19,292.48,269.64,,,,,290.41,267.29,267.58,271.38,,,,,,,,,,,,,,,,,,,,,,,,,,,445.53,435.64,457.60,415.26,268.93,262.63,278.44,254.61,269.62,267.70,,,,,,,,,,,,,,,,,,,,,,,422.78,,,,,407.92,419.77,407.11,406.54,,,,,392.65,448.59,,,,,
2000-09-20 22:08:03.348000,L7,,,,317.46,314.47,,338.14,365.95,388.80,380.46,355.74,353.07,339.80,,,,,,,,,,,,,305.76,322.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-22 22:07:50.487000,L7,345.94,312.63,332.98,387.16,380.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-07 22:06:11.116000,L7,332.94,,,,,347.27,334.05,341.59,309.72,309.91,310.83,305.48,306.95,280.00,300.27,315.55,295.45,366.21,282.13,300.12,314.51,303.49,317.78,309.52,271.68,303.31,244.22,283.47,307.18,302.16,299.73,295.06,299.53,299.27,306.61,286.60,299.92,332.28,325.26,322.41,348.98,317.66,310.10,445.08,391.95,357.85,437.93,377.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-23 22:06:03.238000,L7,324.70,277.32,297.56,,,328.31,326.70,321.99,326.59,336.81,333.30,329.28,336.73,337.27,320.56,268.37,262.65,276.22,311.48,315.17,269.27,327.48,330.54,291.29,324.53,242.20,304.31,286.53,340.50,,,,,,,,,,,,,,,,,,,,292.24,285.71,264.33,283.00,272.04,270.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-24 22:05:50.655000,L7,,,,,348.33,381.85,364.51,367.05,377.39,,,,,308.81,327.82,342.17,,,,,351.47,298.76,351.10,344.67,346.80,,351.06,344.61,352.63,351.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.00,349.96,,,,,,,,,,,,,,,,,,,,,
2002-10-28 22:05:22.323000,L7,321.72,,,,,349.33,341.43,337.21,311.69,324.20,328.50,295.35,277.81,295.93,293.69,300.04,291.13,291.41,309.09,263.90,285.86,294.14,295.23,306.94,276.86,241.51,271.84,290.68,,,,,,,,,,,,,,,,,,,,,,269.95,286.35,257.78,286.53,298.84,312.22,324.67,340.98,330.82,306.66,300.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-13 22:05:30.425000,L7,,338.64,317.55,,,,341.13,337.31,357.28,364.45,356.46,355.28,350.57,332.71,328.21,339.22,345.24,342.18,344.83,335.07,321.09,314.37,312.02,312.61,314.02,312.73,334.59,347.95,330.69,327.93,297.13,,,,,307.42,323.34,332.13,326.99,317.05,322.47,329.23,331.49,,373.42,412.43,420.15,392.11,338.56,,,,,380.66,366.28,405.31,398.44,403.65,405.81,384.78,392.33,,,342.04,303.79,345.27,381.00,,,,,,,356.79,359.98,383.23,392.36,411.52,,,,,,394.99,435.96,414.26,,404.96,395.90,364.38,361.04,367.83,381.95,388.08,,
2002-12-31 22:05:56.221000,L7,301.06,340.96,354.72,,,300.77,297.41,284.10,281.19,279.34,278.95,284.79,281.54,272.98,302.56,,,366.68,279.51,272.90,376.21,333.33,343.66,272.74,,,,,,,,,,,,,,,,,,,,,,,,,262.36,258.86,253.77,257.37,277.77,288.42,280.61,,426.21,382.24,397.81,,437.41,390.88,340.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-16 22:06:02.914000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.65,406.41,,,,358.32,357.32,335.61,332.09,344.39,328.52,383.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.86,,,,,375.13,412.36,407.87,,
