dates,nzd0025-0000,nzd0025-0001,nzd0025-0002,nzd0025-0003,nzd0025-0004,nzd0025-0005,nzd0025-0006,nzd0025-0007,nzd0025-0008,nzd0025-0009,nzd0025-0010,nzd0025-0011,nzd0025-0012,nzd0025-0013,nzd0025-0014,nzd0025-0015,nzd0025-0016,nzd0025-0017,nzd0025-0018,nzd0025-0019,nzd0025-0020,nzd0025-0021,nzd0025-0022,nzd0025-0023,nzd0025-0024,nzd0025-0025,nzd0025-0026,nzd0025-0027,nzd0025-0028,nzd0025-0029,nzd0025-0030,nzd0025-0031,nzd0025-0032,nzd0025-0033,nzd0025-0034,nzd0025-0035,nzd0025-0036,nzd0025-0037,nzd0025-0038,nzd0025-0039,nzd0025-0040,nzd0025-0041,nzd0025-0042,nzd0025-0043,nzd0025-0044,nzd0025-0045,nzd0025-0046,nzd0025-0047,nzd0025-0048,nzd0025-0049,nzd0025-0050,nzd0025-0051,nzd0025-0052,nzd0025-0053,nzd0025-0054,nzd0025-0055,nzd0025-0056,nzd0025-0057,nzd0025-0058,nzd0025-0059,nzd0025-0060,nzd0025-0061,nzd0025-0062,nzd0025-0066,nzd0025-0067,nzd0025-0068,nzd0025-0069,nzd0025-0070,nzd0025-0071,nzd0025-0072,nzd0025-0073,nzd0025-0074,nzd0025-0075,nzd0025-0076,nzd0025-0077,nzd0025-0078,nzd0025-0079,nzd0025-0080,nzd0025-0081,nzd0025-0082,nzd0025-0083,nzd0025-0084,nzd0025-0085,nzd0025-0086,nzd0025-0087,nzd0025-0088,nzd0025-0089,nzd0025-0090,nzd0025-0091,nzd0025-0092,nzd0025-0093,nzd0025-0094,nzd0025-0095,nzd0025-0063,nzd0025-0064,nzd0025-0065,satname
1999-11-21 22:10:24+00:00,,,,,,,,,,,,,,,,,,,,,,,,,258.1,,251.84,266.16,260.6,241.34,,357.32,378.91,,,,,,,,,,,,279.61,275.31,285.03,268.26,245.91,,,,,,,,,,253.42,,273.84,,,,,,,,,,,,,,278.84,247.35,,,,,,,,,,,,,,,,,,,,,L7
2000-04-29 22:09:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,258.1,,251.84,266.16,260.6,241.34,,357.32,378.91,,,,,346.86,,,,,,,279.61,275.31,285.03,268.26,245.91,,,,,,,,,,253.42,,273.84,,,,,,,,,,,,,,278.84,247.35,,,,,,,,,,,,,,,,,,,,,L7
2000-09-20 22:08:03+00:00,,,,,,,309.79,359.47,,,,,,,294.41,,248.36,,,,,,,,291.78,,,,,,,,,,,,,346.86,,,,,,,310.52,,,,,,,,,,,,,,271.48,,264.71,,,361.96,,,,,,,,,,,,,,,,,,243.25,299.97,,338.44,330.08,,,,,,,,,,,L7
2000-10-22 22:07:50+00:00,,237.31,,,,196.87,328.005,354.785,,,,,,,311.665,,266.99,,,292.55,,,,,291.78,254.71,247.75,,,,,342.67,361.65,,,,250.26,350.03,230.38,,,,,,310.52,,296.5,297.92,272.29,,,257.54,,266.82,,,,,277.04,,284.39,208.83,,348.65999999999997,,363.14,,,,,,,,,,,,,,,,243.25,299.97,,338.24,322.94,,,,239.08,279.59,,,,,277.77,L7
2001-09-23 22:06:03+00:00,295.25,233.35,300.95,299.37,292.85,233.8,,297.16,290.34,287.27,,258.77,254.0,262.04,271.53,,269.21,,264.0,272.77,,,,,,,,,,,,248.96,285.84,,,,,,,,,,,,,,,,233.4,,,,,,,,,,,,248.98,219.87,258.88,,,,,,,,,,,260.2,,229.37,,251.44,,,,,,,,,,,,,,,,255.61,,275.44,L7
2001-12-12 22:06:14+00:00,284.675,233.35,290.145,286.775,283.70500000000004,249.26000000000002,,282.435,272.485,270.985,,264.7,256.12,253.58,262.41499999999996,,269.21,,264.0,272.77,242.65,,,263.46,265.43,260.19,263.52,256.13,275.18,254.48,,256.485,285.84,,,,,,,,,,,,,,,,233.4,,,256.92,241.19,,,,,,,,244.82,238.395,259.935,,,,,,,,,,,260.2,,250.305,,251.87,267.57,,240.76,246.47,330.52,338.61,333.13,317.39,,,,,,,,255.61,281.56,288.18,L7
2002-07-24 22:05:50+00:00,258.93,,,,,252.99,,,236.75,235.2,,,225.92,228.89,,232.86,203.22,228.59,224.07,226.04,238.26,217.33,237.61,228.09,232.63,,248.27,229.87,,,,,229.52,218.98,205.82,,212.13,,234.1,,,,,232.92,256.3,,,267.36,235.31,,287.76,290.32,270.37,246.08,255.26,246.23,,,,,242.85,252.03,267.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.54,242.72,,L7
2002-10-28 22:05:22+00:00,258.93,,289.11,,238.92,252.99,326.48,300.5,236.75,235.2,,304.08,225.92,228.89,,232.86,203.22,228.59,224.07,226.04,238.26,217.33,237.61,228.09,247.95,283.62,248.27,229.87,,,,,229.52,218.98,205.82,,212.13,290.95,234.1,,,,,232.92,256.3,,,267.36,235.31,,287.76,290.32,270.37,246.08,255.26,246.23,,,264.14,,242.85,237.675,267.06,,,,,,,,,,,238.74,280.78,283.72,,,274.68,,271.46,254.91,,318.1,,,,,,,,,,270.185,242.72,,L7
2003-01-16 22:06:02+00:00,258.93,209.62,253.39,215.12,222.055,252.99,326.48,300.5,236.75,235.2,193.88,272.38,225.8,230.70999999999998,216.31,241.93,208.635,221.3,225.04,223.64499999999998,241.445,235.505,244.96,230.35500000000002,244.46666666666667,262.295,241.82999999999998,236.04500000000002,242.8,220.0,,238.56,237.93,226.61,209.805,247.11,220.315,269.16999999999996,239.07,249.51,245.03,,,232.76,252.42000000000002,258.44,261.35,263.84000000000003,242.60500000000002,,287.155,290.32,270.37,246.08,255.26,246.23,,,264.14,,242.85,237.675,267.06,355.08,,374.87,,220.18,214.92,201.27,209.15,200.58,208.33,238.74,280.78,283.72,,,274.68,,271.46,254.91,,318.1,367.53,,,,,,,,,270.185,242.72,,L7
2003-05-24 22:06:17+00:00,,209.62,217.67,215.12,205.19,,291.67,300.19,,,193.88,240.68,225.68,232.53,216.31,251.0,216.04500000000002,227.92000000000002,226.01,221.25,244.63,253.68,252.31,232.62,237.5,240.97,235.39,242.22,242.8,220.0,,238.56,246.34,234.24,213.79,247.11,228.5,247.39,244.04,249.51,245.03,,,232.6,248.54,258.44,261.35,260.32,249.9,,286.55,,,,,,,,,,,,,355.08,,345.69,,220.18,214.92,201.27,209.15,200.58,208.33,,,314.12,,,,,,,,,367.53,,,,,,,,,,,,L7
2004-05-18 21:58:14+00:00,237.7,241.64,252.02,241.11,233.79,225.22,215.38,223.01,211.43,214.06,197.67,201.28,195.45,208.22,204.69,204.06,200.1,206.91,200.88,208.15,220.33,226.79,216.28,221.7,212.61,215.6,219.64,213.53,208.24,200.18,,196.17,209.47,201.91,197.21,212.32,216.21,220.55,235.25,237.6,226.48,221.01,209.34,210.14,231.32,248.56,249.9,253.33,204.74,209.15,221.86,217.94,242.2,247.18,250.66,261.4,236.7,214.35,182.56,222.74,220.32,219.74,213.25,214.31,215.97,242.25,244.3,251.17,245.71,235.07,247.54,234.5,214.19,215.82,235.64,221.84,202.41,231.51,212.71,217.54,218.02,215.92,238.76,250.17,236.39,241.39,244.13,241.42,255.84,232.3,248.8,223.36,240.52,219.19,228.39,234.03,L5
2005-01-13 22:03:41+00:00,243.32,242.69,248.94,248.37,236.34,214.95,209.55,220.08,207.54,210.43,189.53,191.87,190.17,207.84,215.21,213.18,210.92,216.38,211.99,215.16,235.86,228.28,210.22,205.73,210.21,209.75,207.59,205.18,198.27,,,196.2,218.04,206.85,194.5,217.63,216.41,223.54,228.67,216.24,216.88,210.84,195.4,208.29,227.88,228.1,228.78,234.05,207.16,213.26,228.77,227.78,240.43,242.25,242.34,243.41,215.46,197.45,171.37,204.58,207.78,201.51,198.63,220.86,217.38,234.09,243.26,237.58,235.41,223.07,227.09,218.87,190.99,198.93,219.03,193.36,193.65,215.88,199.37,208.35,220.51,214.14,228.66,243.3,228.51,226.74,220.23,219.45,232.25,186.84,230.06,202.18,220.25,200.1,220.98,222.72,L5
2005-02-14 22:04:09+00:00,238.76999999999998,236.235,241.115,240.23000000000002,237.09,224.075,217.99,228.65,217.605,216.36,200.035,200.695,191.89,204.76,206.57999999999998,208.68,201.865,212.565,208.345,210.79500000000002,229.255,231.12,218.01,212.285,217.66000000000003,214.10500000000002,210.655,213.395,205.82,172.29,,196.245,214.1,200.465,191.44,208.35,209.28,220.195,230.51,225.05,226.42000000000002,218.63,207.125,214.61,234.51,239.635,230.175,228.905,199.53,210.47,220.7,222.275,234.09,235.31,236.285,241.53,225.61,207.355,173.66500000000002,210.41500000000002,212.56,208.935,202.45,207.39,210.84,230.735,235.615,232.06,233.60500000000002,226.04500000000002,230.76999999999998,226.54500000000002,203.16000000000003,198.815,227.62,205.15,191.68,217.82999999999998,188.56,204.31,212.975,208.125,223.97,237.815,224.37,227.57,225.87,228.405,239.175,201.74,236.04000000000002,215.88,228.84,198.315,217.125,218.82999999999998,L5
2005-03-02 22:04:24+00:00,238.30999999999997,233.92333333333332,239.85,237.85666666666668,234.61666666666667,223.12333333333333,219.46666666666667,228.76666666666665,220.73333333333335,220.49333333333334,201.75,206.47333333333336,198.09666666666666,207.41,207.85666666666665,209.20666666666668,200.4466666666667,213.12,208.07333333333335,208.67666666666665,227.15,228.53666666666666,219.29333333333332,214.34666666666666,219.24333333333334,218.32666666666668,215.45000000000002,214.92666666666665,207.83333333333334,181.16,,196.66333333333333,211.95666666666668,199.8033333333333,195.26666666666665,212.92,214.11666666666667,218.78666666666666,228.12666666666667,226.92333333333332,229.48666666666668,220.67333333333332,211.66666666666666,216.28666666666666,235.67333333333332,240.77999999999997,236.01,233.14666666666668,200.07333333333335,210.13333333333333,222.56333333333336,220.86666666666667,236.46,236.26,236.97,237.61333333333334,225.9333333333333,212.22666666666666,174.53333333333333,215.16333333333333,216.61666666666667,212.15666666666667,206.13333333333333,201.4766666666667,210.84,230.38,237.72,232.65333333333334,229.06000000000003,224.20333333333335,232.0533333333333,228.18999999999997,206.58666666666667,201.08666666666667,233.9,208.12333333333333,194.8166666666667,221.51666666666665,194.02666666666667,203.38,211.99,207.20000000000002,226.38333333333333,235.61666666666667,225.22666666666666,228.56000000000003,226.17666666666665,227.70333333333335,240.18999999999997,204.26666666666665,239.25333333333333,220.26333333333332,232.76666666666665,200.45333333333335,221.46666666666667,217.4333333333333,L5
2005-06-06 22:05:05+00:00,238.30999999999997,233.92333333333332,239.85,237.85666666666668,234.61666666666667,223.12333333333333,219.46666666666667,228.76666666666665,220.73333333333335,220.49333333333334,201.75,215.48000000000002,198.09666666666666,207.41,207.85666666666665,209.20666666666668,209.2425,213.12,208.07333333333335,208.67666666666665,227.15,228.53666666666666,219.29333333333332,214.34666666666666,219.24333333333334,218.32666666666668,215.45000000000002,214.92666666666665,207.83333333333334,181.16,,196.66333333333333,211.95666666666668,199.8033333333333,195.26666666666665,224.7475,214.11666666666667,218.78666666666666,228.12666666666667,226.92333333333332,229.48666666666668,223.4775,217.6325,216.28666666666666,235.67333333333332,240.77999999999997,236.01,233.14666666666668,200.07333333333335,210.13333333333333,222.56333333333336,220.86666666666667,243.86,242.36,243.095,237.61333333333334,225.9333333333333,212.22666666666666,174.53333333333333,226.2625,226.1225,212.15666666666667,206.13333333333333,201.4766666666667,210.84,230.38,237.72,232.65333333333334,229.06000000000003,224.20333333333335,232.0533333333333,228.18999999999997,206.58666666666667,201.08666666666667,233.9,208.12333333333333,194.8166666666667,221.51666666666665,194.02666666666667,203.38,211.99,207.20000000000002,226.38333333333333,235.61666666666667,225.22666666666666,228.56000000000003,226.17666666666665,227.70333333333335,240.18999999999997,204.26666666666665,239.25333333333333,221.57,243.45749999999998,209.82,221.46666666666667,217.4333333333333,L5
2007-01-03 22:12:49+00:00,245.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.37,,,,,,241.3,,,,,,,,,,,,,,,,,,,,,,236.92,,249.13,,,,,,,,,,,,,179.51,,,,,,,,,,,,,,,,,,226.83,,242.31,L5
2007-01-19 22:12:30+00:00,222.655,207.32,217.86,209.13,206.65,189.53,189.99,196.26,185.93,184.22,,,,,,,,,,,195.94,190.98,192.86,188.73,193.16,192.75,187.9,184.4,,,,,225.37,,,183.62,194.53,194.95,219.84,206.53,198.16,190.58,178.46,188.42,204.23,204.68,209.97,200.05,,185.03,182.64,194.66,208.38,214.89,213.42,212.26,205.36,189.39,,,236.92,,249.13,,,191.0,206.62,220.94,210.12,206.25,211.97,204.94,183.64,,,179.51,,,,,,,,,,,,,,,,,,226.83,,242.31,L5
2007-10-02 22:10:31+00:00,233.71,233.72,240.9,237.69,228.37,221.25,217.56,220.95,215.01,211.21,189.84,199.24,190.93,203.47,199.57,199.14,199.21,201.77,199.25,213.33,220.65,216.23,217.9,218.49,215.71,215.39,213.04,208.17,202.27,175.98,,200.25,204.05,193.24,186.04,204.24,211.68,223.43,221.15,225.59,224.75,216.64,208.54,216.54,225.91,229.7,230.93,221.41,195.2,204.47,208.98,212.5,231.14,238.29,237.94,237.92,230.95,219.66,180.76,215.45,222.43,212.41,202.33,209.08,207.03,232.49,240.66,244.1,239.1,224.21,222.67,,,,,194.19,194.91,222.79,201.95,,210.31,205.41,229.47,236.75,228.74,222.24,232.3,232.28,240.33,218.47,239.87,226.35,231.12,202.29,214.23,221.86,L5
2010-02-12 22:08:30+00:00,222.96,217.95,224.7,221.12,216.01,207.29,205.69,208.35,204.08,199.56,189.09,192.61,190.26,189.83,186.21,194.59,185.92,188.59,182.68,194.17,193.67,197.97,201.31,199.67,201.01,196.33,198.08,197.59,192.56,,,184.35,191.41,186.77,177.63,189.73,197.76,199.17,211.79,215.29,213.36,208.32,189.12,204.49,215.46,217.27,218.26,212.87,189.74,198.89,207.62,208.96,211.56,217.62,216.38,227.62,216.88,201.03,,,,,,195.3,196.91,214.46,223.33,225.14,220.02,215.24,228.15,214.23,192.84,,,,,,,195.45,194.45,194.41,216.61,219.58,213.21,218.43,230.44,228.44,232.06,214.93,231.53,207.48,229.97,182.39,199.52,211.32,L5
2013-05-11 22:19:31+00:00,239.03,233.67,234.58,230.02,225.42,218.28,212.2,215.72,186.09,187.24,196.3,189.35,199.98,209.45,205.99,206.38,202.5,203.82,196.73,204.44,208.13,207.07,211.12,211.45,,,,,,,,,,,,206.03,204.84,213.83,216.31,216.32,219.95,214.27,209.94,214.15,217.86,217.33,219.48,219.85,208.81,210.07,220.5,222.3,232.22,228.25,229.67,224.7,215.77,197.49,,,,,,,187.55,226.0,229.39,231.07,226.17,207.31,223.63,214.78,184.59,,,,,,,200.19,197.74,210.56,212.72,235.37,232.88,231.09,238.62,,,,241.34,220.65,232.33,,,,L8
2013-08-31 22:19:38+00:00,234.8,222.345,232.95,227.54500000000002,219.95999999999998,206.265,208.285,208.685,185.75,185.745,196.3,189.35,195.08999999999997,202.07,203.595,203.54500000000002,199.84,200.265,185.86,202.985,206.61,200.655,209.46,208.70499999999998,199.35,190.24,187.08,195.48,185.78,168.03,,,,,,203.84,203.01999999999998,211.10000000000002,213.75,207.20499999999998,215.065,212.09,198.45,206.15,213.75,215.015,217.85,216.26999999999998,205.135,209.26,219.255,218.79500000000002,224.11,225.64499999999998,223.33999999999997,221.815,212.21,191.85500000000002,,,,,,,187.55,222.685,224.57,227.675,222.14,202.185,217.86,213.01999999999998,183.245,,,,,,,200.19,197.74,210.56,208.12,233.15,229.755,229.625,224.10000000000002,,,,241.34,220.65,232.33,,,,L8
2013-10-18 22:19:25+00:00,234.8,222.345,232.95,227.54500000000002,219.95999999999998,206.265,208.285,208.685,185.75,185.745,196.3,189.35,195.08999999999997,202.07,218.41,203.54500000000002,199.84,213.4333333333333,185.86,202.985,206.61,200.655,220.14666666666668,220.98000000000002,199.35,190.24,187.08,195.48,204.5,168.03,203.67,,221.8,,,215.21,203.01999999999998,211.10000000000002,213.75,207.20499999999998,224.09666666666666,220.12333333333333,198.45,216.2266666666667,222.16666666666666,225.09666666666666,225.5533333333333,222.58333333333334,215.81333333333336,209.26,226.03333333333333,226.91666666666666,232.82333333333335,237.42333333333332,223.33999999999997,233.05666666666664,223.16666666666666,200.96,203.89,227.45,235.83,237.85,228.15,232.29,187.55,222.685,235.88333333333333,232.61333333333334,223.88666666666666,202.185,222.14,219.09666666666666,194.74333333333334,222.7,266.97,223.86,222.09,251.04,224.99,217.005,197.74,224.35,208.12,243.57666666666668,240.79,229.625,224.10000000000002,268.12,,,255.435,220.65,250.32999999999998,,238.3,242.09,L8
2013-11-03 22:19:20+00:00,234.8,222.345,232.95,227.54500000000002,219.95999999999998,206.265,208.285,208.685,185.75,185.745,196.3,189.35,195.08999999999997,202.07,226.9275,203.54500000000002,199.84,221.595,185.86,202.985,206.61,200.655,228.0225,228.1975,199.35,190.24,187.08,195.48,216.8166666666667,168.03,218.12,,238.14,,,224.9975,203.01999999999998,211.10000000000002,213.75,207.20499999999998,238.415,232.5225,198.45,228.9625,233.41750000000002,235.9525,234.325,231.1875,225.78,209.26,235.82,236.735,244.7625,247.9675,223.33999999999997,241.16,233.505,213.3175,203.89,241.28,242.64,239.345,240.43,250.64,187.55,222.685,244.4775,242.4,223.88666666666666,202.185,234.2225,230.285,208.2475,240.84,272.1,223.86,222.09,256.04,235.885,228.21,197.74,236.72,208.12,258.03,240.79,229.625,224.10000000000002,281.845,,,270.99,220.65,268.94,,238.3,258.885,L8
