dates,satname,nzd0029-0000,nzd0029-0001,nzd0029-0002,nzd0029-0003,nzd0029-0004,nzd0029-0005,nzd0029-0006,nzd0029-0007,nzd0029-0008,nzd0029-0009,nzd0029-0010,nzd0029-0011,nzd0029-0012,nzd0029-0013,nzd0029-0014,nzd0029-0015,nzd0029-0016,nzd0029-0017,nzd0029-0018,nzd0029-0019,nzd0029-0020,nzd0029-0021,nzd0029-0022,nzd0029-0023,nzd0029-0024,nzd0029-0025,nzd0029-0026,nzd0029-0027,nzd0029-0028,nzd0029-0029,nzd0029-0030,nzd0029-0031,nzd0029-0032,nzd0029-0033,nzd0029-0034,nzd0029-0035,nzd0029-0036,nzd0029-0037,nzd0029-0038,nzd0029-0039,nzd0029-0040,nzd0029-0041,nzd0029-0042,nzd0029-0043,nzd0029-0044,nzd0029-0045,nzd0029-0046,nzd0029-0047,nzd0029-0048,nzd0029-0049,nzd0029-0050,nzd0029-0051,nzd0029-0052,nzd0029-0053,nzd0029-0054,nzd0029-0055,nzd0029-0056,nzd0029-0057,nzd0029-0058,nzd0029-0059,nzd0029-0060,nzd0029-0061,nzd0029-0062,nzd0029-0063,nzd0029-0064,nzd0029-0065,nzd0029-0066,nzd0029-0067,nzd0029-0068,nzd0029-0069,nzd0029-0070,nzd0029-0071,nzd0029-0072,nzd0029-0073,nzd0029-0074,nzd0029-0075,nzd0029-0076,nzd0029-0077,nzd0029-0078,nzd0029-0079,nzd0029-0080,nzd0029-0081,nzd0029-0082,nzd0029-0083,nzd0029-0084,nzd0029-0085,nzd0029-0086,nzd0029-0087,nzd0029-0088,nzd0029-0089,nzd0029-0090,nzd0029-0091,nzd0029-0092,nzd0029-0093,nzd0029-0094,nzd0029-0095,nzd0029-0096,nzd0029-0097,nzd0029-0098,nzd0029-0099,nzd0029-0100,nzd0029-0101,nzd0029-0102,nzd0029-0103,nzd0029-0104,nzd0029-0105,nzd0029-0106,nzd0029-0107,nzd0029-0108,nzd0029-0109,nzd0029-0110,nzd0029-0111,nzd0029-0112,nzd0029-0113,nzd0029-0114,nzd0029-0115,nzd0029-0116,nzd0029-0117,nzd0029-0118,nzd0029-0119,nzd0029-0120,nzd0029-0121,nzd0029-0122,nzd0029-0123,nzd0029-0124,nzd0029-0125,nzd0029-0126,nzd0029-0127,nzd0029-0128,nzd0029-0129,nzd0029-0130,nzd0029-0131,nzd0029-0132,nzd0029-0133,nzd0029-0134,nzd0029-0135,nzd0029-0136,nzd0029-0137,nzd0029-0138,nzd0029-0139,nzd0029-0140,nzd0029-0141,nzd0029-0142,nzd0029-0143,nzd0029-0144,nzd0029-0145,nzd0029-0146,nzd0029-0147,nzd0029-0148,nzd0029-0149,nzd0029-0150,nzd0029-0151,nzd0029-0152,nzd0029-0153,nzd0029-0154,nzd0029-0155,nzd0029-0156,nzd0029-0157,nzd0029-0158,nzd0029-0159,nzd0029-0160,nzd0029-0161,nzd0029-0162,nzd0029-0163,nzd0029-0164,nzd0029-0165,nzd0029-0166,nzd0029-0167,nzd0029-0168,nzd0029-0169,nzd0029-0170,nzd0029-0171,nzd0029-0172,nzd0029-0173,nzd0029-0174,nzd0029-0175,nzd0029-0176,nzd0029-0177,nzd0029-0178
1999-10-04 22:10:38.131000,L7,487.55,497.00,438.78,399.33,367.48,384.84,333.53,374.91,325.24,331.68,342.58,535.08,541.85,508.01,518.68,511.72,512.32,507.23,520.53,515.86,521.42,515.85,510.22,499.08,484.64,485.15,490.91,484.75,488.06,495.76,544.37,515.44,527.87,538.23,549.40,516.50,506.13,386.90,488.33,491.11,473.49,542.37,528.02,554.98,490.68,498.16,495.36,492.37,499.64,550.83,530.18,517.20,532.59,527.49,495.34,532.91,538.07,500.54,495.15,494.16,483.28,476.70,471.20,518.51,364.45,343.95,494.06,509.39,501.65,518.79,512.53,525.49,403.91,335.02,366.77,487.47,481.44,488.52,482.75,367.04,502.51,522.73,522.94,522.15,487.33,518.94,489.78,327.56,313.85,315.62,316.59,300.70,323.82,300.68,303.27,297.27,350.20,326.28,337.22,313.63,304.27,335.09,353.80,350.95,349.64,334.76,329.42,327.31,327.66,309.68,329.74,347.34,341.16,472.96,441.02,469.16,443.51,255.61,269.42,302.64,274.56,456.59,449.77,434.99,415.61,404.21,282.35,252.00,301.45,308.67,335.10,297.30,466.32,470.04,324.33,315.10,540.46,481.04,490.98,291.44,271.50,459.98,457.01,457.42,291.65,313.46,322.19,325.96,336.79,329.11,341.51,353.58,349.55,336.50,492.74,475.25,516.47,503.23,531.63,321.25,332.15,310.88,293.42,280.91,278.20,298.23,310.75,373.58,397.51,436.97,444.90,452.66,437.17,340.13,536.98,526.65,535.72,420.00,411.42
2000-02-09 22:10:19.398000,L7,498.05,501.04,539.11,509.65,487.52,488.54,495.45,501.56,500.02,499.76,511.24,512.01,502.03,498.94,509.11,494.66,481.43,,,530.78,526.55,523.61,519.84,501.48,491.67,493.10,493.98,395.09,483.85,487.15,486.48,478.40,479.62,478.49,387.32,482.10,488.65,488.31,488.33,485.57,475.51,474.65,471.32,486.16,493.88,495.84,498.45,497.28,495.28,490.08,482.78,477.58,488.42,495.02,493.33,495.01,495.89,497.70,500.81,508.13,487.15,483.90,476.47,467.65,462.19,447.22,438.88,461.31,470.45,466.39,419.66,472.13,466.63,402.30,452.05,449.75,443.79,394.61,459.93,466.26,460.83,469.83,373.00,449.20,469.28,466.46,455.70,435.79,412.34,413.27,411.66,404.63,391.35,399.18,504.49,525.75,523.03,464.82,457.75,459.56,483.30,495.90,478.59,483.23,518.43,505.60,455.45,455.07,438.91,429.52,419.48,440.55,467.16,499.56,521.19,552.38,410.24,421.14,425.96,439.29,282.75,303.82,301.96,288.55,299.77,343.61,336.69,337.43,345.53,345.83,345.13,335.96,335.90,332.71,336.04,329.32,335.17,329.39,322.44,322.65,285.94,332.55,318.47,305.25,334.72,333.41,334.93,340.50,345.53,337.96,351.42,364.06,362.50,344.96,365.05,364.46,352.97,370.14,335.36,333.31,344.19,316.56,299.25,291.85,308.83,333.10,321.38,396.52,342.73,441.32,457.78,457.77,447.13,480.31,478.35,377.67,395.06,435.80,460.79
2000-03-28 22:10:07.233000,L7,494.63,504.25,446.29,399.29,379.91,386.08,378.54,382.44,347.54,510.93,523.11,529.39,519.93,529.88,389.27,405.02,408.73,402.58,406.21,410.35,406.32,408.44,535.62,518.17,505.83,537.35,533.04,384.87,385.89,408.08,397.00,383.33,401.64,382.84,379.65,389.62,384.83,390.47,384.51,403.21,375.98,383.92,413.69,427.22,435.99,389.36,400.61,389.35,387.84,386.91,376.47,373.76,388.36,389.83,386.19,402.28,379.69,380.06,410.75,401.25,422.60,418.57,374.43,376.92,364.79,377.47,392.65,370.13,415.14,408.97,414.35,392.21,405.22,334.25,380.05,344.17,387.59,388.93,397.87,411.28,355.31,364.87,364.20,366.26,375.60,364.61,350.16,327.87,312.40,315.38,357.81,505.92,490.64,495.57,304.44,342.11,354.66,357.14,343.81,328.15,344.97,360.15,359.29,377.63,350.93,359.21,332.20,329.86,335.75,307.19,336.57,349.14,342.31,381.62,379.86,371.47,343.57,270.18,269.19,299.24,276.14,299.56,291.66,279.20,276.75,215.70,297.56,326.34,336.14,336.41,336.91,327.77,325.22,325.11,326.03,315.70,318.70,313.38,309.65,315.21,271.48,254.79,270.91,303.27,303.71,319.14,329.37,335.12,342.65,330.89,348.89,357.74,355.03,336.61,353.62,355.09,341.44,354.50,327.13,323.04,507.43,505.86,509.20,505.68,277.22,297.12,305.53,276.79,394.18,433.79,447.30,451.10,437.36,333.91,392.12,367.19,403.12,422.76,464.04
2000-04-29 22:09:53.797000,L7,506.61,526.84,456.30,417.69,411.99,405.50,411.44,442.50,438.71,441.66,444.98,448.54,447.04,450.40,469.53,451.22,452.07,458.44,463.53,465.38,465.66,467.61,460.71,447.16,432.12,433.35,429.08,435.63,435.25,434.34,440.38,434.21,427.21,402.13,431.90,431.72,407.13,403.28,441.18,437.66,427.00,428.22,422.73,433.68,443.67,441.37,414.56,402.51,445.31,445.30,434.78,433.77,440.45,447.49,446.92,454.86,447.96,444.19,444.25,436.43,427.76,427.66,428.07,418.83,410.82,397.95,403.51,417.12,423.13,421.07,422.04,420.35,415.68,405.15,400.51,403.75,399.88,399.24,410.03,422.85,417.31,427.67,424.24,429.60,433.66,422.22,408.54,383.88,366.85,360.92,364.45,366.43,355.47,357.41,359.08,359.87,360.82,368.44,358.26,358.91,361.12,373.72,382.90,389.40,386.47,374.34,361.16,355.45,353.95,332.14,355.36,369.24,394.43,396.54,390.71,377.00,358.74,309.23,357.16,382.81,422.16,381.32,378.37,363.98,361.05,358.87,357.28,346.94,347.96,350.04,347.52,348.72,344.49,345.78,337.13,330.73,337.34,339.89,333.41,327.26,316.41,330.45,331.61,320.49,336.95,339.57,343.60,348.61,350.75,339.82,359.15,376.86,371.41,352.64,367.83,372.35,385.64,382.21,375.63,387.70,392.02,401.24,365.14,368.81,411.30,388.78,458.05,453.37,470.13,454.71,460.49,488.76,483.50,483.44,484.52,485.60,486.13,483.25,495.74
2000-05-15 22:09:42.527000,L7,501.65,520.47,451.35,411.36,383.56,390.30,385.92,397.95,360.09,369.50,377.89,397.18,401.36,397.80,387.67,405.71,395.50,372.66,457.12,407.96,416.81,409.98,390.65,383.31,382.08,384.91,362.67,387.25,387.09,399.06,429.18,428.84,311.61,396.67,384.06,386.92,395.63,395.68,388.44,405.47,381.08,381.29,374.23,366.01,382.22,394.89,399.24,391.86,394.01,384.21,219.47,268.66,285.98,295.51,285.77,408.28,373.80,380.75,393.74,385.10,421.31,385.10,373.58,405.08,371.54,348.43,392.98,368.89,441.97,425.29,360.64,383.65,381.60,326.78,325.99,343.73,339.02,392.44,352.11,371.96,365.99,363.72,368.61,368.08,380.35,368.44,360.07,334.54,,,,,285.40,310.04,314.11,313.74,348.11,358.75,347.34,325.61,309.67,342.05,362.12,380.69,356.26,356.97,321.15,333.55,335.02,317.41,319.65,348.15,356.03,357.41,338.80,314.01,263.81,264.36,268.87,297.44,276.20,298.95,296.11,277.36,282.77,355.44,343.50,329.41,334.87,338.12,337.00,333.20,328.45,335.14,464.96,470.71,318.80,313.24,328.94,299.11,273.49,255.76,273.52,291.34,291.26,322.39,477.87,476.52,479.46,324.64,344.36,355.98,357.57,336.57,351.17,355.00,346.07,354.85,331.49,323.27,335.72,309.00,296.44,282.79,283.04,303.84,316.98,377.33,401.00,434.10,446.56,450.54,436.77,335.91,394.86,371.41,390.74,428.76,412.97
2000-09-04 22:08:22.800000,L7,339.23,169.06,,524.32,491.62,476.61,464.41,473.71,384.14,388.85,380.99,339.81,263.44,190.40,,,,,,,,348.13,496.01,528.72,516.14,519.60,507.63,501.49,552.68,421.97,367.32,,,478.33,282.21,177.43,,330.84,495.64,399.14,,,,,,,,,,334.27,446.25,485.54,511.91,518.69,444.32,450.06,440.66,433.55,439.14,432.69,423.88,422.29,415.35,407.84,405.08,390.05,398.56,408.65,419.73,413.28,415.47,411.40,407.47,396.63,389.84,394.68,393.52,391.08,404.00,412.06,409.71,364.76,387.02,429.43,433.63,359.78,401.02,372.77,360.28,354.06,359.61,360.38,348.36,349.78,355.75,343.45,358.11,359.53,348.03,347.44,343.08,360.94,372.08,382.97,381.31,357.44,345.49,342.84,343.77,448.08,466.17,361.71,379.82,386.17,380.66,368.38,336.10,289.11,347.91,308.20,443.60,343.76,361.84,334.51,338.29,221.41,421.48,409.88,296.74,338.17,343.93,325.89,329.30,327.24,328.28,421.82,425.34,420.96,414.27,404.60,401.17,380.34,305.38,428.43,427.46,396.06,374.34,387.78,410.49,445.90,435.54,508.24,358.11,361.88,361.50,361.80,363.72,528.31,510.60,508.15,471.51,473.28,476.11,339.45,492.31,519.33,539.71,550.39,408.02,438.33,447.49,454.49,443.89,474.78,471.54,474.00,440.18,444.45,526.60
2000-09-20 22:08:03.348000,L7,507.94,529.76,537.06,490.24,,,,,,,482.78,490.83,482.66,483.04,497.00,485.53,453.22,485.50,494.01,501.40,499.27,500.58,491.09,484.29,468.48,470.46,469.88,468.29,469.40,477.07,475.88,472.94,464.57,457.43,457.71,464.42,469.39,472.88,469.47,470.15,460.20,461.15,459.89,437.28,475.14,470.60,474.54,440.27,478.92,473.10,462.47,465.96,477.28,488.85,481.54,484.53,476.35,442.19,475.55,467.74,455.65,455.25,455.00,447.88,446.35,433.86,443.42,454.84,462.47,456.48,449.88,449.07,443.22,434.82,433.25,433.47,430.33,401.84,452.64,454.71,454.80,457.39,456.15,461.64,459.03,446.75,429.71,414.66,401.55,400.31,400.73,399.97,381.35,384.76,395.68,397.62,397.19,401.92,399.32,382.80,385.73,370.50,454.59,473.63,472.40,468.67,463.64,395.86,396.37,382.53,396.70,419.95,430.56,424.99,430.42,422.22,410.89,402.41,407.98,405.96,347.33,491.29,490.19,474.98,467.64,447.84,438.58,407.81,395.64,397.65,386.22,426.04,435.61,440.52,453.37,443.95,434.53,447.81,435.75,447.42,442.80,453.86,457.91,450.47,447.51,375.73,474.63,360.39,289.29,355.38,379.21,404.34,553.55,459.39,,,392.48,421.39,439.42,559.49,504.11,514.86,513.43,520.63,566.91,473.23,477.97,509.17,508.35,497.51,511.61,529.21,522.45,517.29,521.57,518.07,512.61,519.57,541.26
2000-10-06 22:07:59.689000,L7,503.67,527.09,546.61,464.84,461.69,509.18,512.40,469.52,533.02,453.33,483.96,516.74,500.86,504.91,517.39,506.27,511.29,512.43,525.03,521.03,521.19,519.90,514.45,541.28,531.41,508.98,521.76,537.30,528.99,533.67,422.85,541.23,475.56,463.36,469.21,432.67,408.08,411.94,403.55,410.79,392.45,424.46,425.45,435.08,442.74,307.51,336.95,516.12,509.37,482.38,477.05,517.29,345.70,,443.11,449.14,386.98,390.56,443.23,525.59,497.01,413.35,257.34,231.05,235.98,184.75,187.01,495.25,470.02,427.83,421.13,483.18,419.35,489.12,399.38,414.78,406.56,410.13,356.72,414.77,338.45,311.11,325.55,430.29,396.84,391.90,351.24,342.78,325.56,329.04,351.20,364.60,286.53,301.10,294.62,310.18,309.51,353.74,,,488.27,513.99,486.98,456.15,377.93,365.17,346.80,346.35,353.37,324.85,329.34,367.95,342.18,319.77,383.95,367.02,322.09,287.24,329.08,310.63,274.28,304.47,302.69,351.66,347.04,323.47,350.67,538.02,490.84,496.98,415.23,466.21,362.03,348.28,349.24,342.13,343.59,340.05,339.68,518.29,459.91,445.85,532.21,354.87,434.69,409.06,387.27,519.90,514.78,534.62,404.88,217.65,342.77,,,,547.28,529.20,419.60,283.93,405.18,,393.92,375.28,299.26,295.58,227.62,348.04,471.45,382.04,346.76,276.94,263.70,288.83,272.76,270.83,311.81,428.58,463.09
2000-10-22 22:07:50.487000,L7,499.69,503.00,448.48,405.92,384.68,388.35,387.60,386.91,379.15,316.46,375.56,398.62,401.65,410.93,459.77,416.89,420.31,408.98,415.54,407.03,414.28,,350.69,405.75,394.03,,374.42,390.03,393.55,,,,511.12,387.75,506.33,435.46,400.80,391.12,400.84,400.93,381.39,387.11,378.55,429.97,383.11,391.40,445.40,431.46,393.09,555.56,500.77,534.10,533.89,439.41,443.31,499.16,213.36,339.81,396.80,340.94,515.68,535.87,411.03,408.22,399.37,349.79,397.24,379.78,419.81,410.54,417.03,401.28,399.87,391.76,487.36,461.06,444.66,384.44,418.62,401.28,372.59,370.81,371.82,374.81,392.32,542.23,408.27,,,,,264.34,352.06,453.58,,438.10,473.36,396.40,415.58,385.46,416.74,336.16,363.06,378.14,379.68,357.41,329.77,358.28,334.42,326.58,355.48,379.61,394.81,389.21,397.17,380.22,298.22,295.37,270.98,293.70,274.69,300.96,291.94,292.13,364.88,,,292.01,348.38,356.58,346.83,395.73,470.92,494.63,521.41,435.39,249.17,531.40,322.32,443.84,286.79,293.10,240.59,236.10,254.16,259.58,282.04,259.76,371.11,365.53,367.03,385.03,374.25,340.43,325.61,219.67,265.88,368.27,334.94,330.70,492.67,531.08,402.42,407.27,293.02,324.61,324.41,378.54,339.59,437.27,449.01,451.79,535.70,521.48,522.81,379.08,396.29,435.39,460.89
2000-11-07 22:07:53.532000,L7,411.41,414.56,445.17,464.61,507.82,393.93,503.89,506.17,502.92,498.48,495.75,500.48,496.24,500.11,463.46,503.02,507.55,453.76,516.89,525.12,528.47,512.83,515.46,535.51,430.86,432.54,421.17,434.52,405.14,494.42,529.95,532.53,,471.13,234.55,519.90,472.40,245.34,306.61,290.50,235.16,237.98,237.63,180.54,345.87,384.10,407.43,396.55,369.23,,310.24,361.45,353.93,400.15,443.69,455.06,455.35,454.74,437.02,432.86,431.24,410.33,402.06,352.59,378.72,359.82,437.85,485.78,514.20,219.59,,,455.98,437.78,393.52,422.82,,,,,,365.83,370.97,,266.54,464.82,520.08,,,,,233.88,243.31,390.13,447.52,493.35,406.70,513.66,373.10,358.94,,,,301.33,406.32,382.97,333.23,341.05,340.64,324.04,330.34,361.32,366.86,,,,,280.68,351.02,308.13,279.15,303.29,363.91,343.63,345.59,224.25,308.77,337.16,344.49,342.00,342.00,323.00,333.41,327.88,329.72,322.23,323.85,540.53,460.92,473.26,508.22,484.76,496.06,460.01,523.96,530.64,449.26,336.88,361.12,395.56,385.56,399.48,406.65,457.68,367.28,528.12,500.19,440.12,451.14,420.44,,,467.17,457.72,,,,,,,,,,,429.52,498.55,416.54,508.55,530.09
