dates,nzd0029-0000,nzd0029-0001,nzd0029-0002,nzd0029-0003,nzd0029-0004,nzd0029-0005,nzd0029-0006,nzd0029-0007,nzd0029-0008,nzd0029-0009,nzd0029-0010,nzd0029-0011,nzd0029-0012,nzd0029-0013,nzd0029-0014,nzd0029-0015,nzd0029-0016,nzd0029-0017,nzd0029-0018,nzd0029-0019,nzd0029-0020,nzd0029-0021,nzd0029-0022,nzd0029-0023,nzd0029-0024,nzd0029-0025,nzd0029-0026,nzd0029-0027,nzd0029-0028,nzd0029-0029,nzd0029-0030,nzd0029-0031,nzd0029-0032,nzd0029-0033,nzd0029-0034,nzd0029-0035,nzd0029-0036,nzd0029-0037,nzd0029-0038,nzd0029-0039,nzd0029-0040,nzd0029-0041,nzd0029-0042,nzd0029-0043,nzd0029-0044,nzd0029-0045,nzd0029-0046,nzd0029-0047,nzd0029-0048,nzd0029-0049,nzd0029-0050,nzd0029-0051,nzd0029-0052,nzd0029-0053,nzd0029-0054,nzd0029-0055,nzd0029-0056,nzd0029-0057,nzd0029-0058,nzd0029-0059,nzd0029-0060,nzd0029-0061,nzd0029-0062,nzd0029-0063,nzd0029-0064,nzd0029-0065,nzd0029-0066,nzd0029-0067,nzd0029-0068,nzd0029-0069,nzd0029-0070,nzd0029-0071,nzd0029-0072,nzd0029-0073,nzd0029-0074,nzd0029-0075,nzd0029-0076,nzd0029-0077,nzd0029-0078,nzd0029-0079,nzd0029-0080,nzd0029-0081,nzd0029-0082,nzd0029-0083,nzd0029-0084,nzd0029-0085,nzd0029-0086,nzd0029-0087,nzd0029-0088,nzd0029-0089,nzd0029-0090,nzd0029-0091,nzd0029-0092,nzd0029-0093,nzd0029-0094,nzd0029-0095,nzd0029-0096,nzd0029-0097,nzd0029-0098,nzd0029-0099,nzd0029-0100,nzd0029-0101,nzd0029-0102,nzd0029-0103,nzd0029-0104,nzd0029-0105,nzd0029-0106,nzd0029-0107,nzd0029-0108,nzd0029-0109,nzd0029-0110,nzd0029-0111,nzd0029-0112,nzd0029-0113,nzd0029-0114,nzd0029-0115,nzd0029-0116,nzd0029-0117,nzd0029-0118,nzd0029-0119,nzd0029-0120,nzd0029-0121,nzd0029-0122,nzd0029-0123,nzd0029-0124,nzd0029-0125,nzd0029-0126,nzd0029-0127,nzd0029-0128,nzd0029-0129,nzd0029-0130,nzd0029-0131,nzd0029-0132,nzd0029-0133,nzd0029-0134,nzd0029-0135,nzd0029-0136,nzd0029-0137,nzd0029-0138,nzd0029-0139,nzd0029-0140,nzd0029-0141,nzd0029-0142,nzd0029-0143,nzd0029-0144,nzd0029-0145,nzd0029-0146,nzd0029-0147,nzd0029-0148,nzd0029-0149,nzd0029-0150,nzd0029-0151,nzd0029-0152,nzd0029-0153,nzd0029-0154,nzd0029-0155,nzd0029-0156,nzd0029-0157,nzd0029-0158,nzd0029-0159,nzd0029-0160,nzd0029-0161,nzd0029-0162,nzd0029-0163,nzd0029-0164,nzd0029-0165,nzd0029-0166,nzd0029-0167,nzd0029-0168,nzd0029-0169,nzd0029-0170,nzd0029-0171,nzd0029-0172,nzd0029-0173,nzd0029-0174,nzd0029-0175,nzd0029-0176,nzd0029-0177,nzd0029-0178,satname
1999-10-04 22:10:38.131,487.55,497.0,,,,,,374.91,,,,535.08,541.85,508.01,518.68,511.72,512.32,,,515.86,521.42,515.85,510.22,499.08,484.64,485.15,,,488.06,495.76,,515.44,,,,516.5,506.13,,488.33,491.11,473.49,,,,490.68,498.16,495.36,492.37,499.64,,,,,527.49,495.34,532.91,,500.54,495.15,494.16,483.28,476.7,471.2,,,,,,501.65,,,,,,,487.47,481.44,488.52,482.75,,502.51,522.73,522.94,,487.33,,489.78,,,315.62,,,,,,,,,,,,,,,,,,,,,,,,472.96,,,443.51,,,,274.56,,,,,,282.35,,,308.67,335.1,297.3,,,324.33,315.1,,,,291.44,271.5,,,,,313.46,322.19,325.96,336.79,329.11,341.51,353.58,349.55,336.5,,,,,,321.25,332.15,310.88,293.42,280.91,,298.23,310.75,373.58,397.51,436.97,444.9,452.66,437.17,,,,,420.0,,L7
2000-02-09 22:10:19.398,492.275,498.62,,,,,,384.155,,,511.52,523.71,522.125,503.645,514.055,503.415,497.19000000000005,,,523.515,524.21,519.9300000000001,515.265,500.435,488.315,489.33,,394.67,486.09000000000003,491.78499999999997,,497.13,,,386.52,499.485,497.57,,488.5,488.48,474.70000000000005,,,,492.58500000000004,497.20500000000004,497.07,494.98,497.63,,,,,511.41499999999996,494.51,514.0899999999999,,499.245,498.12,501.28,485.365,480.45,474.015,,,,,,486.30499999999995,,,,,,,505.695,498.38,491.825,495.96000000000004,,517.7,519.86,523.49,,478.55499999999995,,472.99,,,334.845,,,,,,,,,,,,,,,,,,,,,,,,481.335,,,427.08,,,,278.4,303.46,301.45,288.07,299.0,223.41,292.435,335.91,344.98,327.015,339.91,316.03999999999996,333.97,330.73,329.55499999999995,321.685,333.34,327.09,319.17,305.36,278.33000000000004,,295.51,304.45,332.99,322.345,327.94,332.53,340.375,333.31,346.26,358.62,355.35,340.475,364.18,363.75,352.47,368.57,335.01,326.975,337.76,313.55,296.155,286.08000000000004,,314.94500000000005,315.45,384.75,401.28499999999997,438.675,450.59,454.33000000000004,441.78499999999997,,,377.07,394.19,427.25,459.48,L7
2000-03-28 22:10:07.233,492.8066666666667,499.34,445.54,398.35,379.21,385.07,,382.9433333333333,,,521.265,526.3666666666667,521.7433333333333,514.7766666666666,514.055,503.415,497.19000000000005,,,523.515,524.21,519.9300000000001,515.265,500.435,488.315,489.33,,389.265,486.09000000000003,491.78499999999997,,497.13,400.5,381.8,382.565,499.485,497.57,389.52,488.5,459.72,474.70000000000005,,,,492.58500000000004,497.20500000000004,497.07,494.98,497.63,,,,,511.41499999999996,494.51,514.0899999999999,,499.245,498.12,501.28,464.2366666666667,459.34666666666664,474.015,,,,391.77,,486.30499999999995,407.92,413.85,388.19,404.04,,377.34,505.695,498.38,457.10999999999996,462.90000000000003,,517.7,519.86,523.49,,478.55499999999995,,472.99,,,334.845,357.12,,,,,340.7,353.95,356.22,342.89,325.54,340.01,358.84,356.68,376.37,346.76,357.42,330.88,,,,,,,481.335,,370.84,427.08,,,,277.4633333333333,301.025,296.2,283.185,286.87,219.28,293.83666666666664,330.08500000000004,340.21500000000003,329.90333333333336,331.93333333333334,318.48,328.91,326.33000000000004,328.1066666666666,319.18666666666667,325.33,319.335,313.28499999999997,308.37666666666667,275.79333333333335,,282.78999999999996,303.135,328.06,320.26666666666665,328.05,332.92333333333335,340.6766666666667,331.91,346.73,357.8666666666666,354.81333333333333,338.88666666666666,358.51,359.065,346.37,360.89,330.765,325.18,337.76,313.55,296.155,286.08000000000004,,308.58,311.90000000000003,384.75,398.6166666666666,436.59,449.18,452.90000000000003,439.8733333333333,,,371.78999999999996,397.985,425.4166666666667,459.735,L7
2000-04-29 22:09:53.797,499.16,509.2866666666667,450.92,408.02,395.6,395.28499999999997,411.44,386.9599999999999,,,521.265,522.01,511.69,518.16,489.48,495.11,467.065,,463.53,531.17,527.0,524.01,520.31,501.79,491.99,493.51,,389.265,484.12,487.81,440.38,478.82,413.855,391.96500000000003,382.565,482.47,489.01,396.4,488.67,441.90333333333336,475.91,,,,494.49,496.25,498.78,497.59,495.62,,,,,495.34,493.68,495.27,,497.95,501.09,508.4,445.73,443.0,476.83,418.83,410.82,,397.64,,470.96,414.495,417.94500000000005,404.27,409.86,,388.92499999999995,523.92,515.32,427.34999999999997,438.66,,532.89,516.99,524.04,,451.72,,456.2,,366.85,357.495,360.78499999999997,366.43,,,,350.28499999999997,357.385,362.33000000000004,350.575,342.225,350.565,366.28,369.78999999999996,382.885,366.615,365.88,346.02,,,,,,394.43,489.71,,373.91999999999996,410.65,,,,278.91499999999996,301.025,296.2,283.185,286.87,265.81,299.58,335.7033333333333,342.7966666666666,343.6933333333333,336.0733333333333,335.62000000000006,334.10333333333335,332.81333333333333,332.37333333333333,324.3966666666667,329.3333333333333,326.18666666666667,319.99333333333334,320.31666666666666,277.94000000000005,,282.78999999999996,308.92,331.0233333333333,328.96999999999997,335.18666666666667,340.4733333333333,345.33,335.48,352.60999999999996,365.6266666666667,362.1000000000001,344.26666666666665,361.6166666666666,363.49333333333334,359.46000000000004,367.99666666666667,330.765,327.145,343.37,316.22,298.89,291.25,,313.755,312.475,395.92,399.16999999999996,442.50333333333333,454.3766666666667,464.93333333333334,441.2249999999999,,,371.78999999999996,397.985,428.125,471.7366666666667,L7
2000-05-15 22:09:42.527,499.92,512.215,451.3,409.46000000000004,391.78999999999996,393.9433333333333,399.235,390.92333333333335,362.77,370.27,521.265,522.01,511.69,518.16,472.81333333333333,495.11,467.065,,460.77,531.17,527.0,524.01,520.31,501.79,491.99,493.51,,389.0,484.12,487.81,435.5,478.82,413.855,394.1466666666667,383.21999999999997,482.47,489.01,396.33666666666664,488.67,432.95500000000004,475.91,,,,494.49,496.25,498.78,497.59,495.62,384.99,,,,495.34,493.68,495.27,,497.95,501.09,508.4,439.7,436.35749999999996,476.83,412.17999999999995,391.72,,396.2366666666667,,480.755,418.8666666666666,417.94500000000005,397.81666666666666,401.40000000000003,,388.92499999999995,523.92,515.32,418.7075,429.805,372.95,532.89,516.99,524.04,,451.72,368.91,456.2,335.18,366.85,357.495,360.78499999999997,366.43,,310.78,,350.28499999999997,354.54333333333335,361.3066666666667,349.68333333333334,337.24,337.26,359.5233333333333,368.19,382.2966666666666,363.4066666666667,363.1166666666666,338.25,334.51,335.83,,,,375.76,489.71,,373.91999999999996,410.65,265.02,,,278.15666666666664,300.4833333333333,296.44,281.50666666666666,285.9266666666667,288.3525,299.58,334.37,340.9325,342.39,336.385,335.1275,332.89,333.505,332.37333333333333,324.3966666666667,326.965,323.58,322.4325,315.68,276.6666666666667,,280.0733333333333,304.725,331.0233333333333,327.48249999999996,335.18666666666667,340.4733333333333,345.33,332.955,350.73,363.4275,361.1,342.465,359.14,361.475,356.245,364.83,331.1433333333333,326.0466666666667,339.865,312.83000000000004,297.91999999999996,287.25,,310.76,314.17,387.115,400.03,440.5625,452.53999999999996,461.4625,439.9066666666666,,,371.83666666666664,395.74333333333334,428.62000000000006,471.7366666666667,L7
2000-09-04 22:08:22.800,500.8933333333334,516.2066666666667,451.3,409.46000000000004,391.78999999999996,393.9433333333333,399.235,389.68500000000006,375.05499999999995,380.75,531.01,531.68,520.98,537.04,454.505,,452.07,,460.77,,,,501.99,532.73,517.85,521.01,509.55,386.16499999999996,,,435.5,,413.855,394.1466666666667,381.56999999999994,,,396.33666666666664,497.3,411.9125,,,,,,,,,,391.03,452.5,486.98,513.59,520.65,531.06,,,525.45,530.82,514.04,432.365,428.845,456.24,412.17999999999995,391.72,,396.98,,490.55,417.69,417.3,401.44,403.09000000000003,397.32,389.5533333333333,395.27,394.25,392.84499999999997,403.6825,392.84000000000003,,423.31,,432.36,434.47,365.865,,354.46000000000004,363.77,357.94,360.60999999999996,363.66499999999996,349.05,330.615,,348.73333333333335,355.685,361.015,349.5025,339.96500000000003,339.5875,360.09749999999997,369.3225,382.655,368.0675,363.35,341.0475,339.095,340.36,449.15,,472.95,375.76,,,372.33,,277.5,,,276.115,298.995,293.93499999999995,278.225,279.39,314.6775,296.64,333.8566666666666,339.5833333333333,341.40000000000003,336.4175,333.1675,331.9425,332.98249999999996,330.44666666666666,322.7966666666667,324.21000000000004,322.4725,321.965,314.71500000000003,281.1933333333333,,283.76,311.26,334.59999999999997,326.2333333333333,349.48333333333335,341.15999999999997,346.015,331.43666666666667,350.6366666666667,363.34999999999997,360.59749999999997,347.09749999999997,358.73499999999996,361.2075,359.8375,366.5675,329.21,322.72,336.36,316.805,296.95,283.25,,308.2933333333333,326.54333333333335,382.33000000000004,401.4166666666667,440.21999999999997,450.585,461.4525,439.74666666666667,,,369.22,396.52,433.3066666666667,492.84666666666664,L7
2000-09-20 22:08:03.348,502.4925,519.3625,451.3,409.46000000000004,391.78999999999996,393.9433333333333,399.235,389.68500000000006,375.05499999999995,380.75,531.01,512.035,502.08500000000004,537.04,454.505,486.3,470.115,486.06,471.9866666666667,501.82,500.11,501.19,496.82,532.73,517.85,496.01,490.01,386.16499999999996,470.23,477.56,435.5,473.33,430.86999999999995,394.1466666666667,381.56999999999994,464.84,470.26,396.33666666666664,483.795,411.9125,460.58,461.51,460.4,472.3,475.49,471.1,474.91,470.48,479.29,391.03,443.91999999999996,476.70000000000005,495.81500000000005,504.94500000000005,506.49,485.21,,525.45,503.38,514.04,437.142,434.244,455.85,412.17999999999995,391.72,,396.98,455.63,476.75,425.54800000000006,425.6025,411.07399999999996,411.206,416.4,400.60749999999996,414.57,412.56000000000006,401.604,403.6825,392.84000000000003,,440.55,,447.21500000000003,442.76666666666665,365.865,430.43,354.46000000000004,363.77,357.94,360.60999999999996,375.9633333333333,365.48,348.8066666666667,,348.73333333333335,364.078,361.015,349.5025,348.644,348.924,364.8,369.3225,382.655,368.0675,363.35,341.0475,339.095,340.36,449.78499999999997,,486.985,375.76,499.85,,372.33,,277.5,,,289.33,298.995,293.93499999999995,278.225,279.39,314.6775,296.64,333.8566666666666,339.5833333333333,341.40000000000003,345.732,333.1675,331.9425,332.98249999999996,330.44666666666666,322.7966666666667,324.21000000000004,322.4725,321.965,314.71500000000003,281.1933333333333,452.93,283.76,311.26,334.59999999999997,326.2333333333333,349.48333333333335,346.71,346.015,336.95,356.37,363.34999999999997,360.59749999999997,347.09749999999997,358.73499999999996,361.2075,359.8375,366.5675,329.21,322.72,336.36,316.805,296.95,283.25,,308.2933333333333,326.54333333333335,382.33000000000004,401.4166666666667,441.85999999999996,450.585,461.4525,449.175,,,369.22,396.52,433.3066666666667,505.125,L7
2000-10-06 22:07:59.689,504.9425,525.94,454.18000000000006,415.01500000000004,398.0799999999999,398.38,399.235,398.85,375.05499999999995,380.75,535.01,513.505,508.99,534.89,454.505,511.66999999999996,483.84,499.245,485.2475,511.42499999999995,510.65000000000003,510.54499999999996,502.6966666666667,537.005,524.63,476.84,490.01,388.47,445.29,477.56,431.2833333333333,473.33,446.05499999999995,400.6000000000001,384.53,448.755,470.26,403.80999999999995,457.0466666666667,414.06000000000006,460.58,442.985,442.92499999999995,453.69,459.115,471.1,474.91,470.48,494.33000000000004,391.03,443.91999999999996,476.70000000000005,495.81500000000005,504.94500000000005,485.3633333333333,467.17499999999995,,525.45,483.33,519.815,440.9325,438.52000000000004,455.85,412.17999999999995,391.72,,398.7166666666667,475.44,474.50666666666666,429.53000000000003,427.42249999999996,430.072,414.26800000000003,416.4,406.1175,414.64000000000004,410.56,406.094,405.98333333333335,400.15000000000003,,440.55,,441.5733333333333,431.28499999999997,374.54333333333335,430.43,350.56666666666666,351.0333333333333,348.3066666666667,358.6366666666666,373.1225,365.48,348.8066666666667,,338.56,366.60999999999996,360.395,351.70666666666665,354.42,351.1525,366.29,373.53666666666663,384.75,375.86,365.28749999999997,344.43666666666667,339.095,340.36,449.78499999999997,329.34,486.985,364.56666666666666,499.85,383.95,371.0566666666667,,280.74666666666667,,310.63,288.8933333333333,301.935,299.805,278.15,315.54,341.7575,,338.655,341.65,344.26,365.582,336.43666666666667,341.4875,339.56999999999994,338.45666666666665,332.10999999999996,330.7775,329.59000000000003,330.035,314.81666666666666,286.42999999999995,449.39,290.605,324.5225,340.335,331.29499999999996,369.15000000000003,353.21,350.75,339.56333333333333,370.67249999999996,366.84499999999997,357.855,350.89333333333326,360.7,363.4833333333333,366.35999999999996,371.02,331.9,303.89,336.36,316.805,296.95,283.25,299.26,308.2033333333333,337.41499999999996,370.90000000000003,405.485,444.21999999999997,451.99333333333334,465.25666666666666,453.55,,,371.93,391.26,435.5833333333333,520.17,L7
2000-10-22 22:07:50.487,503.73400000000004,521.072,451.9566666666667,411.54333333333335,393.34666666666664,394.75666666666666,394.79333333333335,392.065,375.8833333333334,380.75,526.88,518.9833333333333,512.44,527.335,454.505,519.3966666666666,483.84,499.245,485.2475,511.42499999999995,510.65000000000003,510.54499999999996,502.6966666666667,537.005,524.63,476.84,490.01,388.47,427.46000000000004,477.56,431.2833333333333,466.73,446.05499999999995,397.0775,384.53,443.29333333333335,470.26,400.33,442.435,411.216,460.58,423.8866666666666,442.92499999999995,445.56333333333333,459.115,430.6,459.15,470.48,494.33000000000004,391.03,443.91999999999996,483.63000000000005,495.81500000000005,504.94500000000005,474.7175,467.17499999999995,,525.45,461.95,519.815,440.9325,438.52000000000004,429.65000000000003,410.58666666666664,391.91333333333336,348.07,398.085,475.44,474.50666666666666,425.74,425.14,424.90000000000003,410.25333333333333,416.4,399.554,408.2675,410.56,402.2366666666667,408.80499999999995,399.34749999999997,,416.93666666666667,370.66,441.5733333333333,423.22799999999995,374.54333333333335,430.43,350.56666666666666,351.0333333333333,348.3066666666667,358.6366666666666,373.1225,360.57666666666665,348.8066666666667,,338.56,366.60999999999996,360.395,351.70666666666665,354.42,364.722,359.552,370.305,382.70250000000004,376.304,362.408,340.3375,344.34666666666664,337.82,449.78499999999997,341.90999999999997,486.985,371.8925,499.85,390.15,373.155,,284.02,,301.495,285.18,301.2266666666667,296.81666666666666,283.92999999999995,331.7266666666667,341.7575,,338.03,343.3966666666666,344.26,365.582,336.43666666666667,341.4875,339.56999999999994,338.45666666666665,332.10999999999996,330.7775,329.59000000000003,330.035,314.81666666666666,284.7733333333333,396.45,290.605,324.5225,340.335,331.29499999999996,369.15000000000003,353.21,357.315,345.71,369.65199999999993,372.23333333333335,360.878,348.04499999999996,360.7,363.4833333333333,366.35999999999996,369.705,333.07,303.89,334.885,321.7366666666667,296.95,283.25,295.605,311.4775,332.5566666666666,372.4775,414.19000000000005,442.65200000000004,451.05,461.6475,453.55,,,374.865,393.255,434.88,520.17,L7
2000-11-07 22:07:53.532,503.01500000000004,519.63,448.24666666666667,408.47,384.025,390.90000000000003,386.47,392.065,375.8833333333334,380.75,516.5033333333333,514.3575000000001,508.39,518.26,451.47,515.3025,502.3333333333333,499.245,498.5875,515.9899999999999,516.59,511.3066666666667,505.88750000000005,536.5066666666667,524.63,465.765,490.01,388.47,421.88,485.99,426.73499999999996,466.73,464.9,395.39333333333326,384.53,443.29333333333335,470.26,400.57,441.552,412.258,444.61,408.03499999999997,442.92499999999995,445.56333333333333,459.115,415.1000000000001,441.91,470.48,494.33000000000004,391.03,443.91999999999996,483.63000000000005,495.81500000000005,504.94500000000005,468.512,463.1366666666666,455.35,525.45,456.96399999999994,490.83,441.8025,434.1875,422.7525,406.46500000000003,381.21333333333337,353.945,406.67,478.8866666666666,474.50666666666666,426.674,425.91499999999996,425.81000000000006,409.168,423.52666666666664,398.156,411.178,410.56,402.836,408.3966666666666,399.34749999999997,,404.15999999999997,370.81500000000005,441.5733333333333,420.61999999999995,374.54333333333335,430.43,350.56666666666666,343.12499999999994,342.0,355.7299999999999,375.3533333333333,360.57666666666665,359.1375,,327.905,378.08,357.7133333333333,356.65333333333336,354.4275,365.62249999999995,356.01000000000005,366.10666666666674,380.47,380.274,364.134,333.3966666666667,344.34666666666664,337.82,449.78499999999997,341.90999999999997,486.985,365.0,499.85,390.15,371.8733333333333,,283.352,,303.70666666666665,283.974,301.7425,296.81666666666666,283.92999999999995,335.1925,336.05333333333334,308.77,334.77,342.24,340.24,370.0975,327.8633333333333,338.7175,335.09499999999997,335.9866666666667,329.27666666666664,327.40500000000003,324.3775,326.025,307.6166666666667,284.715,364.59000000000003,290.605,325.8666666666666,338.16,322.585,381.925,347.345,362.5,359.645,374.934,379.7733333333333,367.92600000000004,346.5133333333333,360.51666666666665,361.27,364.1266666666667,365.53666666666663,333.07,303.89,334.885,321.7366666666667,296.95,283.25,295.605,311.4775,332.5566666666666,372.4775,414.19000000000005,439.63750000000005,447.90333333333336,452.60999999999996,453.55,,,374.865,393.255,434.88,531.62,L7
