dates,nzd0031-0000,nzd0031-0001,nzd0031-0002,nzd0031-0003,nzd0031-0004,nzd0031-0005,nzd0031-0007,nzd0031-0008,nzd0031-0009,nzd0031-0010,nzd0031-0011,nzd0031-0012,nzd0031-0013,nzd0031-0014,nzd0031-0015,nzd0031-0016,nzd0031-0017,nzd0031-0018,nzd0031-0019,nzd0031-0020,nzd0031-0021,nzd0031-0022,nzd0031-0023,nzd0031-0024,nzd0031-0025,nzd0031-0028,nzd0031-0029,nzd0031-0030,nzd0031-0031,nzd0031-0032,nzd0031-0033,nzd0031-0034,nzd0031-0035,nzd0031-0036,nzd0031-0037,nzd0031-0038,nzd0031-0039,nzd0031-0040,nzd0031-0042,nzd0031-0043,nzd0031-0044,nzd0031-0045,nzd0031-0046,nzd0031-0047,nzd0031-0048,nzd0031-0058,nzd0031-0059,nzd0031-0060,nzd0031-0061,nzd0031-0062,nzd0031-0063,nzd0031-0064,nzd0031-0065,nzd0031-0066,nzd0031-0067,nzd0031-0068,nzd0031-0069,nzd0031-0070,nzd0031-0071,nzd0031-0072,nzd0031-0073,nzd0031-0074,nzd0031-0075,nzd0031-0076,nzd0031-0077,nzd0031-0078,nzd0031-0079,nzd0031-0080,nzd0031-0091,nzd0031-0096,nzd0031-0097,nzd0031-0098,nzd0031-0099,nzd0031-0100,nzd0031-0101,nzd0031-0102,nzd0031-0103,nzd0031-0104,nzd0031-0105,nzd0031-0106,nzd0031-0107,nzd0031-0108,nzd0031-0109,nzd0031-0110,nzd0031-0111,nzd0031-0112,nzd0031-0113,nzd0031-0114,nzd0031-0115,nzd0031-0116,nzd0031-0117,nzd0031-0118,nzd0031-0119,nzd0031-0120,nzd0031-0122,nzd0031-0123,nzd0031-0124,nzd0031-0125,nzd0031-0126,nzd0031-0127,nzd0031-0128,nzd0031-0129,nzd0031-0130,nzd0031-0131,nzd0031-0132,nzd0031-0133,nzd0031-0134,nzd0031-0135,nzd0031-0136,nzd0031-0137,nzd0031-0138,nzd0031-0139,nzd0031-0140,nzd0031-0141,nzd0031-0142,nzd0031-0143,nzd0031-0144,nzd0031-0145,nzd0031-0146,nzd0031-0147,nzd0031-0148,nzd0031-0149,nzd0031-0150,nzd0031-0151,nzd0031-0152,nzd0031-0153,nzd0031-0159,nzd0031-0160,nzd0031-0162,nzd0031-0163,nzd0031-0164,nzd0031-0165,nzd0031-0166,nzd0031-0167,nzd0031-0168,nzd0031-0169,nzd0031-0170,nzd0031-0178,nzd0031-0179,nzd0031-0180,nzd0031-0181,nzd0031-0006,nzd0031-0041,nzd0031-0049,nzd0031-0050,nzd0031-0051,nzd0031-0052,nzd0031-0053,nzd0031-0054,nzd0031-0084,nzd0031-0085,nzd0031-0121,nzd0031-0154,nzd0031-0155,nzd0031-0156,nzd0031-0157,nzd0031-0158,nzd0031-0161,nzd0031-0171,nzd0031-0172,nzd0031-0173,nzd0031-0174,nzd0031-0175,nzd0031-0176,nzd0031-0177,nzd0031-0182,nzd0031-0183,nzd0031-0184,nzd0031-0055,nzd0031-0056,nzd0031-0057,nzd0031-0026,nzd0031-0027,nzd0031-0081,nzd0031-0082,nzd0031-0083,nzd0031-0089,nzd0031-0090,nzd0031-0092,nzd0031-0093,nzd0031-0094,nzd0031-0095,nzd0031-0185,nzd0031-0186,nzd0031-0086,nzd0031-0087,nzd0031-0088,satname
1999-08-17 22:10:26+00:00,,317.97,,384.79,,,348.1,,369.66,,,302.41,,,,,,,,,,,,,,,,,384.09,380.11,,,,,,,,,,,,,,,,,,,,,,,,,227.42,270.26,307.51,,,294.12,347.09,311.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-11-14 22:04:18+00:00,,317.97,292.06,384.79,,,348.1,,369.66,,,302.41,,,,,,,,341.79,,,,,,,,,384.09,380.11,,,,,,,,,,,,,,,,,,,374.86,,386.11,,,,227.42,270.26,307.51,,,294.12,347.09,311.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-09 22:10:19+00:00,,317.97,292.06,384.79,,,348.1,,369.66,,,302.41,,,,,,,,341.79,,,,,,,,,384.09,380.11,,,,,,,,,,,,,,,,312.68,,,375.175,,386.11,,,,227.42,270.26,307.51,,,294.12,347.09,311.72,,,,,,,,,,,,,,,,,,,,,,308.24,314.32,306.12,300.49,,,,,,,310.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.43,,,,,,,,,,,,,,,307.06,,,,,,,,,,,,,,,,,,,,383.19,,,,L7
2000-04-29 22:09:53+00:00,,,292.06,,,,,,,,,,,,,,,,,341.79,,,,,,,,,,,,,,,,,,,,,,,,,,312.68,,,375.175,,386.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.53999999999996,318.725,309.885,303.675,166.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.395,,,,,,,,,,,,,,,307.06,,,,,,,,,,,,,,,,,,,,383.19,,,,L7
2000-08-03 22:08:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.68,,,375.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.01,321.93333333333334,312.91333333333336,306.37333333333333,169.29500000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.395,,,,,,,,,,,,,327.66,305.23,314.695,,,,,,,,,,,,,,,,,,,,373.93,,,,L7
2001-06-03 22:07:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.91,329.25,317.92,306.32,176.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.61,,,,,,,,,,,,,334.0,313.96,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-06-12 22:01:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.91,329.25,317.92,306.32,176.21,,,296.32,,,,,,,,,,,,,,,,,,,,,,,281.41,,,,,,,300.73,,,,,,,212.72,,,,,,,,,,,,,,,,,,,,,353.61,,,,,,,,,,,,,334.0,313.96,,,,,305.17,,,,,,,,,,,,,,,,,,,,L7
2001-10-02 21:59:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.91,329.25,317.92,306.32,176.21,,,296.32,306.11,,,290.08,345.57,,,,318.34,314.25,,,,,,,,,,,,,281.41,,,,,,,300.73,,,,,,,212.4,,,,,,,,,299.51,,,,,,,,,,,,353.61,,,303.09,,,,234.07,,,311.11,,,334.0,313.96,,,,,305.17,,,,,,,,,,,,,,,,,,,,L7
2002-03-27 22:00:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.75,310.32,,275.49,290.08,345.57,,,,318.34,314.25,,,,,,,,,,,,,296.76,,,,,,,,,,,,,,212.08,,,,,,,,201.04,288.44,,,,297.54,,,,,,,,,,,303.09,,,,234.07,,,311.495,,,,,297.24,,,330.32,,,,,,,,,,,,,,,,,,,,,L7
2002-06-22 22:06:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.22,,,,,,,,,,,,,,,,,,,,266.91,,,,,,,,,,,,,,,,,,221.52,,333.78,,,308.65,227.24,,,290.75,314.53,,275.49,,,302.92,328.31,,,,,307.17,317.25,320.85,303.07,,329.21,,346.12,328.44,,348.34,296.76,,343.95,323.46,337.06,332.38,,267.73,,,,,,,,,,,,,,,201.04,277.37,,,,297.54,,,,312.44,,,,288.72,,,,,,,,,,311.88,,,,,297.24,,,330.32,,,,,,,,,,,,,,,,,,,,,L7
