dates,satname,nzd0043-0000,nzd0043-0001,nzd0043-0002,nzd0043-0003,nzd0043-0004,nzd0043-0005,nzd0043-0006,nzd0043-0007,nzd0043-0008,nzd0043-0009,nzd0043-0010,nzd0043-0011,nzd0043-0012,nzd0043-0013
1999-07-25 22:04:15.362000,L7,340.65,327.56,333.00,318.08,301.72,304.88,307.43,298.91,304.04,331.70,306.79,,,
1999-08-17 22:10:26.276000,L7,,305.04,313.47,320.57,317.32,307.48,312.31,303.40,295.17,314.79,291.68,,,
1999-09-27 22:04:25.056000,L7,384.46,370.12,332.71,319.38,305.30,312.35,306.86,297.27,307.28,322.89,312.97,290.23,294.20,311.37
1999-10-04 22:10:38.131000,L7,,,,,375.83,337.97,321.01,319.78,304.52,326.55,307.10,279.21,292.58,294.98
1999-11-14 22:04:18.343000,L7,387.49,359.46,348.59,296.06,281.77,312.09,308.41,304.73,306.20,323.14,320.40,295.95,292.72,329.80
2000-01-01 22:04:13.486000,L7,322.94,309.78,290.10,,,,,,,310.46,272.02,289.78,280.62,299.17
2000-01-17 22:04:11.868000,L7,343.20,320.55,373.37,,,,,,,,,,,
2000-02-09 22:10:19.398000,L7,,354.31,365.94,380.20,332.22,322.74,325.70,324.26,311.52,329.60,293.98,270.28,294.56,365.11
2000-02-18 22:04:05.276000,L7,,303.27,321.45,342.90,348.60,322.73,325.23,318.20,312.72,333.02,325.09,311.13,312.83,380.47
2000-04-29 22:09:53.797000,L7,349.82,352.97,345.69,352.01,330.42,334.85,344.00,328.14,317.70,332.64,322.57,287.08,284.95,298.31
2000-05-15 22:09:42.527000,L7,285.59,315.55,265.17,315.95,310.81,303.81,312.25,311.59,300.85,314.76,,,,
2000-05-24 22:03:22.722000,L7,343.95,335.38,332.61,317.11,316.31,318.86,320.65,314.62,313.58,332.08,327.28,309.62,284.47,
2000-08-03 22:08:44.137000,L7,370.45,359.09,344.42,339.91,326.20,323.37,322.54,320.33,307.77,323.19,306.03,253.44,,264.97
2000-08-12 22:02:30.151000,L7,347.88,373.17,333.57,335.72,302.04,313.38,312.77,305.82,304.56,326.66,323.95,309.84,299.78,255.08
2000-08-19 22:08:38.248000,L7,,354.98,318.19,319.30,317.86,307.66,313.17,306.62,299.95,312.37,290.78,,,
2000-09-04 22:08:22.800000,L7,382.28,325.96,328.31,318.39,319.61,307.52,312.70,310.21,299.91,317.30,291.04,250.50,,
2000-09-20 22:08:03.348000,L7,,,,,,362.98,330.92,324.99,318.32,329.49,323.50,339.77,301.66,
2000-10-15 22:01:32.252000,L7,345.66,367.62,302.28,296.63,307.05,317.69,,,,,,,268.98,276.16
2000-11-07 22:07:53.532000,L7,,,350.42,359.44,346.94,337.41,343.43,336.96,328.32,335.26,335.76,279.14,302.16,354.65
2001-03-08 22:01:45.126000,L7,,,,297.04,317.73,326.00,303.86,297.68,302.48,322.47,312.18,290.70,275.38,
2001-03-24 22:01:35.778000,L7,390.74,381.69,359.75,395.08,,,338.18,326.92,310.12,330.42,324.76,298.86,319.15,367.84
2001-06-03 22:07:16.736000,L7,,375.90,352.74,355.67,342.62,332.77,337.81,336.35,330.33,333.25,337.50,321.86,295.88,374.04
2001-06-19 22:07:05.722000,L7,,371.65,358.69,363.73,349.66,349.38,349.67,351.20,337.79,343.99,342.78,334.25,321.57,350.91
2001-08-15 22:00:14.727000,L7,378.35,369.77,336.06,335.62,318.32,324.21,330.69,323.56,317.23,333.60,336.76,322.65,298.69,380.08
2001-09-07 22:06:11.116000,L7,,,,,,,369.90,327.17,320.31,326.66,319.16,274.58,344.18,353.17
2001-09-23 22:06:03.238000,L7,,372.84,381.04,393.53,338.25,334.35,331.12,326.46,332.41,,,,,
