dates,nzd0053-0000,nzd0053-0001,nzd0053-0002,nzd0053-0003,nzd0053-0004,nzd0053-0005,nzd0053-0006,nzd0053-0007,nzd0053-0008,nzd0053-0009,nzd0053-0010,nzd0053-0011,nzd0053-0012,satname
1999-11-14 22:04:18+00:00,,,,,315.48,336.83,,327.26,345.78,356.8,,,,L7
2000-02-09 22:10:19+00:00,,353.92,,,315.48,336.83,,327.26,345.78,356.8,,,378.51,L7
2000-04-29 22:09:53+00:00,,354.04,339.0,354.52,334.04,346.71500000000003,,327.26,345.78,360.045,,376.34,375.72,L7
2000-05-15 22:09:42+00:00,352.17,353.5366666666667,341.135,354.52,352.59000000000003,356.6,354.27,,,363.52,364.5,361.47,374.34666666666664,L7
2000-05-24 22:03:22+00:00,336.555,347.3175,337.1333333333333,348.855,345.6433333333334,357.81,353.735,,,366.71000000000004,360.565,361.47,374.34666666666664,L7
2000-08-03 22:08:44+00:00,336.555,347.3175,337.1333333333333,348.855,345.6433333333334,357.81,353.735,351.32,,366.71000000000004,360.565,361.47,374.34666666666664,L7
2000-08-12 22:02:30+00:00,328.05,340.975,333.075,343.83,343.27,355.2,348.9866666666667,351.32,373.94,366.6625,353.25666666666666,357.45666666666665,372.265,L7
2000-08-19 22:08:38+00:00,328.05,340.975,333.075,343.83,343.27,350.5,341.2175,335.56,361.33500000000004,366.6625,353.25666666666666,357.45666666666665,372.265,L7
2000-09-04 22:08:22+00:00,328.05,340.975,333.075,343.83,338.864,347.068,337.294,332.6466666666667,350.34999999999997,366.6625,353.25666666666666,357.45666666666665,372.265,L7
2000-09-13 22:02:02+00:00,328.05,340.975,333.075,331.59,334.9066666666667,345.98,336.8066666666667,333.39,349.86,366.544,353.25666666666666,353.545,372.265,L7
2001-06-03 22:07:16+00:00,,,336.52,345.86,346.36,352.56,346.17,,359.03,366.5,,334.55,358.3,L7
2001-06-19 22:07:05+00:00,312.58,340.06,334.04999999999995,343.245,346.36,355.82,346.38,355.49,359.04999999999995,365.98,370.15,336.45000000000005,356.145,L7
