dates,satname,nzd0054-0000,nzd0054-0001,nzd0054-0002,nzd0054-0003,nzd0054-0004,nzd0054-0005,nzd0054-0006,nzd0054-0007,nzd0054-0008,nzd0054-0009,nzd0054-0011,nzd0054-0012,nzd0054-0013,nzd0054-0014,nzd0054-0015,nzd0054-0016,nzd0054-0017,nzd0054-0018,nzd0054-0019,nzd0054-0020,nzd0054-0021,nzd0054-0022,nzd0054-0023,nzd0054-0024,nzd0054-0025,nzd0054-0026,nzd0054-0027,nzd0054-0028,nzd0054-0029,nzd0054-0030,nzd0054-0033,nzd0054-0034,nzd0054-0035,nzd0054-0037,nzd0054-0038,nzd0054-0039,nzd0054-0040,nzd0054-0042,nzd0054-0043,nzd0054-0044,nzd0054-0045,nzd0054-0046,nzd0054-0047,nzd0054-0048,nzd0054-0049,nzd0054-0050,nzd0054-0051,nzd0054-0052,nzd0054-0053,nzd0054-0054,nzd0054-0055,nzd0054-0056,nzd0054-0057,nzd0054-0058,nzd0054-0059,nzd0054-0060,nzd0054-0061,nzd0054-0062,nzd0054-0063,nzd0054-0064,nzd0054-0065,nzd0054-0066,nzd0054-0067,nzd0054-0068,nzd0054-0069,nzd0054-0070,nzd0054-0071,nzd0054-0072,nzd0054-0073,nzd0054-0074,nzd0054-0075,nzd0054-0076,nzd0054-0077,nzd0054-0078,nzd0054-0079,nzd0054-0080,nzd0054-0081,nzd0054-0082,nzd0054-0083,nzd0054-0084,nzd0054-0085,nzd0054-0086,nzd0054-0087,nzd0054-0088,nzd0054-0089,nzd0054-0090,nzd0054-0091,nzd0054-0092,nzd0054-0093,nzd0054-0094,nzd0054-0010,nzd0054-0031,nzd0054-0032,nzd0054-0036,nzd0054-0041
1999-10-04 22:10:38.131000,L7,336.84,346.71,360.41,368.72,376.72,371.16,375.60,557.50,563.98,551.05,368.03,366.47,365.56,352.39,356.02,377.80,399.66,404.05,405.28,379.62,347.86,336.44,352.98,357.52,358.87,362.55,364.75,369.73,385.18,370.91,381.71,394.30,390.86,375.04,376.59,392.39,401.23,439.84,395.42,364.48,386.02,385.52,391.43,399.55,402.04,414.35,421.72,415.26,400.41,405.78,480.35,471.62,434.11,468.00,462.10,466.03,440.14,483.75,494.43,494.26,476.27,374.94,377.58,383.57,369.73,403.94,407.22,392.33,389.13,393.70,410.62,400.49,401.60,433.48,437.06,465.16,401.76,397.64,361.67,411.46,399.23,394.87,507.77,515.61,518.59,518.44,513.87,523.39,440.34,382.86,,,,,
2000-10-22 22:07:50.487000,L7,429.37,437.96,441.51,442.33,450.17,457.21,450.48,464.22,469.05,,428.93,437.13,,,,,481.58,484.98,491.00,484.15,483.83,472.07,471.67,471.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.71,237.95,,,,,,,,,,,,,,,,,439.91,443.71,447.38,458.44,461.22,,,,,,497.85,504.83,503.56,507.50,,,,,,,435.37,,,,
2000-11-07 22:07:53.532000,L7,408.61,418.24,425.70,425.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-27 22:07:54.461000,L7,,,,,484.29,251.61,538.31,325.90,331.35,341.78,486.90,544.71,,,,,313.93,319.01,318.95,318.15,292.48,535.54,302.55,524.60,518.62,427.20,,,,,277.00,345.04,336.73,303.39,314.30,290.51,370.68,383.98,,,,,,,,258.04,260.32,248.92,423.95,,,,,,244.26,195.38,231.45,358.01,392.73,405.94,435.36,536.34,325.50,276.94,471.64,251.15,343.36,281.00,305.87,350.61,,,551.59,300.80,296.84,309.14,313.01,314.38,347.48,342.40,403.60,359.72,347.30,397.22,366.91,324.62,444.85,465.11,459.89,406.87,558.72,351.58,317.08,337.53,295.07
2001-06-03 22:07:16.736000,L7,321.39,330.04,291.53,294.09,311.93,275.53,270.90,,,237.59,264.97,260.13,253.30,,,,,,,,,,,,,,,,290.02,326.64,349.29,363.38,350.45,361.32,377.12,377.28,371.46,380.79,367.77,357.12,,,,,361.95,356.34,301.63,300.74,300.53,295.26,297.58,295.45,288.40,292.99,327.55,324.41,327.52,334.75,509.22,471.70,461.19,452.68,,,,,257.23,272.22,272.00,270.57,269.99,,279.08,282.01,281.59,284.57,281.52,279.60,,324.73,321.39,317.61,,,,284.12,279.25,276.84,270.46,,257.43,342.60,345.97,347.33,381.24
2001-12-12 22:06:14.960000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.51,327.95,311.91,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-28 22:06:14.106000,L7,319.41,,,218.12,225.19,251.36,228.86,266.35,294.75,294.35,267.27,564.11,449.33,254.13,325.60,403.90,418.14,,343.74,413.03,230.35,230.15,214.78,221.33,345.11,353.11,305.66,308.99,341.60,330.85,264.87,320.07,263.82,,,,294.06,274.08,269.16,276.55,277.53,340.08,302.75,311.08,316.41,265.29,317.21,321.78,324.00,320.19,276.48,229.52,,,,289.18,369.32,378.90,211.12,223.19,237.06,500.86,220.53,497.36,393.45,329.72,293.68,313.70,298.63,212.76,250.00,,349.29,342.02,471.13,556.18,,,,512.33,520.46,301.93,321.10,306.04,323.50,322.62,305.24,,,276.13,283.12,273.96,333.54,259.15,292.04
2002-02-14 22:06:29.522000,L7,229.32,238.17,231.45,234.10,241.95,248.75,256.78,216.11,231.40,231.64,232.30,249.26,293.56,318.61,327.79,338.16,227.30,225.27,,,,,,,,,,,,,226.40,217.58,239.58,225.52,235.95,225.17,265.47,227.65,,319.98,235.15,229.38,193.17,241.29,243.20,261.92,312.44,312.77,317.35,308.16,356.65,321.76,231.75,199.69,279.49,269.68,255.95,291.94,201.42,218.61,227.06,225.27,335.38,234.65,,290.77,221.74,219.07,226.14,225.94,231.24,231.16,227.22,227.06,236.54,223.04,,315.13,266.50,247.10,222.87,232.08,225.73,,275.56,362.90,191.32,278.24,287.83,405.11,226.42,,177.70,231.70,253.66
2002-03-18 22:06:22.131000,L7,308.88,274.91,193.72,300.58,315.43,331.38,334.37,273.58,232.85,267.82,402.58,430.67,296.86,254.77,272.88,251.23,296.65,280.07,278.70,322.17,338.62,,,,,346.76,370.87,301.64,291.04,468.49,291.20,308.40,,326.10,390.99,377.89,312.44,311.08,300.61,288.81,276.57,262.02,,,,389.34,396.66,356.70,381.08,384.84,412.43,367.81,263.51,258.98,253.42,254.26,259.62,273.17,269.49,268.47,264.11,221.02,256.57,257.83,250.89,229.88,270.79,246.64,299.40,318.45,339.80,337.92,304.41,314.65,308.30,360.98,356.60,342.73,359.92,261.60,250.63,257.15,402.36,400.34,342.80,346.79,354.06,349.14,294.53,366.19,430.51,466.69,270.52,,310.39
2002-07-08 22:06:00.488000,L7,207.50,194.25,202.96,229.26,217.71,219.76,215.87,204.20,199.05,196.79,,,,215.57,213.00,232.78,230.21,222.05,208.16,,,,,,,,,,,244.00,210.13,264.59,255.36,234.81,225.36,,,,,,,,291.96,308.76,,,,,,,,,278.11,286.46,289.97,259.01,299.86,243.38,304.88,252.55,,,,269.28,288.53,232.21,,,,,,,,,,,,,,340.62,218.65,292.78,,,,,,,,,203.53,227.65,288.20,258.60,
