dates,satname,nzd0055-0000,nzd0055-0001,nzd0055-0002,nzd0055-0003,nzd0055-0004,nzd0055-0005,nzd0055-0023,nzd0055-0024,nzd0055-0025,nzd0055-0007,nzd0055-0008,nzd0055-0009,nzd0055-0010,nzd0055-0011,nzd0055-0012,nzd0055-0006,nzd0055-0013,nzd0055-0014,nzd0055-0015,nzd0055-0022,nzd0055-0021
1999-10-13 22:04:24.936000,L7,,,,260.69,296.22,,,,,,,,,,,,,,,,
1999-11-14 22:04:18.343000,L7,,,,,,,,,,318.45,370.86,384.65,380.52,,,314.94,,,,,
1999-11-30 22:04:11.332000,L7,,,,,,,,,,354.11,376.59,384.18,381.80,,,321.03,,,,,
2000-01-01 22:04:13.486000,L7,,,,,,,,,,318.55,370.86,377.38,378.62,,,313.87,,,,,
2000-05-24 22:03:22.722000,L7,,,,,,280.47,,,,358.73,377.25,388.76,382.63,,,320.26,,,,,
2000-08-12 22:02:30.151000,L7,,,,,,289.77,,,,344.50,367.28,375.83,372.74,,,312.36,,,,,
2000-09-13 22:02:02.316000,L7,378.76,390.87,396.58,379.00,368.58,383.23,305.51,333.71,364.56,,,,,,,,,,,,
2000-09-20 22:08:03.348000,L7,,,,,,377.00,,,,317.18,,318.06,315.29,,,284.16,,,,,
2000-10-15 22:01:32.252000,L7,341.30,306.38,,,306.74,,,,,,,,,,,,,,,,
2001-03-24 22:01:35.778000,L7,375.60,377.37,366.89,274.15,,,,,,291.57,283.37,335.07,331.49,343.24,329.39,,,,,,
2001-08-15 22:00:14.727000,L7,,,,,,287.82,,,,347.00,373.07,384.50,375.95,371.18,,314.79,,,,,
2001-10-02 21:59:40.713000,L7,,,,,,285.78,305.79,320.80,347.66,296.92,288.72,339.61,,,,303.96,,,,308.66,
2001-11-19 21:59:56.393000,L7,,,355.53,376.76,388.36,275.77,,,,314.33,370.11,382.83,378.18,,,315.77,,,,,
2001-12-05 21:59:55.034000,L7,,322.93,366.77,273.72,356.70,369.89,,,,,,,,,,263.26,,,,,
2001-12-21 22:00:05.972000,L7,383.66,327.19,288.34,271.84,346.24,222.11,,,,,,,,,,247.86,,,,,
2002-01-22 22:00:16.971000,L7,394.71,397.07,302.73,270.97,313.20,,,,,,282.55,307.36,360.77,356.50,319.86,,282.01,,,,
2002-02-23 22:00:19.685000,L7,,,,,,,,,,321.14,354.50,379.75,378.87,,,308.60,,,,,
2002-03-27 22:00:13.634000,L7,,,,,,,,,,375.86,367.23,384.90,378.64,365.64,363.14,362.63,,,,,
2002-04-28 22:00:14.417000,L7,,,374.17,364.29,337.19,331.27,,,,299.36,285.96,354.59,364.67,356.23,348.90,301.73,347.88,,,,
2002-06-15 21:59:55.710000,L7,335.32,345.76,,,,,,,,291.37,300.18,345.49,370.38,358.32,345.00,308.34,359.84,,,,
2002-07-17 21:59:44.793000,L7,,,,,,300.97,,,,351.60,373.29,388.29,,,,315.37,,,,,
2002-08-18 21:59:33.737000,L7,,,,,,285.70,,,,355.36,375.57,380.16,380.61,,,320.52,,,,,
2002-09-19 21:59:11.129000,L7,349.19,311.43,334.67,272.36,348.01,357.02,,,,,,,,,,259.35,,,,,
2002-11-22 21:59:33.639000,L7,,,,,,291.69,,,,362.50,385.77,389.69,,,,330.46,,,,,
2003-01-09 21:59:45.950000,L7,,383.88,396.47,285.93,397.67,,,,,,,,,317.81,281.29,,293.79,262.44,178.13,,
2003-03-30 22:00:07.079000,L7,,,,,,,,,,,,,,,,,,244.38,180.02,,
2003-07-28 21:48:04.987000,L5,353.02,346.19,328.70,312.21,329.61,,,,,,,,303.96,311.09,327.17,,325.38,313.66,191.53,,
