dates,nzd0059-0000,nzd0059-0001,nzd0059-0002,nzd0059-0003,nzd0059-0004,nzd0059-0005,nzd0059-0006,nzd0059-0007,nzd0059-0008,nzd0059-0009,nzd0059-0010,nzd0059-0011,nzd0059-0012,nzd0059-0013,nzd0059-0014,nzd0059-0015,nzd0059-0016,nzd0059-0017,nzd0059-0018,nzd0059-0019,nzd0059-0024,nzd0059-0025,nzd0059-0026,nzd0059-0027,nzd0059-0028,nzd0059-0029,nzd0059-0030,nzd0059-0031,nzd0059-0032,nzd0059-0033,nzd0059-0034,nzd0059-0035,nzd0059-0036,nzd0059-0037,nzd0059-0038,nzd0059-0039,nzd0059-0040,nzd0059-0041,nzd0059-0042,nzd0059-0043,nzd0059-0044,nzd0059-0045,nzd0059-0046,nzd0059-0047,nzd0059-0048,nzd0059-0057,nzd0059-0058,nzd0059-0059,nzd0059-0060,nzd0059-0061,nzd0059-0063,nzd0059-0064,nzd0059-0065,nzd0059-0066,nzd0059-0067,nzd0059-0068,nzd0059-0069,nzd0059-0070,nzd0059-0071,nzd0059-0074,nzd0059-0075,nzd0059-0076,nzd0059-0077,nzd0059-0079,nzd0059-0080,nzd0059-0081,nzd0059-0082,nzd0059-0083,nzd0059-0084,nzd0059-0085,nzd0059-0086,nzd0059-0087,nzd0059-0088,nzd0059-0089,nzd0059-0090,nzd0059-0091,nzd0059-0092,nzd0059-0093,nzd0059-0094,nzd0059-0020,nzd0059-0021,nzd0059-0022,nzd0059-0023,nzd0059-0049,nzd0059-0050,nzd0059-0051,nzd0059-0052,nzd0059-0053,nzd0059-0054,nzd0059-0055,nzd0059-0056,nzd0059-0062,nzd0059-0072,nzd0059-0073,nzd0059-0078,satname
1999-08-17 22:10:26.276,,,,,,275.63,269.0,,,,,,,,,,,475.5,,,,,,,,,,,,,,,,,,,,247.91,261.54,247.21,231.0,211.49,204.41,211.01,204.94,,,,,,,,231.63,,,,,,,,,,,,,468.27,,,381.18,,,,,404.96,,,,417.41,,,,,,,,,,,,,,,,,,L7
1999-10-04 22:10:38.131,,,338.67,,,288.03999999999996,284.625,,,,,284.25,,,,,,475.5,,,,,238.61,,,,,238.38,245.01,258.29,251.07,,,,,,,246.22,254.945,243.075,234.04500000000002,223.15,221.32999999999998,226.39499999999998,224.82999999999998,,,199.35,198.6,211.98,218.24,217.8,229.89,219.05,211.98,222.7,214.6,218.28,213.03,213.96,204.79,210.05,212.57,207.48,214.46,448.7,,,390.695,,,,,423.96500000000003,,,,434.615,,,,,,,,,,251.25,,,242.82,209.4,218.9,220.79,208.51,L7
2000-02-09 22:10:19.398,,,338.67,,,288.03999999999996,284.625,439.57,,,,295.995,,,402.57,,,475.5,,,,,238.61,,342.34,,395.12,246.57,233.565,254.81,240.29500000000002,,,,,,204.74,236.63,254.945,230.92666666666665,227.98333333333335,227.41,227.0,226.39499999999998,224.82999999999998,,,211.22,200.06,209.185,211.04500000000002,208.755,222.07000000000002,213.865,208.83499999999998,213.82999999999998,209.78,212.98000000000002,210.01999999999998,212.095,199.345,203.095,206.11,201.91,207.42000000000002,448.7,,,390.695,381.82,,,,423.96500000000003,,,,434.615,,,,,,,,,,263.075,,,229.555,208.235,217.04000000000002,214.83999999999997,203.19,L7
2000-03-28 22:10:07.233,403.21,399.92,348.57000000000005,,,300.45,300.25,420.03999999999996,,,,295.995,,,408.87,,431.12,474.61,,,,,255.685,274.2,324.59,,396.045,246.57,233.565,254.81,240.29500000000002,,,,,,219.875,230.99,248.35,222.78499999999997,226.47500000000002,235.37,238.29500000000002,241.78,244.72,,,211.22,200.06,209.185,205.26999999999998,208.755,217.29000000000002,213.865,226.43999999999997,213.82999999999998,209.78,212.98000000000002,210.01999999999998,212.095,207.34666666666666,220.45333333333335,206.11,201.91,218.01666666666665,429.13,,,400.21,386.725,,,553.54,442.97,,,,451.82,,,,,322.56,,,,223.63,263.075,,,229.555,208.235,217.04000000000002,214.83999999999997,209.2266666666667,L7
2000-04-29 22:09:53.797,403.66499999999996,404.025,358.47,,,313.51,,420.03999999999996,,,,307.74,,390.5,407.0333333333333,411.47,427.64,474.61,,,456.9,479.41,272.76,283.26,324.59,,394.85666666666674,254.76,222.12,251.33,229.52,,,,,,238.1833333333333,240.15,265.87,233.47500000000002,215.86,235.93,257.16,274.78,260.44,430.74,,223.09,201.52,220.195,209.98666666666668,219.145,220.72500000000002,220.35500000000002,233.76,221.85500000000002,222.875,220.86,221.305,218.26,212.13666666666668,225.32666666666668,199.65,196.34,219.79499999999996,,,,388.81,392.93,408.41,,537.41,,,,,,,,,,309.21000000000004,262.67,256.05,262.47,242.825,269.54999999999995,,,216.29,219.08499999999998,222.595,219.095,209.58500000000004,L7
2000-05-15 22:09:42.527,403.66499999999996,404.025,358.47,266.88,259.15,313.51,,420.03999999999996,248.32,,,307.74,,382.225,400.925,399.68,415.1433333333334,474.61,,437.26,450.96,461.74,272.76,282.39,324.59,,394.85666666666674,247.015,239.0,251.275,241.515,250.1,242.86,228.38,228.7,232.86,238.1833333333333,235.3166666666667,248.17000000000002,233.83666666666667,222.565,233.35000000000002,257.16,274.78,246.8,430.655,,205.285,195.365,211.84,206.065,219.145,220.72500000000002,220.35500000000002,233.76,221.85500000000002,222.875,213.57666666666668,221.305,218.26,212.13666666666668,225.32666666666668,199.65,196.34,219.79499999999996,391.94,,,400.5,402.4525,422.31,,537.41,480.41,,,455.94,469.27,,,,,309.21000000000004,243.87,239.99,246.31,237.74666666666667,256.18,221.48,225.66,211.14999999999998,209.47333333333333,214.14,219.095,209.58500000000004,L7
2000-08-03 22:08:44.137,403.66499999999996,404.025,358.47,258.345,261.95,313.51,,420.03999999999996,252.43,,,307.74,,382.225,400.925,398.14000000000004,401.96000000000004,474.61,,420.115,450.96,461.74,272.76,282.39,324.59,,394.85666666666674,238.13333333333333,238.54,249.40333333333334,240.73000000000002,240.85,237.83,229.36,227.28,230.86,238.1833333333333,235.0625,238.5566666666667,231.77,222.41,231.28,257.16,274.78,239.9,421.72,,205.285,194.08333333333334,211.075,205.31199999999998,219.145,216.17,215.64333333333335,227.52749999999997,215.11666666666667,217.66,212.6475,216.29,211.76333333333332,210.60250000000002,218.67249999999999,203.60500000000002,198.23000000000002,219.79499999999996,391.94,,,404.53,402.4525,422.31,,537.41,480.41,388.18,395.02,450.51,469.27,,,,,309.21000000000004,238.70666666666668,235.75333333333333,241.27666666666667,236.685,251.2825,227.5,229.285,211.14999999999998,208.3225,211.6525,216.10666666666665,206.49,L7
2000-08-19 22:08:38.248,393.92333333333335,404.025,343.745,258.345,261.95,313.51,,419.885,252.43,389.26,398.63,389.07,384.9,391.2,392.0425,390.67,401.96000000000004,466.265,441.82,420.115,442.49333333333334,455.98333333333335,272.76,282.39,306.84,,394.7250000000001,229.82,246.75,248.44,246.33500000000004,240.85,237.83,229.36,227.28,230.86,254.90499999999997,240.9333333333333,238.5566666666667,240.15,225.685,228.955,275.98,274.78,239.9,424.735,,187.48,190.365,212.63666666666666,207.502,238.58,221.04,219.12500000000003,234.80666666666664,220.195,224.01,214.30333333333337,220.93,212.52999999999997,216.17,226.1833333333333,207.56,200.12,239.21,391.94,,,404.53,409.33,422.31,,537.41,480.41,388.18,395.02,450.51,469.27,,,,,309.21000000000004,238.70666666666668,235.75333333333333,241.27666666666667,236.685,243.41,239.39333333333335,229.285,206.01,211.54000000000002,210.4766666666667,219.71499999999997,210.8,L7
2000-09-20 22:08:03.348,398.6825,404.3566666666666,343.745,258.345,261.95,313.51,,419.885,252.43,388.075,396.53999999999996,395.32,398.025,398.7,392.0425,390.67,401.96000000000004,465.23,457.505,420.115,442.49333333333334,455.98333333333335,272.76,282.39,306.84,,394.7250000000001,229.82,246.75,248.44,246.33500000000004,240.85,237.83,229.36,227.28,230.86,254.90499999999997,240.9333333333333,238.5566666666667,240.15,225.685,228.955,275.98,274.78,239.9,424.73400000000004,,187.48,190.365,212.63666666666666,207.502,238.58,221.04,219.12500000000003,234.80666666666664,220.195,224.01,214.30333333333337,220.93,212.52999999999997,216.17,226.1833333333333,207.56,200.12,239.21,391.94,466.86,,404.53,409.33,435.98333333333335,419.19,537.41,480.41,407.03499999999997,404.78,450.11999999999995,463.7,438.24,,,,309.21000000000004,238.70666666666668,235.75333333333333,241.27666666666667,236.685,243.41,239.39333333333335,229.285,206.01,211.54000000000002,210.4766666666667,219.71499999999997,210.8,L7
2000-10-22 22:07:50.487,397.17333333333335,406.57499999999993,311.56,258.345,272.37333333333333,298.88,287.54,439.26,258.4766666666667,388.075,396.53999999999996,395.32,398.025,398.7,384.3333333333333,390.67,392.24000000000007,467.33,457.505,420.115,442.49333333333334,455.98333333333335,,272.26,,,392.48,231.32000000000002,248.91333333333333,250.29,245.67999999999998,241.74,239.78666666666666,232.91,231.43999999999997,234.95666666666668,256.97,239.995,237.7225,239.3375,231.22,232.72333333333333,256.11,256.81,241.79500000000002,424.73400000000004,,187.48,190.365,212.63666666666666,210.9475,238.58,221.04,219.12500000000003,221.385,220.195,224.01,214.30333333333337,220.93,212.52999999999997,212.58000000000004,211.69,207.56,200.12,,391.94,460.015,,404.53,415.7733333333333,443.5325,401.78499999999997,507.52,486.265,407.03499999999997,419.5333333333333,450.615,465.19,443.48,,,,295.86,240.085,237.76,242.3825,243.11,242.5325,241.73250000000002,235.13,217.005,211.54000000000002,210.4766666666667,219.71499999999997,200.3,L7
