dates,nzd0062-0000,nzd0062-0014,nzd0062-0015,nzd0062-0016,nzd0062-0017,nzd0062-0018,nzd0062-0019,nzd0062-0020,nzd0062-0021,nzd0062-0022,nzd0062-0046,nzd0062-0047,nzd0062-0048,nzd0062-0049,nzd0062-0050,nzd0062-0062,nzd0062-0063,nzd0062-0064,nzd0062-0065,nzd0062-0066,nzd0062-0067,nzd0062-0068,nzd0062-0069,nzd0062-0070,nzd0062-0071,nzd0062-0051,nzd0062-0026,nzd0062-0027,nzd0062-0042,nzd0062-0043,nzd0062-0044,nzd0062-0045,nzd0062-0052,nzd0062-0053,nzd0062-0054,nzd0062-0056,nzd0062-0057,nzd0062-0058,nzd0062-0059,nzd0062-0060,nzd0062-0061,nzd0062-0001,nzd0062-0002,nzd0062-0003,nzd0062-0004,nzd0062-0005,nzd0062-0011,nzd0062-0012,nzd0062-0013,nzd0062-0023,nzd0062-0024,nzd0062-0025,nzd0062-0030,nzd0062-0031,nzd0062-0032,nzd0062-0033,nzd0062-0034,nzd0062-0035,nzd0062-0036,nzd0062-0037,nzd0062-0038,nzd0062-0039,nzd0062-0040,nzd0062-0041,nzd0062-0055,nzd0062-0006,nzd0062-0007,nzd0062-0008,nzd0062-0009,nzd0062-0010,nzd0062-0028,nzd0062-0029,satname
2003-01-16 22:06:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,357.97,,,,407.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2005-03-02 22:04:24+00:00,,,,,203.25,225.38,,213.47,,231.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.45,,,,,233.38,258.45,,249.54,,,,,,,,,,,,,,,L5
2005-08-25 22:05:41+00:00,,,,,203.25,225.38,,213.47,,231.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.1,234.45,,,,,233.38,258.45,,249.54,,,,,,,,,,,,,,,L5
2006-08-28 22:11:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.68,398.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.49,,,,,,,,,L5
2013-05-11 22:19:31+00:00,,,,,,,,,,,,,,,,237.6,222.06,183.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.64,,,,,,,,,,,,,,,,,L8
2013-06-28 22:19:33+00:00,,,,,,,,,,,,,,,,237.6,222.06,183.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.82,263.75,,,,,,,,,,,,,,,,L8
2013-08-31 22:19:38+00:00,,,,,,,,,,,,,,,,237.6,222.06,183.51,,,,,,,368.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.82,263.75,,,,,,,,,,,,,,,,L8
2014-02-07 22:18:33+00:00,,,203.89,222.62,240.69,256.61,267.81,250.19,258.53,258.97,,,,222.04,254.67,,259.56,,256.17,248.33,,,,220.51,316.37,252.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.82,264.91,265.46,269.85,,,,,,,,,,,,,,,L8
2014-02-23 22:18:20+00:00,,172.82,203.47,222.995,237.405,254.395,261.265,248.1,253.77999999999997,256.1,,,,219.03,249.18,256.99,252.60500000000002,188.65,256.17,248.33,236.8,243.09,256.73,220.51,316.37,251.365,,,,,,,254.89,,,,,,,,,,,,,,,,,,,,,,251.82,263.655,263.595,264.74,,,,,,,,,,,,,,,L8
2014-03-27 22:17:50+00:00,,172.82,203.47,222.995,237.405,254.395,261.265,248.1,253.77999999999997,256.1,,,,219.03,249.18,256.99,252.60500000000002,188.65,256.17,248.33,236.8,243.09,256.73,216.0,261.96500000000003,251.365,,,,,,,254.89,,,,,,,,,,,,,,,,,,,,,,251.82,263.655,263.595,264.74,,,,,,,,,,,,,,,L8
2014-04-12 22:17:37+00:00,,172.82,203.6833333333333,223.60666666666668,238.4766666666667,255.42333333333332,261.01666666666665,247.34666666666666,253.6,255.36333333333334,,250.74,237.12,219.96333333333334,238.48666666666668,261.745,253.83333333333334,218.655,256.09000000000003,248.48000000000002,242.41000000000003,244.7,261.18,216.0,261.96500000000003,251.57666666666668,,,,,,,258.52,,,,,,,,264.59,,,,,,,,,,,,,,251.82,263.96666666666664,263.4433333333333,264.73,,,,,,,,,,,,,,,L8
2015-02-26 22:17:23+00:00,,,203.81,218.76,236.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2015-08-05 22:17:13+00:00,,,203.81,218.76,236.94,,,244.11,247.44,211.68,,,,,,244.62,,216.14,247.73,230.88,224.62,222.98,,,,,,,,,,,,,248.81,217.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.55,,,,,,,,L8
2015-12-27 22:17:43+00:00,,,,,,,,244.11,243.33499999999998,213.38,,,,,,244.62,,216.14,247.73,230.88,224.62,222.98,,,,,,,,,,,,,248.81,217.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.55,,,,,,,,L8
2016-06-04 22:17:16+00:00,,174.31,205.06,223.35,237.45,239.22,275.93,241.01,241.655,209.965,239.74,248.7,230.58,218.69,245.07,262.7,235.23,240.62,252.99,244.55,,247.61,258.73,,,251.39,,,,,208.68,221.12,243.91,243.26,244.38,239.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.52,,,,,,,,L8
2017-01-30 22:17:38+00:00,,,,191.57,236.99,215.61,,,,,,,,,,246.24,245.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2017-03-03 22:17:25+00:00,,,,191.57,236.99,215.61,,248.03,254.19,243.38,226.67,255.2,238.42,224.24,243.34,246.24,250.505,252.23,,,252.51,253.02,267.22,218.36,267.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.06,215.58,253.26,,,,,,,,,,,,,,,,L8
2017-04-20 22:16:59+00:00,,180.72,211.54,209.5,239.10000000000002,215.09,,248.03,254.19,243.38,227.57999999999998,254.495,236.765,224.24,243.34,246.24,250.505,252.23,,,252.51,253.02,267.22,218.36,267.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.06,215.58,253.26,,,,,,,,,,,,,,,,L8
2017-05-06 22:16:55+00:00,,179.45,210.73,215.24333333333334,229.29,215.5533333333333,,247.07,253.365,245.20999999999998,227.57999999999998,253.84,237.28666666666666,226.135,243.34,243.845,249.47333333333336,251.08999999999997,257.0,,253.605,254.175,267.44500000000005,218.36,267.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.06,215.58,253.26,,,,,,,,,,,,,,,,L8
2017-12-16 22:17:46+00:00,,,,,238.72,226.0,242.29,244.81,,,220.72,253.82,239.41,225.97,243.0,255.5,258.43,253.15,,248.1,,252.69,262.68,,,240.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2018-02-18 22:17:22+00:00,,183.69,211.67,225.53,222.865,223.025,242.29,244.81,,,220.72,253.82,239.41,225.97,243.0,249.805,247.715,250.995,,248.1,,252.69,262.68,,,240.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2018-06-10 22:16:26+00:00,,185.95999999999998,212.70499999999998,230.18,229.79999999999998,232.88666666666668,242.29,248.345,254.61,246.2,232.95499999999998,247.54500000000002,240.05,225.7,245.55,255.91333333333333,250.9433333333333,253.38333333333335,260.04,253.58499999999998,,255.52,267.015,217.75,276.65,246.095,,,,,224.86,207.42,245.69,186.48,180.76,,,,,,255.96,,,,,,,,,241.29,,,,174.88,247.73,253.81,250.93,254.11,,,,,,,,,,,,,,,L8
2018-07-28 22:16:51+00:00,,185.95999999999998,209.83666666666667,228.91666666666666,219.04999999999998,239.47333333333336,,251.88,254.61,246.2,245.19,241.27,240.69,225.43,248.1,256.12,247.19999999999996,253.50000000000006,260.04,259.07,,258.35,271.35,217.75,276.65,251.52,,,,,224.86,207.42,245.69,186.48,180.76,,,,,,255.96,,,,,,,,,241.29,,,,174.88,247.73,253.81,250.93,254.11,,,,,,,,,,,,,,,L8
2018-12-03 22:17:30+00:00,,188.23,208.92000000000002,230.61,225.07,249.18500000000003,,251.88,254.61,246.2,245.19,241.27,240.69,225.43,248.1,255.20999999999998,248.7,258.16,260.04,259.07,,258.35,271.35,217.75,276.65,251.52,,,,,224.86,207.42,245.69,186.48,180.76,,,,,,255.96,,,,,,,,,241.29,,,,174.88,247.73,253.81,250.93,254.11,,,,,,,,,,,,,,,L8
2019-02-05 22:17:21+00:00,,190.58,220.03,236.52,247.22,246.12,245.05,249.65,250.63,236.11,227.44,252.64,237.07,226.51,241.02,253.305,250.25,249.1,249.4,246.13,249.47,258.11,268.8,,,245.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.44,,,,,,,,,,,,,,,,,L8
2019-05-28 22:17:17+00:00,,190.58,220.03,236.52,247.22,246.12,245.05,249.65,250.63,236.11,227.44,252.64,237.07,226.51,241.02,248.66666666666666,250.25,251.51,227.76,250.53000000000003,252.245,259.22,269.025,,,245.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.44,,,,,,,,,,,,,,,,,L8
2019-11-04 22:17:58+00:00,,,,,,,,,,,,,,,,239.39,236.94,253.92,206.46,254.93,246.3,251.315,265.59000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2019-12-22 22:17:51+00:00,,,,,,,,,,,,,,,,239.15,237.34,,206.8,,237.94,241.895,259.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2020-01-23 22:17:43+00:00,214.5,188.46,219.6,238.24,247.21,241.9,,245.23,246.49,231.81,210.07,219.49,238.82,222.74,234.06,251.58999999999997,244.32666666666668,252.42,225.26,,241.73000000000002,244.85666666666668,260.8933333333334,216.59,,230.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2020-02-08 22:17:38+00:00,214.5,182.825,217.0,235.06,245.81,222.965,,245.23,246.49,231.81,210.07,219.49,238.82,222.74,234.06,246.66,240.68,250.005,225.26,,247.69750000000002,245.32,260.0625,213.76,259.02,230.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2020-02-24 22:17:35+00:00,214.5,184.17999999999998,218.42333333333332,235.33,246.74333333333334,222.965,245.87,245.23,246.49,231.81,210.07,219.49,238.82,222.74,234.06,245.0725,244.958,250.55999999999997,231.8166666666667,270.9,252.10200000000003,247.82,260.826,213.76,259.02,230.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2020-04-28 22:17:04+00:00,214.5,184.17999999999998,218.42333333333332,235.33,246.74333333333334,222.965,245.87,245.23,246.49,231.81,210.07,219.49,238.82,222.74,234.06,243.052,247.93666666666664,250.355,237.1825,270.9,252.1716666666667,250.01666666666665,261.8333333333333,213.76,259.02,230.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2020-08-02 22:17:33+00:00,,182.03999999999996,217.83499999999998,224.76,245.26999999999998,199.345,245.87,,,,,,,,,237.36,251.54666666666662,249.66666666666666,249.10500000000002,270.9,262.6133333333334,255.17666666666662,262.7733333333333,210.93,259.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2020-09-03 22:17:46+00:00,,,,206.53,242.79,194.66,,,,,,,,,,234.97,262.83,249.74,253.28,,261.645,268.83500000000004,254.425,215.22,265.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2021-05-01 22:17:07+00:00,,187.65,225.95,241.17,249.26,245.74,245.99,250.24,253.48,221.99,,255.0,245.45,229.42,,232.98,250.01,219.26,204.1,,248.0,251.38,267.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2022-01-04 22:17:52+00:00,,196.48,226.26,243.85,249.44,244.85,,252.99,228.46,224.72,206.04,216.53,243.53,230.05,199.66,234.2,256.08,250.49,205.02,207.46,248.54,249.2,260.39,218.98,264.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L9
2022-01-12 22:17:49+00:00,,195.64,228.89,245.35500000000002,252.6,246.725,,252.99,228.46,224.72,211.755,229.06,247.005,231.095,218.07,247.635,260.335,241.16000000000003,205.92000000000002,223.835,250.45,251.78,262.135,219.065,264.93,,,,,209.52,227.97,232.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2022-01-20 22:17:51+00:00,,195.64,228.89,245.35500000000002,252.6,246.725,,251.895,240.10000000000002,207.59,211.755,238.26666666666665,244.23666666666668,228.75666666666666,210.74333333333334,241.27999999999997,254.0333333333333,243.75333333333333,205.10666666666665,223.835,249.03666666666666,249.74333333333334,259.68333333333334,218.73333333333335,264.195,,,,,209.52,227.97,232.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L9
2022-02-13 22:17:40+00:00,,195.64,228.89,245.35500000000002,252.6,246.725,,251.13666666666668,243.86666666666667,201.93666666666664,211.755,238.26666666666665,244.23666666666668,228.75666666666666,210.74333333333334,236.875,248.58249999999998,243.75333333333333,203.785,224.63333333333333,247.85,248.9,259.47,218.73333333333335,264.195,,,,,209.52,227.97,232.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2022-05-12 22:17:13+00:00,243.2,195.64,225.17666666666665,242.03333333333333,250.35666666666665,245.58666666666667,,251.755,246.6725,197.7075,211.755,238.26666666666665,244.23666666666668,228.75666666666666,210.74333333333334,232.66,244.81199999999998,247.03,203.785,224.63333333333333,247.85,246.41199999999998,251.474,218.73333333333335,264.195,,,,,209.52,227.97,232.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L9
2022-11-04 22:18:00+00:00,243.2,,215.43,223.46499999999997,241.46,243.31,,253.61,255.09,185.02,,,,,,215.8,229.73,256.86,,,,236.46,219.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L9
2023-02-16 22:17:50+00:00,,181.32,207.59,216.8,238.47500000000002,240.61,,,,,196.64,221.04,208.14,194.25,194.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2023-03-04 22:17:37+00:00,,181.32,207.59,216.8,238.47500000000002,240.61,,247.72,252.42,176.57,196.64,221.04,208.14,194.25,194.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2023-04-13 22:17:27+00:00,,181.32,207.59,227.09,245.29333333333332,245.585,,247.72,252.42,176.57,196.64,218.43,208.3,191.94,195.25,,,261.55,205.76,,217.56,258.57,266.18,217.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L9
2023-06-08 22:17:00+00:00,,181.32,202.07,234.865,249.415,245.585,,247.72,252.42,176.57,196.64,218.43,208.3,191.94,195.25,,229.38,257.09000000000003,205.76,,217.56,258.57,266.18,217.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
