dates,satname,nzd0067-0000,nzd0067-0001,nzd0067-0002,nzd0067-0003,nzd0067-0004,nzd0067-0005,nzd0067-0006,nzd0067-0007,nzd0067-0008,nzd0067-0009,nzd0067-0010,nzd0067-0011,nzd0067-0012,nzd0067-0013,nzd0067-0014,nzd0067-0016,nzd0067-0017,nzd0067-0018,nzd0067-0019,nzd0067-0020,nzd0067-0021,nzd0067-0015,nzd0067-0022,nzd0067-0029,nzd0067-0030,nzd0067-0031,nzd0067-0023,nzd0067-0024,nzd0067-0026,nzd0067-0027,nzd0067-0028
2005-04-03 22:04:40.528000,L5,,,,,,,,,,,,,,,,,225.40,239.50,258.29,249.20,248.28,,240.34,,,,259.70,,,,
2005-09-26 22:05:42.687000,L5,,,,,,,,,,,,,,,,,,,,,,,,259.02,254.78,267.26,,,,,
2010-10-10 22:07:36.102000,L5,,,,,,,,,,,,,,,,,,,,,,,,267.02,256.67,,,,255.44,262.11,274.77
2014-11-06 22:17:49.451000,L8,,,,,,,,,,,,,,,,,,259.16,267.31,260.12,259.69,,267.68,,,261.91,276.42,230.94,,,
2019-11-20 22:17:54.950000,L8,,,,,,,,,,,,,,,,,,264.39,246.55,302.04,,,,,,,,,,,
2020-03-27 22:17:20.128000,L8,318.30,333.19,326.05,329.34,325.36,325.42,324.09,314.94,306.62,321.66,309.97,360.56,370.95,368.09,257.97,169.22,236.29,268.49,244.39,240.32,254.64,,,,,,,,,,
2021-02-26 22:17:59.903000,L8,303.55,326.05,316.20,319.78,325.22,398.39,394.79,327.96,313.96,315.36,311.95,304.59,333.71,356.74,349.72,300.33,286.85,296.50,288.63,288.11,286.61,236.31,293.05,253.97,300.66,313.39,,,,,
2021-03-14 22:17:26.977000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.25,265.30,
2021-10-24 22:18:01.850000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,263.32,,,,,
2021-10-24 22:18:25.800000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,263.20,,,,,
2021-11-09 22:17:58.951000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,303.26,,,,,
2024-02-19 22:17:39.652000,L8,,,,,,,,,309.95,313.37,295.59,301.48,304.91,296.94,252.18,,,,,,,,,,,,,,,,
