dates,nzd0070-0000,nzd0070-0001,nzd0070-0002,nzd0070-0003,nzd0070-0004,nzd0070-0005,nzd0070-0011,nzd0070-0012,nzd0070-0013,nzd0070-0014,nzd0070-0015,nzd0070-0016,nzd0070-0017,nzd0070-0023,nzd0070-0024,nzd0070-0025,nzd0070-0026,nzd0070-0027,nzd0070-0028,nzd0070-0029,nzd0070-0030,nzd0070-0032,nzd0070-0033,nzd0070-0034,nzd0070-0035,nzd0070-0036,nzd0070-0006,nzd0070-0007,nzd0070-0008,nzd0070-0009,nzd0070-0010,nzd0070-0018,nzd0070-0019,nzd0070-0020,nzd0070-0021,nzd0070-0022,nzd0070-0031
1999-10-04 22:10:38+00:00,,,,,,,,,,,,,,,,,,,,290.36,268.68,,,,,,,,,,,,,,,,
2000-11-23 22:08:18+00:00,,,,,,,,,,,221.59,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-02 22:00:04+00:00,,,,,,,,,,,,,,,,,,,,,291.81,360.27,374.35,,,,,,,,,,,,,,322.42
2001-12-05 22:00:18+00:00,,,,,,,,,,,225.12,,304.92,,,,,,,,291.81,365.255,373.94,,,,,,,336.54,,353.32,391.04,,,394.47,322.42
2002-04-12 22:00:37+00:00,,,,,,,,,,,225.12,,304.92,,,,,,422.21,,,358.265,363.765,,362.94,,,,,338.815,,378.04499999999996,395.72,,333.58,394.47,335.21
2002-11-06 21:59:41+00:00,,,,,,,,,228.16,252.77,,,274.16,,,306.24,,,,301.08,,263.48,284.15,,344.99,,,,,,,,,,,358.56,221.5
2003-01-16 22:06:26+00:00,362.65,,,,,,,,228.16,252.77,,,286.07500000000005,,,323.43,,,424.9,301.08,,263.48,284.15,,344.99,,,370.5,,,,,,,362.33,358.56,221.5
2003-07-28 21:48:28+00:00,,,,,,,175.01,213.05,239.03,229.62,222.65,,,,,,,,196.17,207.86,205.31,274.74,291.29,293.35,330.0,,,,,,,,,,,,241.74
2003-08-13 21:48:45+00:00,,,,,,,175.01,213.05,239.03,229.62,222.65,,,,,,,,190.235,206.205,209.235,275.59000000000003,290.4,292.515,337.37,,,,,,,,,,,,238.60500000000002
2004-06-12 21:53:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,279.13,335.88,326.96,,,,,,,375.94,,392.84,,
2004-09-16 21:55:41+00:00,,,,,,,177.33,229.94,247.93,246.01,234.23,,,,,,,,171.27,211.68,221.96,287.75,298.44,295.01,345.78,326.96,,,,,,,375.94,,392.84,,244.23
2004-11-03 21:56:42+00:00,,,,,,,176.005,235.37,250.365,246.87,239.08999999999997,234.33,,,,,,,183.585,215.54000000000002,228.395,288.58000000000004,302.70500000000004,299.57666666666665,353.3433333333333,326.96,,,,,,,375.94,,392.84,,247.52499999999998
2004-11-19 21:56:55+00:00,,,,,,,176.005,239.54,251.45000000000002,246.10333333333332,241.18999999999997,231.735,,,,,,,185.46,216.29999999999998,226.64333333333335,290.04,304.8866666666667,302.9275,357.44,326.96,,,,,,,375.94,,392.84,,248.83666666666667
2005-03-11 21:58:44+00:00,,,,,,,176.005,236.8,248.3025,243.5425,238.0925,225.55666666666664,,,,,,,193.01500000000001,214.3325,224.315,288.5075,303.7225,310.49,363.1075000000001,,,,,,,,,,,,248.0425
2005-04-03 22:04:40+00:00,,,,,,,187.87,242.5425,247.265,240.2575,235.14749999999998,220.0625,,,,,,,200.26333333333335,215.2166666666667,225.1,288.76,305.48333333333335,310.3566666666667,365.5833333333334,309.21,,,,,200.12,,,,,,249.3133333333333
2005-06-06 22:05:05+00:00,,,,,,,198.82,234.54333333333332,241.29666666666665,233.45000000000002,223.57666666666668,207.74,,,,,,,215.68,208.43,217.33,283.91,300.23,309.38,358.55,309.21,,,,,193.66,,,,,,245.66
2005-08-25 22:06:05+00:00,,,,,,,200.74333333333334,236.4375,246.6725,237.21750000000003,227.805,212.0425,,,,,,,215.68,208.43,217.33,283.91,300.23,309.38,358.55,305.155,,,,,190.99,,,,,,245.66
2005-09-03 21:59:56+00:00,,,,,,,194.3725,234.186,246.026,237.154,229.06800000000004,213.55599999999998,,,,,,,206.685,209.81,216.5,283.675,297.65999999999997,303.975,355.49,305.155,,,,,190.99,,,,,,244.745
2005-11-22 22:00:23+00:00,,,,,,,188.38750000000002,234.835,249.5175,238.97500000000002,232.60750000000002,216.9925,,,,,,,201.23000000000002,211.45999999999998,217.315,286.095,297.195,306.995,357.58500000000004,301.1,,,,,186.425,,,,,,244.49
