dates,satname,nzd0071-0000,nzd0071-0001,nzd0071-0002,nzd0071-0003
1999-09-27 22:04:48.949000,L7,375.16,363.53,364.05,368.21
1999-11-14 22:04:42.286000,L7,385.05,399.49,382.14,393.35
2000-01-01 22:04:37.439000,L7,382.65,384.16,412.18,407.07
2000-01-17 22:04:35.821000,L7,398.45,368.64,411.12,407.51
2000-05-24 22:03:46.662000,L7,298.70,354.11,365.04,347.58
2000-07-11 22:03:17.779000,L7,,324.69,338.10,322.55
2000-08-12 22:02:54.094000,L7,,347.36,411.69,408.66
2000-09-13 22:02:26.190000,L7,349.01,373.56,367.83,335.15
2000-10-15 22:01:56.204000,L7,408.06,,,442.95
2001-01-03 22:02:12.432000,L7,388.00,398.12,400.41,392.89
2001-03-24 22:01:59.719000,L7,,342.23,348.57,329.87
2001-06-12 22:01:24.980000,L7,,,,316.87
2001-08-15 22:00:38.680000,L7,422.62,370.90,388.16,420.89
2001-10-02 21:59:40.713000,L7,,,331.58,328.05
2001-10-02 22:00:04.650000,L7,394.08,360.14,376.97,432.70
2001-12-05 21:59:55.034000,L7,338.93,331.32,371.11,330.75
2001-12-05 22:00:18.987000,L7,359.44,334.42,374.61,333.42
2001-12-21 22:00:29.925000,L7,366.23,339.00,387.64,332.73
2002-01-06 22:00:31.992000,L7,370.90,396.05,404.92,405.21
2002-01-22 22:00:16.971000,L7,397.13,376.83,382.49,385.33
2002-01-22 22:00:40.906000,L7,393.70,377.33,383.27,386.04
2002-02-23 22:00:43.620000,L7,338.42,341.64,348.39,334.66
2002-03-27 22:00:37.575000,L7,337.30,335.56,347.42,327.61
2002-06-15 22:00:19.658000,L7,,365.73,392.51,375.37
2002-07-01 21:59:51.232000,L7,300.79,402.61,405.87,403.07
2002-07-01 22:00:15.186000,L7,299.57,402.24,404.70,399.90
2002-07-17 21:59:44.793000,L7,,290.18,337.49,328.39
2002-07-17 22:00:08.747000,L7,,356.94,342.45,333.56
2002-08-02 21:59:37.368000,L7,,,,417.17
2002-08-02 22:00:01.321000,L7,422.52,358.47,,410.42
2002-09-19 21:59:35.083000,L7,384.69,399.52,404.17,395.73
2002-11-06 21:59:41.879000,L7,348.02,359.36,357.66,342.17
2003-07-28 21:48:04.987000,L5,,337.17,342.08,326.35
2003-09-14 21:49:18.766000,L5,,,345.85,343.80
2004-02-21 21:50:47.082000,L5,,,,302.49
2004-06-12 21:53:11.618000,L5,,344.10,351.41,333.37
2004-07-30 21:54:28.143000,L5,,352.25,361.53,341.43
2004-09-16 21:55:41.721000,L5,393.81,401.08,410.29,406.72
2004-11-03 21:56:42.977000,L5,333.68,334.35,335.16,318.01
2004-11-19 21:56:55.269000,L5,387.11,383.69,371.31,362.61
2005-02-23 21:58:31.621000,L5,355.43,353.10,365.43,348.51
2005-03-11 21:58:44.158000,L5,336.56,334.76,351.50,331.86
2005-03-27 21:58:51.619000,L5,350.04,351.97,360.07,
2005-04-12 21:58:55.193000,L5,293.60,,,338.31
2005-07-17 21:59:35.576000,L5,,346.13,357.16,342.38
2006-04-15 22:03:30.798000,L5,331.54,341.79,350.62,331.22
2006-05-17 22:03:57.969000,L5,328.26,345.43,349.32,335.20
2006-06-02 22:04:12.415000,L5,,344.24,350.35,334.44
2006-07-04 22:04:41.660000,L5,,347.72,358.55,342.50
2006-11-25 22:06:19.953000,L5,291.63,288.60,306.15,292.60
2007-02-13 22:06:47.368000,L5,347.02,340.22,351.07,342.01
2008-02-16 22:01:58.190000,L5,351.60,352.29,364.16,343.46
2008-02-16 22:02:22.163000,L5,351.98,352.55,364.39,344.40
2009-01-01 21:56:07.642000,L5,405.40,401.50,411.26,400.70
2009-01-01 21:56:31.615000,L5,343.27,345.38,353.68,330.31
2009-02-02 21:56:58.438000,L5,345.77,342.33,354.52,333.49
2009-02-02 21:57:22.411000,L5,399.51,401.80,406.22,403.26
2009-12-03 22:01:55.950000,L5,362.11,355.68,364.83,352.54
2010-01-20 22:02:13.755000,L5,355.44,352.24,360.55,349.42
2010-12-06 22:01:12.836000,L5,375.92,380.47,395.41,389.64
2011-01-07 22:01:44.406000,L5,341.10,340.19,348.90,336.33
2011-03-12 22:01:19.581000,L5,402.53,400.85,406.63,401.23
2011-03-12 22:01:43.554000,L5,339.45,342.76,355.40,336.74
2013-05-20 22:13:26.604000,L8,348.31,351.82,356.22,351.10
2013-05-20 22:13:50.559000,L8,351.61,357.47,362.43,356.87
2013-06-05 22:13:27.306000,L8,279.34,321.41,328.36,322.68
2013-06-05 22:13:51.261000,L8,326.21,320.49,327.89,321.84
2013-06-21 22:13:43.313000,L8,335.47,340.40,352.65,338.89
2013-08-08 22:13:49.700000,L8,329.44,328.38,341.31,325.58
2013-09-09 22:13:25.749000,L8,345.75,347.08,355.81,345.39
2013-09-09 22:13:49.699000,L8,343.31,347.42,355.81,345.48
2013-09-25 22:13:17.289000,L8,332.96,337.72,347.94,337.45
2013-09-25 22:13:41.239000,L8,333.30,338.82,348.85,338.14
2013-11-12 22:13:32.202000,L8,379.22,369.85,387.14,375.18
2013-11-28 22:13:02.012000,L8,331.36,330.22,325.76,331.45
2013-11-28 22:13:25.971000,L8,330.77,328.35,322.84,329.49
2013-12-14 22:12:57.636000,L8,351.00,351.74,363.56,351.43
2013-12-14 22:13:21.591000,L8,342.38,346.89,355.22,345.78
2013-12-30 22:12:49.393000,L8,328.70,324.10,,
2013-12-30 22:13:13.343000,L8,329.39,327.68,327.51,
2014-01-15 22:12:33.689000,L8,343.55,349.53,359.68,347.97
2014-01-31 22:12:28.855000,L8,330.47,322.76,339.77,323.89
2014-01-31 22:12:52.806000,L8,361.39,374.19,376.54,357.72
2014-03-04 22:11:59.077000,L8,335.27,338.78,350.93,335.92
2014-04-05 22:11:34.747000,L8,332.74,330.65,344.70,327.27
2014-04-05 22:11:58.702000,L8,344.90,356.41,360.39,350.61
2014-04-21 22:11:18.224000,L8,342.32,344.53,354.52,343.78
2014-04-21 22:11:42.175000,L8,343.48,347.50,356.65,346.96
2014-05-23 22:11:18.694000,L8,336.05,337.85,348.67,336.29
2014-07-26 22:11:19.207000,L8,327.73,326.15,341.41,325.89
2014-07-26 22:11:43.162000,L8,,325.24,325.86,324.13
2014-08-11 22:11:51.972000,L8,,325.11,325.18,323.29
2014-10-14 22:11:38.746000,L8,343.99,350.74,360.05,351.61
2014-10-14 22:12:02.705000,L8,343.01,350.33,359.57,350.83
2014-10-30 22:11:34.905000,L8,341.67,349.33,359.45,348.51
2014-10-30 22:11:58.859000,L8,341.69,349.01,359.03,348.18
2014-12-01 22:11:36.363000,L8,348.34,349.25,354.08,347.27
2014-12-01 22:12:00.318000,L8,349.92,349.45,353.87,346.94
2015-01-18 22:11:24.746000,L8,340.38,345.70,355.38,343.46
2015-01-18 22:11:48.696000,L8,329.57,326.42,340.63,323.49
2015-03-07 22:11:06.255000,L8,338.48,345.17,357.98,344.65
2015-03-07 22:11:30.209000,L8,338.67,346.58,362.19,347.23
2015-04-24 22:10:44.446000,L8,341.33,340.46,350.12,338.29
2015-04-24 22:11:08.401000,L8,354.84,368.84,374.58,367.39
2015-05-10 22:10:28.533000,L8,334.18,329.93,341.62,327.81
2015-05-10 22:10:52.487000,L8,334.68,330.61,342.01,328.54
2015-06-11 22:10:40.593000,L8,346.75,351.95,358.27,352.14
2015-06-27 22:10:46.339000,L8,325.95,337.23,345.08,331.94
2015-06-27 22:11:10.298000,L8,322.99,333.60,343.01,328.17
2015-07-29 22:11:01.897000,L8,340.48,351.16,361.13,350.78
2015-07-29 22:11:25.856000,L8,340.28,350.65,360.83,350.18
2015-12-20 22:11:33.546000,L8,344.10,349.10,355.09,346.00
2015-12-20 22:11:57.501000,L8,342.55,348.11,354.71,345.40
2016-02-22 22:11:18.630000,L8,341.67,350.74,360.22,349.12
2016-02-22 22:11:42.580000,L8,348.36,354.71,367.08,353.19
2016-03-09 22:11:16.948000,L8,337.20,349.51,359.15,345.88
2016-03-09 22:11:40.902000,L8,339.80,352.39,363.51,348.73
2016-03-25 22:11:08.402000,L8,372.14,391.66,401.95,394.48
2016-03-25 22:11:32.353000,L8,348.31,366.98,367.45,357.23
2016-04-10 22:11:01.721000,L8,365.74,391.69,404.98,360.43
2016-04-26 22:11:21.230000,L8,324.66,329.32,335.37,316.06
2016-05-12 22:10:56.720000,L8,338.46,340.94,350.08,336.37
2016-05-12 22:11:20.683000,L8,346.15,353.49,365.12,353.34
2016-06-13 22:11:06.720000,L8,,,315.47,302.13
2016-06-13 22:11:30.674000,L8,,305.29,324.51,310.07
2016-06-29 22:11:15.136000,L8,,,,329.23
2016-06-29 22:11:39.087000,L8,,,,329.39
2016-08-16 22:11:29.744000,L8,338.70,342.68,350.13,337.27
2016-08-16 22:11:53.694000,L8,360.21,390.69,405.29,393.07
2016-10-19 22:11:45.519000,L8,335.23,342.29,350.64,337.42
2016-11-04 22:11:45.464000,L8,356.24,389.93,401.24,354.57
2016-11-04 22:12:09.415000,L8,337.78,343.51,352.04,342.97
2016-11-20 22:11:45.458000,L8,340.74,348.08,356.82,346.34
2016-11-20 22:12:09.409000,L8,341.91,349.39,359.12,347.43
2017-07-18 22:11:40.412000,L8,,331.34,337.12,312.22
2017-08-19 22:11:29.174000,L8,339.10,343.47,353.63,346.32
2017-08-19 22:11:53.133000,L8,340.06,340.96,350.82,343.59
2017-09-04 22:11:31.619000,L8,350.09,371.76,364.74,360.57
2017-09-04 22:11:55.578000,L8,348.84,353.40,363.53,357.21
2018-01-10 22:11:30.163000,L8,328.80,323.21,340.97,325.22
2018-01-10 22:11:54.118000,L8,340.56,345.25,352.52,346.18
2018-01-26 22:11:21.264000,L8,337.28,346.42,353.16,344.76
2018-01-26 22:11:45.215000,L8,341.31,352.33,360.15,350.14
2018-03-31 22:10:51.947000,L8,333.67,334.19,345.21,334.33
2018-03-31 22:11:15.901000,L8,326.23,325.83,341.10,324.42
2018-04-16 22:10:42.721000,L8,332.26,333.15,343.86,
2018-04-16 22:11:06.667000,L8,333.26,333.24,344.35,
2018-05-18 22:10:23.040000,L8,333.53,340.49,350.11,337.33
2018-07-05 22:10:30.841000,L8,334.30,338.76,348.39,338.60
2018-07-05 22:10:54.795000,L8,329.38,329.67,343.43,326.28
2018-08-06 22:10:46.333000,L8,337.13,332.96,344.51,328.84
2018-08-06 22:11:10.291000,L8,336.83,332.21,344.25,328.09
2018-09-07 22:11:00.442000,L8,338.56,342.10,354.06,342.53
2018-09-07 22:11:24.397000,L8,345.60,353.07,365.85,351.13
2018-10-09 22:11:13.339000,L8,,,409.38,398.41
2019-02-14 22:11:09.519000,L8,340.88,349.84,357.29,350.39
2019-02-14 22:11:33.473000,L8,340.95,350.66,358.49,351.19
2019-03-02 22:11:05.349000,L8,360.14,355.08,391.02,356.01
2019-03-02 22:11:29.304000,L8,351.03,350.63,356.49,351.30
