dates,nzd0071-0000,nzd0071-0001,nzd0071-0002,nzd0071-0003,satname
1999-08-26 22:04:44+00:00,,328.49,,338.21,L7
1999-09-27 22:04:48+00:00,,346.01,364.05,353.21,L7
1999-11-14 22:04:42+00:00,,346.01,373.095,366.59,L7
2000-01-01 22:04:37+00:00,341.41,344.1333333333334,364.58666666666664,357.91499999999996,L7
2000-01-17 22:04:35+00:00,341.41,350.26,364.58666666666664,357.91499999999996,L7
2000-05-24 22:03:46+00:00,329.885,354.51,359.935,331.89,L7
2000-07-11 22:03:17+00:00,318.36,353.725,360.6,332.94,L7
2000-08-12 22:02:54+00:00,318.36,341.95500000000004,360.6,332.94,L7
2000-09-13 22:02:26+00:00,335.94,341.95500000000004,360.6,336.63,L7
2000-10-15 22:01:56+00:00,345.8666666666666,341.95500000000004,367.48,350.3333333333333,L7
2001-06-12 22:01:24+00:00,,343.68,348.79,330.62,L7
2001-08-15 22:00:38+00:00,,335.27,345.99,328.16499999999996,L7
2001-12-05 22:00:18+00:00,347.01,334.71,355.1166666666666,329.7133333333333,L7
2001-12-21 22:00:29+00:00,355.39,332.89000000000004,355.8766666666667,330.2733333333333,L7
2002-01-06 22:00:31+00:00,353.90333333333336,338.735,357.40000000000003,333.6225,L7
2002-01-22 22:00:16+00:00,353.90333333333336,338.735,362.75,333.6225,L7
2002-02-23 22:00:43+00:00,350.0325,342.42999999999995,363.79,335.86,L7
2002-06-15 22:00:19+00:00,351.04,348.9225,361.395,345.515,L7
2002-07-17 21:59:44+00:00,338.42,361.66,366.27,364.23333333333335,L7
2002-09-19 21:59:35+00:00,342.97,358.43333333333334,351.43,361.03666666666663,L7
2002-11-06 21:59:41+00:00,346.42,359.04499999999996,355.77,357.34,L7
2003-07-28 21:48:04+00:00,,342.83,346.77,331.4,L5
2004-06-12 21:53:11+00:00,,340.34,346.46,329.41,L5
2004-07-30 21:54:28+00:00,,341.99,348.585,330.285,L5
2004-09-16 21:55:41+00:00,345.68,344.3533333333333,353.02666666666664,336.3666666666667,L5
2004-11-03 21:56:42+00:00,345.09000000000003,344.5925,351.395,335.655,L5
2005-02-23 21:58:31+00:00,345.09000000000003,347.19499999999994,354.205,352.1499999999999,L5
2005-03-11 21:58:44+00:00,344.1066666666666,344.82333333333327,354.94000000000005,348.09999999999997,L5
2005-03-27 21:58:51+00:00,347.62999999999994,347.4433333333333,356.0466666666666,347.95666666666665,L5
2005-07-17 21:59:35+00:00,349.19499999999994,347.7166666666667,359.59999999999997,350.91,L5
2006-04-15 22:03:30+00:00,331.54,341.79,350.62,331.22,L5
2006-05-17 22:03:57+00:00,329.305,343.165,349.525,332.69500000000005,L5
2006-06-02 22:04:12+00:00,329.305,344.41,351.00666666666666,334.33,L5
2006-07-04 22:04:41+00:00,329.305,345.2375,352.89250000000004,336.3725,L5
2007-02-13 22:06:47+00:00,347.02,340.22,351.07,342.01,L5
2009-02-02 21:57:22+00:00,341.49,338.31,351.88,330.85,L5
2011-01-07 22:01:44+00:00,344.04,343.2,351.7,340.08,L5
2011-03-12 22:01:43+00:00,348.655,349.26,359.28,345.26,L5
2013-05-20 22:13:26+00:00,336.13,326.78,341.75,325.5,L8
2013-06-05 22:13:27+00:00,332.07,324.64,335.82,324.55,L8
2013-06-21 22:13:43+00:00,332.07,325.28666666666663,338.09999999999997,325.6566666666667,L8
2013-09-09 22:13:25+00:00,336.63,330.735,342.52750000000003,330.59000000000003,L8
2013-12-14 22:12:57+00:00,350.83500000000004,342.64333333333326,355.5,342.4433333333333,L8
2014-01-31 22:12:52+00:00,344.05333333333334,341.2966666666667,354.69666666666666,341.05333333333334,L8
2014-03-04 22:11:59+00:00,340.745,338.28000000000003,351.495,337.445,L8
2014-04-05 22:11:58+00:00,340.38,340.35,352.4425,338.555,L8
2014-04-21 22:11:42+00:00,341.71400000000006,342.804,354.40999999999997,341.38599999999997,L8
2014-05-23 22:11:18+00:00,340.6066666666667,341.56333333333333,353.07666666666665,340.135,L8
2014-07-26 22:11:43+00:00,336.245,337.345,349.2633333333333,336.2316666666666,L8
2014-08-11 22:11:51+00:00,337.396,337.77333333333337,346.7516666666667,336.16333333333336,L8
2014-10-14 22:12:02+00:00,338.9975,338.592,347.884,338.418,L8
2014-10-30 22:11:58+00:00,337.9375,338.024,347.408,337.67600000000004,L8
2014-12-01 22:12:00+00:00,341.65000000000003,340.842,348.9,340.288,L8
2015-01-18 22:11:24+00:00,337.404,336.8283333333333,345.2316666666666,335.79333333333335,L8
2015-03-07 22:11:30+00:00,339.188,342.696,352.65,341.61,L8
2015-04-24 22:10:44+00:00,337.69,339.008,349.47799999999995,337.238,L8
2015-05-10 22:10:52+00:00,335.96400000000006,334.938,345.68600000000004,332.774,L8
2015-06-27 22:11:10+00:00,330.892,332.154,343.71799999999996,329.38,L8
2015-07-29 22:11:25+00:00,334.908,339.07599999999996,350.67600000000004,336.918,L8
2015-12-20 22:11:57+00:00,336.6333333333333,345.53666666666663,353.73,342.57666666666665,L8
2016-02-22 22:11:18+00:00,343.255,350.225,357.85,347.935,L8
2016-03-25 22:11:08+00:00,346.78999999999996,350.225,362.77666666666664,353.8766666666667,L8
2016-04-26 22:11:21+00:00,342.1775,343.7966666666666,356.93,345.2325,L8
2016-05-12 22:11:20+00:00,341.366,343.025,355.49,343.36,L8
2016-06-13 22:11:30+00:00,341.366,343.025,360.955,347.7283333333333,L8
2016-06-29 22:11:39+00:00,340.4975,340.7966666666666,362.05,343.885,L8
2016-08-16 22:11:29+00:00,341.396,343.1275,361.79333333333335,344.30428571428575,L8
2016-11-04 22:11:45+00:00,342.52666666666664,347.5533333333333,363.7525,344.77799999999996,L8
2016-11-20 22:12:09+00:00,343.79,350.44666666666666,366.1,347.09000000000003,L8
2017-07-18 22:11:40+00:00,340.26,354.73,368.16,354.53,L8
2017-08-19 22:11:29+00:00,340.08,349.81,361.49,350.98,L8
2017-09-04 22:11:31+00:00,339.53666666666663,347.51,358.31333333333333,348.36999999999995,L8
2018-01-10 22:11:30+00:00,339.8375,346.895,356.805,347.825,L8
2018-01-26 22:11:45+00:00,339.97,346.1175,354.48749999999995,346.565,L8
2018-04-16 22:10:42+00:00,337.93,343.27333333333337,351.6766666666667,347.84000000000003,L8
2018-05-18 22:10:23+00:00,335.9525,340.6725,349.84749999999997,341.52666666666664,L8
2018-07-05 22:10:30+00:00,335.312,339.51000000000005,349.13,339.4325,L8
2018-08-06 22:11:10+00:00,333.6825,334.825,345.75,332.84999999999997,L8
2018-09-07 22:11:00+00:00,336.67199999999997,342.91999999999996,351.696,338.715,L8
2019-02-14 22:11:33+00:00,345.065,363.445,367.655,354.2,L8
2019-03-02 22:11:05+00:00,343.32,356.1466666666667,361.9666666666667,350.3666666666666,L8
2019-05-21 22:11:27+00:00,341.13,346.60999999999996,355.8666666666666,346.56333333333333,L8
2019-06-22 22:11:17+00:00,338.78,344.69,353.8175,342.54,L8
2019-07-08 22:11:44+00:00,337.682,343.976,352.658,341.038,L8
2019-07-24 22:11:48+00:00,336.34166666666664,342.17,351.1366666666666,338.8833333333333,L8
2019-08-09 22:11:31+00:00,335.6842857142857,340.46285714285716,349.9814285714286,337.08,L8
2020-01-16 22:11:59+00:00,334.5833333333333,338.03999999999996,349.6466666666667,334.3333333333333,L8
2020-02-01 22:11:29+00:00,341.0166666666667,344.71000000000004,354.84666666666664,342.42,L8
2020-02-17 22:11:26+00:00,343.86999999999995,349.04333333333335,358.7966666666667,348.62000000000006,L8
2020-04-21 22:10:57+00:00,342.41999999999996,346.7875,356.2425,345.5,L8
2020-05-07 22:11:12+00:00,343.22799999999995,347.756,357.384,346.136,L8
2020-06-08 22:11:24+00:00,341.24,346.01500000000004,355.9683333333333,344.06333333333333,L8
2020-07-10 22:11:39+00:00,341.24,345.1842857142857,355.21857142857147,343.2885714285714,L8
2020-08-27 22:11:56+00:00,340.7475,344.47999999999996,354.442,342.18999999999994,L8
2020-11-15 22:11:42+00:00,342.17333333333335,350.6025,357.65999999999997,345.0675,L8
2021-02-03 22:11:56+00:00,343.3933333333334,354.5733333333333,360.79333333333335,348.73,L8
2021-02-19 22:11:51+00:00,342.555,352.245,359.0025,348.34000000000003,L8
2021-04-24 22:11:25+00:00,342.48249999999996,351.785,358.08750000000003,347.59000000000003,L8
2021-05-26 22:11:07+00:00,337.22,342.46,352.20750000000004,341.2125,L8
2021-06-11 22:11:38+00:00,336.094,340.63800000000003,350.428,338.15,L8
2021-07-13 22:11:19+00:00,335.83,340.03833333333336,350.4483333333333,336.92,L8
2021-10-01 22:11:46+00:00,335.56399999999996,340.344,350.062,335.356,L8
2021-11-06 22:12:48+00:00,334.772,340.692,351.416,336.166,L9
2021-11-18 22:12:08+00:00,335.695,341.945,352.04833333333335,337.9166666666667,L8
2022-01-21 22:11:59+00:00,340.3533333333333,350.16499999999996,357.66333333333336,352.6775,L8
2022-02-14 22:12:01+00:00,341.055,349.628,356.885,351.474,L9
2022-02-22 22:11:26+00:00,340.846,349.12833333333333,357.386,350.4066666666667,L8
2022-03-26 22:11:11+00:00,340.85499999999996,349.2214285714286,358.73499999999996,350.5585714285714,L8
2022-05-05 22:11:07+00:00,340.34,347.7114285714285,357.47333333333336,347.34714285714284,L9
2022-07-08 22:11:39+00:00,337.46799999999996,344.1033333333333,353.09000000000003,341.8433333333333,L9
2022-07-16 22:12:03+00:00,336.2366666666667,343.32571428571424,352.65166666666664,340.84000000000003,L8
2022-08-09 22:11:58+00:00,337.5128571428572,343.73285714285714,354.55571428571426,338.9657142857142,L9
2023-02-09 22:11:45+00:00,348.31,355.3,370.0,360.06,L8
2023-03-13 22:11:47+00:00,345.18,353.90999999999997,365.365,354.21500000000003,L8
2023-03-21 22:11:31+00:00,343.59,353.06666666666666,364.4766666666667,352.1366666666667,L9
