dates,nzd0078-0000,nzd0078-0001,nzd0078-0002,nzd0078-0003,nzd0078-0004,nzd0078-0005,nzd0078-0006
1999-08-26 22:04:44+00:00,,,,254.69,249.73,276.94,252.73
1999-09-27 22:04:48+00:00,318.7,,328.95,261.225,263.08,275.45,254.42000000000002
1999-11-14 22:04:42+00:00,301.625,248.36,319.725,264.5566666666667,268.2166666666667,274.2966666666667,243.53666666666666
2000-01-01 22:04:37+00:00,301.625,241.265,318.14000000000004,265.2425,270.9475,274.02,236.9225
2000-05-24 22:03:46+00:00,,234.17,314.97,274.055,281.34000000000003,276.6,217.08
2000-08-12 22:02:54+00:00,284.92,279.39,,280.81,270.96000000000004,273.58500000000004,213.41
2000-09-13 22:02:26+00:00,284.92,279.39,337.26,274.735,270.98,273.56333333333333,219.11
2000-10-15 22:01:56+00:00,286.405,283.345,327.075,274.68333333333334,272.8325,273.995,222.59333333333333
2001-01-03 22:02:12+00:00,286.405,294.96,327.075,271.78333333333336,271.1175,272.9575,223.47
2001-06-12 22:01:24+00:00,279.14,318.19,,272.11,276.68,275.86,226.1
2001-08-15 22:00:38+00:00,279.14,286.34,330.93,,284.54,286.43,275.99
2001-12-05 22:00:18+00:00,278.885,286.34,315.405,252.48,284.54,286.43,275.99
2001-12-21 22:00:29+00:00,278.63,286.34,310.7966666666667,260.87,284.54,286.43,275.99
2002-01-06 22:00:31+00:00,278.63,286.34,316.3975,265.1766666666667,288.82500000000005,288.07,273.295
2002-01-22 22:00:40+00:00,278.63,286.34,316.3975,266.8275,285.48333333333335,284.81333333333333,262.34
2002-06-15 22:00:19+00:00,296.51,287.25,317.39,272.7425,284.87000000000006,283.43333333333334,265.03000000000003
2002-07-01 22:00:15+00:00,291.66499999999996,269.0,333.2,272.5575,283.07250000000005,282.765,268.8125
2002-08-18 21:59:57+00:00,291.66499999999996,269.0,,266.59,279.25,280.4,279.31666666666666
2003-07-28 21:48:28+00:00,328.57,312.51,305.98,281.28,284.44,278.86,247.21
2003-09-14 21:49:18+00:00,313.53499999999997,301.51,289.655,265.485,274.65,267.71000000000004,247.21
2004-02-21 21:50:47+00:00,308.485,298.74,287.29499999999996,263.615,274.795,264.97,231.41
2004-07-30 21:54:28+00:00,310.115,300.79,292.2,266.875,273.40999999999997,261.94,231.41
2004-09-16 21:55:41+00:00,300.41999999999996,292.55,278.91999999999996,252.76999999999998,262.09,250.5,
2004-11-19 21:56:55+00:00,314.16,305.1566666666667,292.25666666666666,265.58666666666664,274.325,264.755,259.08
2005-02-23 21:58:31+00:00,320.36,310.43,312.1166666666667,270.275,309.24,279.01,259.08
2005-03-11 21:58:44+00:00,324.30333333333334,311.83,311.31,278.6266666666666,303.9166666666667,282.18,261.875
2005-04-12 21:58:55+00:00,326.8933333333333,313.8566666666666,314.28249999999997,282.6466666666667,293.4075,282.18,261.875
2005-07-17 21:59:35+00:00,326.19666666666666,313.33666666666664,313.09749999999997,283.65333333333336,296.425,288.37,266.755
2005-11-22 22:00:23+00:00,331.275,330.61,315.265,297.78499999999997,298.83500000000004,289.835,268.865
2006-04-15 22:03:30+00:00,323.0,338.1,327.86,315.08,311.055,302.17499999999995,282.635
2006-05-17 22:03:57+00:00,323.945,332.5366666666667,322.57666666666665,306.06333333333333,303.58,295.84666666666664,274.05
2006-07-04 22:04:41+00:00,313.39,316.6766666666667,311.43333333333334,291.6366666666666,291.92,285.31,276.63
2006-11-25 22:06:19+00:00,301.89,284.83,282.91,246.965,253.29500000000002,237.805,
2006-12-11 22:06:28+00:00,301.89,284.83,282.91,235.68999999999997,242.54333333333332,231.38,
2009-01-01 21:56:31+00:00,333.55,320.93,309.37,295.49,295.09,286.88,263.53
2009-02-02 21:57:22+00:00,332.845,319.115,309.02,294.45000000000005,294.995,285.45,262.695
2011-01-07 22:01:44+00:00,,340.56,322.15,308.52,309.46,303.95,287.84
2011-03-12 22:01:43+00:00,331.77,330.4,315.91499999999996,301.375,303.44,295.04499999999996,276.63
2013-05-20 22:13:50+00:00,309.76,307.0,312.28,294.81,300.47,305.81,297.44
2013-06-21 22:13:43+00:00,297.875,295.325,304.205,277.935,291.71000000000004,295.08000000000004,297.44
2013-07-07 22:13:48+00:00,293.78,291.5333333333333,301.40000000000003,277.1466666666667,288.19,295.08000000000004,297.44
2013-09-09 22:13:49+00:00,293.78,291.5333333333333,301.40000000000003,277.1466666666667,296.9,303.27333333333337,301.19
2013-10-27 22:13:31+00:00,295.6475,293.3325,301.7425,280.025,296.578,300.9525,296.95666666666665
2013-11-28 22:13:25+00:00,292.89,287.515,298.345,278.12750000000005,294.678,298.725,294.07666666666665
2013-12-14 22:13:21+00:00,295.96999999999997,290.81,300.752,280.98,295.45666666666665,299.276,293.90500000000003
2014-01-31 22:12:28+00:00,302.75666666666666,302.85,310.41749999999996,297.3,305.764,306.47799999999995,295.55600000000004
2014-04-05 22:11:58+00:00,304.46250000000003,302.76000000000005,309.77,296.322,299.668,300.678,291.584
2014-04-21 22:11:18+00:00,303.65,302.0466666666667,308.8533333333333,294.5933333333333,296.685,297.5216666666667,290.505
2014-05-23 22:11:18+00:00,303.95,302.59666666666664,310.3983333333333,294.88000000000005,297.4566666666667,298.685,291.6466666666667
2014-10-14 22:12:02+00:00,302.65,299.75666666666666,307.6933333333333,288.4433333333333,291.97333333333336,292.02000000000004,283.0433333333333
2014-12-01 22:12:00+00:00,304.8,298.76,303.87,286.425,291.64,293.02,277.65999999999997
2015-03-07 22:11:06+00:00,304.8,314.125,303.87,293.8,295.31333333333333,294.99333333333334,283.05333333333334
2015-04-24 22:10:44+00:00,284.86,305.35,292.78,283.6933333333333,289.27000000000004,282.37333333333333,290.24
2015-05-10 22:10:52+00:00,292.94,303.1333333333333,296.9633333333333,283.9975,290.7025,284.69,290.0566666666667
2015-06-27 22:11:10+00:00,291.9266666666667,299.335,295.5333333333333,280.14,289.43500000000006,282.195,289.07666666666665
2015-07-29 22:11:25+00:00,291.9266666666667,299.678,300.1875,282.37,291.346,285.78599999999994,290.5
2015-08-14 22:11:31+00:00,291.9266666666667,299.678,300.1875,282.37,288.2666666666667,285.78599999999994,290.5
2015-12-20 22:11:33+00:00,294.235,294.9433333333333,305.34999999999997,282.53,287.42,293.09666666666664,282.18666666666667
2016-02-22 22:11:18+00:00,305.445,298.865,304.405,288.33500000000004,293.155,293.19,276.755
2016-03-09 22:11:40+00:00,315.67,300.0733333333333,305.30333333333334,288.83,293.49,293.3233333333333,274.39000000000004
2016-04-26 22:11:21+00:00,312.35,298.955,304.9575,286.3275,292.18,292.9175,277.6075
