dates,satname,nzd0081-0000,nzd0081-0001,nzd0081-0002
1999-11-14 22:04:42.286000,L7,253.19,245.13,234.07
2001-08-15 22:00:38.680000,L7,317.55,232.31,222.18
2001-12-21 22:00:29.925000,L7,249.57,240.76,226.72
2002-01-06 22:00:31.992000,L7,240.34,239.01,234.16
2004-02-21 21:50:47.082000,L5,240.24,229.00,222.29
2004-11-19 21:56:55.269000,L5,247.40,228.56,223.42
2005-02-23 21:58:31.621000,L5,248.93,236.56,230.84
2005-03-11 21:58:44.158000,L5,250.16,234.80,234.04
2006-04-15 22:03:30.798000,L5,253.72,238.36,233.03
2006-05-17 22:03:57.969000,L5,256.00,237.27,235.51
2006-06-02 22:04:12.415000,L5,297.58,259.34,260.86
2011-03-12 22:01:43.554000,L5,255.51,240.62,236.28
2013-05-20 22:13:50.559000,L8,278.69,260.17,260.69
2013-06-05 22:13:51.261000,L8,279.33,263.07,262.84
2013-06-21 22:13:43.313000,L8,272.60,256.68,256.35
2013-07-07 22:13:24.262000,L8,261.96,248.80,246.41
2013-07-07 22:13:48.209000,L8,260.65,247.19,244.61
2013-09-09 22:13:25.749000,L8,,241.08,241.96
2013-09-09 22:13:49.699000,L8,,243.56,245.10
2013-09-25 22:13:17.289000,L8,307.07,290.97,276.21
2013-09-25 22:13:41.239000,L8,307.57,291.24,277.29
2013-10-27 22:13:31.854000,L8,278.54,256.86,258.47
2013-11-28 22:13:02.012000,L8,260.84,251.11,252.87
2013-11-28 22:13:25.971000,L8,259.47,249.77,251.18
2013-12-14 22:12:57.636000,L8,262.33,249.29,250.83
2013-12-14 22:13:21.591000,L8,259.77,247.77,250.53
2014-01-15 22:12:33.689000,L8,,,236.76
2014-03-04 22:11:59.077000,L8,261.27,246.36,248.27
2014-04-05 22:11:58.702000,L8,256.32,246.44,247.59
2014-04-21 22:11:18.224000,L8,252.66,241.91,243.11
2014-04-21 22:11:42.175000,L8,272.23,254.02,255.33
2014-05-23 22:11:18.694000,L8,273.84,254.89,258.45
2014-10-14 22:11:38.746000,L8,255.14,242.42,236.84
2014-10-14 22:12:02.705000,L8,255.24,242.88,236.96
2014-12-01 22:11:36.363000,L8,246.88,241.06,241.29
2015-01-02 22:11:27.004000,L8,267.05,254.36,257.65
2015-01-02 22:11:50.958000,L8,275.92,258.80,260.97
2015-03-07 22:11:06.255000,L8,311.90,291.22,288.89
2015-03-07 22:11:30.209000,L8,282.04,260.84,261.44
2015-04-24 22:11:08.401000,L8,274.28,257.72,255.21
2015-05-10 22:10:28.533000,L8,285.90,279.63,273.29
2015-06-11 22:10:40.593000,L8,278.65,258.89,260.16
2015-06-27 22:10:46.339000,L8,284.04,264.68,266.74
2015-06-27 22:11:10.298000,L8,256.79,243.31,242.89
2015-07-29 22:11:01.897000,L8,267.99,248.88,251.26
2015-07-29 22:11:25.856000,L8,277.49,259.95,260.76
2015-08-14 22:11:07.472000,L8,259.17,245.58,243.29
2015-08-14 22:11:31.426000,L8,259.64,245.65,243.87
2015-11-02 22:11:31.889000,L8,277.77,257.41,258.71
2015-12-20 22:11:33.546000,L8,273.81,256.63,258.95
2015-12-20 22:11:57.501000,L8,275.21,257.64,259.59
2016-03-09 22:11:16.948000,L8,237.87,237.79,233.82
2016-03-09 22:11:40.902000,L8,284.83,268.47,263.81
2016-03-25 22:11:32.353000,L8,243.90,238.70,240.70
2016-04-26 22:11:21.230000,L8,275.78,256.76,257.24
2016-05-12 22:10:56.720000,L8,281.48,262.50,264.20
2016-05-12 22:11:20.683000,L8,280.83,261.91,263.68
2016-06-29 22:11:39.087000,L8,254.24,245.45,248.53
2016-07-15 22:11:22.376000,L8,254.82,237.85,238.96
2016-07-15 22:11:46.335000,L8,254.87,238.04,239.47
2016-08-16 22:11:29.744000,L8,276.00,256.43,259.42
2016-08-16 22:11:53.694000,L8,275.61,256.54,259.60
2016-11-20 22:11:45.458000,L8,251.30,242.72,245.15
2016-11-20 22:12:09.409000,L8,289.02,268.52,289.59
2017-01-23 22:11:55.340000,L8,248.05,241.92,251.02
2017-07-18 22:11:40.412000,L8,,248.32,244.74
2017-08-19 22:11:29.174000,L8,277.50,258.33,258.70
2017-08-19 22:11:53.133000,L8,258.22,243.33,244.45
2017-09-04 22:11:31.619000,L8,278.67,261.65,261.86
2017-09-04 22:11:55.578000,L8,275.34,259.05,259.32
2018-01-10 22:11:30.163000,L8,268.20,254.74,257.26
2018-01-10 22:11:54.118000,L8,280.01,261.47,262.97
2018-01-26 22:11:21.264000,L8,266.82,250.49,255.56
2018-04-16 22:10:42.721000,L8,281.62,262.26,260.37
2018-04-16 22:11:06.667000,L8,281.84,262.44,260.22
2018-05-18 22:10:23.040000,L8,286.16,265.68,262.85
2018-07-05 22:10:30.841000,L8,293.37,276.25,284.55
2018-07-05 22:10:54.795000,L8,291.88,275.45,282.64
2018-08-06 22:10:46.333000,L8,269.64,254.44,251.27
2018-08-06 22:11:10.291000,L8,267.26,252.35,248.74
2018-09-07 22:11:00.442000,L8,257.65,248.32,244.71
2018-09-07 22:11:24.397000,L8,267.92,253.70,251.72
2018-10-09 22:11:13.339000,L8,283.62,271.37,263.23
2019-02-14 22:11:09.519000,L8,268.04,255.38,255.15
2019-02-14 22:11:33.473000,L8,269.20,256.03,256.06
2019-03-02 22:11:05.349000,L8,248.79,247.54,245.19
2019-03-02 22:11:29.304000,L8,276.60,259.39,260.15
2019-05-21 22:11:27.314000,L8,285.13,264.83,262.16
2019-06-06 22:11:11.322000,L8,259.49,249.60,245.81
2019-06-06 22:11:35.277000,L8,258.53,248.45,243.02
2019-06-22 22:11:17.033000,L8,254.80,248.25,249.17
2019-06-22 22:11:40.996000,L8,253.63,247.25,246.97
2019-07-08 22:11:20.766000,L8,282.53,264.14,263.92
2019-07-08 22:11:44.725000,L8,280.45,261.68,262.71
2019-08-09 22:11:31.395000,L8,264.97,250.49,250.83
2019-08-09 22:11:55.358000,L8,283.72,267.35,263.66
2019-08-25 22:11:35.797000,L8,266.13,238.43,240.61
2019-09-10 22:11:39.873000,L8,262.65,251.60,250.16
2019-09-26 22:11:45.238000,L8,272.37,255.66,252.49
2019-11-29 22:11:44.191000,L8,,244.41,248.93
2019-12-31 22:11:38.231000,L8,284.39,265.86,262.55
2020-01-16 22:11:59.041000,L8,286.26,267.91,265.45
2020-02-01 22:11:29.826000,L8,278.01,261.49,260.85
2020-02-01 22:11:53.781000,L8,278.75,261.57,260.86
2020-02-17 22:11:26.315000,L8,273.64,260.29,259.45
2020-04-21 22:10:57.868000,L8,,240.30,242.99
2020-04-21 22:11:21.823000,L8,,238.69,241.89
2020-05-07 22:11:12.613000,L8,282.88,264.63,262.69
2020-06-08 22:11:00.065000,L8,265.16,251.86,251.80
2020-06-08 22:11:24.028000,L8,268.70,253.87,253.63
2020-06-24 22:11:08.920000,L8,255.68,246.37,249.02
2020-07-10 22:11:15.773000,L8,289.88,273.44,270.09
2020-07-10 22:11:39.723000,L8,277.52,259.95,258.33
2020-07-26 22:11:44.648000,L8,280.77,260.98,261.13
2020-08-27 22:11:56.368000,L8,289.46,263.79,257.58
2020-09-12 22:11:38.984000,L8,255.66,247.36,247.42
2020-09-28 22:11:43.377000,L8,249.85,243.11,241.82
2020-10-30 22:11:44.191000,L8,291.01,272.83,270.69
2020-12-17 22:11:45.420000,L8,259.44,253.38,254.24
2020-12-17 22:12:09.375000,L8,258.47,253.38,254.36
2021-02-03 22:11:56.237000,L8,258.73,254.17,254.35
2021-02-19 22:11:27.994000,L8,279.56,260.62,261.81
2021-02-19 22:11:51.945000,L8,280.36,260.89,262.30
2021-04-24 22:11:01.432000,L8,277.33,259.90,259.81
2021-04-24 22:11:25.382000,L8,279.20,261.15,260.84
2021-05-26 22:11:07.110000,L8,254.18,241.27,241.25
2021-05-26 22:11:31.065000,L8,251.72,239.72,240.17
2021-06-11 22:11:14.087000,L8,254.91,243.88,240.95
2021-06-11 22:11:38.046000,L8,259.41,246.84,244.52
2021-07-13 22:11:19.559000,L8,262.68,250.85,249.05
2021-07-13 22:11:43.513000,L8,262.24,250.51,247.99
2021-07-29 22:11:27.417000,L8,258.33,245.76,244.50
2021-08-30 22:11:38.264000,L8,285.84,265.42,267.70
2021-10-01 22:11:46.773000,L8,271.82,253.87,251.58
2021-10-01 22:12:10.732000,L8,284.39,263.50,261.78
2021-10-17 22:12:14.625000,L8,244.32,240.90,237.94
2021-11-06 22:12:48.299000,L9,267.55,254.06,252.50
2021-11-18 22:11:44.821000,L8,313.63,293.53,286.70
2021-11-18 22:12:08.776000,L8,286.91,273.79,263.58
2022-01-21 22:11:35.958000,L8,289.47,264.80,262.37
2022-02-14 22:11:37.090000,L9,280.21,261.97,260.40
2022-02-14 22:12:01.049000,L9,279.07,261.14,260.21
2022-02-22 22:11:26.680000,L8,285.42,262.41,263.87
2022-02-22 22:11:50.626000,L8,261.15,250.61,250.29
2022-03-26 22:11:11.888000,L8,270.00,254.48,253.50
2022-05-21 22:11:19.594000,L9,258.87,248.02,233.85
2022-07-08 22:11:15.271000,L9,268.44,254.89,253.37
2022-07-08 22:11:39.226000,L9,286.47,269.42,266.68
2022-07-16 22:11:39.057000,L8,269.98,253.88,254.52
2022-07-16 22:12:03.012000,L8,269.69,252.47,253.28
2022-08-09 22:11:34.517000,L9,286.37,264.26,263.13
2022-08-09 22:11:58.475000,L9,285.64,263.98,262.86
2022-10-20 22:11:59.771000,L8,288.75,268.22,265.02
2023-02-09 22:11:45.094000,L8,324.30,288.68,296.43
2023-02-09 22:12:09.040000,L8,322.12,284.46,291.16
2023-03-21 22:11:31.242000,L9,265.71,252.39,252.71
2023-03-21 22:11:55.188000,L9,266.48,252.55,252.16
2023-03-29 22:11:37.049000,L8,291.73,275.40,270.74
2023-05-16 22:10:40.417000,L8,280.79,260.06,259.30
2023-05-16 22:11:04.371000,L8,277.89,258.09,257.33
2023-05-24 22:10:53.254000,L9,292.70,279.29,269.66
2023-05-24 22:11:17.213000,L9,278.77,258.86,257.31
2023-06-09 22:10:48.959000,L9,267.33,248.51,248.51
2023-06-09 22:11:12.914000,L9,277.64,256.08,254.81
2023-06-17 22:10:53.102000,L8,282.08,262.08,260.95
2023-06-17 22:11:17.056000,L8,281.01,261.05,260.03
2023-07-11 22:11:00.406000,L9,280.18,259.63,258.21
2023-07-11 22:11:24.365000,L9,280.31,258.68,257.56
2023-07-27 22:11:03.005000,L9,287.36,267.12,265.50
2023-07-27 22:11:26.959000,L9,278.69,258.65,256.39
2023-08-12 22:11:11.436000,L9,256.50,241.38,239.87
2023-08-20 22:11:23.591000,L8,265.68,247.79,245.87
2023-08-20 22:11:47.546000,L8,262.15,247.46,245.39
2023-08-28 22:11:20.303000,L9,272.20,254.03,251.44
2023-08-28 22:11:44.258000,L9,269.80,252.39,249.70
2023-09-05 22:11:22.812000,L8,266.51,246.97,243.59
2023-09-05 22:11:46.771000,L8,268.05,248.61,245.17
2023-09-13 22:11:29.496000,L9,285.57,263.59,260.76
2023-09-13 22:11:53.459000,L9,283.65,261.78,259.32
2023-09-29 22:11:26.883000,L9,293.12,274.99,271.96
2023-10-15 22:11:39.127000,L9,285.96,267.87,264.11
2023-10-15 22:12:03.081000,L9,285.97,268.00,264.00
2023-12-18 22:11:45.147000,L9,310.76,284.55,286.31
