dates,satname,nzd0082-0000,nzd0082-0001,nzd0082-0002,nzd0082-0003,nzd0082-0004,nzd0082-0005,nzd0082-0006,nzd0082-0007,nzd0082-0008,nzd0082-0009,nzd0082-0010,nzd0082-0011,nzd0082-0012,nzd0082-0013,nzd0082-0014,nzd0082-0015,nzd0082-0016,nzd0082-0017,nzd0082-0018,nzd0082-0019,nzd0082-0020,nzd0082-0021,nzd0082-0022,nzd0082-0023,nzd0082-0024,nzd0082-0025,nzd0082-0026,nzd0082-0027,nzd0082-0028,nzd0082-0029,nzd0082-0030,nzd0082-0031,nzd0082-0032,nzd0082-0033,nzd0082-0034,nzd0082-0035,nzd0082-0036,nzd0082-0037,nzd0082-0038,nzd0082-0039,nzd0082-0040,nzd0082-0041,nzd0082-0042,nzd0082-0043,nzd0082-0044,nzd0082-0045,nzd0082-0046,nzd0082-0047,nzd0082-0048,nzd0082-0049,nzd0082-0050,nzd0082-0051,nzd0082-0052,nzd0082-0053,nzd0082-0054,nzd0082-0055,nzd0082-0056,nzd0082-0057,nzd0082-0058,nzd0082-0059,nzd0082-0060,nzd0082-0061,nzd0082-0062,nzd0082-0063,nzd0082-0064,nzd0082-0065,nzd0082-0066,nzd0082-0067,nzd0082-0068,nzd0082-0069,nzd0082-0070,nzd0082-0071,nzd0082-0072,nzd0082-0073,nzd0082-0074,nzd0082-0075,nzd0082-0076,nzd0082-0077,nzd0082-0078,nzd0082-0079,nzd0082-0080,nzd0082-0081,nzd0082-0082,nzd0082-0083,nzd0082-0084,nzd0082-0085,nzd0082-0086,nzd0082-0087,nzd0082-0088,nzd0082-0089,nzd0082-0090,nzd0082-0091,nzd0082-0092,nzd0082-0093,nzd0082-0094,nzd0082-0095,nzd0082-0096,nzd0082-0097,nzd0082-0098,nzd0082-0099,nzd0082-0100,nzd0082-0101,nzd0082-0102,nzd0082-0103,nzd0082-0104,nzd0082-0105,nzd0082-0106,nzd0082-0107,nzd0082-0108,nzd0082-0109,nzd0082-0111,nzd0082-0112,nzd0082-0113,nzd0082-0114,nzd0082-0115,nzd0082-0135,nzd0082-0136,nzd0082-0137,nzd0082-0110,nzd0082-0116,nzd0082-0117,nzd0082-0118,nzd0082-0119,nzd0082-0120,nzd0082-0121,nzd0082-0122,nzd0082-0123,nzd0082-0124,nzd0082-0125,nzd0082-0126,nzd0082-0127,nzd0082-0128,nzd0082-0129,nzd0082-0130,nzd0082-0131,nzd0082-0132,nzd0082-0133,nzd0082-0134,nzd0082-0138,nzd0082-0139,nzd0082-0140,nzd0082-0141
1999-08-17 22:10:50.225000,L7,307.87,248.99,314.50,214.97,238.16,247.78,304.84,535.94,476.35,400.36,324.42,274.45,260.77,271.44,349.59,319.52,264.74,260.97,263.88,343.34,310.18,342.08,342.83,351.81,354.74,350.96,361.72,355.44,353.55,376.70,374.95,435.78,397.78,356.51,344.95,281.62,298.15,388.91,273.30,372.48,316.03,367.61,287.90,231.78,229.69,233.70,282.27,359.94,365.19,379.25,353.51,345.05,342.10,271.88,377.71,373.39,381.17,366.96,382.29,386.95,346.14,281.94,245.06,367.66,399.26,530.04,504.42,534.12,483.48,480.22,489.99,536.14,394.98,369.42,357.72,304.65,235.68,309.45,305.64,304.67,335.16,373.01,343.77,323.77,317.99,332.05,336.78,370.43,351.33,321.21,257.19,278.53,353.05,368.31,285.02,360.58,357.64,346.58,320.26,311.29,276.26,264.47,237.18,518.77,463.52,447.75,424.32,305.41,391.25,298.83,239.04,277.36,222.39,230.11,224.74,498.77,501.40,475.88,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-26 22:04:44.971000,L7,,,,,,,,,,,,,245.34,348.60,375.80,391.31,,,,,,,253.16,299.50,383.25,400.95,,,,,451.36,477.35,,,,,,,,,,,,,,,,,,,,,,,,,278.37,212.63,226.70,240.90,238.98,217.55,,,,,341.86,441.87,,,258.19,269.01,,,,,,314.33,392.11,327.81,,,,,,,,,414.28,428.90,416.44,,,186.43,185.22,198.61,204.05,221.71,200.21,242.91,214.07,,,,,,,215.60,191.76,253.67,245.99,257.01,264.80,275.91,276.08,469.89,458.44,527.23,260.82,220.76,,,,299.97,291.84,311.45,328.84,337.72,,,,199.25,313.39,409.37,471.92,362.68,451.13,428.33,494.31,470.25,417.55,393.88
1999-10-04 22:11:02.075000,L7,500.80,526.70,523.36,477.21,523.16,368.80,334.85,328.31,394.13,395.20,328.07,343.95,338.33,355.16,360.44,446.86,409.69,403.18,437.41,307.03,216.64,485.94,489.89,473.33,472.06,476.21,479.99,511.62,525.05,511.30,502.39,491.40,497.57,496.42,491.50,501.60,497.26,478.60,436.77,433.85,432.81,437.63,204.60,203.18,219.15,247.44,260.34,255.06,213.20,202.27,203.55,,,,,,,,,,,486.18,547.08,550.88,349.56,332.67,418.94,381.84,303.23,310.04,432.62,467.90,366.79,384.35,466.65,459.90,464.79,387.15,560.25,494.87,494.16,494.22,500.03,498.80,499.43,523.06,539.06,532.51,304.12,545.48,433.13,399.42,411.39,524.59,474.54,426.36,334.25,443.67,455.85,454.76,457.51,474.24,335.12,437.77,544.32,482.41,471.62,472.08,461.59,415.53,468.18,485.29,475.29,495.71,495.66,518.39,518.24,522.21,457.14,428.81,425.03,426.63,414.29,421.18,538.32,535.66,304.17,297.02,262.37,276.63,524.10,523.91,526.98,535.09,534.18,526.69,534.62,524.34,523.60,511.78,497.93,473.76
1999-12-07 22:10:53.996000,L7,,509.59,529.79,509.36,492.48,490.38,354.77,401.55,481.86,492.45,560.42,380.98,444.14,365.77,334.91,373.62,376.42,359.72,,473.53,450.17,333.64,329.05,,195.76,223.74,233.14,304.25,326.76,,,539.64,530.83,513.69,274.73,261.32,525.71,520.50,516.62,494.50,209.15,231.67,218.43,204.08,220.96,472.84,495.23,520.91,274.15,458.44,463.89,483.94,516.69,524.57,536.91,491.97,529.45,557.74,410.31,437.19,196.28,197.00,189.35,193.34,233.73,254.58,339.35,339.69,276.98,251.48,205.83,260.82,263.89,232.63,231.55,216.76,210.62,195.12,286.10,292.70,303.49,250.96,312.35,289.16,,343.03,304.51,315.57,317.92,287.55,216.32,220.47,229.22,207.28,194.12,186.03,546.63,465.26,543.96,550.39,538.53,536.84,,507.64,538.21,532.98,535.33,523.00,370.13,539.21,416.61,254.23,207.09,277.30,386.86,504.23,477.26,492.92,552.88,,,,,,211.67,254.36,340.73,253.83,294.93,297.16,289.37,377.86,396.19,383.20,446.70,498.00,508.53,221.44,463.12,428.25,463.31,458.86
2000-01-01 22:04:37.439000,L7,,,,184.86,193.30,239.66,292.99,312.25,265.93,,,,,215.96,384.69,471.59,538.97,446.80,405.07,374.11,379.35,538.23,479.87,508.62,506.68,302.57,322.08,295.31,422.14,403.91,361.63,,547.40,476.59,383.61,,,290.60,285.25,264.74,,,,,291.40,270.45,197.21,,,,,506.51,534.50,,,,506.74,434.30,377.92,,,,,,,,,492.75,491.80,476.09,395.19,,,529.34,307.39,267.65,515.35,442.87,,,,,,,,,,,229.74,475.29,471.68,467.28,519.78,518.94,519.56,510.69,420.38,372.50,430.41,465.84,490.58,495.41,,,379.55,358.88,,,,,,271.44,260.30,258.05,278.44,453.72,449.90,482.24,,237.74,330.46,,,317.62,317.43,326.42,332.69,342.01,,,,184.52,326.82,505.23,457.00,432.67,445.03,427.80,471.40,457.41,412.68,269.37
2000-03-28 22:10:31.187000,L7,384.85,381.09,421.70,403.94,450.77,494.68,507.20,415.86,456.65,467.99,546.96,528.82,428.40,330.37,520.21,529.67,511.58,500.29,515.18,514.92,428.87,555.06,528.34,311.87,389.11,372.67,410.83,438.81,417.89,357.74,398.41,392.03,393.44,390.78,358.04,537.50,459.98,444.00,424.43,441.65,453.80,410.62,380.37,360.39,286.41,316.60,490.50,500.90,457.77,481.07,405.16,425.04,415.57,455.65,495.06,569.09,205.40,287.70,257.19,411.87,479.33,472.69,493.34,489.86,468.98,502.52,520.35,484.25,492.06,497.83,492.75,528.21,481.08,482.15,484.36,488.01,521.13,531.92,536.07,441.89,445.57,461.27,467.03,436.15,410.57,461.39,542.11,433.67,509.51,428.01,212.33,207.68,195.16,195.68,207.84,211.81,210.16,215.72,198.49,199.96,196.08,192.59,195.13,528.73,518.68,521.43,523.43,535.09,545.26,535.94,534.42,542.21,543.47,500.04,258.22,442.60,541.59,521.03,282.37,327.71,335.10,367.84,513.06,546.74,476.24,489.11,494.26,483.09,507.59,512.55,538.07,544.19,427.24,433.87,428.38,434.58,418.63,354.77,510.96,501.43,493.59,482.23
2000-04-29 22:10:17.743000,L7,401.45,402.05,261.80,258.76,261.93,431.83,399.56,499.02,325.70,,510.19,444.24,335.79,350.58,341.65,,502.27,416.12,377.77,380.31,335.90,302.87,362.13,365.14,288.50,466.05,460.44,447.90,431.94,434.27,541.08,364.81,381.87,428.13,501.13,451.86,383.26,489.01,497.03,494.69,398.89,399.94,456.77,350.20,358.34,457.20,472.43,312.08,304.42,363.61,369.29,320.86,270.46,335.44,257.88,263.79,300.76,280.42,223.67,505.14,217.99,239.06,234.27,,473.26,504.77,492.00,477.47,231.75,208.88,225.87,217.05,221.53,224.22,310.42,306.08,380.71,441.94,413.89,446.94,254.04,227.07,204.81,504.18,526.84,550.31,535.50,424.33,410.43,427.49,418.99,451.21,438.29,432.36,412.82,422.16,436.54,486.61,501.67,463.89,519.34,487.47,490.12,482.42,535.82,519.31,506.84,507.42,516.96,530.01,522.24,514.95,491.21,491.97,239.51,515.30,495.03,487.26,522.23,224.80,207.17,514.86,519.68,543.14,499.90,513.31,547.04,541.20,551.27,512.08,538.03,497.75,508.54,511.05,517.86,516.38,523.21,543.94,488.92,466.48,481.40,467.64
2000-05-24 22:03:46.662000,L7,,,,,,,,,,,,,289.49,318.53,346.02,,283.94,479.11,525.64,542.06,477.54,455.29,,320.79,368.00,397.19,466.77,476.55,308.01,294.06,,425.52,368.14,268.51,514.06,538.08,540.48,337.80,265.42,227.81,,401.24,186.39,517.12,497.19,527.42,527.75,433.35,409.94,420.36,189.13,265.24,216.95,223.26,,,378.42,433.18,475.85,273.18,273.09,276.77,,,443.67,420.81,422.43,223.57,202.59,209.16,284.25,303.46,384.27,248.59,320.92,227.97,229.31,234.70,238.98,228.04,404.59,413.16,429.15,353.10,297.31,290.43,282.28,281.25,444.66,463.53,443.58,442.13,528.93,262.87,241.73,281.88,550.94,531.20,419.64,515.46,510.36,312.45,518.84,442.29,432.44,442.14,442.34,459.42,451.29,486.63,551.73,465.79,358.23,357.52,351.56,,,,461.58,315.28,329.66,261.73,293.01,483.90,475.68,537.36,,,308.68,190.55,242.94,309.45,501.78,507.06,494.61,501.17,536.74,,,508.13,529.45,493.76
2000-07-11 22:03:17.779000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.24,193.69,213.10,242.96,286.11,290.67,295.47,275.57,,214.75,241.84,259.44,307.89,319.66,271.23,308.52,306.09,,,,,,197.01,208.89,399.13,352.22,388.69,244.31,,180.01,200.18,227.21,251.74,269.42,452.28,411.13,423.02,429.06,268.84,279.44,254.41,267.46,287.05,314.86,407.40,432.51,431.10,435.91,446.86,484.81,342.66,329.91,339.29,355.98,353.50,485.35,498.83,494.30,500.86,508.57,516.36,515.27,524.53,530.05,519.66,524.29,530.28,505.77,536.01,441.86,432.25,459.72,,,,498.85,486.23,490.70,324.67,492.02,508.76,491.28,460.77,482.07,481.63,487.40,532.28,514.44,470.93,522.43,543.28,,,,,,,,331.29
2000-08-03 22:09:08.077000,L7,371.67,340.26,409.99,501.82,534.57,337.52,367.27,302.93,292.24,254.31,389.44,362.02,367.32,372.22,404.25,409.88,433.21,,,327.68,387.33,323.77,427.81,525.80,400.67,397.07,356.81,350.75,322.81,329.38,462.08,303.46,270.98,427.51,267.83,407.09,416.99,503.77,470.01,438.42,327.32,313.12,429.06,434.68,395.08,402.96,405.57,341.53,459.68,526.15,547.25,393.41,404.04,406.60,413.47,369.18,498.75,492.90,391.18,397.35,416.51,425.64,429.79,246.03,287.27,269.78,243.97,490.67,481.10,497.32,484.05,475.18,494.00,496.32,501.28,366.88,519.34,424.64,422.85,424.10,432.69,225.94,355.65,339.72,291.11,297.71,497.27,474.20,447.98,412.19,401.14,404.97,409.28,331.30,404.74,383.24,191.64,441.85,412.03,433.98,428.81,314.08,318.98,306.63,282.04,404.20,390.73,433.64,423.36,418.11,195.17,407.39,399.91,412.59,421.73,342.06,376.65,359.53,205.28,432.90,339.12,400.47,427.05,525.02,409.02,410.89,306.06,390.67,405.13,427.16,522.18,541.10,438.35,217.61,215.05,264.22,406.37,397.24,354.00,321.54,482.62,507.61
