dates,satname,nzd0083-0000,nzd0083-0001,nzd0083-0002,nzd0083-0003,nzd0083-0004
1999-09-27 22:04:48.949000,L7,371.41,351.54,365.78,368.82,
1999-11-14 22:04:42.286000,L7,295.09,318.16,303.44,313.55,250.48
2000-01-01 22:04:37.439000,L7,331.24,,,,296.40
2000-02-18 22:04:29.218000,L7,332.28,,336.81,318.21,311.99
2000-10-15 22:01:56.204000,L7,308.33,319.01,328.37,332.81,303.94
2001-03-24 22:01:59.719000,L7,305.23,309.28,312.64,328.64,254.18
2001-08-15 22:00:38.680000,L7,,,,392.98,328.70
2001-10-02 22:00:04.650000,L7,281.68,,,,
2001-12-05 22:00:18.987000,L7,,,303.50,303.87,250.16
2002-01-22 22:00:40.906000,L7,,294.84,295.22,307.27,291.35
2002-06-15 22:00:19.658000,L7,,,,,245.51
2002-07-01 22:00:15.186000,L7,,,,,263.50
2002-07-17 22:00:08.747000,L7,288.44,309.87,320.60,289.86,244.32
2002-08-02 22:00:01.321000,L7,302.04,305.83,311.22,317.68,246.90
2002-08-18 21:59:57.690000,L7,347.76,340.02,371.02,392.58,318.19
2002-12-24 22:00:09.147000,L7,359.97,343.17,355.11,370.78,
2003-09-14 21:49:18.766000,L5,300.42,298.79,306.82,319.22,285.72
2004-07-30 21:54:28.143000,L5,290.50,291.13,302.36,313.56,268.69
2004-09-16 21:55:41.721000,L5,257.36,252.19,272.08,273.22,
2004-10-18 21:56:23.891000,L5,274.45,268.19,270.74,277.77,
2005-03-11 21:58:44.158000,L5,302.53,293.50,302.49,309.97,278.22
2005-03-27 21:58:51.619000,L5,282.82,283.38,291.57,301.64,259.53
2005-04-12 21:58:55.193000,L5,270.33,261.87,278.47,286.39,
2005-09-03 21:59:56.285000,L5,309.36,307.86,303.36,297.23,264.16
2006-04-15 22:03:30.798000,L5,264.19,263.85,272.16,281.30,
2006-10-24 22:06:02.805000,L5,274.46,270.43,292.18,297.68,256.04
2008-02-16 22:02:22.163000,L5,283.28,281.24,294.13,302.33,260.69
2009-01-01 21:56:31.615000,L5,260.31,262.16,275.91,287.19,
2009-02-02 21:57:22.411000,L5,275.43,273.35,284.59,291.17,249.68
2011-01-07 22:01:44.406000,L5,258.26,259.36,273.25,275.69,
2011-03-12 22:01:43.554000,L5,264.18,259.25,274.51,272.87,
2011-09-04 22:00:27.603000,L5,323.49,317.06,325.78,345.29,322.27
2013-05-20 22:13:50.559000,L8,268.37,274.58,282.86,281.40,265.26
2013-06-21 22:13:43.313000,L8,290.66,297.10,308.64,309.52,298.69
2013-07-07 22:13:48.209000,L8,272.86,277.37,285.49,285.72,270.53
2013-09-25 22:13:41.239000,L8,267.97,269.14,279.39,284.26,266.07
2013-10-27 22:13:31.854000,L8,288.19,291.53,290.92,291.40,294.28
2013-11-12 22:13:32.202000,L8,310.96,305.33,314.75,329.37,340.15
2013-11-28 22:13:25.971000,L8,279.98,281.73,288.34,295.66,276.19
2013-12-14 22:13:21.591000,L8,,,,,252.97
2014-04-05 22:11:58.702000,L8,289.31,295.61,306.39,304.32,287.45
2014-04-21 22:11:42.175000,L8,276.73,280.18,288.16,290.38,268.76
2014-05-23 22:11:18.694000,L8,269.89,277.72,285.19,282.82,266.47
2014-10-14 22:12:02.705000,L8,317.75,298.89,314.89,320.25,315.12
2014-12-01 22:12:00.318000,L8,290.72,289.62,299.64,306.23,286.44
2015-01-02 22:11:50.958000,L8,,,,,247.73
2015-03-07 22:11:30.209000,L8,314.84,308.47,320.49,357.01,317.03
2015-04-24 22:11:08.401000,L8,,267.65,289.04,292.52,268.33
2015-05-10 22:10:52.487000,L8,271.29,282.45,283.78,289.51,265.69
2015-06-27 22:11:10.298000,L8,298.86,299.42,310.55,315.91,303.35
2015-07-29 22:11:25.856000,L8,276.84,282.74,291.74,291.69,266.81
2015-12-20 22:11:57.501000,L8,285.63,286.41,294.08,302.28,282.91
2016-02-22 22:11:42.580000,L8,,268.11,284.29,290.53,258.43
2016-03-09 22:11:40.902000,L8,273.89,277.27,283.45,286.56,253.08
2016-04-26 22:11:21.230000,L8,259.19,278.01,280.58,282.62,265.82
2016-05-12 22:11:20.683000,L8,341.08,326.12,358.20,354.04,
2016-06-13 22:11:30.674000,L8,291.14,298.28,309.11,309.98,298.43
2016-07-15 22:11:46.335000,L8,269.78,279.23,285.22,282.05,268.63
2016-08-16 22:11:53.694000,L8,271.54,277.44,285.25,288.99,270.76
2016-11-20 22:12:09.409000,L8,292.95,290.87,299.95,307.19,292.81
2016-12-22 22:12:03.110000,L8,286.13,288.11,294.61,303.39,283.78
2017-08-19 22:11:53.133000,L8,271.96,280.82,285.03,289.16,274.38
2017-09-04 22:11:55.578000,L8,326.04,308.94,315.05,337.32,321.18
2018-04-16 22:11:06.667000,L8,352.82,328.09,334.03,347.40,356.79
2018-07-05 22:10:54.795000,L8,269.79,278.82,288.08,287.75,272.67
2018-09-07 22:11:24.397000,L8,273.09,278.34,284.03,291.51,274.20
2019-02-14 22:11:33.473000,L8,296.43,295.38,303.09,309.64,298.10
2019-03-02 22:11:29.304000,L8,290.74,293.51,302.91,307.97,293.39
2019-05-21 22:11:27.314000,L8,287.72,295.87,305.30,308.95,299.53
2019-06-06 22:11:35.277000,L8,270.39,281.22,289.72,290.44,276.42
2019-06-22 22:11:40.996000,L8,275.41,283.48,290.19,289.06,277.64
