dates,nzd0090-0000,nzd0090-0001,nzd0090-0002,nzd0090-0003,nzd0090-0004,nzd0090-0005,nzd0090-0006,nzd0090-0007,nzd0090-0008,nzd0090-0009,nzd0090-0010
1999-09-27 22:04:48+00:00,235.09,,,,,,,,,,
1999-11-14 22:04:42+00:00,235.09,,,,,,,,306.58,313.1,
2000-01-01 22:04:37+00:00,232.185,,,,219.9,,,240.01,288.37,296.06,
2000-08-12 22:02:54+00:00,,,,,,,,226.96,259.61,256.52,
2001-03-24 22:01:59+00:00,229.68,214.57,198.14,203.24,220.56,,,235.71,267.1,265.84,
2001-06-12 22:01:24+00:00,236.39,214.57,198.14,203.24,220.56,,,235.71,279.09000000000003,279.015,281.59
2001-08-15 22:00:38+00:00,233.96333333333334,213.95,193.295,201.54500000000002,215.445,216.24,190.27,235.38,272.95,278.2366666666667,272.705
2001-10-02 22:00:04+00:00,236.105,213.33,188.45,199.85,210.33,216.24,186.905,232.735,269.48333333333335,284.43500000000006,257.7
2001-12-05 22:00:18+00:00,238.88666666666666,216.11,200.12,204.45,212.63,221.44,192.14333333333335,236.20000000000002,272.03,279.3466666666667,257.94
2002-01-22 22:00:40+00:00,240.16,219.03666666666666,208.48,211.50333333333333,218.31000000000003,226.24666666666667,201.3675,239.3225,267.95500000000004,276.45666666666665,252.7475
2002-02-23 22:00:43+00:00,239.61666666666665,218.5433333333333,212.04333333333332,210.24333333333334,218.89,226.6966666666667,201.54500000000002,238.99,269.9175,274.40000000000003,246.3675
2002-03-27 22:00:37+00:00,239.61666666666665,218.5433333333333,212.04333333333332,210.24333333333334,218.89,226.6966666666667,201.54500000000002,234.882,260.494,274.40000000000003,241.41
2002-07-01 22:00:15+00:00,236.68666666666664,220.2733333333333,211.28333333333333,210.06333333333336,219.64333333333335,225.07666666666668,205.42,234.355,247.95,273.94666666666666,240.23333333333332
2002-07-17 22:00:08+00:00,236.68666666666664,220.2733333333333,211.28333333333333,210.06333333333336,219.64333333333335,225.07666666666668,198.7825,233.53599999999997,241.558,273.94666666666666,237.145
2002-08-18 21:59:57+00:00,230.54666666666665,216.01666666666665,203.39999999999998,202.92333333333332,213.88333333333333,218.84333333333333,189.91500000000002,230.346,238.512,276.32,229.265
2003-09-14 21:49:18+00:00,,,,,,,183.47,198.33,241.53,,230.52
2004-07-30 21:54:28+00:00,293.86,272.77,267.46,270.67,274.18,287.19,282.57,,304.86,301.79,295.08
2005-02-23 21:58:31+00:00,270.05,256.58,255.04,252.41,253.65,261.31,261.19,,283.67,281.86,281.01
2005-03-11 21:58:44+00:00,263.01,247.765,242.95999999999998,243.95,246.65,254.78,252.45,,280.55,276.435,274.265
2006-04-15 22:03:30+00:00,,,,,,,,186.8,245.46,235.69,235.06
2006-11-25 22:06:19+00:00,,,199.6,210.85,,,,,,,
2006-12-11 22:06:28+00:00,,,199.6,210.85,,,,225.45,240.54,233.7,
2009-02-02 21:57:22+00:00,268.55,243.85,246.47,250.75,252.57,,,254.82,283.76,286.03,281.36
2011-04-13 22:01:34+00:00,265.22,251.87,244.81,248.18,250.14,262.92,263.49,272.83,298.05,291.14,292.83
2013-05-20 22:13:50+00:00,,,277.19,,288.56,296.21,298.03,305.49,320.54,322.86,316.28
2013-06-05 22:13:51+00:00,245.2,234.83,255.005,237.02,267.51,275.29999999999995,272.59,284.84000000000003,306.85,312.34000000000003,298.775
2013-06-21 22:13:43+00:00,244.435,234.78,247.63333333333333,237.22500000000002,260.32,267.57,261.7866666666667,275.49666666666667,301.9666666666667,309.98,291.7966666666666
2013-09-09 22:13:49+00:00,239.13,228.70333333333335,238.3675,226.61666666666667,251.555,258.09499999999997,249.82999999999998,266.8825,292.525,297.65,281.65749999999997
2013-11-28 22:13:25+00:00,241.2125,230.205,226.39249999999998,225.8625,239.98250000000002,246.0025,232.065,254.1475,284.08000000000004,288.87,268.935
2013-12-14 22:13:21+00:00,239.88333333333335,233.8525,233.0725,229.805,243.52,249.72750000000002,227.03666666666666,258.77,284.485,291.07000000000005,272.34749999999997
2014-01-31 22:12:52+00:00,227.89,227.1825,224.42249999999999,222.055,238.6675,244.76,214.44999999999996,259.4233333333333,277.50249999999994,280.995,265.4475
2014-02-16 22:12:38+00:00,227.89,227.1825,224.42249999999999,222.055,238.6675,244.76,214.44999999999996,259.4233333333333,273.034,274.516,259.608
2014-04-05 22:11:58+00:00,227.575,224.1125,219.1925,219.2575,238.2025,243.5975,204.40666666666667,268.61499999999995,272.558,274.15,258.502
2014-05-23 22:11:18+00:00,230.70333333333335,223.788,220.32399999999998,218.798,237.642,242.956,208.1375,262.51666666666665,274.40666666666664,275.94,260.32666666666665
2014-10-14 22:12:02+00:00,236.96,222.49,243.345,216.96,246.31500000000003,253.71500000000003,219.33,262.895,287.12,289.885,276.085
2014-12-01 22:12:00+00:00,238.9,222.3,241.62,219.25,247.39000000000001,254.53000000000003,221.75,263.635,283.825,288.08,272.28
2015-03-07 22:11:30+00:00,238.9,222.3,241.62,219.25,247.39000000000001,254.53000000000003,221.75,263.635,275.88666666666666,278.21,263.50666666666666
2015-04-24 22:11:08+00:00,242.94,227.49,226.315,219.885,241.72,249.25500000000002,221.75,255.97,275.6766666666667,276.19666666666666,264.3566666666666
2015-05-10 22:10:52+00:00,241.93666666666664,227.32666666666668,224.58666666666667,219.60333333333332,239.35,246.85000000000002,221.31,252.6933333333333,278.5275,279.06,264.40999999999997
2015-06-27 22:11:10+00:00,243.65333333333334,234.95666666666668,228.38,220.94333333333336,242.62333333333333,251.9366666666667,235.765,254.89,280.73749999999995,282.0825,266.7075
2015-07-29 22:11:25+00:00,243.45000000000002,234.4875,228.9725,221.055,241.64,250.8375,238.01999999999998,254.7875,281.952,283.402,268.98400000000004
2015-08-14 22:11:31+00:00,243.45000000000002,234.4875,228.9725,215.256,236.3,246.084,238.01999999999998,254.7875,278.83666666666664,279.245,265.505
2016-02-22 22:11:42+00:00,,,,,,,,,254.65,249.47,240.07
2016-03-25 22:11:32+00:00,246.98,226.9,226.51,217.52,238.18,243.61,212.18,251.12,266.315,249.47,240.07
2016-05-12 22:11:20+00:00,266.87,226.9,243.325,217.52,254.055,261.8,212.18,268.67,277.80333333333334,249.47,240.07
2016-06-13 22:11:30+00:00,266.87,226.9,243.325,217.52,254.055,261.8,212.18,268.67,275.26,254.64499999999998,243.235
2016-07-15 22:11:46+00:00,244.54666666666665,216.4,243.325,217.52,254.055,261.8,212.18,268.67,275.26,254.64499999999998,243.235
2016-08-16 22:11:53+00:00,243.135,218.74666666666667,237.40333333333334,217.03,247.65333333333334,254.48333333333335,217.45499999999998,262.12333333333333,276.834,264.52,251.98666666666668
2016-11-20 22:12:09+00:00,232.35,224.56000000000003,235.575,232.035,245.97500000000002,252.71999999999997,242.605,261.98,278.6433333333334,276.71999999999997,265.06333333333333
2017-01-23 22:11:55+00:00,247.4666666666667,230.54999999999998,232.91666666666666,228.89,242.86,248.95999999999995,230.51666666666665,258.53000000000003,281.9866666666667,284.66,271.98
2017-08-19 22:11:53+00:00,246.52,232.83,234.89,222.97,237.58,243.46,235.76,253.91,287.25,288.13,271.32
2018-01-10 22:11:54+00:00,246.52,247.26999999999998,246.37,235.98000000000002,248.78000000000003,254.935,247.95,259.51,287.78999999999996,289.16999999999996,273.275
2018-07-05 22:10:54+00:00,,261.71,257.85,248.99,259.98,266.41,260.14,247.78,276.92999999999995,275.53999999999996,261.305
