dates,nzd0092-0000,nzd0092-0001,nzd0092-0002,nzd0092-0003,nzd0092-0004,nzd0092-0005,nzd0092-0006,nzd0092-0007,nzd0092-0008,nzd0092-0009,nzd0092-0010,nzd0092-0011,nzd0092-0012,nzd0092-0013,nzd0092-0014,nzd0092-0016,nzd0092-0017,nzd0092-0018,nzd0092-0019,nzd0092-0020,nzd0092-0021,nzd0092-0022,nzd0092-0023,nzd0092-0024,nzd0092-0025,nzd0092-0026,nzd0092-0027,nzd0092-0028,nzd0092-0029,nzd0092-0030,nzd0092-0031,nzd0092-0032,nzd0092-0033,nzd0092-0015
1999-08-26 22:04:44+00:00,,,,,,,,,,,,,,,,,,,,,234.18,215.52,232.1,,,,,,247.24,,,,,
1999-10-04 22:11:02+00:00,,,,,,,,,,,,,,,,,,,,,216.85000000000002,216.44,222.27499999999998,,212.53,,,,231.645,231.27,,,,
1999-11-14 22:04:42+00:00,,,,,,,,,,,,,,,,,,,,,216.85000000000002,225.0,229.88333333333333,254.74,229.93,255.65,,300.09,231.645,231.27,,,,
1999-12-07 22:10:53+00:00,,,,237.09,232.07,222.94,230.8,218.77,214.26,195.73,276.53,303.79,,285.23,,,,,,,216.85000000000002,231.11,236.70749999999998,270.425,229.93,253.89,,287.87,231.645,243.97500000000002,264.98,,252.39,
2000-03-28 22:10:31+00:00,217.3,217.51,215.65,226.505,221.19,214.04500000000002,221.62,210.38,214.26,195.73,276.53,303.79,,285.23,,,,,,,199.52,236.3066666666667,238.2433333333333,270.425,229.93,253.89,,275.16,219.85000000000002,238.72666666666666,256.74,,242.065,
2000-04-29 22:10:17+00:00,219.06,219.03,218.555,224.8166666666667,219.2266666666667,211.37666666666667,220.00333333333333,210.67,214.26,195.73,276.53,303.79,,285.23,,,,,,,240.82,250.5,257.84,273.41333333333336,231.27,243.2266666666667,,272.0025,236.785,243.33,256.10333333333335,255.98,239.97,
2000-08-03 22:09:08+00:00,219.06,219.03,218.555,218.68,212.80500000000004,205.595,214.605,206.62,,,,,,,,,,,203.92,186.27,223.03,233.30499999999995,271.24,252.89499999999998,217.35500000000002,220.965,194.36,255.50333333333333,236.785,236.65499999999997,251.64333333333335,256.14,236.0533333333333,
2000-10-06 22:08:23+00:00,220.805,216.995,217.38,217.5,211.04000000000002,205.625,215.94,203.63,,,,,,,,,,,203.92,186.27,223.03,233.30499999999995,271.24,252.89499999999998,213.27333333333334,217.57666666666668,187.14,248.73333333333332,244.665,243.40499999999997,248.49333333333334,251.86,238.20999999999998,
2000-11-23 22:08:18+00:00,226.77499999999998,223.09,223.63,225.38,218.78,215.985,229.885,205.685,211.71,194.92,,,,,,,286.54,,203.92,181.07,222.235,219.695,,226.775,212.96666666666667,217.3466666666667,187.14,249.16,245.365,243.73499999999996,248.49,253.99666666666667,238.295,
2001-06-03 22:07:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,211.07,201.59,195.64,185.33,,,,,,232.76,
2001-11-03 22:00:10+00:00,,,,,,,,,,,,,,,,,,,,207.4,257.99,270.91,256.93,239.39,233.01999999999998,232.48,185.33,,314.45,,,,232.76,
2001-12-05 22:00:18+00:00,,,,,,,,,,,,,,,,,,,,205.695,249.06,257.34000000000003,248.70499999999998,261.09499999999997,258.28,264.28,,,296.855,,,,,
2001-12-12 22:06:38+00:00,224.59,229.19,226.83,225.24,223.43,216.08,217.85,210.29,210.21,195.2,,,,,,,,,210.74,206.17666666666665,247.04333333333332,253.15333333333334,242.62333333333333,266.6333333333333,266.03,266.77666666666664,,262.18,282.5566666666667,245.77,254.1,257.44,236.8,
2002-01-22 22:00:40+00:00,224.59,229.19,226.83,225.24,223.43,216.08,217.85,210.29,210.21,195.2,,,,,,,,,210.74,206.17666666666665,247.04333333333332,252.34,243.4975,265.0125,263.34499999999997,265.975,,278.52,282.065,245.77,254.1,257.44,236.8,
2002-02-14 22:06:53+00:00,224.59,229.19,226.83,225.24,223.43,216.08,217.85,210.29,210.21,195.2,,,,,,,,,210.74,206.17666666666665,247.04333333333332,252.34,243.4975,265.0125,263.34499999999997,265.975,182.39,278.52,282.065,232.155,247.82,250.45999999999998,236.8,
2002-02-23 22:00:43+00:00,224.59,229.19,226.83,225.24,223.43,216.08,217.85,210.29,210.21,195.2,,,,,,,,,210.74,206.17666666666665,245.22,251.744,242.942,263.52,261.06,264.554,182.39,287.82666666666665,284.226,232.155,247.82,250.45999999999998,236.8,
2002-03-18 22:06:46+00:00,224.765,229.62,226.83,225.24,223.43,216.08,217.70499999999998,210.785,210.21,195.2,,,,,,,,,210.74,200.84,244.012,247.23833333333334,238.76333333333332,257.01166666666666,261.06,264.554,187.39999999999998,287.82666666666665,284.226,235.33,249.87,252.54333333333332,235.645,
2002-03-27 22:00:37+00:00,224.765,229.62,226.83,225.24,223.43,216.08,217.70499999999998,210.785,210.21,195.2,294.89,284.75,,,288.32,,326.03,,210.74,200.972,249.02666666666667,252.49571428571429,245.05285714285714,261.9342857142857,266.1566666666667,269.43666666666667,187.39999999999998,295.46000000000004,288.95,235.33,249.87,252.54333333333332,235.645,274.29
2002-04-12 22:00:37+00:00,224.765,229.62,226.83,225.24,223.43,216.08,217.70499999999998,210.785,210.21,195.2,294.89,284.75,,,288.32,,326.03,218.21,211.365,200.972,252.10999999999999,256.84125,249.9075,265.0575,268.6685714285714,272.3514285714286,187.39999999999998,300.704,292.26142857142855,235.33,249.87,252.54333333333332,235.645,278.36
2002-10-21 21:59:36+00:00,,,,,,,,,,,291.22,,,,,,,213.56,209.3,,,254.43,246.01,260.33,258.18,264.83,,305.73,309.69,,,,,
2002-10-28 22:05:46+00:00,,220.49,214.5,212.0,208.55,202.76,209.62,197.57,,,291.22,,,,,,,213.56,209.3,,,254.43,246.01,260.33,258.18,264.83,185.09,305.73,309.69,229.37,241.31,,,
2002-12-24 22:00:09+00:00,,220.49,214.5,212.0,208.55,202.76,209.62,197.57,,,291.22,,,,,,,213.56,209.3,185.82,,250.95499999999998,245.44,259.2,258.905,262.225,185.09,306.94,302.71500000000003,229.37,241.31,,,
2002-12-31 22:06:20+00:00,,220.49,214.5,212.0,208.55,205.815,212.29500000000002,203.0,,,291.22,,,,,,,213.56,209.3,185.82,,250.95499999999998,245.44,259.2,258.905,248.15333333333334,187.495,306.94,284.4266666666667,233.79000000000002,245.82999999999998,,,
2003-01-16 22:06:26+00:00,,220.49,214.5,212.0,208.55,205.815,212.88666666666666,203.76999999999998,,,291.22,,,,,,,213.56,209.3,185.82,,250.95499999999998,245.44,259.2,258.905,276.1675,187.495,306.94,284.4266666666667,233.54333333333332,246.71,250.06,226.47,
2003-07-28 21:48:28+00:00,,,183.64,193.0,191.43,189.92,194.24,194.02,201.43,197.94,188.33,,,,,,,,,277.53,286.2,309.35,335.95,335.1,319.79,346.52,,337.66,262.39,326.08,345.64,334.26,339.31,
