dates,nzd0100-0000,nzd0100-0001,nzd0100-0002,nzd0100-0003,nzd0100-0004,nzd0100-0005,nzd0100-0006,nzd0100-0007,nzd0100-0008,nzd0100-0009,nzd0100-0010,nzd0100-0011,nzd0100-0012,nzd0100-0013,nzd0100-0014,nzd0100-0015,nzd0100-0016,nzd0100-0017,nzd0100-0018,nzd0100-0019,nzd0100-0020,nzd0100-0021,nzd0100-0022,nzd0100-0023,nzd0100-0024,nzd0100-0025,nzd0100-0026,nzd0100-0027,nzd0100-0028,nzd0100-0029,nzd0100-0030,nzd0100-0031,nzd0100-0032,nzd0100-0033,nzd0100-0034,nzd0100-0035,nzd0100-0036,nzd0100-0037,nzd0100-0038,nzd0100-0039,nzd0100-0040,nzd0100-0041,nzd0100-0042,nzd0100-0043,nzd0100-0044,nzd0100-0045,nzd0100-0046,nzd0100-0047,nzd0100-0048,nzd0100-0049,nzd0100-0050,nzd0100-0051,nzd0100-0052,nzd0100-0053,nzd0100-0054,nzd0100-0055,nzd0100-0056,nzd0100-0057,nzd0100-0058,nzd0100-0059,nzd0100-0060,nzd0100-0061,nzd0100-0062,nzd0100-0063,nzd0100-0064,nzd0100-0065,nzd0100-0066,nzd0100-0067,nzd0100-0068,nzd0100-0069,nzd0100-0070,nzd0100-0071,nzd0100-0072,nzd0100-0073
1999-09-27 22:04:48+00:00,,,,,,,,,,,,,,,,,,,,332.81,307.47,327.64,341.11,323.73,,333.6,325.14,317.19,333.37,339.59,327.49,316.92,310.03,333.95,333.27,330.21,339.91,335.15,,340.43,345.39,,342.0,318.33,321.8,333.02,333.85,349.09,351.79,,338.92,335.25,324.17,326.29,,332.94,332.68,340.77,333.88,341.88,352.97,365.49,,339.81,336.35,349.55,352.85,350.33,338.43,,331.5,335.78,334.24,375.54
1999-11-14 22:04:42+00:00,,,,,,,,,,,,,,,,,,,,327.71000000000004,311.14,337.07,341.315,331.45500000000004,,339.62,334.135,319.575,343.25,349.815,336.595,328.065,314.405,323.325,336.84000000000003,337.39,337.035,342.22,,344.84000000000003,348.38,,346.72,326.945,318.355,329.03499999999997,335.37,348.705,355.865,,342.0,337.03999999999996,328.05,329.78,264.98,338.375,341.355,342.03499999999997,340.28999999999996,348.525,356.44500000000005,368.725,375.87,332.71500000000003,338.82000000000005,351.53499999999997,350.84000000000003,348.21,351.63,,337.175,336.28999999999996,339.255,381.01
2000-05-24 22:03:46+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.04,394.01,,,,,,,,,,,,,391.45
2000-09-13 22:02:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.31,335.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.06,384.245,388.865,,,,,,,,,,,,,391.45
2001-01-03 22:02:12+00:00,,,287.3,,,,,,,,,,,,,,,,,286.68,,,,,,,,293.0,335.1,,,,,286.62,,,,,,,,,,,,,171.65,,,,,,238.6,,242.84,,,,366.06,377.45,383.72,,347.91,312.3,,,,,,,,,,
2002-01-22 22:00:40+00:00,,,,,,,,353.13,358.05,,,,289.33,358.52,,,,,,342.23,327.38,347.65,363.58,351.43,,343.21,341.94,,345.69,360.33,349.6,334.33,333.93,,342.69,360.11,364.66,363.55,243.72,347.49,359.49,,366.28,202.32,,,196.85,368.22,372.97,,374.53,358.34,255.06,344.37,,323.09,332.21,336.74,341.64,352.26,363.6,380.54,,349.05,308.44,356.01,350.24,345.35,341.67,,355.45,339.48,346.48,353.91
2002-03-27 22:00:37+00:00,,,249.94,176.16,,,,353.13,358.05,,,,289.33,358.52,,,,,,342.23,327.38,347.65,363.58,351.43,,343.21,341.94,,345.69,360.33,349.6,334.33,333.93,,342.69,360.11,364.66,363.55,243.72,347.49,359.49,,366.28,202.32,,,196.85,368.22,372.97,,285.76,358.34,247.305,302.28499999999997,242.29,283.775,288.35,294.495,341.64,299.825,324.935,380.54,,349.05,308.44,356.01,312.11,312.21000000000004,309.68,270.72,267.365,339.48,361.905,353.91
2002-07-17 22:00:08+00:00,,,241.505,177.905,,,,353.13,358.05,,,171.99,281.15999999999997,340.475,,,,289.13,294.82,342.23,327.38,354.51,369.595,364.47,307.06,343.21,341.94,271.05,345.69,332.54999999999995,349.6,334.33,301.34000000000003,281.71,317.16499999999996,316.3,323.72,324.90999999999997,234.51,347.49,359.49,,366.28,202.32,184.85,217.97,193.55,296.3,311.735,291.19,257.5933333333333,358.34,246.41,292.3966666666667,243.73,272.92333333333335,275.7733333333333,284.38,341.64,283.3633333333333,314.8666666666667,380.54,327.67,331.37,290.01,356.01,298.23333333333335,302.5933333333333,301.4633333333333,277.81,244.03666666666666,339.48,361.905,353.91
2004-07-30 21:54:28+00:00,,,250.96,188.48,169.63,164.44,,,,,,,309.82,330.08,330.21,269.46,324.45,320.97,333.52,329.04,313.66,328.35,337.52,334.37,337.14,333.13,325.13,314.07,322.02,344.38,333.57,313.23,296.12,320.5,329.81,308.66,316.72,320.04,320.96,306.8,321.71,217.98,246.27,213.27,207.3,255.65,227.6,228.55,286.55,300.27,238.92,292.75,290.6,296.61,294.93,280.91,285.96,293.6,296.0,285.44,316.55,343.8,404.61,358.21,323.4,321.37,305.6,322.88,317.06,314.43,221.08,238.83,196.44,308.46
2004-09-16 21:55:41+00:00,,,272.435,189.57,172.635,164.44,,,,,,,309.82,330.08,330.21,269.46,324.45,320.97,333.52,329.04,312.245,326.94500000000005,333.885,332.31,335.265,327.765,322.90999999999997,314.115,322.225,341.75,334.345,314.52,299.975,320.855,327.91999999999996,307.91,315.165,319.01,316.345,303.245,300.79999999999995,218.35,249.81,219.35500000000002,212.955,255.565,231.95999999999998,233.38,288.83000000000004,306.29499999999996,243.25,289.555,289.105,294.475,292.395,283.67,288.80499999999995,294.235,297.85,289.605,319.01,344.40999999999997,404.435,356.79499999999996,320.505,321.695,305.36,320.15999999999997,313.94,314.295,224.125,241.71,195.82999999999998,306.065
2004-10-18 21:56:23+00:00,,,272.435,189.57,172.635,164.44,,,,,,191.31,302.64,324.405,325.345,268.4,321.08,322.36,336.32,331.395,314.65000000000003,330.3566666666667,337.25666666666666,334.31333333333333,333.2033333333333,325.49333333333334,319.94,311.1366666666667,319.9166666666667,338.74,334.44666666666666,317.16,302.2266666666667,323.20666666666665,330.3433333333333,312.25666666666666,318.41333333333336,316.90000000000003,313.7366666666667,301.9066666666667,304.31,219.48666666666668,249.07333333333335,220.59333333333333,215.78666666666666,254.51,233.30666666666664,236.17333333333332,291.37,309.3533333333333,244.4466666666667,284.98333333333335,285.63000000000005,291.8666666666666,289.23333333333335,280.94666666666666,284.28999999999996,289.75,293.55333333333334,289.91,319.53000000000003,343.6233333333333,404.06333333333333,359.28666666666663,323.6066666666666,326.95,303.84999999999997,316.54333333333335,311.12666666666667,310.07,219.72,237.61,194.77666666666664,302.1333333333333
2004-11-03 21:56:42+00:00,,,275.52333333333337,186.31333333333336,170.93999999999997,169.58499999999998,171.45,173.04,,,,197.38,301.31333333333333,322.31666666666666,321.22,267.7833333333333,319.08,319.27333333333337,336.7233333333333,331.6433333333334,315.625,331.8825,338.49,335.235,332.9125,324.335,318.28,309.5,318.95,337.1575,331.23249999999996,318.1925,303.2525,324.1425,331.475,314.92,319.785,319.485,311.6425,302.07,306.3275,220.1275,248.5625,219.775,216.9925,256.0475,235.985,238.95,294.005,313.7025,247.315,287.2975,283.8,291.0225,287.49,279.895,283.0225,287.7325,291.2925,288.855,319.8725,343.51,404.105,360.98749999999995,324.7875,329.5775,305.99,315.78999999999996,309.7425,307.72,217.785,236.4075,196.435,299.5275
2004-11-19 21:56:55+00:00,,,277.14750000000004,184.035,170.93999999999997,169.58499999999998,171.45,173.04,,,,204.05999999999997,303.9425,324.485,320.99,268.56,317.73,317.2025,333.1825,327.315,312.798,332.40999999999997,339.694,336.188,335.534,327.11,320.294,311.554,317.63,335.456,328.75,315.394,300.404,321.59000000000003,329.66999999999996,316.546,321.57,321.934,313.66999999999996,305.774,312.128,220.752,247.704,219.202,216.82800000000003,253.302,232.98000000000002,238.35999999999999,294.7,315.02799999999996,248.81799999999998,288.406,285.922,293.106,289.64,281.98400000000004,280.956,286.006,289.354,286.858,318.21999999999997,342.148,402.02200000000005,357.696,326.41999999999996,331.896,308.67600000000004,319.846,314.68199999999996,310.23400000000004,217.16199999999998,238.112,196.802,292.79200000000003
2005-02-23 21:58:31+00:00,,,281.1775,181.1925,172.10666666666665,173.07,170.435,173.04,,,,201.02499999999998,304.71500000000003,323.24,320.52,275.10749999999996,317.80499999999995,314.55,331.14,324.875,310.55,331.32399999999996,338.23400000000004,335.842,335.8,326.978,319.546,311.398,317.38800000000003,335.09800000000007,325.678,313.582,300.36400000000003,320.738,328.1,315.6,320.06399999999996,321.822,312.092,304.608,311.25,221.746,249.1,219.11399999999998,217.39600000000002,250.96400000000003,232.93200000000002,239.554,293.404,315.33000000000004,247.87400000000002,285.156,284.63,291.276,288.652,282.02,279.88800000000003,284.546,286.76,285.45,316.85,341.43600000000004,399.88199999999995,356.166,324.53999999999996,329.95,308.25000000000006,319.34999999999997,313.1,309.62399999999997,217.2,237.304,197.67399999999998,291.438
2005-03-11 21:58:44+00:00,,,276.476,180.678,173.075,175.70666666666668,171.44999999999996,173.04,,,,201.02499999999998,301.61,322.134,321.402,277.62199999999996,318.92999999999995,315.31000000000006,331.136,324.448,309.7083333333333,330.205,336.235,334.5683333333333,335.66,326.435,318.3733333333334,310.9166666666667,317.51,335.15833333333336,325.27666666666664,313.93333333333334,299.31666666666666,319.86333333333334,326.7766666666667,313.7083333333333,318.365,320.49666666666667,311.9483333333333,303.61333333333334,311.02666666666664,220.45000000000002,249.04999999999998,219.49333333333334,216.865,250.68000000000004,232.32666666666668,238.12,291.55333333333334,313.13666666666666,245.41333333333333,284.30333333333334,282.7266666666667,290.24833333333333,287.43,280.5333333333333,279.60999999999996,284.3533333333333,286.34166666666664,284.75666666666666,316.26500000000004,340.7716666666667,399.195,355.67,323.09166666666664,327.745,306.27833333333336,317.92499999999995,311.76,308.1116666666667,215.85166666666666,237.93833333333336,196.45166666666668,292.41166666666663
