dates,satname,nzd0101-0000,nzd0101-0001,nzd0101-0002,nzd0101-0003,nzd0101-0004,nzd0101-0005,nzd0101-0006,nzd0101-0007,nzd0101-0008,nzd0101-0009,nzd0101-0010,nzd0101-0011,nzd0101-0012,nzd0101-0013,nzd0101-0014,nzd0101-0015,nzd0101-0016,nzd0101-0017,nzd0101-0018,nzd0101-0029,nzd0101-0030,nzd0101-0031,nzd0101-0032,nzd0101-0033,nzd0101-0034,nzd0101-0035,nzd0101-0036,nzd0101-0037,nzd0101-0038,nzd0101-0039,nzd0101-0040,nzd0101-0041,nzd0101-0042,nzd0101-0043,nzd0101-0044,nzd0101-0045,nzd0101-0046,nzd0101-0047,nzd0101-0048,nzd0101-0049,nzd0101-0050,nzd0101-0051,nzd0101-0052,nzd0101-0053,nzd0101-0054,nzd0101-0055,nzd0101-0056,nzd0101-0057,nzd0101-0058,nzd0101-0059,nzd0101-0060,nzd0101-0061,nzd0101-0062,nzd0101-0064,nzd0101-0065,nzd0101-0066,nzd0101-0067,nzd0101-0068,nzd0101-0069,nzd0101-0075,nzd0101-0076,nzd0101-0077,nzd0101-0078,nzd0101-0079,nzd0101-0080,nzd0101-0081,nzd0101-0082,nzd0101-0083,nzd0101-0084,nzd0101-0085,nzd0101-0086,nzd0101-0087,nzd0101-0088,nzd0101-0089,nzd0101-0090,nzd0101-0091,nzd0101-0092,nzd0101-0093,nzd0101-0094,nzd0101-0095,nzd0101-0096,nzd0101-0097,nzd0101-0098,nzd0101-0099,nzd0101-0100,nzd0101-0101,nzd0101-0102,nzd0101-0103,nzd0101-0104,nzd0101-0105,nzd0101-0106,nzd0101-0107,nzd0101-0108,nzd0101-0109,nzd0101-0110,nzd0101-0111,nzd0101-0112,nzd0101-0113,nzd0101-0114,nzd0101-0115,nzd0101-0120,nzd0101-0121,nzd0101-0122,nzd0101-0123,nzd0101-0124,nzd0101-0125,nzd0101-0126,nzd0101-0127,nzd0101-0128,nzd0101-0129,nzd0101-0130,nzd0101-0131,nzd0101-0132,nzd0101-0133,nzd0101-0134,nzd0101-0135,nzd0101-0136,nzd0101-0137,nzd0101-0138,nzd0101-0139,nzd0101-0140,nzd0101-0141,nzd0101-0142,nzd0101-0143,nzd0101-0144,nzd0101-0145,nzd0101-0146,nzd0101-0147,nzd0101-0148,nzd0101-0149,nzd0101-0150,nzd0101-0151,nzd0101-0152,nzd0101-0154,nzd0101-0155,nzd0101-0156,nzd0101-0157,nzd0101-0158,nzd0101-0159,nzd0101-0160,nzd0101-0161,nzd0101-0162,nzd0101-0163,nzd0101-0164,nzd0101-0165,nzd0101-0166,nzd0101-0168,nzd0101-0169,nzd0101-0170,nzd0101-0171,nzd0101-0172,nzd0101-0178,nzd0101-0179,nzd0101-0019,nzd0101-0020,nzd0101-0063,nzd0101-0070,nzd0101-0071,nzd0101-0072,nzd0101-0073,nzd0101-0074,nzd0101-0116,nzd0101-0117,nzd0101-0153,nzd0101-0167,nzd0101-0174,nzd0101-0175,nzd0101-0176,nzd0101-0177,nzd0101-0021,nzd0101-0022,nzd0101-0023,nzd0101-0024,nzd0101-0025,nzd0101-0026,nzd0101-0027,nzd0101-0028,nzd0101-0118,nzd0101-0119,nzd0101-0173
1999-08-17 22:10:50.225000,L7,528.31,520.51,294.28,287.94,281.85,233.15,309.19,289.81,461.11,491.95,526.09,504.71,470.85,383.56,436.36,443.90,429.22,480.70,507.87,547.69,468.39,519.88,186.53,321.61,325.28,319.73,333.03,323.76,254.05,256.88,267.46,267.87,255.37,242.97,311.49,294.16,285.79,262.85,276.10,354.28,345.50,316.16,288.86,292.22,298.52,293.05,356.16,454.23,478.18,514.14,477.65,558.00,301.84,517.88,432.89,193.29,268.56,346.23,324.13,438.74,498.32,435.52,414.23,334.43,479.90,490.80,254.24,206.78,233.79,326.92,304.82,457.25,440.20,455.49,248.93,357.61,441.31,536.10,311.87,498.26,486.23,545.58,459.78,440.90,451.18,460.83,435.66,450.53,462.93,477.23,471.79,440.76,466.62,329.76,495.42,387.46,260.52,495.24,501.82,560.59,462.72,487.09,486.58,469.42,497.90,331.73,493.90,496.74,465.64,248.01,261.66,258.39,272.59,355.25,312.22,263.01,377.71,359.53,331.26,276.81,288.05,306.10,407.92,417.78,341.17,295.62,450.61,330.11,450.07,443.87,403.48,487.28,264.74,315.45,479.94,364.27,258.31,468.94,309.34,233.36,196.47,365.33,411.09,441.79,461.43,419.98,231.23,265.13,211.66,201.34,177.67,379.54,481.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-26 22:04:44.971000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.74,212.14,203.96,207.75,234.89,,,,,,,,298.57,,,,,,,,330.02,365.04,,,,,,,,,,,,,230.87,234.63,260.71,269.64,,,,,,,,,,,244.99,278.23,323.97,483.19,366.80,491.74,507.24,514.63,,,,511.50,524.62,528.68,,,,,,,,,,,,,,,,,,,,,,,,,535.27,404.05,539.77,,,,,186.12,267.33,302.00,350.28,334.62,359.04,394.86,412.56,413.78,414.31,383.36,,396.10,,,,,281.06,303.06,339.82,338.67,466.80,512.51,453.92,373.70,433.01,421.58,364.62,,,,,,,,,,489.23,485.63,418.17
1999-09-27 22:04:48.949000,L7,293.72,300.61,301.03,227.12,248.05,278.59,285.45,184.03,,,,272.10,314.53,318.01,365.33,359.02,390.71,368.55,314.55,491.76,492.94,454.07,417.55,434.54,344.45,435.12,479.75,448.45,422.93,183.73,442.74,410.53,181.32,202.55,382.47,395.05,405.06,204.27,194.81,258.31,253.73,228.58,235.40,266.82,520.70,265.40,266.45,228.39,255.93,513.93,533.74,275.38,293.68,332.69,340.11,323.58,319.41,316.55,296.97,365.61,348.42,351.65,355.22,374.81,387.26,361.66,423.12,469.30,463.67,403.39,407.62,444.64,536.48,,463.78,439.93,541.16,465.57,448.59,432.95,401.79,411.15,468.10,524.45,526.29,465.30,515.67,441.15,440.60,394.50,446.85,,462.74,451.33,526.38,540.08,343.94,495.88,457.96,536.63,,520.36,524.44,530.67,346.19,355.28,320.04,533.31,541.49,534.37,547.92,214.72,304.83,321.64,228.38,364.39,383.37,242.96,386.25,337.09,350.65,444.62,483.88,518.72,486.61,498.79,516.55,289.16,306.80,267.88,265.75,264.68,490.14,257.98,389.78,389.16,411.33,440.47,407.04,472.80,457.42,458.89,395.84,400.90,409.30,415.11,441.85,484.31,469.46,461.60,483.03,,,242.07,307.53,287.73,281.14,303.71,367.94,418.34,361.25,301.35,349.13,515.48,428.04,497.65,523.45,523.49,527.65,,,,,,,,,,,
1999-10-04 22:11:02.075000,L7,,,,,,,,,,,,,,458.67,478.98,546.84,518.86,517.70,523.77,332.23,299.18,335.74,392.68,416.01,398.71,381.72,363.09,314.88,325.33,330.59,329.39,323.09,315.46,318.49,301.89,313.14,367.44,326.19,308.17,347.38,384.55,388.66,371.17,316.73,341.23,363.00,310.35,316.87,300.61,325.91,344.63,388.39,378.95,324.63,319.52,314.25,323.58,305.71,329.38,321.84,311.51,325.38,350.85,320.49,321.17,314.30,324.91,328.98,334.70,403.04,386.88,339.80,337.08,339.31,352.95,343.62,349.73,346.14,348.06,286.14,279.70,274.46,340.00,340.03,340.19,319.82,348.11,384.07,267.51,260.89,312.73,341.86,345.30,338.11,264.38,248.20,252.13,231.34,222.44,236.29,290.04,337.14,294.96,296.66,308.22,278.42,245.99,258.85,272.00,219.76,228.85,215.02,224.09,311.78,178.45,228.60,226.72,232.92,248.55,247.73,518.27,518.41,510.01,496.43,504.12,332.22,357.16,223.86,233.84,226.51,223.90,199.96,216.46,351.34,346.75,342.00,295.23,199.48,221.11,217.99,236.46,231.73,177.28,179.22,201.39,262.17,205.67,214.46,209.62,324.26,252.63,342.45,352.25,519.89,457.58,322.54,333.48,355.22,357.89,315.69,307.37,252.34,211.69,365.94,244.88,359.32,319.25,319.22,318.42,378.53,444.12,437.47,345.12,335.57,344.66,321.85,342.92,226.68,227.20,250.81
1999-11-14 22:04:42.286000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.34,230.92,258.92,226.14,,,,,241.17,224.69,289.65,296.53,257.05,256.79,,260.59,,245.75,320.62,315.83,,309.13,341.96,323.54,,,,,,,399.24,408.69,357.35,382.80,349.02,353.24,372.10,323.70,349.48,324.07,453.14,449.83,454.71,499.20,523.98,478.79,454.17,498.14,323.29,305.74,461.50,436.86,453.36,461.43,399.89,358.18,439.17,544.31,435.76,515.82,492.00,525.41,427.08,217.70,237.53,257.10,225.16,226.19,281.52,301.33,286.42,290.68,289.85,292.45,302.54,299.05,313.46,309.93,314.21,275.57,300.10,294.93,301.51,315.11,309.38,330.02,333.65,341.14,344.24,317.70,370.69,407.09,401.66,410.31,413.96,410.69,407.90,420.38,414.44,416.38,420.16,296.22,427.17,413.10,434.78,442.85,451.80,466.12,470.63,433.48,,,,,,,,,198.04,222.76,213.38,206.99,252.55,542.29,442.38,405.92,468.09,,,372.01,333.01,,,,,,,,,531.90,543.18,
2000-01-01 22:04:37.439000,L7,,,,,,,,,,,,,,,,,,,,,,,,,204.17,256.14,231.13,227.79,219.28,226.45,,222.81,241.42,253.77,241.54,317.55,324.72,313.38,277.55,283.73,179.25,185.35,209.57,202.53,214.98,236.96,265.39,243.49,208.23,,,,220.51,348.95,307.04,262.25,350.84,335.01,363.39,187.17,337.13,360.06,348.82,344.68,366.63,381.74,409.82,427.82,412.68,412.80,417.65,406.89,431.72,457.03,424.76,446.72,468.64,484.88,488.88,471.87,481.63,499.13,473.22,418.57,452.56,445.33,453.54,467.84,498.71,520.68,541.45,549.35,,,,,,472.22,470.62,492.70,,,,,322.70,468.89,471.51,501.92,544.73,,,,400.05,493.48,524.19,225.06,224.69,230.92,458.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.12,376.21,313.52,228.05,326.61,243.88,,,,,,,,,,,,,,,,,,,
2000-02-18 22:04:29.218000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.24,264.27,277.37,289.87,291.54,,,,,214.87,267.85,264.53,230.41,,319.32,344.39,,216.45,364.02,389.88,399.03,375.21,346.05,,209.98,260.30,189.63,247.84,232.44,278.60,232.40,461.18,,,339.86,425.93,350.33,409.60,418.47,435.03,407.24,459.94,479.09,503.22,373.98,402.20,403.40,348.33,365.78,357.75,490.75,493.77,324.24,532.17,400.94,200.02,193.72,198.91,220.55,200.69,208.61,220.10,222.78,369.12,482.16,499.50,466.51,547.24,462.42,487.44,407.61,481.21,528.98,558.74,532.45,258.41,412.62,461.27,483.27,497.54,408.02,465.80,545.11,471.69,337.42,342.38,326.40,327.04,279.77,255.64,355.59,425.43,406.81,463.40,503.39,484.20,553.33,486.84,485.99,454.28,468.46,,,,,255.98,,,,,,364.25,484.03,476.30,520.30,510.26,502.60,506.02,557.57,,,,,,,,,468.12,527.98,496.73
2000-03-28 22:10:31.187000,L7,,,,,307.96,303.30,300.88,,,299.87,304.80,329.53,344.87,319.43,426.14,441.17,452.10,460.77,455.41,,360.99,365.51,450.85,457.75,361.65,377.29,389.95,378.38,,325.83,334.14,338.39,386.36,405.31,,,,,,,,332.06,337.34,342.00,312.81,337.94,302.62,301.31,303.28,306.06,,,,282.07,265.28,268.48,,,,,,,,,,,,,,,,,,,,,,336.31,349.79,352.58,364.02,373.45,,,343.24,341.13,333.72,338.74,388.44,370.74,384.41,396.56,397.25,,,,,,,,265.78,288.10,253.84,274.18,304.05,254.09,,,,,391.35,379.99,394.94,378.62,416.28,342.40,,,,,,,,,320.02,292.97,310.39,314.52,341.53,,,,,308.84,300.31,304.42,298.56,314.36,318.53,354.04,334.21,347.59,340.32,,,385.90,383.71,422.53,403.62,384.60,390.49,,,440.78,427.85,,,,,,,,,,387.35,389.54,393.51,,,,,381.98,385.22,400.70,406.31,,,,,407.91
2000-04-29 22:10:17.743000,L7,346.27,324.34,267.37,273.60,280.81,296.72,314.09,305.93,275.91,255.71,269.60,314.80,329.99,338.83,342.52,349.81,365.23,353.85,394.83,266.64,262.60,271.37,295.92,300.09,295.16,284.75,272.78,310.68,298.72,279.36,321.44,315.77,378.91,349.66,342.13,322.61,321.62,313.35,294.38,385.29,256.25,315.09,329.33,317.24,351.45,342.49,308.42,342.57,437.81,386.99,353.93,383.43,321.85,266.00,277.38,338.29,307.14,305.86,303.09,319.70,308.70,320.08,282.02,261.77,286.86,303.75,264.09,244.40,251.74,213.52,214.81,228.68,523.53,473.06,527.50,527.82,512.89,505.52,509.17,340.56,305.96,290.14,319.56,313.92,298.32,285.96,416.75,341.24,314.32,363.27,388.91,503.07,485.38,496.83,461.07,453.56,202.12,223.88,212.82,257.54,180.99,255.59,216.85,467.97,531.15,504.82,499.78,506.29,479.49,517.70,240.53,228.79,355.73,357.89,380.31,364.81,317.67,379.01,362.68,495.08,545.56,518.49,518.83,510.74,526.18,519.98,301.40,304.52,377.31,310.50,353.01,354.84,338.47,261.25,251.14,227.51,220.68,211.13,194.35,291.48,316.37,291.25,260.33,315.40,239.07,322.15,259.17,272.52,275.77,283.01,298.58,216.13,342.91,380.69,365.01,288.15,301.87,325.35,320.59,327.01,321.23,240.09,228.97,314.90,236.31,228.78,240.21,254.02,242.14,301.85,315.70,297.48,282.13,305.09,324.02,266.09,271.50,207.44,195.88,272.90
2000-05-15 22:10:06.480000,L7,181.18,204.96,192.55,191.03,191.53,190.88,182.08,287.30,287.49,246.34,251.32,271.98,253.51,357.76,309.65,342.70,178.55,231.86,233.67,249.69,250.68,360.36,287.42,295.62,230.58,241.53,306.93,267.97,282.18,267.23,365.14,253.77,269.80,287.34,252.11,185.01,249.65,311.84,247.02,332.57,339.27,383.54,354.36,233.69,214.93,265.54,344.12,,,,,334.40,337.06,345.46,336.35,331.29,238.87,222.27,233.25,242.48,246.62,215.65,308.68,309.04,238.71,201.41,199.52,186.09,217.82,196.66,308.88,310.98,256.60,247.22,255.12,310.91,252.89,265.68,254.50,186.82,286.65,272.88,274.45,306.78,254.12,247.69,407.74,334.19,334.42,200.25,186.35,178.49,188.46,238.20,233.27,,,,249.08,237.87,245.38,272.68,310.19,281.20,,,,,,,,483.41,501.11,328.32,323.47,327.72,,,,,,,,324.46,287.72,273.01,,,273.99,283.09,314.89,353.71,315.20,,386.81,337.52,326.20,,320.58,298.31,237.46,243.92,,,,,,,,,,,,248.07,265.15,322.31,252.23,316.04,325.47,235.74,192.73,246.08,241.03,,,,,,,387.43,349.63,296.58,291.70,253.53,242.87,232.35,252.52,250.83,253.75,
