dates,nzd0104-0000,nzd0104-0001,nzd0104-0002,nzd0104-0003,nzd0104-0004,nzd0104-0005,nzd0104-0006,nzd0104-0007,nzd0104-0008,nzd0104-0009,nzd0104-0010,nzd0104-0011,nzd0104-0012,nzd0104-0013,nzd0104-0014,nzd0104-0015,nzd0104-0016,nzd0104-0017,nzd0104-0018,nzd0104-0019,nzd0104-0020,nzd0104-0021,nzd0104-0022,nzd0104-0023,nzd0104-0024,nzd0104-0025,nzd0104-0026,nzd0104-0027,nzd0104-0028,nzd0104-0029,nzd0104-0030,nzd0104-0031,nzd0104-0032,nzd0104-0033,nzd0104-0034,nzd0104-0035,nzd0104-0036,nzd0104-0037,nzd0104-0038,nzd0104-0039,nzd0104-0040,nzd0104-0041,nzd0104-0042,nzd0104-0043,nzd0104-0044,nzd0104-0045,nzd0104-0046,nzd0104-0047,nzd0104-0048,nzd0104-0049,nzd0104-0050,nzd0104-0051,nzd0104-0052,nzd0104-0053,nzd0104-0054,nzd0104-0055,nzd0104-0056,nzd0104-0057,nzd0104-0058,nzd0104-0059,nzd0104-0060,nzd0104-0061,nzd0104-0062,nzd0104-0063,nzd0104-0064,nzd0104-0065,nzd0104-0066,nzd0104-0067,nzd0104-0068,nzd0104-0069,nzd0104-0070,nzd0104-0071,nzd0104-0072,nzd0104-0073,nzd0104-0074,nzd0104-0075,nzd0104-0076,nzd0104-0077,nzd0104-0078,nzd0104-0079,nzd0104-0080,nzd0104-0081,nzd0104-0082,nzd0104-0083,nzd0104-0084,nzd0104-0085,nzd0104-0086,nzd0104-0087,nzd0104-0088,nzd0104-0089,nzd0104-0090,nzd0104-0091,nzd0104-0092,nzd0104-0093,nzd0104-0094
1999-08-26 22:04:44+00:00,281.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.08,,,,,357.86,,,,,,,,,,,,,,338.92,,,,,,,,341.53,339.3,,,,,,,341.43,349.71,346.81,349.74,352.77,349.81,338.75,342.27,347.54,349.66,358.71,,,,,
1999-09-27 22:04:48+00:00,296.845,351.39,389.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.08,,,,,357.86,,,,,,,,,,,,,,338.92,,,,,,,,341.53,339.3,,,,,,,341.43,349.71,334.255,338.42,343.39,340.62,331.615,333.84000000000003,338.925,342.70000000000005,348.16499999999996,328.31,,,,
1999-11-14 22:04:42+00:00,296.845,362.21,389.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.8,343.57,,,355.08,,,,,357.86,351.53,,,,,,,,,,,,,338.92,335.92,334.44,,,,,,335.575,337.71500000000003,,,,,,,334.925,343.92999999999995,335.03,338.1333333333334,345.08,343.75666666666666,333.71,336.43666666666667,339.63000000000005,344.5133333333333,348.16499999999996,328.31,,,,
2000-01-01 22:04:37+00:00,296.845,362.21,373.73,366.5,,,,,,,,,,,,,,,,,360.31,318.1,,,,,,,,,,,,,,,,,,,348.745,332.12,348.07,346.03,352.325,350.53,342.14,330.6,342.18,350.31,346.30999999999995,335.96,333.01,336.25,310.73,313.98,305.12,328.0,327.04,329.51,327.52,326.39,326.87,334.165,329.78,328.11,320.38,322.15,302.08,291.89,296.0,318.8433333333333,320.2366666666667,297.76,296.93,291.84,297.83,290.43,211.83,321.80333333333334,328.9,335.03,328.71000000000004,332.6275,331.435,324.2075,326.74,327.39250000000004,331.96000000000004,331.7833333333333,310.89,241.19,,,
2001-01-03 22:02:12+00:00,,,354.47,,,,,,,,,,,,,,,,,,351.77,322.11,,,,,,,,,,,,,,,342.9,,346.16,342.44,,315.78,,,339.77,,331.22,324.78,334.43,332.42,331.67,329.92,328.8,331.41,304.15,316.41,305.16,314.19,325.02,324.47,321.79,321.59,325.72,325.92,312.99,322.43,319.85,320.74,300.82,291.8,288.54,281.4,282.34,293.35,290.48,284.06,295.15,287.12,208.78,292.15,295.37,,297.05,293.87,292.1,293.92,295.27,292.51,292.76,296.62,288.66,231.17,,,
2001-12-05 22:00:18+00:00,,,,,,,,,,,,,,,,,,,,,,295.93,321.17,,,292.49,303.23,300.62,,,,348.98,,339.1,,323.38,332.55,,,338.48,338.45,302.88,335.96,327.13,303.45,314.44,314.34,303.23,,,,330.93,327.96,328.58,273.48,316.51,305.41,,,,,,,,325.05,324.37,318.79,318.4,300.31,286.53,284.73,281.79,282.82,289.16,290.96,284.3,294.73,283.45,207.31,,,,,,,,,289.96,290.53,295.07,280.68,223.87,,,
2002-01-22 22:00:40+00:00,,363.5,,,,,,,,,,,,,,,,,,,,295.93,321.17,,,292.49,303.23,300.62,,,,348.98,,339.1,,323.38,332.55,,,338.48,338.45,302.88,335.96,327.13,303.45,314.44,314.34,303.23,,,,330.93,327.96,328.58,273.48,316.51,305.41,,,,,,,,325.05,324.37,318.79,318.4,300.31,286.53,284.73,281.79,282.82,289.16,290.96,284.3,294.73,283.45,207.31,,,,,,,,,289.96,290.53,295.07,280.68,223.87,,,
2002-04-28 22:00:38+00:00,,363.5,354.9,361.64,,,,,,,,,,,,,318.32,,,,,295.93,321.17,,,292.49,303.23,300.62,,,,351.62,,339.1,,323.38,324.38,360.3,353.51,344.20000000000005,343.64,314.15,340.935,335.305,322.395,328.945,327.17499999999995,302.32500000000005,,,,330.93,327.96,328.58,273.48,316.51,305.41,,,,,321.77,,,325.05,324.37,318.79,318.4,300.31,286.53,284.73,281.79,282.82,289.16,290.96,284.3,294.73,283.45,207.31,,,,,,,,,289.96,290.53,293.98,285.385,237.445,,,
2002-07-17 22:00:08+00:00,,363.5,354.9,361.64,,,,,,,,,,,,,318.32,,,,,,,,,,,,,,,354.26,,,,,316.21,360.3,353.51,349.92,348.83,325.42,345.91,343.48,341.34,343.45,340.01,301.42,,,,,,,,,,,,,284.28,305.695,271.37,242.06,252.79,,,,,,,,,,,,,,,,,,305.2,302.17,298.05,296.66,298.64,,,292.89,290.09,251.02,,,
2003-12-03 21:50:19+00:00,,,324.35,317.87,343.28,327.0,320.04,329.19,317.52,324.74,318.91,312.77,317.8,304.07,311.82,316.05,323.89,312.02,309.87,282.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.01,261.83,262.5,272.74,266.57,355.16,374.03,362.66,349.97,345.15,340.58,,343.8,333.93,333.3,339.66,,304.21,344.81,348.88,351.98,352.99,358.69,,334.4,335.32,333.81,333.06,343.81,339.6,326.63,,377.25,364.39
