dates,satname,nzd0105-0000,nzd0105-0001,nzd0105-0002,nzd0105-0003,nzd0105-0004,nzd0105-0023,nzd0105-0024,nzd0105-0025,nzd0105-0026,nzd0105-0027,nzd0105-0028,nzd0105-0029,nzd0105-0066,nzd0105-0067,nzd0105-0068,nzd0105-0073,nzd0105-0074,nzd0105-0075,nzd0105-0076,nzd0105-0078,nzd0105-0079,nzd0105-0080,nzd0105-0081,nzd0105-0082,nzd0105-0083,nzd0105-0084,nzd0105-0099,nzd0105-0100,nzd0105-0101,nzd0105-0102,nzd0105-0103,nzd0105-0104,nzd0105-0105,nzd0105-0118,nzd0105-0119,nzd0105-0120,nzd0105-0133,nzd0105-0134,nzd0105-0135,nzd0105-0136,nzd0105-0137,nzd0105-0138,nzd0105-0005,nzd0105-0006,nzd0105-0007,nzd0105-0042,nzd0105-0043,nzd0105-0044,nzd0105-0045,nzd0105-0046,nzd0105-0047,nzd0105-0048,nzd0105-0049,nzd0105-0050,nzd0105-0051,nzd0105-0052,nzd0105-0053,nzd0105-0054,nzd0105-0055,nzd0105-0056,nzd0105-0057,nzd0105-0058,nzd0105-0059,nzd0105-0060,nzd0105-0061,nzd0105-0062,nzd0105-0063,nzd0105-0125,nzd0105-0126,nzd0105-0130,nzd0105-0131,nzd0105-0132,nzd0105-0165,nzd0105-0166,nzd0105-0167,nzd0105-0168,nzd0105-0169,nzd0105-0170,nzd0105-0069,nzd0105-0070,nzd0105-0071,nzd0105-0072,nzd0105-0085,nzd0105-0086,nzd0105-0087,nzd0105-0091,nzd0105-0092,nzd0105-0093,nzd0105-0094,nzd0105-0095,nzd0105-0096,nzd0105-0097,nzd0105-0098,nzd0105-0115,nzd0105-0116,nzd0105-0117,nzd0105-0008,nzd0105-0021,nzd0105-0022,nzd0105-0030,nzd0105-0150,nzd0105-0151,nzd0105-0152,nzd0105-0031,nzd0105-0032,nzd0105-0033,nzd0105-0064,nzd0105-0065,nzd0105-0009,nzd0105-0010,nzd0105-0011,nzd0105-0108,nzd0105-0109,nzd0105-0110,nzd0105-0111,nzd0105-0112,nzd0105-0127,nzd0105-0128,nzd0105-0129,nzd0105-0139,nzd0105-0140,nzd0105-0141,nzd0105-0142,nzd0105-0143,nzd0105-0144,nzd0105-0145,nzd0105-0146,nzd0105-0147,nzd0105-0148,nzd0105-0154,nzd0105-0155,nzd0105-0156,nzd0105-0012,nzd0105-0013,nzd0105-0157,nzd0105-0158,nzd0105-0159,nzd0105-0160,nzd0105-0161,nzd0105-0162,nzd0105-0163,nzd0105-0164,nzd0105-0171,nzd0105-0172,nzd0105-0173,nzd0105-0174,nzd0105-0175,nzd0105-0176,nzd0105-0177,nzd0105-0178,nzd0105-0015,nzd0105-0016,nzd0105-0017,nzd0105-0018,nzd0105-0019,nzd0105-0037,nzd0105-0038,nzd0105-0039,nzd0105-0040,nzd0105-0041,nzd0105-0077,nzd0105-0088,nzd0105-0089,nzd0105-0106,nzd0105-0107,nzd0105-0113,nzd0105-0114,nzd0105-0122,nzd0105-0123,nzd0105-0124,nzd0105-0179,nzd0105-0149,nzd0105-0153,nzd0105-0121,nzd0105-0034,nzd0105-0035,nzd0105-0036,nzd0105-0090
1999-08-26 22:04:44.971000,L7,,,,,,,,,,,,,324.99,317.24,321.40,,,,,,,,,,,,,,,,,,,,,,,,,,327.09,355.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.15,385.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.85,288.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-27 22:04:48.949000,L7,,,,,,,,360.37,364.24,366.89,370.65,383.62,299.64,313.72,334.09,323.11,342.80,318.87,358.94,,,,,,,,,,,,,,,,,,276.93,317.11,312.02,337.32,374.11,,,,,,,,256.63,280.34,285.84,233.81,,,,,,326.01,300.67,302.20,302.75,,,304.45,291.91,,,,,301.58,346.70,350.81,309.71,334.92,339.11,353.16,329.00,365.38,329.39,309.43,288.50,292.73,,,,,,,,,,,,,,,,,,,,,,,,,297.57,310.01,,,,,,341.27,338.10,329.26,,,317.71,,316.56,324.75,350.57,,,,,,,,,,,,326.01,306.96,311.07,287.82,307.58,334.57,302.51,328.57,302.70,294.97,311.81,338.87,381.66,373.28,375.01,376.34,,,,,,,,,,,356.75,375.18,333.40,,,331.46,,,,,,,,,,,,
1999-11-14 22:04:42.286000,L7,,,,,,,,,,,,,333.27,310.83,296.83,338.50,315.60,278.63,281.11,,,284.02,376.61,,,,321.04,341.27,346.75,320.41,323.35,269.44,288.04,354.54,347.07,338.54,301.70,310.93,320.57,328.43,,310.05,,,,,,,,,231.43,241.83,262.33,286.01,299.52,287.97,283.45,251.09,,,,,,,,,299.19,271.57,280.00,292.80,353.03,304.47,,,,,,,283.66,309.41,356.85,362.84,258.51,319.39,313.66,,,,,,,,294.90,352.86,321.38,339.69,,,,,,,,,,,306.33,319.14,,,,370.84,338.74,326.30,350.99,305.41,279.18,287.68,290.45,305.48,318.66,332.81,350.62,359.53,365.04,363.24,357.91,360.73,370.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.35,302.99,313.43,287.60,381.38,255.26,,360.53,,,,,,322.38,,,,302.82
2000-01-01 22:04:37.439000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.38,302.61,,,,,,,,,,,,,,,,,,,233.66,247.62,253.30,260.83,267.27,,,,,,,260.43,298.20,294.87,300.88,335.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.70,334.60,,,,,,,,,,,,,
2000-02-18 22:04:29.218000,L7,,,,,,,,,,,,,,,,,,,,,,,,,332.88,334.76,,,,,,,,319.65,310.01,332.61,337.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.27,349.23,292.32,360.14,297.58,331.65,345.00,354.11,345.23,368.66,,,,,323.21,,,,,,,310.30,349.49,,,333.60,,350.43,,,,,,,312.53,,,,,,,,,,,,,,332.00,352.81,295.35,,,,,,,,,,,274.33,335.78,341.76,,,345.27,357.79,359.26,292.50,309.10,332.16,318.06,316.62,,,,,,,,,,,,,,,,,,,,,,,,295.10,312.50,,,,,,321.49,,,,,
2000-05-24 22:03:46.662000,L7,,,,,,306.09,354.47,258.57,345.93,,,,308.16,311.08,279.58,282.76,359.28,375.39,,270.47,271.44,284.89,297.93,301.62,334.51,,,,,,,,,,,,,,,,,,,,,304.82,,,,,,,,,,,,,,,,,,,,,,368.57,,329.28,329.48,,,,,,,,,,,260.67,,357.40,357.32,,287.24,343.38,272.07,275.37,259.69,,,351.95,,,,,,,,,,,,,,,,,,323.60,,,,,365.31,337.70,271.08,,,,,,,,,,,,,,,,,,,,,,,,,257.78,271.59,292.26,355.32,343.42,348.33,347.91,,275.45,334.69,329.04,,348.94,326.29,364.91,291.92,290.97,328.48,356.72,370.11,352.28,302.93,365.36,377.58,291.55,277.05,387.73,380.91,,,,,,,
2000-07-11 22:03:17.779000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.14,271.75,289.76,360.64,350.38,346.77,348.79,,,,,,,,,,,,,,,,,,,,,380.12,,,,,,,
2000-08-12 22:02:54.094000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.94,324.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.16,322.08,348.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.08,313.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-13 22:02:26.190000,L7,,,,,,,,,,,,,,,,334.86,326.66,349.77,358.75,,,,,,,,290.31,317.34,,,,,,,,,,320.06,379.92,299.64,323.81,329.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.13,274.25,288.24,242.00,284.31,284.73,294.08,299.32,302.56,,,,,,,,,,,,,,,,,,,,,,,,,,,337.10,308.50,301.75,313.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.40,315.26,288.84,,,,,,,,,,,,,,,318.72
2000-10-15 22:01:56.204000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.14,325.06,369.29,365.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.69,305.95,298.02,,,,,,327.32,,,,,,,,,345.10,373.98,355.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.22,276.68,350.85,,,,,,,,,,,,,,,,,,,,,,,288.44,291.44,286.99,309.54,381.67,361.41,360.24,371.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
