dates,satname,nzd0107-0000,nzd0107-0001,nzd0107-0002,nzd0107-0003,nzd0107-0004,nzd0107-0005,nzd0107-0006,nzd0107-0007,nzd0107-0008,nzd0107-0009,nzd0107-0010,nzd0107-0011,nzd0107-0012,nzd0107-0013,nzd0107-0014,nzd0107-0015,nzd0107-0016,nzd0107-0017,nzd0107-0018,nzd0107-0019,nzd0107-0020,nzd0107-0021,nzd0107-0022,nzd0107-0023,nzd0107-0024,nzd0107-0025,nzd0107-0026,nzd0107-0027,nzd0107-0028,nzd0107-0029,nzd0107-0030,nzd0107-0031,nzd0107-0032,nzd0107-0033,nzd0107-0034,nzd0107-0035,nzd0107-0036,nzd0107-0037,nzd0107-0038,nzd0107-0039,nzd0107-0040,nzd0107-0041,nzd0107-0042,nzd0107-0043,nzd0107-0044,nzd0107-0045,nzd0107-0046,nzd0107-0047,nzd0107-0048,nzd0107-0049,nzd0107-0050,nzd0107-0051,nzd0107-0052,nzd0107-0053,nzd0107-0054,nzd0107-0055,nzd0107-0056,nzd0107-0057,nzd0107-0058
1999-08-26 22:04:44.971000,L7,334.33,364.16,373.17,363.06,360.02,356.21,359.66,336.78,350.87,349.18,355.42,315.00,358.03,360.55,366.47,372.60,383.92,380.83,371.84,373.35,331.77,376.77,379.26,383.05,382.73,388.10,385.53,380.86,383.95,386.41,375.93,389.62,390.67,400.18,392.53,397.30,391.65,388.52,396.61,391.47,386.57,382.09,381.76,392.32,384.41,382.12,381.46,388.49,386.55,393.99,391.29,391.67,384.92,379.08,371.12,368.40,355.12,339.64,338.16
1999-09-27 22:04:48.949000,L7,421.92,353.65,382.63,377.02,348.14,346.79,165.17,186.68,194.97,227.62,183.68,149.49,63.81,47.17,,392.69,376.20,370.94,370.03,367.12,391.74,361.58,373.40,375.47,367.82,319.44,319.13,319.34,320.13,411.67,382.43,383.78,383.57,387.39,415.99,388.51,383.49,380.83,377.83,379.07,374.60,314.87,311.27,314.92,310.25,313.49,313.47,319.01,376.01,371.51,360.22,359.08,353.13,342.21,340.48,339.08,328.92,326.29,313.01
1999-11-14 22:04:42.286000,L7,236.13,216.01,179.78,241.92,238.90,254.73,259.32,236.70,236.00,178.22,144.30,82.80,358.54,373.32,314.36,384.04,386.62,407.55,369.62,375.51,361.96,356.07,379.50,376.00,375.17,387.75,391.94,404.10,410.49,407.90,388.42,388.04,389.34,375.70,383.17,374.45,379.97,396.09,383.49,377.22,373.86,367.16,366.60,376.33,369.16,369.56,370.70,361.54,368.47,372.91,367.25,362.94,350.48,358.91,359.47,343.92,343.19,327.97,329.32
2000-01-01 22:04:37.439000,L7,,,,,349.95,316.87,314.75,321.80,325.00,,379.29,390.61,312.87,336.37,,165.26,105.69,109.93,172.27,194.49,302.08,322.64,328.49,343.20,334.20,348.61,345.02,339.24,383.59,386.76,400.44,388.11,388.65,408.51,392.32,385.78,383.94,377.75,398.02,382.21,352.02,321.04,124.99,142.10,138.59,129.28,69.09,,,,,,,,,338.43,328.24,342.96,343.34
2000-01-17 22:04:35.821000,L7,,,,,,,,,,,,,,,,,,,389.22,387.84,367.90,304.75,313.25,336.22,345.75,427.07,344.64,414.29,,411.25,387.17,402.46,394.94,400.64,396.57,368.99,403.38,402.70,392.40,387.26,388.64,385.65,386.83,389.39,386.16,389.14,339.45,331.80,315.55,,394.24,332.79,394.80,377.75,319.99,325.51,299.39,301.95,299.36
2000-02-18 22:04:29.218000,L7,,382.97,382.88,181.45,251.69,267.49,267.14,240.21,251.33,301.62,363.81,352.30,348.89,362.90,361.54,359.71,137.71,101.17,402.68,357.62,364.26,373.63,365.41,370.06,366.98,378.62,418.04,399.51,391.24,388.41,389.04,403.52,407.46,413.19,383.15,393.43,420.16,375.22,371.29,383.11,122.87,133.39,153.20,169.57,367.51,363.94,377.79,385.97,422.04,326.51,327.17,325.37,317.84,313.84,308.77,306.43,297.56,351.42,346.44
2000-05-24 22:03:46.662000,L7,,,384.80,373.16,358.25,352.56,354.85,349.38,327.36,170.27,,335.64,351.32,349.42,338.85,375.00,353.02,353.88,344.58,118.13,123.08,,,,,,,,,,,,,,,,,,166.07,170.02,168.92,99.21,121.42,203.17,206.04,,210.09,96.63,104.34,,,,,,,,,,
2000-10-15 22:01:56.204000,L7,,346.48,355.05,211.53,243.44,208.10,257.47,,,,,,404.69,317.59,317.47,363.17,371.59,311.38,320.28,316.68,353.62,353.01,324.32,399.77,367.11,365.55,398.87,382.16,365.30,341.67,,,,,,,,,,,,,,373.17,303.63,186.68,130.89,88.30,104.32,110.22,171.26,,,,,,,,
2001-01-03 22:02:12.432000,L7,222.41,224.50,178.50,246.38,248.14,253.55,247.58,222.34,229.17,177.22,139.01,75.12,306.74,313.95,314.38,324.45,324.60,318.24,317.80,322.96,321.66,318.33,322.21,332.34,330.99,336.59,334.56,331.06,327.55,325.40,327.12,322.64,321.95,330.21,329.62,331.21,331.88,328.52,335.26,335.78,335.22,331.08,328.97,329.21,333.01,326.90,334.79,331.82,339.30,337.46,334.51,328.84,322.16,314.27,310.73,311.86,289.38,287.63,284.75
2001-02-04 22:02:14.384000,L7,,,,,,,,,,137.92,182.23,149.40,132.62,,,,,,,,,,,,,,,,,,,160.66,144.01,148.10,,,,,,376.94,426.23,328.82,383.22,403.35,392.89,,,412.42,413.40,418.46,409.59,397.27,411.87,397.17,359.27,314.16,381.64,309.02,
