dates,nzd0107-0000,nzd0107-0001,nzd0107-0002,nzd0107-0003,nzd0107-0004,nzd0107-0005,nzd0107-0006,nzd0107-0007,nzd0107-0008,nzd0107-0009,nzd0107-0010,nzd0107-0011,nzd0107-0012,nzd0107-0013,nzd0107-0014,nzd0107-0015,nzd0107-0016,nzd0107-0017,nzd0107-0018,nzd0107-0019,nzd0107-0020,nzd0107-0021,nzd0107-0022,nzd0107-0023,nzd0107-0024,nzd0107-0025,nzd0107-0026,nzd0107-0027,nzd0107-0028,nzd0107-0029,nzd0107-0030,nzd0107-0031,nzd0107-0032,nzd0107-0033,nzd0107-0034,nzd0107-0035,nzd0107-0036,nzd0107-0037,nzd0107-0038,nzd0107-0039,nzd0107-0040,nzd0107-0041,nzd0107-0042,nzd0107-0043,nzd0107-0044,nzd0107-0045,nzd0107-0046,nzd0107-0047,nzd0107-0048,nzd0107-0049,nzd0107-0050,nzd0107-0051,nzd0107-0052,nzd0107-0053,nzd0107-0054,nzd0107-0055,nzd0107-0056,nzd0107-0057,nzd0107-0058,satname
1999-08-26 22:04:44+00:00,,,,,,,262.89,257.22,254.97,,308.83,,309.29,316.33,317.19,,334.03,328.9,323.68,318.79,326.92,329.33,330.4,328.43,,332.59,336.67,330.34,337.66,334.0,329.88,331.89,334.65,342.91,302.69,339.4,284.7,340.79,342.42,333.96,337.86,335.85,336.13,333.36,335.41,337.05,338.36,334.74,337.44,337.93,336.59,327.11,316.23,315.66,313.45,312.17,297.98,290.79,286.93,L7
1999-09-27 22:04:48+00:00,276.54,296.24,,,,,274.275,269.70500000000004,266.975,,296.885,,309.29,316.33,317.19,,320.215,315.455,314.15999999999997,309.62,313.93,316.42999999999995,319.185,321.17,,325.75,327.975,323.86,329.25,326.655,324.48,325.875,330.725,331.81500000000005,315.225,329.075,302.91499999999996,330.14,332.405,326.15,329.225,327.84000000000003,325.3,324.985,322.20500000000004,325.22,321.02,326.72,357.155,354.255,350.34,343.53,333.75,330.33000000000004,328.685,325.75,315.65,310.33000000000004,305.31,L7
1999-11-14 22:04:42+00:00,277.935,297.56,306.92,,288.5,287.0,278.3533333333333,274.44666666666666,273.5166666666667,209.27,296.885,,299.96500000000003,309.54499999999996,311.425,,319.7933333333333,313.51,312.56,309.73333333333335,309.99333333333334,316.42999999999995,319.185,321.17,,325.75,327.975,323.86,329.25,326.655,324.48,325.875,330.725,331.81500000000005,315.225,329.075,302.91499999999996,330.14,332.405,326.15,329.225,327.84000000000003,325.3,324.985,322.20500000000004,325.22,321.02,326.72,357.155,354.255,350.34,351.00333333333333,344.43333333333334,330.33000000000004,328.685,334.06666666666666,328.51666666666665,319.66333333333336,317.3933333333334,L7
2000-05-24 22:03:46+00:00,,,,251.47,267.89,267.68,263.57,253.33,256.51,244.66,257.89,,,,,,279.52,276.45,288.82,277.3,280.28,295.19,,321.65,,337.55,343.78,,,,,,,,,,,,,,,330.38,353.2,355.02,,,,304.86,,303.22,,,,,,,,,,L7
2001-01-03 22:02:12+00:00,,,,238.12,243.07,248.17,247.09,,224.86,,,,306.84,,,320.03,265.26,255.13,,261.11,,,,,,,283.59,,,279.88,,276.2,287.09,,295.4,285.7,,330.07,,334.14,,,,374.32,,,,,335.86,,337.12,,,,,,291.59,,,L7
2001-03-24 22:01:59+00:00,316.45,317.69,321.01,245.47500000000002,256.875,260.195,263.33,269.21,244.13,253.49,272.62,294.41,314.78,306.42,309.14,312.53,289.38,283.78999999999996,305.85,289.765,313.49,317.94,319.07,325.64,339.96,339.51,303.54499999999996,323.72,319.39,303.56,320.66,295.365,300.965,318.02,307.90999999999997,305.39,312.31,315.33,318.68,328.185,318.5,313.17,315.78,346.83,314.76,318.03,316.19,318.86,332.76,340.36,329.41499999999996,317.7,316.24,309.78,,281.14,286.65999999999997,,330.74,L7
2001-08-15 22:00:38+00:00,316.45,315.635,320.96500000000003,282.41,290.595,295.72,295.91999999999996,285.53,283.595,253.49,297.905,309.225,318.96000000000004,311.015,315.03,320.14,324.765,319.625,314.855,319.855,319.655,323.91999999999996,324.66499999999996,327.47,337.95,343.32,336.975,328.655,331.21,330.755,328.525,325.755,324.97,328.645,330.04,307.03999999999996,325.7,316.595,326.31,327.89,327.06,304.305,324.865,325.635,322.85,324.245,326.21000000000004,325.39,334.155,336.175,329.835,322.99,318.68,317.11,,299.46,297.245,,330.74,L7
2001-10-02 22:00:04+00:00,322.06,316.705,313.26,310.83500000000004,310.0,312.68,309.27,304.98,299.775,,321.81,326.57000000000005,311.90999999999997,315.235,329.245,335.25,330.65,334.485,324.13,320.725,325.82,319.41499999999996,327.90999999999997,328.605,330.08500000000004,343.28999999999996,341.385,334.2,345.65,334.91499999999996,331.365,344.78499999999997,335.1,339.27,344.865,289.0,339.09,332.6,333.94,333.55,335.62,295.44,333.95,331.93,330.94,330.46,336.23,331.92,338.65,331.99,337.96,328.28,321.12,324.44,,317.78,301.125,,,L7
2001-12-05 22:00:18+00:00,322.06,316.705,313.26,310.83500000000004,310.0,312.68,309.27,304.98,299.775,,321.81,326.57000000000005,311.90999999999997,315.235,329.245,335.25,330.65,334.485,324.13,320.725,325.82,319.41499999999996,327.90999999999997,328.605,330.08500000000004,343.28999999999996,341.385,334.2,345.65,334.91499999999996,331.365,344.78499999999997,335.1,339.27,344.865,289.0,339.09,332.6,333.94,333.55,335.62,295.44,333.95,331.93,330.94,330.46,336.23,331.92,338.65,331.99,337.96,328.28,321.12,324.44,,317.78,301.125,334.48,368.8,L7
2002-03-27 22:00:37+00:00,322.06,319.83,305.6,309.68,309.49,306.14,306.27,319.46000000000004,308.58500000000004,,331.56,329.1,308.62,327.09000000000003,337.57,342.82,333.66999999999996,340.98,324.4,320.16,,308.93,325.56,327.91,339.495,345.91499999999996,345.24,346.6,342.76,349.90999999999997,326.34,352.59,,,350.07,,,,,,,280.26,,,,,,,,,,283.51,,,,,289.49,334.48,356.59000000000003,L7
