dates,satname,nzd0113-0000,nzd0113-0001,nzd0113-0002,nzd0113-0003,nzd0113-0004,nzd0113-0005,nzd0113-0006,nzd0113-0007,nzd0113-0008,nzd0113-0009,nzd0113-0010,nzd0113-0011,nzd0113-0012,nzd0113-0013,nzd0113-0014,nzd0113-0015,nzd0113-0016,nzd0113-0017,nzd0113-0018,nzd0113-0019,nzd0113-0020,nzd0113-0021,nzd0113-0022,nzd0113-0023,nzd0113-0024,nzd0113-0025,nzd0113-0026,nzd0113-0027,nzd0113-0028,nzd0113-0029,nzd0113-0030,nzd0113-0031,nzd0113-0032,nzd0113-0033,nzd0113-0034,nzd0113-0035,nzd0113-0036,nzd0113-0037,nzd0113-0038,nzd0113-0039,nzd0113-0040,nzd0113-0041,nzd0113-0042,nzd0113-0043,nzd0113-0044,nzd0113-0045,nzd0113-0046,nzd0113-0047,nzd0113-0048,nzd0113-0049,nzd0113-0050,nzd0113-0051,nzd0113-0052,nzd0113-0053,nzd0113-0054,nzd0113-0055,nzd0113-0056,nzd0113-0057,nzd0113-0058,nzd0113-0059,nzd0113-0060,nzd0113-0061,nzd0113-0062,nzd0113-0063,nzd0113-0064,nzd0113-0065,nzd0113-0066,nzd0113-0067,nzd0113-0068,nzd0113-0069,nzd0113-0070,nzd0113-0071,nzd0113-0072,nzd0113-0073,nzd0113-0074,nzd0113-0075,nzd0113-0076,nzd0113-0077,nzd0113-0078,nzd0113-0079,nzd0113-0080,nzd0113-0081,nzd0113-0082,nzd0113-0083,nzd0113-0084,nzd0113-0085,nzd0113-0086,nzd0113-0087,nzd0113-0088,nzd0113-0089,nzd0113-0090,nzd0113-0091,nzd0113-0092,nzd0113-0093,nzd0113-0094,nzd0113-0095,nzd0113-0096,nzd0113-0097,nzd0113-0098,nzd0113-0099,nzd0113-0100,nzd0113-0101,nzd0113-0102,nzd0113-0103,nzd0113-0104,nzd0113-0105,nzd0113-0106,nzd0113-0107,nzd0113-0108,nzd0113-0109,nzd0113-0110,nzd0113-0111,nzd0113-0112,nzd0113-0113,nzd0113-0114,nzd0113-0115,nzd0113-0116,nzd0113-0117,nzd0113-0118
1999-07-18 21:58:25.703000,L7,,,,,,,,,,,,,182.92,179.45,188.82,204.81,202.45,219.35,214.46,225.97,251.68,238.14,234.28,227.21,219.03,231.36,260.27,326.01,307.09,288.64,320.62,342.24,321.99,244.88,217.69,310.40,219.16,227.47,241.55,236.74,205.76,,,,,,,,,193.41,225.64,215.49,261.59,268.84,278.63,277.72,274.29,276.84,276.95,276.07,268.53,268.80,265.55,265.43,245.67,270.56,273.03,272.90,273.47,266.80,274.27,248.25,270.85,270.44,269.79,265.60,268.06,268.23,264.62,265.89,263.27,493.30,417.16,500.90,246.93,238.79,226.30,297.35,315.70,292.25,321.60,349.85,320.09,327.95,471.89,450.82,422.18,402.52,442.11,463.53,424.69,486.94,454.25,,,,,,,,,,,,216.21,518.11,,,
1999-08-26 22:04:44.971000,L7,247.34,240.65,237.14,343.99,309.37,339.04,348.14,301.64,269.48,264.60,247.25,276.90,368.19,271.95,283.31,322.80,297.35,318.69,295.18,289.63,298.77,348.24,314.84,312.57,335.80,328.92,343.64,337.70,331.51,330.03,336.54,344.39,335.82,249.37,354.56,341.07,341.80,345.93,343.74,338.75,340.30,348.70,337.12,197.72,318.53,308.01,306.65,307.80,266.36,325.42,328.22,333.82,224.66,236.65,245.35,240.41,241.37,248.82,250.26,247.81,245.79,244.93,244.05,244.06,244.46,250.63,243.22,248.24,246.91,226.10,236.24,242.39,231.93,232.93,237.12,215.00,219.65,240.99,228.61,234.55,243.34,218.79,209.33,224.26,206.99,189.78,194.23,214.78,211.24,215.88,217.02,218.49,225.31,234.27,236.11,218.39,182.19,330.42,327.92,217.60,265.45,286.82,279.48,276.49,279.12,277.83,280.49,273.37,275.27,285.32,188.77,217.32,211.64,221.25,203.61,212.69,202.49,204.57,195.22
1999-09-27 22:04:48.949000,L7,229.27,229.22,233.69,232.62,242.28,247.90,242.78,223.85,275.77,283.00,274.61,208.49,168.28,187.10,185.80,195.84,212.09,220.67,219.74,194.67,304.03,310.53,300.26,294.45,309.81,282.53,302.16,221.10,226.99,233.26,228.86,318.45,325.67,323.94,333.94,333.72,345.31,324.17,346.44,355.89,335.70,323.89,337.75,301.61,313.78,311.25,308.59,314.77,293.83,315.09,348.19,356.91,345.35,348.13,379.51,339.53,346.52,351.38,335.60,339.56,337.61,343.56,343.45,333.63,327.92,349.40,406.57,335.85,325.74,333.29,326.30,330.54,324.22,332.94,320.22,328.09,316.39,312.01,314.90,320.76,328.30,322.40,334.20,349.16,343.94,334.93,303.96,325.01,318.51,323.99,335.70,319.89,320.71,331.09,332.83,336.49,335.31,367.37,346.82,382.68,320.62,314.52,315.07,322.61,324.70,323.23,319.14,326.43,300.24,303.85,305.86,321.34,308.54,342.94,317.12,321.35,350.53,325.03,319.87
1999-10-22 21:58:28.758000,L7,367.12,200.40,191.64,344.59,423.49,199.74,238.24,264.82,257.21,248.07,435.66,346.42,285.44,351.30,358.71,299.37,261.96,292.78,339.81,317.07,284.29,189.98,223.93,380.45,414.80,401.30,436.78,454.45,456.76,524.46,,543.05,265.64,255.44,343.22,478.12,514.62,507.49,490.04,408.72,334.61,235.57,234.14,223.70,257.51,250.33,259.20,246.88,257.14,262.58,270.84,271.88,273.99,294.66,304.11,301.11,297.31,298.58,295.85,298.65,295.93,304.61,298.45,248.64,299.47,297.10,295.69,285.25,291.17,292.77,294.80,296.68,288.71,267.96,282.16,284.16,210.96,232.07,249.38,,,,,382.64,496.97,,,,237.00,285.75,218.64,230.88,,,,440.09,435.41,376.27,429.32,295.07,281.65,368.93,477.62,397.77,399.12,430.40,459.23,331.85,305.36,269.62,276.53,278.11,270.87,,,,,,354.32
1999-11-14 22:04:42.286000,L7,220.49,221.38,233.79,254.88,271.58,261.73,240.51,235.43,215.16,223.13,224.25,216.88,237.64,259.60,181.21,203.39,227.50,246.64,247.21,244.43,252.24,248.73,246.34,246.53,244.91,250.93,248.97,245.02,251.93,250.33,246.51,244.31,246.22,253.18,249.54,263.54,256.66,234.05,230.20,247.80,249.06,249.76,238.19,231.97,232.28,235.91,240.32,235.17,212.24,225.47,239.88,241.48,265.98,276.20,286.18,287.81,283.38,277.21,286.33,285.71,284.03,282.68,279.04,269.92,272.87,281.52,282.23,274.12,286.68,275.36,277.30,276.59,273.19,273.19,277.34,280.36,277.44,280.22,289.61,289.64,285.32,284.65,279.54,256.81,255.95,249.98,252.10,265.92,264.92,266.86,277.80,288.90,287.66,292.33,316.35,299.64,294.71,289.45,288.31,272.26,230.58,311.12,326.04,321.55,311.47,321.80,321.99,306.29,307.35,298.21,296.76,308.74,294.67,308.82,296.46,309.46,312.39,314.15,307.98
2000-01-01 22:04:37.439000,L7,279.32,315.14,347.13,368.50,372.79,373.86,360.46,337.97,355.28,420.45,338.33,338.82,348.49,519.56,477.45,463.02,219.37,244.48,243.96,376.00,385.94,380.45,243.90,247.20,250.81,250.25,248.49,252.38,257.22,256.33,262.28,254.99,250.65,259.73,359.72,356.42,350.91,381.84,374.65,366.73,371.74,364.25,347.33,332.80,337.36,336.07,337.74,343.63,367.25,381.66,388.86,384.56,388.38,395.68,405.36,406.84,393.25,450.80,364.96,468.09,360.53,362.84,384.80,414.17,394.20,384.59,385.53,397.29,418.76,360.36,410.64,387.47,380.94,391.69,383.48,372.44,402.47,404.86,348.94,352.37,334.65,337.68,342.52,355.31,341.43,359.44,330.90,314.07,289.97,311.33,328.27,415.15,365.23,360.02,378.43,376.37,385.54,376.15,380.66,388.40,430.27,368.31,439.58,399.24,405.70,368.44,414.30,358.61,392.78,361.31,353.40,358.63,368.45,356.38,371.55,379.41,447.33,453.77,453.99
2000-01-17 22:04:35.821000,L7,271.91,323.55,,,,,,,519.84,504.62,360.36,414.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.14,330.20,444.00,403.99,423.18,410.43,414.24,,212.82,225.41,235.02,400.28,408.83,,,,,,,,,249.03,243.63,247.87,237.50,220.29,236.97,233.59,231.02,234.46,231.53,217.15,222.05,239.78,242.09,228.83,248.48,,,,,,,,,194.70,235.67,239.43,218.12,225.50,231.48,260.08,540.34,473.34,373.64,358.81,529.41,435.90,405.17,472.23,,347.30,382.10,487.75,450.22,,,,204.91,210.44,200.44,208.64,201.52,204.52,
2000-03-14 21:58:11.336000,L7,,332.40,353.19,360.37,341.99,339.61,330.53,327.76,318.57,320.68,310.29,292.51,301.51,357.70,358.92,324.97,327.59,346.87,346.09,344.48,358.45,353.59,356.55,349.67,352.36,348.07,362.03,323.16,327.07,335.32,338.24,324.89,331.44,329.88,329.50,419.61,359.98,377.87,372.57,341.50,333.31,329.04,314.05,317.62,384.90,316.42,332.21,353.94,361.58,339.39,346.77,349.91,347.95,356.32,337.31,345.41,353.50,377.73,423.81,494.09,,,,,,388.26,299.63,297.94,289.12,289.45,286.33,277.24,287.92,275.39,278.61,523.76,473.13,460.92,502.69,462.91,419.67,487.74,259.07,510.17,357.05,474.94,348.36,512.67,538.26,297.67,298.79,333.50,452.72,364.22,451.64,443.35,440.75,392.59,351.15,322.22,282.98,285.96,288.64,290.80,288.34,297.50,286.72,544.66,,,,413.27,454.35,461.17,496.49,536.87,315.20,486.30,434.98
2000-03-30 21:58:09.573000,L7,282.58,332.04,358.72,343.84,335.04,336.31,324.92,320.88,412.79,363.65,201.97,206.46,216.54,229.16,237.79,283.49,292.18,279.72,289.60,290.95,281.50,281.36,280.23,285.08,289.73,282.96,271.39,275.95,274.46,280.37,276.99,270.44,268.97,280.20,274.65,269.83,269.78,269.14,272.14,273.30,279.21,269.28,255.80,247.13,254.32,255.65,257.39,256.73,256.64,271.05,279.86,276.02,283.66,286.47,298.20,301.42,298.65,296.77,296.83,299.04,301.22,295.80,292.93,290.95,279.93,281.22,307.23,314.53,312.30,308.76,311.77,296.07,296.85,287.97,284.37,297.27,292.41,290.58,289.36,292.66,286.17,277.38,281.23,292.10,281.75,282.50,283.16,276.78,286.06,290.45,291.35,301.12,304.09,301.04,301.97,311.04,300.56,297.45,291.52,302.14,298.56,289.85,290.26,291.27,293.30,287.72,288.44,271.36,294.34,292.16,283.48,281.11,293.23,279.19,275.24,269.42,276.61,268.17,251.15
2000-07-11 22:03:17.779000,L7,477.39,271.67,396.41,403.12,488.51,212.49,200.07,178.64,517.29,413.67,414.75,460.03,461.63,411.90,401.07,419.87,410.06,427.44,413.31,409.25,437.85,399.45,406.96,424.63,402.28,397.80,384.36,424.10,402.78,506.57,544.22,392.25,415.13,415.42,395.05,394.68,399.22,408.31,423.69,417.79,504.81,520.03,457.87,495.85,365.87,336.36,385.66,389.64,389.52,386.39,368.11,411.94,442.59,430.39,423.79,442.05,424.17,426.57,427.77,418.49,408.33,416.32,429.27,426.55,446.28,415.55,425.54,406.83,425.64,427.34,429.63,410.06,409.43,413.49,231.90,219.33,219.49,235.28,228.19,227.16,239.06,226.83,213.62,219.94,198.97,186.59,192.45,213.03,211.88,215.93,219.07,218.64,223.92,230.32,235.59,203.65,414.36,446.27,419.43,413.41,415.30,415.57,392.76,406.85,398.53,437.12,423.97,423.84,381.42,401.73,188.85,217.73,213.51,225.29,209.32,210.63,205.20,200.56,192.58
