dates,nzd0113-0000,nzd0113-0002,nzd0113-0003,nzd0113-0004,nzd0113-0005,nzd0113-0006,nzd0113-0007,nzd0113-0008,nzd0113-0009,nzd0113-0010,nzd0113-0011,nzd0113-0012,nzd0113-0013,nzd0113-0014,nzd0113-0015,nzd0113-0016,nzd0113-0017,nzd0113-0018,nzd0113-0019,nzd0113-0020,nzd0113-0021,nzd0113-0022,nzd0113-0023,nzd0113-0024,nzd0113-0025,nzd0113-0026,nzd0113-0027,nzd0113-0028,nzd0113-0032,nzd0113-0033,nzd0113-0034,nzd0113-0035,nzd0113-0036,nzd0113-0037,nzd0113-0038,nzd0113-0039,nzd0113-0040,nzd0113-0041,nzd0113-0042,nzd0113-0043,nzd0113-0044,nzd0113-0045,nzd0113-0046,nzd0113-0047,nzd0113-0048,nzd0113-0049,nzd0113-0050,nzd0113-0051,nzd0113-0052,nzd0113-0053,nzd0113-0054,nzd0113-0055,nzd0113-0056,nzd0113-0057,nzd0113-0058,nzd0113-0059,nzd0113-0060,nzd0113-0061,nzd0113-0062,nzd0113-0063,nzd0113-0066,nzd0113-0067,nzd0113-0068,nzd0113-0069,nzd0113-0070,nzd0113-0071,nzd0113-0072,nzd0113-0073,nzd0113-0074,nzd0113-0075,nzd0113-0076,nzd0113-0077,nzd0113-0078,nzd0113-0079,nzd0113-0080,nzd0113-0081,nzd0113-0082,nzd0113-0083,nzd0113-0084,nzd0113-0085,nzd0113-0086,nzd0113-0087,nzd0113-0088,nzd0113-0089,nzd0113-0090,nzd0113-0091,nzd0113-0092,nzd0113-0093,nzd0113-0094,nzd0113-0095,nzd0113-0096,nzd0113-0097,nzd0113-0098,nzd0113-0099,nzd0113-0100,nzd0113-0101,nzd0113-0102,nzd0113-0103,nzd0113-0104,nzd0113-0105,nzd0113-0106,nzd0113-0107,nzd0113-0108,nzd0113-0109,nzd0113-0110,nzd0113-0111,nzd0113-0112,nzd0113-0113,nzd0113-0114,nzd0113-0115,nzd0113-0116,nzd0113-0117,nzd0113-0118,nzd0113-0029,nzd0113-0030,nzd0113-0031,nzd0113-0064,nzd0113-0065,nzd0113-0001,satname
1999-08-26 22:04:44+00:00,,,,,,,,,,,,,,268.02,,284.92,302.33,280.85,274.87,282.18,,303.8,298.04,321.26,316.82,,327.45,,323.24,323.0,,329.82,330.34,,333.61,328.63,330.95,,,317.39,308.34,298.67,296.68,298.47,251.33,262.38,,,,,301.03,297.19,296.31,291.19,292.61,293.51,289.95,,,284.91,,292.06,288.6,287.84,328.75,331.84,330.31,334.47,343.96,337.26,329.84,326.29,328.7,322.23,318.8,316.87,309.61,304.08,305.11,293.86,298.9,307.85,320.69,323.51,326.85,,352.58,325.94,340.11,340.7,332.84,329.5,327.68,332.81,332.41,324.33,321.88,334.63,,342.89,331.35,351.06,306.33,310.94,302.37,315.56,318.91,313.49,313.94,313.1,314.87,314.44,293.47,319.48,319.5,334.8,286.98,,,L7
1999-09-27 22:04:48+00:00,,,,,,,,,,,,,,268.02,,284.92,302.33,280.85,274.87,282.18,,303.8,298.04,321.26,316.82,284.27,311.16499999999996,294.82,316.73,315.595,317.37,325.385,330.34,311.3,333.61,328.63,326.245,310.25,,301.28999999999996,305.115,298.485,295.655,301.54,265.03000000000003,281.655,334.54,,,337.43,318.225,313.83000000000004,313.32,309.87,309.425,310.4,307.515,335.22,331.91,302.185,337.56,311.265,306.015,301.885,322.685,326.04999999999995,322.26,330.61,331.14,327.11,319.195,316.44,318.445,318.62,321.275,313.475,319.86,313.435,319.43,296.565,297.505,309.985,317.485,320.685,327.78,319.36,333.39,326.46000000000004,332.865,335.98,330.595,343.96000000000004,332.41499999999996,332.81,332.41,315.66499999999996,316.96500000000003,327.29499999999996,320.98,331.28999999999996,324.69,337.84000000000003,302.49,307.855,303.125,313.865,313.21000000000004,324.67,312.40999999999997,316.245,327.15,316.615,304.31,318.885,319.5,319.745,303.775,338.2,,L7
1999-11-14 22:04:42+00:00,,,,,,,,,,,,,,270.745,297.88,289.725,302.33,286.685,279.605,286.065,308.35,294.525,291.13,321.26,306.65,301.53999999999996,311.16499999999996,304.15,305.87,308.6133333333333,306.675,319.69,318.30499999999995,311.3,333.61,328.63,326.245,310.25,312.45,304.46666666666664,301.91333333333336,299.3666666666667,295.655,296.28000000000003,270.06,288.40000000000003,325.12,,,340.385,318.1933333333333,319.6566666666667,324.16333333333336,312.51,317.0733333333333,319.07,313.8566666666666,330.07000000000005,322.405,304.87666666666667,329.485,317.00666666666666,306.015,317.7966666666667,326.56333333333333,326.04999999999995,318.48,328.6566666666667,331.14,323.44,325.92333333333335,318.27666666666664,323.09999999999997,321.2966666666667,323.3433333333333,317.8233333333333,322.78333333333336,313.435,319.43,296.565,303.83,317.54333333333335,313.01,315.23333333333335,328.88,330.0,335.56666666666666,332.4533333333333,341.6466666666667,335.98,342.31,340.5933333333333,328.91,334.815,330.61,314.71999999999997,322.65333333333336,335.05,319.32000000000005,329.46,325.09,328.70666666666665,305.5433333333333,305.27666666666664,302.22333333333336,313.8833333333334,308.21333333333337,320.83,310.90333333333336,316.96,328.06,317.25333333333333,307.37666666666667,318.885,310.16499999999996,315.52666666666664,306.8966666666667,332.135,,L7
2000-03-30 21:58:09+00:00,,343.16,329.43,320.47,,,,,,,,,,273.47,297.88,294.53,,292.52,284.34,289.95,308.35,285.25,284.22,,296.48,318.81,,313.48,284.15,294.65,295.98,308.3,306.27,,,333.27,,,312.45,310.82,295.51,272.94,244.24,266.87,264.135,282.57,293.83500000000004,267.34,274.5,343.34,304.365,312.28,345.85,302.805,310.765,312.55,307.33000000000004,306.0,296.075,295.49,321.41,328.49,362.35,353.07,334.32,,330.545,341.83500000000004,350.27,316.1,339.38,321.95,332.41,326.65,327.48,334.085,335.925,352.2,317.98,326.16,316.48,326.435,304.06,304.33,337.6,344.885,340.305,344.44,359.21,,365.74,349.33500000000004,340.88,336.82,328.81,322.845,334.92999999999995,358.995,317.66,325.8,342.945,329.975,311.65,300.12,319.485,326.605,298.22,313.15,307.89,332.83,329.88,324.875,315.84000000000003,,300.83,307.09,313.14,326.07,,L7
2001-01-03 22:02:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.82,,,,,,,,,,,,,,,,,,,,,,,,334.94,,,325.71,,,,,,,,L7
2001-03-01 21:55:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,314.76,,,,,,278.22,,,312.09,,,309.96,,,,,,,,,,,,,,,,334.71,,,,,,,,321.51,,,325.76,,,,,,,,,,325.28,,,311.37,332.89,314.82,,,329.95,331.92,324.82,,,,,,328.19,,,,,,,318.7,,,337.91,,,302.91,,,336.74,333.33,334.08500000000004,315.13,298.18,325.71,330.21,,,,,,,L7
2001-09-09 21:54:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.51,,340.29,,,,,,346.91,333.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.25,331.05,,295.81,310.72,,,,,,,,,,,L7
2001-09-25 21:54:04+00:00,,,,,,,,,,,,,268.91,,,,297.77,311.79,306.22,,,,,,,,,,293.62,313.03,311.25,296.14,,305.74,299.56,,,,,,,257.67,269.31,,268.92,283.28,294.43,305.9,303.76,307.68,314.29999999999995,330.3,322.21500000000003,314.13,324.35,324.28,312.1,318.48,340.14,322.62,307.71,355.96,,336.69,317.86,318.78,,328.88,,297.65,,,312.81,,,296.64,302.87,300.96,293.52,,,302.81,288.25,,,329.11,,,346.51,307.89,329.22,329.45,,,,,,,,,,,,,291.25,331.05,,295.81,310.72,287.68,284.68,285.65,302.08,289.11,288.24,299.72,311.99,,,L7
2001-12-05 22:00:18+00:00,,,,,,,,,,,,,268.91,,,,297.77,311.79,306.22,,,,,,297.69,,,,293.62,313.03,311.25,296.14,,305.74,299.56,,,,,,,257.67,269.31,288.85,282.545,289.96,294.43,305.9,303.76,307.68,314.29999999999995,330.3,316.27666666666664,315.27,320.96500000000003,319.125,312.1,318.48,340.14,322.62,308.78999999999996,355.96,,336.69,317.86,318.78,,328.88,,297.65,,,312.81,,,296.64,302.87,300.96,293.52,284.53,,302.81,288.25,,,329.11,,,346.51,307.89,329.22,329.45,,,,,,,,,,,,,291.25,331.05,,295.81,310.72,287.68,284.68,285.65,302.08,289.11,288.24,299.72,311.99,,,L7
2002-01-22 22:00:40+00:00,,,,,,,,257.54,252.71,,264.03,264.61,268.91,,314.94,296.78,293.7,303.67,306.055,290.85,322.71,,308.3,291.77,294.93,298.8,305.23,,286.69,299.705,299.975,294.015,,293.725,289.93,295.71,300.04,284.43,,,254.36,256.815,270.635,282.03,280.02333333333337,289.5466666666667,292.68,304.825,323.33500000000004,330.39,314.65000000000003,330.3,306.74,305.58666666666664,308.7133333333333,308.68333333333334,299.515,302.645,333.26666666666665,319.38,317.09666666666664,355.96,304.92,319.345,313.305,309.595,,328.88,296.8,311.595,299.63,304.43,306.95500000000004,,350.72,297.51,302.67,295.275,290.065,286.29999999999995,,302.81,287.255,290.02,289.9,313.555,,344.93,334.75,310.28,319.505,329.45,329.08,340.48,315.0,336.59,303.55,289.98,288.03,288.88,304.6,291.09,300.02,287.58,289.805,316.43,287.74,292.35,300.495,287.34000000000003,291.745,277.935,298.58,289.11,288.24,299.72,307.82500000000005,307.15,,L7
