dates,satname,nzd0119-0000,nzd0119-0001,nzd0119-0002,nzd0119-0003,nzd0119-0004,nzd0119-0005,nzd0119-0006,nzd0119-0007,nzd0119-0008,nzd0119-0009,nzd0119-0010,nzd0119-0011,nzd0119-0012,nzd0119-0013,nzd0119-0014,nzd0119-0015,nzd0119-0016,nzd0119-0017,nzd0119-0018,nzd0119-0019,nzd0119-0020,nzd0119-0021,nzd0119-0022,nzd0119-0023,nzd0119-0024,nzd0119-0025,nzd0119-0026,nzd0119-0027,nzd0119-0028,nzd0119-0029,nzd0119-0030,nzd0119-0031,nzd0119-0032,nzd0119-0033,nzd0119-0034,nzd0119-0035,nzd0119-0036,nzd0119-0037,nzd0119-0038,nzd0119-0039,nzd0119-0040,nzd0119-0041,nzd0119-0042,nzd0119-0043,nzd0119-0044,nzd0119-0045,nzd0119-0046,nzd0119-0047,nzd0119-0048,nzd0119-0049,nzd0119-0050,nzd0119-0051,nzd0119-0052,nzd0119-0053,nzd0119-0054,nzd0119-0055,nzd0119-0056,nzd0119-0057,nzd0119-0058,nzd0119-0059,nzd0119-0060,nzd0119-0061,nzd0119-0062,nzd0119-0063,nzd0119-0064,nzd0119-0065,nzd0119-0066,nzd0119-0067,nzd0119-0068,nzd0119-0069,nzd0119-0070,nzd0119-0071,nzd0119-0072,nzd0119-0073,nzd0119-0074,nzd0119-0075,nzd0119-0076,nzd0119-0077,nzd0119-0078,nzd0119-0079,nzd0119-0080,nzd0119-0081,nzd0119-0082,nzd0119-0083,nzd0119-0084,nzd0119-0085,nzd0119-0086,nzd0119-0087,nzd0119-0088,nzd0119-0089,nzd0119-0090,nzd0119-0091,nzd0119-0092,nzd0119-0093,nzd0119-0094,nzd0119-0095,nzd0119-0096,nzd0119-0097,nzd0119-0098,nzd0119-0099,nzd0119-0100,nzd0119-0101,nzd0119-0102,nzd0119-0103,nzd0119-0104,nzd0119-0105,nzd0119-0106,nzd0119-0107,nzd0119-0108,nzd0119-0109,nzd0119-0110,nzd0119-0111,nzd0119-0112,nzd0119-0113,nzd0119-0114,nzd0119-0115,nzd0119-0116,nzd0119-0117,nzd0119-0118,nzd0119-0119,nzd0119-0120,nzd0119-0121,nzd0119-0122,nzd0119-0123,nzd0119-0124,nzd0119-0125,nzd0119-0126,nzd0119-0127,nzd0119-0128,nzd0119-0129,nzd0119-0130,nzd0119-0131,nzd0119-0132,nzd0119-0133,nzd0119-0134,nzd0119-0135,nzd0119-0136,nzd0119-0137,nzd0119-0138,nzd0119-0139,nzd0119-0140,nzd0119-0141,nzd0119-0142,nzd0119-0143,nzd0119-0144,nzd0119-0145,nzd0119-0146,nzd0119-0147,nzd0119-0148,nzd0119-0149,nzd0119-0150,nzd0119-0151,nzd0119-0152,nzd0119-0153,nzd0119-0154,nzd0119-0155,nzd0119-0156,nzd0119-0157,nzd0119-0158,nzd0119-0159,nzd0119-0160,nzd0119-0161,nzd0119-0162,nzd0119-0163,nzd0119-0164,nzd0119-0165,nzd0119-0166,nzd0119-0167,nzd0119-0168,nzd0119-0169,nzd0119-0170,nzd0119-0171,nzd0119-0172
1999-08-26 22:04:44.971000,L7,510.89,538.13,482.87,387.19,364.01,368.23,361.33,341.84,325.80,353.99,397.81,367.01,310.85,337.02,304.88,345.52,363.11,313.62,363.73,311.79,356.27,291.31,332.12,316.52,308.20,344.70,311.65,278.56,294.33,325.31,321.89,323.42,319.81,316.03,327.01,298.77,326.48,283.65,295.45,317.05,285.59,304.50,351.75,341.62,341.74,333.34,352.31,357.85,281.64,321.49,320.73,310.16,284.48,269.78,287.48,267.83,248.78,257.63,327.22,321.66,360.60,348.44,347.96,281.88,302.55,276.23,267.86,255.58,284.26,284.71,321.97,271.39,264.48,260.59,284.31,235.26,240.62,321.87,314.59,288.00,314.86,290.34,277.99,301.23,289.13,262.93,271.36,292.27,338.61,271.57,291.80,335.24,336.63,307.36,331.22,302.91,338.75,327.54,349.77,324.65,333.48,317.11,318.56,311.79,312.67,306.02,303.62,312.95,316.54,308.11,302.87,317.72,285.44,298.87,246.31,251.70,277.41,298.03,332.27,363.92,296.09,255.55,294.24,317.17,299.47,274.12,283.50,277.86,334.54,296.14,305.09,313.28,306.39,301.13,287.53,240.41,237.86,276.18,295.07,296.09,313.82,323.94,301.41,326.93,321.77,348.49,276.50,279.62,300.04,337.36,316.84,327.98,344.23,355.71,350.69,313.75,310.33,309.66,238.96,267.69,293.53,314.42,325.92,339.15,315.59,318.80,310.13,373.16,314.45,330.91,342.47,283.17,262.06
1999-09-27 22:04:48.949000,L7,466.06,524.25,443.82,270.39,250.45,242.53,324.49,327.71,367.51,338.37,375.16,376.25,354.68,343.80,408.68,368.42,389.65,337.48,427.00,427.43,419.02,362.50,365.81,304.48,283.53,278.62,312.99,357.63,244.40,265.84,294.86,339.03,277.17,274.06,287.72,304.88,308.04,283.80,231.24,225.43,213.81,233.10,289.97,371.50,351.05,328.72,341.51,340.91,375.22,351.78,351.77,365.67,475.88,528.11,459.77,412.47,410.42,365.27,365.07,324.52,339.69,300.60,358.73,249.66,244.99,309.00,351.64,291.41,243.64,265.95,303.83,332.74,290.47,300.83,283.46,321.20,308.30,331.80,299.45,282.45,293.90,298.67,328.06,331.31,333.77,325.09,296.60,326.23,300.63,310.39,330.49,357.15,339.48,331.40,295.39,288.31,275.65,296.62,315.68,328.45,341.65,360.08,356.69,337.19,353.13,296.01,290.61,322.67,290.78,351.91,349.54,382.04,351.62,342.46,319.75,306.64,303.78,272.58,315.45,329.19,334.77,348.50,340.94,296.82,280.34,306.35,318.09,328.40,340.59,326.62,327.12,326.80,319.17,319.66,351.14,337.50,292.85,213.55,285.79,296.06,260.76,263.16,311.13,333.92,395.85,354.30,333.98,257.68,270.07,291.91,303.30,296.84,312.22,347.11,339.36,316.54,325.21,294.18,317.22,241.03,241.93,290.35,283.64,301.14,262.26,318.92,316.92,309.33,323.78,313.37,279.83,298.01,258.19
1999-10-22 21:58:28.758000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.47,405.46,192.03,190.33,193.12,199.71,,,,,407.29,369.68,,,,,318.52,378.57,194.20,200.08,203.12,189.27,336.38,326.58,355.59,333.27,356.38,313.44,354.05,322.51,334.85,339.42,340.93,320.68,271.55,343.61,335.66,336.13,339.07,324.13,356.85,404.90,365.93,307.15,309.00,310.96,312.08,313.47,282.71,321.98,304.57,254.06,248.52,310.78,342.82,316.63,321.07,331.59,271.33,258.90,360.09,344.93,314.57,314.36,336.28,344.49,302.06,338.59,448.27,435.91,326.42,338.90,322.02,286.96,466.52,,,,,,,,,,,,,,,,,420.00,504.42,319.16,275.24,289.58,294.14,312.00,330.87,304.76,266.52,283.26,312.78,324.29,329.15,333.95,318.54,322.53,305.83,322.19,301.42,251.20,236.07,290.92,339.78,341.27,293.60,254.07,273.55,325.78,332.11,315.04,296.76,349.70,305.59,354.80,327.23,318.48,321.50,296.01,286.48,351.92,367.95,382.19
1999-11-14 22:04:42.286000,L7,483.44,516.45,465.24,307.41,301.63,278.74,299.88,335.29,292.38,308.14,288.10,313.72,300.58,308.91,263.88,378.66,303.80,267.57,254.91,254.84,263.08,281.06,254.27,240.85,270.85,234.38,268.89,260.09,263.17,275.46,255.30,271.33,280.07,290.75,270.40,259.24,245.69,278.37,348.08,286.57,331.92,320.98,262.91,191.71,187.14,185.60,185.86,186.76,184.28,180.59,235.98,238.56,332.61,337.80,310.63,395.03,374.98,341.43,359.48,322.69,361.06,239.91,291.94,311.15,232.27,246.92,288.43,244.01,244.01,238.03,220.06,227.25,238.54,228.65,308.87,292.78,285.79,226.48,301.13,237.31,252.37,270.44,257.10,276.68,260.59,213.02,282.98,226.03,234.00,310.79,307.63,230.92,281.06,325.72,305.03,250.05,271.33,284.30,354.48,279.53,263.32,290.59,250.51,328.92,347.45,338.59,333.52,324.98,321.01,278.04,322.31,325.17,332.46,331.53,273.46,325.52,289.69,252.25,306.65,297.13,325.85,262.98,314.33,329.58,322.76,288.71,215.73,278.84,232.73,267.75,221.93,270.13,339.41,309.46,258.36,256.78,209.06,237.56,262.88,291.31,246.33,253.46,240.56,233.52,335.61,257.54,277.03,231.38,227.90,230.15,223.11,214.00,214.50,217.37,229.79,234.01,231.72,281.41,269.56,253.29,308.73,275.56,241.79,218.15,222.99,222.03,242.90,258.47,249.83,252.81,256.30,216.60,250.25
2000-01-01 22:04:37.439000,L7,501.56,518.69,478.35,319.55,264.81,263.32,262.18,309.96,275.39,316.85,351.89,259.70,326.34,279.32,345.90,263.62,252.97,259.04,271.91,209.69,294.12,255.98,232.64,250.76,270.95,241.74,245.80,256.63,279.86,240.03,307.57,259.58,273.27,279.26,,245.10,263.61,201.00,260.18,295.61,297.78,199.83,242.47,293.54,235.08,266.06,272.92,535.64,225.10,445.12,524.72,468.87,357.65,253.50,260.93,256.97,233.68,272.11,258.39,216.24,226.42,503.37,510.86,516.93,182.93,190.37,365.99,401.52,474.23,452.28,485.42,540.90,506.13,542.88,218.02,196.91,289.20,195.74,225.36,195.02,191.93,283.57,277.13,267.82,266.21,302.49,274.46,304.32,279.62,262.57,288.77,237.28,257.13,318.64,283.71,288.55,248.52,294.31,301.04,322.64,265.35,289.68,309.61,364.04,289.68,307.92,298.53,303.22,270.89,317.75,300.47,403.48,510.82,501.78,455.42,456.56,519.11,,509.46,480.56,453.80,411.50,402.67,373.45,382.95,419.61,383.63,298.04,223.47,192.17,187.09,,,448.47,391.06,247.59,276.83,236.69,194.30,237.65,185.43,203.06,213.00,239.85,242.62,299.71,284.22,242.59,248.05,270.10,287.85,223.44,291.81,256.62,267.03,226.22,227.69,220.25,319.12,499.64,547.96,521.91,490.54,292.98,293.75,289.18,224.68,228.81,266.98,255.34,242.30,221.12,251.36
2000-01-17 22:04:35.821000,L7,399.10,527.80,536.09,297.45,249.92,251.16,399.49,384.39,329.41,346.19,361.07,398.15,356.30,461.61,424.80,292.01,278.40,416.40,296.93,,209.48,272.20,467.53,460.98,512.73,527.40,533.01,462.31,402.02,,244.22,334.59,421.40,428.13,449.85,515.18,199.58,199.91,202.46,507.64,261.76,240.96,,,,,,456.61,533.73,478.19,344.67,,329.07,372.31,,,,521.18,250.59,208.05,407.93,475.03,434.89,364.38,191.18,257.56,384.75,450.67,510.28,373.93,350.62,425.16,233.54,254.73,309.17,231.72,223.26,222.65,195.21,242.49,185.69,288.38,366.41,439.89,426.79,284.10,184.17,186.30,189.85,189.12,192.69,419.90,507.62,,,494.55,467.75,458.46,347.40,400.35,363.74,211.58,290.90,279.10,276.86,287.74,335.72,287.05,289.91,299.10,220.98,209.39,207.43,217.78,210.56,214.23,199.76,201.89,204.13,196.58,,187.93,191.75,192.78,185.38,190.91,192.77,191.71,198.97,206.19,215.61,339.17,278.88,274.71,200.99,188.18,189.07,177.13,,,312.50,322.85,279.99,231.78,228.02,216.91,212.39,206.42,216.01,318.93,336.81,197.41,189.22,330.09,349.58,391.52,389.33,412.66,371.07,210.39,277.46,232.19,354.23,422.12,504.44,477.32,493.61,309.59,546.76,484.88,459.22,519.40,524.90
2000-03-14 21:58:11.336000,L7,,,,,,,,,504.67,473.16,411.19,433.62,467.55,334.96,372.99,347.89,354.72,353.98,313.77,317.91,333.88,188.58,186.56,190.57,191.79,198.32,306.68,311.00,304.75,293.82,294.17,289.91,302.62,311.53,258.49,310.61,326.50,184.69,190.45,196.86,197.81,197.17,198.30,190.10,194.06,194.94,196.38,200.24,203.50,193.90,194.37,189.63,189.80,189.76,191.59,201.93,199.54,204.88,205.78,206.52,199.94,195.05,192.91,197.51,192.19,194.57,190.72,191.10,197.44,193.35,188.33,191.12,189.88,186.55,186.22,173.02,186.05,186.22,188.30,184.59,175.00,266.46,272.74,253.22,266.85,254.70,179.06,177.34,180.13,183.19,184.85,182.05,180.07,182.36,181.28,185.81,188.43,192.72,192.24,189.06,184.39,180.45,181.11,183.51,189.43,311.81,275.18,268.38,312.94,282.36,262.48,264.93,253.89,252.11,272.97,250.05,285.34,265.22,253.70,254.10,233.81,263.54,305.30,282.41,233.52,242.67,229.88,255.86,236.85,243.10,258.31,253.57,249.86,244.19,240.68,229.11,266.17,271.06,277.93,266.28,232.32,275.80,284.45,262.07,308.59,283.98,300.15,277.19,510.52,391.10,349.43,354.96,350.63,371.42,361.68,400.29,250.68,248.57,315.21,289.15,287.71,298.73,293.72,285.70,262.38,307.48,248.55,272.05,267.69,271.77,268.16,301.16,251.17
2000-03-30 21:58:09.573000,L7,,,438.76,293.61,320.71,321.71,353.26,347.90,353.78,323.30,311.54,319.22,368.07,316.13,317.30,353.44,348.94,295.13,316.63,298.64,305.71,303.03,321.59,281.30,261.62,345.78,202.10,200.75,198.55,,,,,,,,,,,,,535.36,395.91,202.76,199.98,201.60,200.20,210.21,206.19,270.43,236.80,500.31,491.10,454.52,440.33,318.01,322.24,313.82,289.14,274.92,269.17,279.54,330.26,340.41,260.27,265.55,280.79,294.44,270.49,259.66,323.18,288.35,324.81,301.13,278.38,286.58,324.49,298.55,278.11,276.93,304.20,313.62,301.04,331.55,282.07,282.69,310.55,308.25,309.37,321.61,290.34,346.69,269.71,301.27,332.12,304.76,322.77,295.77,295.75,295.36,341.05,323.37,325.55,290.84,299.58,306.47,323.15,278.69,275.29,310.26,311.78,307.00,308.57,309.98,320.34,293.75,274.61,259.27,257.86,303.91,255.26,263.24,293.01,324.87,492.69,,,,,,534.04,482.64,401.11,401.31,398.18,350.88,321.43,327.40,383.87,478.18,422.60,319.80,347.02,379.93,376.43,385.85,396.39,368.23,370.10,315.35,313.61,308.85,265.84,260.17,280.11,302.81,297.61,273.75,295.83,355.49,300.45,397.55,336.92,322.49,355.31,273.94,292.52,326.19,343.08,316.61,299.84,297.49,283.73
2000-05-24 22:03:46.662000,L7,454.93,522.79,489.08,316.71,296.99,302.79,337.63,392.33,366.56,310.95,343.72,328.66,302.65,337.58,354.67,353.83,375.40,285.07,288.80,314.83,276.72,291.98,337.35,310.82,344.05,300.37,307.46,272.45,271.24,313.06,285.51,299.21,379.53,391.13,379.85,314.53,273.79,250.09,315.48,297.18,352.55,356.72,286.24,325.98,315.10,269.99,300.40,262.67,258.85,327.32,259.96,346.92,334.15,307.05,340.26,268.80,286.40,291.45,345.38,300.78,306.58,340.64,302.58,283.98,281.07,281.37,318.05,303.57,361.81,307.43,290.10,273.57,303.26,260.05,287.96,335.52,315.83,320.25,273.83,266.99,318.55,303.29,284.52,302.82,352.05,283.05,321.75,287.63,269.40,361.19,317.24,327.72,256.13,302.28,341.74,338.49,377.70,370.60,319.18,358.36,355.88,265.44,306.27,336.23,326.47,336.69,324.27,319.29,349.04,282.53,290.11,234.02,238.72,274.75,317.41,332.72,358.51,304.02,316.14,293.67,253.71,238.30,291.09,343.43,321.11,344.51,301.15,335.66,276.04,297.44,289.73,331.96,331.78,270.13,264.40,322.36,262.19,333.77,318.54,329.54,277.30,266.15,246.88,254.79,332.41,361.19,318.09,387.32,314.16,441.58,371.60,314.52,238.20,254.64,226.86,263.92,311.10,359.97,384.97,330.41,345.21,349.87,281.71,300.26,325.61,270.01,240.77,244.15,314.11,281.32,349.74,308.50,304.32
2000-07-11 22:03:17.779000,L7,433.99,522.03,527.89,469.71,478.52,448.92,190.64,190.52,428.57,301.34,320.69,298.08,309.97,305.02,258.68,298.68,285.05,287.38,287.42,262.47,283.11,312.74,281.23,254.58,317.21,292.21,469.17,453.57,260.37,293.55,330.87,293.59,288.91,315.99,382.77,432.27,415.12,465.42,415.42,420.49,405.09,422.22,273.76,289.04,297.03,,,438.66,430.48,406.16,465.98,456.98,453.22,,384.91,390.51,505.99,400.18,432.52,348.85,372.57,383.81,389.37,390.26,383.78,446.53,260.40,372.56,365.19,433.28,,,,,,316.20,368.08,320.08,328.42,323.37,314.15,362.03,357.86,402.20,401.11,,,370.87,343.79,325.06,,,,,408.94,396.09,318.52,,,,,,,,,307.19,385.75,353.81,366.27,378.27,302.51,321.04,317.89,,,,268.87,316.07,436.36,360.95,429.44,385.02,,304.93,410.79,463.01,442.61,344.87,397.59,371.42,430.26,444.88,424.56,335.36,357.14,413.32,419.52,398.06,,,,,416.59,441.38,442.18,396.58,444.00,474.34,321.74,384.08,439.66,413.26,384.53,370.96,405.38,398.24,430.01,405.29,405.24,427.90,348.68,423.24,428.23,,416.49,278.86,386.10,391.40,378.80,445.22,429.51,360.87,323.23
