dates,nzd0120-0000,nzd0120-0001,nzd0120-0002,nzd0120-0003,nzd0120-0004,nzd0120-0005,nzd0120-0006,nzd0120-0007,nzd0120-0008,nzd0120-0009,nzd0120-0010,nzd0120-0011,nzd0120-0012,nzd0120-0013,nzd0120-0014,nzd0120-0015,nzd0120-0016,nzd0120-0017,nzd0120-0018,nzd0120-0019,nzd0120-0020,nzd0120-0021,nzd0120-0022,nzd0120-0023,nzd0120-0024,nzd0120-0025,nzd0120-0026,nzd0120-0027,nzd0120-0028,nzd0120-0029,nzd0120-0030,nzd0120-0031,nzd0120-0032
1999-10-22 21:58:28+00:00,360.85,,362.01,356.41,363.37,360.96,357.57,362.01,377.72,380.28,373.15,372.09,377.75,374.73,361.99,363.23,275.72,370.54,214.4,,230.39,379.95,378.98,381.85,379.36,380.86,365.33,366.33,366.04,353.81,354.93,,
1999-12-09 21:58:33+00:00,360.85,,362.01,356.41,359.51,360.96,356.775,362.01,377.72,380.28,373.15,372.09,377.75,374.73,361.99,363.23,275.72,370.54,214.4,,230.39,379.935,378.98,381.85,379.36,390.745,379.315,366.33,366.04,360.66999999999996,354.93,,
2000-12-27 21:56:05+00:00,,,,,,,,,,,,,,320.21,,,,,,,,,,,,,,,,,,,
2001-01-12 21:56:06+00:00,,,,,,,,,,,,,,320.21,,,,,231.26,237.89,247.03,,,376.23,,372.49,373.76,362.69,365.07,353.82,,185.26,192.76
2001-06-05 21:55:16+00:00,,,,,,,,,,,,,,320.21,,,,,231.26,230.035,247.03,,,376.23,,372.49,373.76,362.69,365.07,353.82,,185.26,192.76
2002-08-27 21:53:36+00:00,,,,,,,,,,,359.28,,,,,,,361.5,,,,,414.61,,415.78,,399.81,393.54,387.82,364.86,365.87,,
2002-10-30 21:53:25+00:00,,,,,,,,,,,359.28,,,,,268.19,278.65,348.93,,,,,414.61,,415.78,,399.81,399.3,387.82,364.86,365.87,187.97,
2010-01-13 21:56:25+00:00,,,,,,,,,,,,,,,,,,,,212.1,205.27,212.5,197.04,222.49,248.18,231.07,240.39,256.62,223.16,219.07,222.18,263.66,218.52
2010-10-28 21:55:27+00:00,,,,,,,,,,,,,,,,,,,,,178.85,191.68,175.07,188.25,232.95,177.33,174.63,185.28,208.83,203.0,214.77,238.34,204.71
2010-11-13 21:55:25+00:00,,,,,,,,,,,,,,,,,,,,,187.22,199.505,185.98,200.87,239.685,192.125,180.99,193.06,212.91500000000002,207.175,220.14,244.275,210.865
2010-12-31 21:55:32+00:00,,,,,,,,,,,,,,,,,,,,,183.29666666666665,199.83,186.22,197.6966666666667,237.51333333333332,186.89333333333335,177.72666666666666,192.46,211.4466666666667,206.87,220.47,236.23666666666668,210.29666666666665
2013-05-29 22:07:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.24,212.14,220.13,235.86,202.6
2013-11-21 22:07:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.24,213.165,221.94,234.495,204.185
2013-12-07 22:07:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.65,214.575,222.89499999999998,232.32999999999998,206.395
2014-01-08 22:06:55+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.65,213.54999999999998,221.24333333333334,229.52666666666664,205.05333333333337
2014-01-24 22:06:45+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.65,212.075,220.795,229.0,204.8625
2014-02-09 22:06:33+00:00,,,,,,378.58,,,376.77,386.72,382.75,379.35,354.55,,362.31,,,,,,,,,,,,,,196.01999999999998,212.43200000000002,220.964,227.81599999999997,204.67000000000002
2014-03-29 22:05:52+00:00,,,354.16,,,378.58,360.29,,376.77,386.72,382.75,379.35,354.55,,362.31,,,,,,,,,,,,,,196.01999999999998,210.705,220.70000000000002,227.34833333333333,203.45666666666668
2014-04-30 22:05:22+00:00,,,354.16,,,362.74,358.54,,376.77,386.72,380.48,379.35,354.55,,362.31,,,,,,,,,,,,,,196.01999999999998,210.87142857142857,220.67000000000002,227.34833333333333,203.15142857142857
2014-06-17 22:05:20+00:00,,,354.16,,,362.74,358.54,,376.77,386.72,380.48,379.35,354.55,,362.31,,,,,,,,,,,,,,198.595,210.135,219.91333333333333,224.8575,202.36666666666667
2014-08-20 22:05:42+00:00,,,354.16,,349.66,346.9,358.54,,,,378.21,,,,,,,,,,,,,,,,,,215.01,209.54749999999999,219.9625,225.01,201.03
2014-10-07 22:05:49+00:00,,,,,349.66,346.9,356.79,,,,378.21,,,,,,,,,,,,,,,,,,208.20000000000002,209.29500000000002,219.9275,233.17,201.7425
2014-11-08 22:05:52+00:00,,,,,349.66,,,,,,,,,,,,,,,,,,,,,,,,207.6725,209.9675,221.26250000000002,233.17,202.7975
2015-02-28 22:05:24+00:00,,,,,,,343.63,379.39,,,369.72,,,,,,,,,,,,,,,,,,200.33500000000004,208.33,221.64000000000001,233.17,201.82333333333335
2015-03-16 22:05:13+00:00,,,,,,336.75,343.63,379.39,,,369.72,,,,,,,,,,,,,,,,,,197.39666666666668,206.755,219.685,226.08499999999998,199.5775
2015-04-01 22:05:01+00:00,,,,,,336.75,343.63,379.39,,,369.72,,,,,,,,,,,,,,,,,,197.6275,207.752,219.16,226.08499999999998,199.914
2015-07-22 22:05:13+00:00,,,,,,336.75,343.63,379.39,,,369.72,,,,,,,,,,,,,,,,,191.41,208.4333333333333,209.305,217.9325,219.0,200.95749999999998
2015-10-26 22:05:43+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.39,235.865,214.91000000000003,223.29000000000002,247.53,206.415
2016-04-19 22:05:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.37,236.27,215.74,218.57,229.515,196.7
2016-05-21 22:05:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.46,235.54,215.48,216.10500000000002,259.855,195.62
2017-01-16 22:05:47+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.75,238.17,215.76,226.73,291.67,207.31
2017-02-01 22:05:40+00:00,,,,344.69,343.5,,,,,393.43,,,,,,,,,,,,,,,,,,194.78,239.475,217.015,231.135,292.06,206.98000000000002
2017-03-05 22:05:27+00:00,,,,344.69,343.5,,,,,393.43,,,,,,207.04,241.26,238.95,236.23,,,,,,,,,194.54333333333332,238.47333333333333,216.62333333333333,232.10333333333332,292.06,205.48333333333335
2017-09-13 22:05:44+00:00,,,,,,,,,,,,,,,,,,234.15,,253.06,,160.63,,,,,,194.19,237.72,217.39,236.98,304.81,203.87
2017-12-18 22:05:49+00:00,362.63,,,340.23,,,,,,,,,,,,,,233.63,239.0,253.06,,160.63,,,,,,197.95499999999998,241.26999999999998,220.415,243.39999999999998,299.56,206.29000000000002
2018-06-28 22:04:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.67,236.82,215.92,234.33,310.26,201.61
2018-08-31 22:05:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,235.94,216.01,232.9,301.115,200.41000000000003
2018-10-02 22:05:23+00:00,,380.12,,,,,369.7,,,,,,,,,,,,,,,,,,,,,192.99,237.34,216.20666666666668,234.25,302.75333333333333,201.25333333333333
2018-10-18 22:05:29+00:00,,380.12,,,,,369.7,,,,,,,,,,,,,,,,,,,,,193.14,237.49,216.5725,235.86,301.705,202.1125
2018-11-03 22:05:33+00:00,,380.12,,,,,369.7,,,,,,,,,,,,,,,,,,,,,192.856,237.286,216.644,236.108,300.32399999999996,202.644
2019-05-14 22:05:12+00:00,392.53,,,,,,,,,,,391.08,,,,,,,,,,,,,,,,197.76,242.35,218.64,245.09,322.62,214.38
2019-09-19 22:05:56+00:00,392.53,,,,,,,,,,,391.08,,,,,,,,,,,,,,258.88,,199.565,244.325,222.115,249.79500000000002,316.78499999999997,214.38
2019-10-21 22:06:01+00:00,392.53,,,,,,,,,,,391.08,,,,,,,,,,,,,,258.88,,199.565,244.325,215.39,243.20333333333335,305.6133333333333,203.20499999999998
2019-11-06 22:06:00+00:00,392.53,,,,,,,,,,,391.08,,,,,,,,,,,,,,258.88,,198.93999999999997,244.57666666666668,216.18,244.14,305.0425,204.11666666666667
2019-11-22 22:05:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,258.645,,200.1,245.9,216.9025,246.4975,301.0175,201.57666666666668
2020-01-09 22:05:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,258.645,171.43,201.16500000000002,246.565,218.19,249.23000000000002,306.65,204.3825
2020-01-25 22:05:45+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,258.645,170.56,201.638,246.58200000000002,218.9466666666667,250.90833333333333,306.14166666666665,205.17
2020-02-10 22:05:40+00:00,393.01,,,,,,,,,,,,,,,,,,,,,,,,,258.645,170.21,201.64166666666665,246.48166666666665,219.2357142857143,252.0257142857143,305.84285714285716,205.77666666666667
2020-02-26 22:05:36+00:00,393.01,,,,,,,,,,,,,,,,,,,,,,,,,258.645,170.21,200.73285714285717,246.02142857142857,219.33125,251.35875,305.065,206.01571428571427
2020-08-20 22:05:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,169.84,195.20499999999998,244.135,220.0,247.12,301.155,206.565
2020-09-21 22:05:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,219.89,177.14,197.54500000000002,246.095,221.26999999999998,251.955,303.86,208.41500000000002
2020-10-23 22:05:58+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,219.89,174.51666666666665,197.40666666666667,245.57000000000002,220.57666666666668,250.8166666666667,302.07,207.66
2021-01-11 22:05:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,219.89,174.51666666666665,197.40666666666667,244.15,219.01999999999998,249.155,300.2175,206.65
2021-02-12 22:05:43+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,219.89,172.8875,196.55,243.99,219.038,248.57399999999998,301.092,206.888
2021-04-01 22:05:24+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,168.87333333333333,196.79999999999998,242.89,218.08,246.32,300.48749999999995,206.28
2021-04-17 22:05:18+00:00,,,,,,,,,,,,,,,,,353.98,,,,,,,,,,167.8025,196.98749999999998,242.31199999999998,218.138,246.13599999999997,301.666,206.346
2021-05-03 22:05:08+00:00,,,,,,,,,,,,,,,,,353.98,,,,,,,,,,166.9475,197.095,241.82,218.052,245.78199999999998,303.034,206.212
2021-12-29 22:05:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.14,212.14,236.33,287.44,201.32
2022-01-22 22:05:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,173.69,201.35,239.93,218.01999999999998,245.765,295.71500000000003,207.325
2022-02-23 22:05:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,173.69,201.35,239.93,213.61333333333334,239.04999999999998,291.17,204.20000000000002
2022-03-11 22:05:39+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,173.69,201.35,239.93,212.6975,237.95499999999998,289.825,202.9
2022-09-11 22:06:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,172.26,198.83,245.19,222.25,246.25,305.64,210.66
2022-10-05 22:05:58+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,228.18,196.38,199.29000000000002,246.135,223.0,251.01999999999998,306.335,214.27499999999998
2022-10-21 22:06:05+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,225.885,200.61333333333334,198.90333333333334,246.03,222.01,249.68999999999997,306.0333333333333,213.32000000000002
2023-02-18 22:05:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,225.885,193.79500000000002,198.8125,245.6375,222.26,249.6675,305.10749999999996,213.6125
2023-03-14 22:05:47+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,225.885,192.85750000000002,198.695,245.6075,221.79,249.6575,304.0175,214.7175
2023-03-22 22:05:28+00:00,,,,,,,,,,,,,,,325.68,323.97,320.32,,,,,,,,,225.885,188.2,198.36999999999998,244.956,221.452,249.10399999999998,303.892,213.41199999999998
2023-05-09 22:04:58+00:00,,,,,,,,,,,,,,,325.68,323.97,320.32,,,,,,,,,,169.95749999999998,196.885,242.975,220.25,247.5666666666667,302.3333333333333,212.58666666666667
2023-05-25 22:04:56+00:00,,,,,,,,,,,,,,,325.68,323.97,320.32,,,,,,,,,,169.618,197.09199999999998,242.82199999999997,220.282,247.0025,301.65999999999997,212.45250000000001
2023-06-10 22:05:03+00:00,,,,,,,,,,,,,,,325.68,323.97,320.32,,,,,,,,,,169.618,197.09199999999998,242.82199999999997,215.61,239.744,301.65999999999997,207.902
2023-07-12 22:05:20+00:00,,,,,,,,,,,,,,,325.68,323.97,320.32,,,,,,,,,,169.815,196.89499999999998,242.72166666666666,216.20285714285714,240.89333333333335,302.58,207.902
2023-08-05 22:05:23+00:00,,,,,,,,,,,,,,,325.68,323.97,320.32,,,,,,,,,,169.65142857142857,197.03,242.75857142857143,216.69625,241.8642857142857,302.79999999999995,209.24666666666667
2023-08-21 22:05:28+00:00,,349.09,,,,,,,,,,,,,325.68,323.97,320.32,,,,,,,,,,168.95714285714286,196.68285714285713,242.3342857142857,216.23875,241.0742857142857,303.0416666666667,208.198
2023-09-30 22:05:45+00:00,,349.09,,,332.77,,,,,,,,,,,,,,,,,,,,,,169.48,196.63,242.44333333333336,215.75571428571428,240.265,303.75199999999995,207.2
2023-11-09 22:05:48+00:00,,349.09,,,332.77,,,327.83,,,,,,,331.44,,,,,,,,,,,,169.69400000000002,197.24200000000002,242.92799999999997,215.46166666666667,240.265,304.18333333333334,207.2
2023-11-25 22:05:56+00:00,,349.09,,327.73,332.77,,,327.83,,,,,,,331.44,,,,,,,,,,,,170.23600000000002,197.70800000000003,244.234,215.58166666666668,240.60833333333335,304.99333333333334,207.9375
2023-12-19 22:05:51+00:00,,349.09,,327.73,332.77,,,327.83,,,,,,,331.44,,,,,,,,,,,,170.40166666666667,197.96666666666667,245.22,220.4333333333333,249.52166666666668,305.7342857142857,213.875
2024-01-28 22:05:54+00:00,,349.09,,327.73,332.77,,,327.83,,,,,,,331.44,,,,,,,,,,,,170.48833333333332,197.73166666666665,245.88833333333332,220.93166666666664,250.13,305.58,213.998
2024-02-05 22:05:44+00:00,,349.09,,327.73,332.77,,,327.83,,,,,,,331.44,,,,,,,,,,,,170.852,197.70999999999998,246.46999999999997,217.27666666666667,244.8416666666667,302.44,208.916
2024-02-13 22:05:53+00:00,,349.09,,327.73,332.77,,,327.83,,,,,,,331.44,,,,,,,,,,,,170.995,196.865,246.3033333333333,218.04000000000002,246.18142857142857,302.66249999999997,209.73166666666665
2024-02-29 22:05:47+00:00,,,,327.73,332.77,,,327.83,,,,,,,331.44,,,,,,,,,,,,171.52166666666665,196.61833333333334,246.68499999999997,218.25714285714284,247.09999999999997,303.01750000000004,210.31285714285715
2024-03-16 22:05:47+00:00,,,,327.73,332.77,,,327.83,,,,,,,331.44,,,,,,,,,,,,170.71857142857144,196.25857142857143,246.05714285714285,218.51624999999999,246.9975,303.30222222222227,210.78375
2024-03-24 22:05:18+00:00,,,,327.73,332.77,,,327.83,,,,,,,331.44,,,,,,,,,,,,170.155,195.88625,245.535,218.61555555555555,246.88444444444445,303.354,210.83
2024-05-11 22:04:51+00:00,,,,327.73,,,,,,,,,,,,,,,,,,,,,,,169.6525,195.5125,245.0975,218.5,246.71666666666664,303.0755555555556,210.9277777777778
2024-05-27 22:04:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,169.58749999999998,195.1025,244.21249999999998,218.45222222222222,246.67333333333332,303.1788888888889,210.41875000000002
2024-09-08 22:05:24+00:00,,,,,,,,382.27,,,,,,,,,,,,,,,,219.76,231.26,234.46,167.7,195.66,242.98200000000003,220.66,247.49200000000002,304.836,213.79250000000002
2024-09-24 22:05:25+00:00,,356.18,,,345.27,,,382.27,,,,,372.01,,,,,,,,,,,222.2,231.62,235.215,169.34499999999994,197.0,244.23749999999998,221.12,251.07,305.1225,216.21666666666667
2024-10-26 22:05:48+00:00,,356.18,,,345.27,,,382.27,,,,,372.01,,,,,,,,,,,223.26999999999998,233.02999999999997,236.48666666666668,169.34499999999994,197.494,245.156,221.198,251.87199999999999,304.68,217.01
2024-12-13 22:05:46+00:00,,356.18,,,345.27,,,382.27,,,,,372.01,,,,,,,,,,,223.9525,233.23499999999999,236.8525,171.91,198.465,247.805,222.88,255.6525,304.75,218.73999999999998
2024-12-29 22:05:47+00:00,,356.18,,,345.27,,,382.27,,,,,372.01,,,,,,,,,,,223.9525,233.23499999999999,237.42799999999997,171.91,198.874,248.61599999999999,223.87399999999997,257.914,305.644,218.996
2025-01-06 22:05:42+00:00,,356.18,,,345.27,,,382.27,,,,,372.01,375.28,,,,,,,,,,223.91,233.81599999999997,237.69333333333336,171.91,199.06166666666664,249.02666666666667,224.29166666666666,258.2966666666667,306.05333333333334,219.01833333333332
2025-01-14 22:05:49+00:00,,356.18,,,345.27,,,382.27,,,,,372.01,375.28,,,,,,,,,,224.30999999999997,234.105,238.19142857142856,171.91,199.43285714285713,249.3114285714286,224.66142857142856,258.79285714285714,306.58,219.27857142857144
2025-02-07 22:05:41+00:00,,356.18,,,345.27,,,382.27,,,,,372.01,375.28,,,,,,,,,,224.30999999999997,234.105,238.19142857142856,171.91,195.8625,244.5025,223.51,256.35499999999996,305.06,217.44125
2025-02-23 22:05:31+00:00,,356.18,,,345.27,,,382.27,,,,,372.01,375.28,,,,,,,,,,224.30999999999997,234.105,238.19142857142856,170.29500000000002,195.75,244.37111111111113,223.15555555555554,255.20999999999998,304.4366666666667,216.9022222222222
