dates,nzd0124-0000,nzd0124-0001,nzd0124-0002,nzd0124-0003,nzd0124-0004,nzd0124-0005,nzd0124-0006,nzd0124-0007,nzd0124-0008,nzd0124-0009,nzd0124-0010,nzd0124-0011,nzd0124-0012,nzd0124-0013,nzd0124-0014,nzd0124-0015,nzd0124-0016,nzd0124-0017,nzd0124-0018,nzd0124-0019,nzd0124-0020,nzd0124-0021,nzd0124-0022,nzd0124-0023,nzd0124-0024,nzd0124-0025,nzd0124-0026,nzd0124-0027,nzd0124-0028,nzd0124-0029,nzd0124-0030,nzd0124-0031,nzd0124-0032,nzd0124-0033,nzd0124-0034,nzd0124-0035,nzd0124-0036,nzd0124-0037,nzd0124-0038,nzd0124-0039,nzd0124-0040,satname
1999-08-26 22:04:44+00:00,,,,,,,428.21,,,,,,,,,,,,,,,,378.82,383.15,386.74,375.54,385.52,385.39,385.25,382.93,381.44,377.12,,,,,,,,,,L7
1999-09-27 22:04:48+00:00,,,,,,,428.21,,396.12,,,383.07,408.4,,396.82,393.04,388.05,398.33,400.82,398.55,,376.64,377.69,379.25,380.675,372.045,377.655,381.66999999999996,382.72,382.985,378.0,376.865,376.24,,,,,,,,,L7
1999-10-22 21:58:28+00:00,,,,,,,428.21,,396.12,,,383.07,408.4,,396.82,393.04,388.05,398.33,400.82,398.55,,376.64,377.69,379.25,380.675,372.045,382.9666666666667,381.66999999999996,385.35999999999996,386.5133333333333,378.0,376.865,385.425,389.03,388.23,388.64,378.38,375.38,374.7,375.56,342.46,L7
2000-03-14 21:58:11+00:00,,,,,,,426.57,,396.12,,,383.07,408.4,388.61,396.82,393.04,388.05,398.33,400.82,398.55,,372.57,376.56,375.35,374.61,368.55,381.69000000000005,377.95,385.41499999999996,397.10999999999996,378.71000000000004,376.61,396.3233333333333,401.235,380.28,398.6,388.8,387.2,383.275,375.56,355.075,L7
2000-07-11 22:03:17+00:00,,,,,,,426.57,,,,,,,388.61,,,,,,,,368.5,,,,,,,,414.72,366.175,,418.12,413.44,372.33,408.56,386.44000000000005,399.02,391.85,339.36,367.69,L7
2000-07-20 21:56:59+00:00,,,,,,,426.57,,,,,,,388.61,,,,,,,,368.5,,,,,,,,414.72,366.175,,418.12,413.44,372.33,408.56,386.44000000000005,399.02,368.86,333.21000000000004,348.885,L7
2000-08-12 22:02:54+00:00,,,,384.63,,,426.57,,,,,,,388.61,,,354.82,,,,,368.5,,,,,,,,414.72,366.175,,418.12,413.44,372.33,408.56,386.44000000000005,399.02,365.7166666666667,333.21000000000004,348.885,L7
2000-09-13 22:02:26+00:00,,,,384.63,,,,,,,,,,,,,354.82,,,,,,,,,,,,,,349.49,,,,,,373.66,,352.65000000000003,333.21000000000004,341.365,L7
2001-01-03 22:02:12+00:00,,,,384.63,,,,,,,395.0,391.98,391.17,383.16,371.56,360.91,357.03999999999996,,,,,,,355.8,358.89,356.4,356.85,,,,349.49,,,,,,373.66,,352.65000000000003,339.1466666666667,341.365,L7
2001-02-04 22:02:14+00:00,,421.76,427.07,404.53,418.34,417.26,424.38,419.43,415.72,400.62,395.41999999999996,392.83500000000004,390.20500000000004,384.45500000000004,375.425,361.93,357.03666666666663,364.79,364.48,362.28,353.3,345.45,347.18,352.045,355.18,353.16499999999996,355.37,352.19,355.55,357.28,353.37,353.84,359.32,,356.59,352.65,,,359.43,351.02,352.65,L7
