dates,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026
1999-08-26 22:04:44+00:00,,,,,,,,,,,,,370.12,378.6,,,,,,,350.97,341.87,346.5,358.64,372.89,360.01,344.25
1999-09-27 22:04:48+00:00,,374.45,309.57,,,291.55,301.41,308.69,304.3,295.33,344.88,345.61,365.26,366.05,,315.82,,327.21,,,337.86,329.225,340.22,349.41999999999996,364.105,347.67499999999995,332.935
1999-10-22 21:58:28+00:00,,374.45,320.255,358.85,,272.435,286.235,308.69,304.3,295.33,331.255,331.36,365.26,339.1466666666667,259.56,308.385,303.8,313.53,,,337.86,306.8066666666667,318.4266666666667,349.41999999999996,364.105,347.67499999999995,332.935
2000-03-14 21:58:11+00:00,,354.825,324.00666666666666,345.595,,272.435,286.235,321.99,315.445,307.05499999999995,325.6133333333333,325.86333333333334,344.845,319.16,275.78999999999996,299.99666666666667,295.33000000000004,302.8533333333333,,,309.70500000000004,291.45,303.52,340.2,355.32,317.895,321.62
2000-03-30 21:58:09+00:00,,335.2,331.225,345.595,,255.605,260.46000000000004,335.29,326.59,318.78,315.97999999999996,315.99,329.29,297.24666666666667,272.59,292.08500000000004,278.33666666666664,290.67499999999995,,,294.66,273.3233333333333,283.46666666666664,,,280.63,
2000-04-15 21:57:55+00:00,,337.875,318.65000000000003,344.19,317.07,255.605,260.46000000000004,335.29,326.59,318.78,310.3433333333333,312.09999999999997,328.62,302.16499999999996,277.9075,289.43333333333334,279.555,283.24666666666667,,,289.57500000000005,277.935,283.46666666666664,392.37,,280.63,
2000-08-12 22:02:54+00:00,,337.875,312.505,336.85999999999996,317.07,257.89,249.86,348.855,326.59,318.78,306.7,309.59499999999997,342.33,307.7733333333333,284.02333333333337,283.675,271.47333333333336,274.94500000000005,,,289.57500000000005,283.25666666666666,287.78,381.03,,280.63,339.64
2000-09-13 22:02:26+00:00,,340.55,293.5,341.38,330.04499999999996,257.89,249.86,362.42,361.27,,299.07,304.32,352.80333333333334,319.08,280.0250000000001,303.645,263.78,268.39,,,284.49,276.985,273.78,372.19666666666666,,260.81,337.53999999999996
2000-10-15 22:01:56+00:00,,,,364.26,343.02,293.31,,362.42,361.27,341.06,,,356.7366666666667,346.36,324.93,313.83500000000004,320.87,,,,,,,362.10999999999996,,,337.53999999999996
2001-01-12 21:56:06+00:00,,,,364.26,343.02,293.31,,362.42,361.27,341.06,298.41,271.96,356.7366666666667,346.36,324.93,313.83500000000004,280.46500000000003,230.44,237.07,246.05,254.87,270.6,296.04,362.10999999999996,309.95,291.57,337.53999999999996
