dates,nzd0128-0000,nzd0128-0001,nzd0128-0002,nzd0128-0003,nzd0128-0004,nzd0128-0005,nzd0128-0006,nzd0128-0007,nzd0128-0008,nzd0128-0009,nzd0128-0010,nzd0128-0011,nzd0128-0012,nzd0128-0013,nzd0128-0014,nzd0128-0015,nzd0128-0016,nzd0128-0017,satname
1999-08-26 22:04:44+00:00,260.66,344.71,348.79,,,335.46,,306.15,332.4,,336.2,356.07,360.49,343.93,350.87,350.35,301.23,,L7
1999-09-20 21:58:32+00:00,264.18,346.41999999999996,345.655,,,335.46,,302.235,326.73,,327.17499999999995,346.45,348.445,339.19,342.08500000000004,340.115,299.795,,L7
1999-09-27 22:04:48+00:00,289.4266666666667,351.59666666666664,348.65333333333336,331.58,,340.01,345.69,309.64,331.15000000000003,339.36,328.4533333333333,348.41333333333336,347.74,341.7366666666667,344.95,341.95666666666665,314.48,337.98,L7
1999-10-22 21:58:28+00:00,301.0425,352.675,349.26,324.505,,337.17,333.59000000000003,308.8375,328.98,330.63,326.8375,346.855,346.825,340.8375,345.14,340.2175,317.6275,335.415,L7
1999-11-14 22:04:42+00:00,308.892,352.675,349.26,328.31666666666666,339.46,337.115,333.93333333333334,311.33599999999996,329.556,332.7366666666667,327.274,346.438,346.938,340.88800000000003,346.136,340.98,321.366,337.3433333333333,L7
2000-03-30 21:58:09+00:00,338.67,362.46500000000003,360.315,336.6766666666667,349.11,339.92,335.19666666666666,326.41333333333336,336.16333333333336,337.08,331.85333333333335,343.475,354.19,347.54999999999995,357.4766666666667,352.25666666666666,343.73333333333335,348.24333333333334,L7
2000-04-15 21:57:55+00:00,342.59250000000003,362.46500000000003,361.98333333333335,335.855,345.44666666666666,345.0325,342.22249999999997,334.5925,342.0575,343.28249999999997,338.555,343.475,362.3025,347.54999999999995,363.2975,359.01,352.0325,356.64750000000004,L7
2000-07-20 21:56:59+00:00,347.095,349.65999999999997,356.9333333333334,333.2933333333333,348.43999999999994,355.845,344.11000000000007,334.46,343.29,338.31333333333333,341.5933333333334,339.27,378.87000000000006,352.735,367.24,363.07666666666665,372.37000000000006,356.11000000000007,L7
2000-08-12 22:02:54+00:00,347.095,346.84999999999997,353.08000000000004,332.125,341.8733333333333,341.0833333333333,338.7225,327.88,337.34250000000003,336.385,337.57500000000005,343.365,369.2633333333333,351.8333333333333,364.09250000000003,359.07,360.8633333333334,355.78000000000003,L7
2001-02-13 21:56:03+00:00,334.85,350.6,345.81,337.23,336.5,333.66,329.62,314.67,326.66,337.55,327.02,345.7,346.73,345.12,351.94,340.72,334.72,339.69,L7
2001-03-24 22:01:59+00:00,332.795,353.295,347.38,333.125,338.45,334.515,333.935,314.32500000000005,330.70000000000005,337.11,327.26,346.725,346.26,344.03999999999996,352.15,344.06,340.62,337.33500000000004,L7
2001-05-20 21:55:29+00:00,332.795,347.9066666666667,343.9766666666667,333.125,338.45,334.515,325.51,309.6933333333333,322.85333333333335,323.73,324.38,346.725,346.26,339.6066666666666,348.7733333333333,344.06,340.62,337.33500000000004,L7
2001-09-09 21:54:12+00:00,312.8,348.6266666666667,344.42666666666673,332.65,340.30499999999995,338.19,327.77333333333337,310.06333333333333,322.7066666666667,323.90333333333336,325.67,349.245,345.58000000000004,340.07,347.4833333333333,348.195,342.92999999999995,333.07500000000005,L7
2001-09-25 21:54:04+00:00,292.39,346.99666666666667,345.7066666666667,336.835,344.42999999999995,339.01,327.27333333333337,310.41,317.56,324.0,328.32666666666665,351.17,350.5,342.17333333333335,350.4166666666667,346.77,331.455,321.405,L7
2001-10-02 22:00:04+00:00,292.39,350.3125,348.225,338.99666666666667,344.42999999999995,333.08666666666664,327.27333333333337,312.1,322.09250000000003,327.4125,329.23,350.51,350.6266666666667,343.2475,351.1725,348.53000000000003,335.4066666666667,321.405,L7
2001-10-11 21:53:46+00:00,292.39,350.3125,348.225,345.155,350.91,340.7875,335.4325,320.468,329.25200000000007,333.338,333.688,356.4975,358.925,343.2475,358.256,348.53000000000003,344.205,321.405,L7
2002-01-06 22:00:31+00:00,288.1766666666667,354.70666666666665,351.91,345.155,350.91,340.7875,344.3566666666666,317.48,327.456,342.43,332.026,356.4975,358.925,342.22499999999997,362.315,343.2425,344.205,321.7033333333333,L7
2002-01-22 22:00:40+00:00,286.105,354.70666666666665,351.91,345.155,350.91,340.7875,344.3566666666666,314.1466666666667,324.0,342.43,328.43,356.4975,358.925,338.592,362.315,343.2425,344.205,320.85,L7
2002-03-27 22:00:37+00:00,279.82000000000005,350.185,357.39,351.19666666666666,346.895,342.56500000000005,341.525,310.402,328.278,345.7866666666667,327.756,358.8533333333333,362.7366666666667,336.6475,366.98,344.96333333333337,354.35999999999996,332.60666666666674,L7
2002-04-28 22:00:38+00:00,281.0833333333333,347.82,355.21500000000003,339.97,333.55,336.14,330.97,300.58500000000004,319.24,339.63,320.405,351.485,351.125,337.0275,357.20000000000005,344.47666666666663,347.71500000000003,338.74,L7
2002-05-23 21:54:18+00:00,278.02750000000003,349.52,353.8966666666667,349.4433333333333,340.67333333333335,342.325,339.13,308.872,326.446,342.92,326.03,359.09666666666664,358.72333333333336,343.406,363.26666666666665,351.875,358.8233333333333,338.74,L7
2002-06-15 22:00:19+00:00,278.02750000000003,349.52,353.8966666666667,349.4433333333333,340.67333333333335,342.325,333.0825,307.96999999999997,323.1716666666667,333.9125,324.18,353.7175,347.63,343.81,354.5175,347.584,358.8233333333333,338.74,L7
2002-06-24 21:54:04+00:00,278.02750000000003,346.56,351.3025,349.4433333333333,336.945,328.8833333333333,331.86199999999997,308.52,322.57142857142856,333.052,323.9057142857143,353.144,348.366,344.84857142857146,355.87600000000003,348.6666666666667,356.4,342.79,L7
2002-07-17 22:00:08+00:00,277.4533333333334,344.632,347.474,349.4433333333333,336.945,328.8833333333333,328.74833333333333,310.14285714285717,324.61,328.45166666666665,324.8442857142857,350.7833333333333,348.366,347.2757142857143,355.21000000000004,349.88333333333327,344.52,347.134,L7
2002-08-18 21:59:57+00:00,274.4866666666667,347.27666666666664,349.2633333333333,345.1525,337.32399999999996,330.455,331.8985714285714,313.7557142857143,328.99142857142857,330.48,329.0385714285714,351.11285714285714,352.15333333333336,351.9114285714286,355.21000000000004,352.65,344.52,354.34499999999997,L7
2002-08-27 21:53:36+00:00,274.405,347.98285714285714,348.3728571428572,343.398,334.75666666666666,331.23400000000004,330.31375,313.79875,327.94875,329.945,328.67625,350.67,348.69571428571425,351.40375,355.38714285714286,351.71625,339.01500000000004,349.77,L7
2002-09-12 21:53:31+00:00,277.79200000000003,349.01125,348.5525,342.6716666666666,335.88142857142856,332.4683333333333,331.6411111111111,314.80333333333334,327.7266666666667,330.71444444444444,328.68,350.13222222222225,348.84375,351.07444444444445,355.06375,351.6933333333333,339.3071428571429,349.10999999999996,L7
2002-09-19 21:59:35+00:00,283.875,349.4411111111111,348.2688888888889,342.00714285714287,336.35125,332.9742857142857,331.441,315.415,327.875,330.441,328.319,349.902,348.9588888888889,350.825,354.8833333333333,351.28999999999996,338.46,348.1271428571428,L7
2002-10-14 21:53:19+00:00,283.875,350.6075,350.0433333333333,345.3285714285715,340.9,337.05625,332.36333333333334,317.3577777777778,329.78499999999997,332.175,330.429,349.5677777777778,348.39,350.9822222222222,357.9222222222222,354.05499999999995,336.92999999999995,351.05,L7
