dates,satname,nzd0132-0000,nzd0132-0001,nzd0132-0002,nzd0132-0010,nzd0132-0011,nzd0132-0012,nzd0132-0013,nzd0132-0014,nzd0132-0015,nzd0132-0044,nzd0132-0045,nzd0132-0046,nzd0132-0047,nzd0132-0048,nzd0132-0049,nzd0132-0050,nzd0132-0051,nzd0132-0052,nzd0132-0053,nzd0132-0054,nzd0132-0055,nzd0132-0056,nzd0132-0057,nzd0132-0064,nzd0132-0065,nzd0132-0066,nzd0132-0067,nzd0132-0087,nzd0132-0088,nzd0132-0089,nzd0132-0090,nzd0132-0091,nzd0132-0123,nzd0132-0124,nzd0132-0125,nzd0132-0126,nzd0132-0127,nzd0132-0128,nzd0132-0129,nzd0132-0159,nzd0132-0160,nzd0132-0161,nzd0132-0162,nzd0132-0163,nzd0132-0164,nzd0132-0173,nzd0132-0174,nzd0132-0181,nzd0132-0182,nzd0132-0183,nzd0132-0184,nzd0132-0185,nzd0132-0186,nzd0132-0187,nzd0132-0188,nzd0132-0189,nzd0132-0190,nzd0132-0191,nzd0132-0192,nzd0132-0193,nzd0132-0194,nzd0132-0195,nzd0132-0196,nzd0132-0020,nzd0132-0021,nzd0132-0022,nzd0132-0033,nzd0132-0034,nzd0132-0035,nzd0132-0036,nzd0132-0037,nzd0132-0058,nzd0132-0059,nzd0132-0060,nzd0132-0061,nzd0132-0062,nzd0132-0069,nzd0132-0070,nzd0132-0071,nzd0132-0072,nzd0132-0073,nzd0132-0074,nzd0132-0095,nzd0132-0096,nzd0132-0097,nzd0132-0098,nzd0132-0101,nzd0132-0102,nzd0132-0103,nzd0132-0131,nzd0132-0132,nzd0132-0175,nzd0132-0178,nzd0132-0179,nzd0132-0180,nzd0132-0206,nzd0132-0207,nzd0132-0208,nzd0132-0209,nzd0132-0003,nzd0132-0004,nzd0132-0104,nzd0132-0113,nzd0132-0114,nzd0132-0149,nzd0132-0150,nzd0132-0151,nzd0132-0165,nzd0132-0166,nzd0132-0171,nzd0132-0172,nzd0132-0018,nzd0132-0019,nzd0132-0027,nzd0132-0028,nzd0132-0029,nzd0132-0038,nzd0132-0039,nzd0132-0040,nzd0132-0068,nzd0132-0075,nzd0132-0081,nzd0132-0082,nzd0132-0083,nzd0132-0120,nzd0132-0121,nzd0132-0122,nzd0132-0134,nzd0132-0135,nzd0132-0136,nzd0132-0137,nzd0132-0142,nzd0132-0143,nzd0132-0144,nzd0132-0145,nzd0132-0146,nzd0132-0147,nzd0132-0076,nzd0132-0077,nzd0132-0078,nzd0132-0079,nzd0132-0080,nzd0132-0084,nzd0132-0085,nzd0132-0086,nzd0132-0107,nzd0132-0108,nzd0132-0109,nzd0132-0110,nzd0132-0111,nzd0132-0155,nzd0132-0156,nzd0132-0157,nzd0132-0158,nzd0132-0112,nzd0132-0116,nzd0132-0117,nzd0132-0118,nzd0132-0119,nzd0132-0138,nzd0132-0139,nzd0132-0140,nzd0132-0148,nzd0132-0152,nzd0132-0153,nzd0132-0176,nzd0132-0030,nzd0132-0031,nzd0132-0032,nzd0132-0133,nzd0132-0141,nzd0132-0167,nzd0132-0168,nzd0132-0169,nzd0132-0170,nzd0132-0177,nzd0132-0197,nzd0132-0005,nzd0132-0006,nzd0132-0007,nzd0132-0008,nzd0132-0009,nzd0132-0016,nzd0132-0017,nzd0132-0023,nzd0132-0041,nzd0132-0130,nzd0132-0198,nzd0132-0204,nzd0132-0205,nzd0132-0210,nzd0132-0211,nzd0132-0282,nzd0132-0283,nzd0132-0115,nzd0132-0024,nzd0132-0025,nzd0132-0026,nzd0132-0043,nzd0132-0106,nzd0132-0154,nzd0132-0063,nzd0132-0212,nzd0132-0213,nzd0132-0214,nzd0132-0215,nzd0132-0216,nzd0132-0217,nzd0132-0042,nzd0132-0200,nzd0132-0201,nzd0132-0202,nzd0132-0199,nzd0132-0099,nzd0132-0100,nzd0132-0218,nzd0132-0219,nzd0132-0092,nzd0132-0093,nzd0132-0094,nzd0132-0105,nzd0132-0261,nzd0132-0262,nzd0132-0263,nzd0132-0264,nzd0132-0249,nzd0132-0250,nzd0132-0251,nzd0132-0252,nzd0132-0221,nzd0132-0222,nzd0132-0223,nzd0132-0224,nzd0132-0225,nzd0132-0226,nzd0132-0227,nzd0132-0234,nzd0132-0235,nzd0132-0220,nzd0132-0239,nzd0132-0240,nzd0132-0241,nzd0132-0242,nzd0132-0228,nzd0132-0229,nzd0132-0230,nzd0132-0258,nzd0132-0259,nzd0132-0260,nzd0132-0278,nzd0132-0279,nzd0132-0280,nzd0132-0281,nzd0132-0284,nzd0132-0296,nzd0132-0297,nzd0132-0299,nzd0132-0300,nzd0132-0301,nzd0132-0302,nzd0132-0255,nzd0132-0256,nzd0132-0257,nzd0132-0236,nzd0132-0237,nzd0132-0238,nzd0132-0287,nzd0132-0288,nzd0132-0289,nzd0132-0267,nzd0132-0268,nzd0132-0269,nzd0132-0270,nzd0132-0271,nzd0132-0272,nzd0132-0273,nzd0132-0285,nzd0132-0286,nzd0132-0231,nzd0132-0232,nzd0132-0274,nzd0132-0276,nzd0132-0277,nzd0132-0309,nzd0132-0243,nzd0132-0244,nzd0132-0245,nzd0132-0246,nzd0132-0247,nzd0132-0290,nzd0132-0293,nzd0132-0294,nzd0132-0295,nzd0132-0248,nzd0132-0233,nzd0132-0253,nzd0132-0254,nzd0132-0265,nzd0132-0275,nzd0132-0266,nzd0132-0291,nzd0132-0298,nzd0132-0303
1999-08-26 22:04:44.971000,L7,,,,,,,,,,331.70,360.20,369.92,359.65,351.58,331.55,,,,,,,,,,405.35,406.22,393.44,362.20,335.82,,,,,,,,,,,,,,,,,358.37,,,341.47,347.19,345.78,298.71,291.80,287.60,282.29,296.91,315.93,235.47,,,354.18,339.65,308.38,,,,,,399.72,387.99,398.02,,,,,,322.99,379.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.61,,,,338.08,,,321.60,368.57,356.91,383.53,,,393.47,,,,,,,,,,,,,,,291.84,308.15,296.00,,,,,,,,305.60,,,,,,,,,,,,,,,303.12,292.54,,,365.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-27 22:04:48.949000,L7,370.32,372.14,323.98,307.63,322.40,316.36,313.09,289.49,279.01,314.77,345.25,358.66,341.23,339.90,356.61,345.78,358.07,360.49,367.27,378.34,361.54,345.24,401.63,342.89,335.26,332.88,344.37,351.48,347.64,327.95,312.97,356.79,317.00,318.35,294.63,287.38,288.77,316.18,315.36,297.86,320.09,255.92,283.71,278.26,266.42,326.72,340.80,284.28,308.54,324.06,304.91,306.00,332.30,312.75,314.15,300.29,276.28,311.28,298.62,351.85,350.57,325.66,237.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01 22:04:37.439000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.41,282.66,303.76,277.21,314.52,304.57,260.30,312.10,310.92,328.86,346.41,321.10,,257.75,327.87,241.59,,,,,,,,,,,,,,,,,,,,356.10,281.74,332.53,279.49,321.07,326.53,262.23,,,,,,,,,,,,,317.91,,,,,,,,,,,,,,,,,,,,338.63,,,,,,,,,,,,,,,,301.23,340.70,410.91,386.75,389.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-17 22:04:35.821000,L7,,,,371.88,314.37,395.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.61,372.07,341.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-24 22:03:46.662000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.39,420.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.83,243.39,263.88,240.46,,,,,,,,,,,,,,,,,,,,,,,,277.92,,,,,419.57,,,,,,,,,,,,,414.33,405.64,376.69,316.03,313.19,305.39,294.05,283.10,264.95,,399.84,424.74,,,,,,,,,,,,352.57,,,,,,,,311.59,,316.65,323.08,,
2000-07-11 22:03:17.779000,L7,,,,,,,,,,,422.49,361.65,363.61,,,,,,,,,,,426.18,357.23,408.17,413.61,,,,,,284.66,359.60,,,,,356.66,,,295.42,307.48,,,,,328.97,348.10,302.95,364.19,,,,,244.29,318.63,294.99,276.77,359.48,356.54,,,,348.25,294.29,,,,,379.92,,,,,,,,,,,,,,,,,,,,,359.29,308.96,382.02,292.98,312.94,262.39,,300.92,,,,,,,,,,,283.85,,,,,351.89,279.04,427.35,380.71,437.35,405.12,,,,,,,,,,,,,,,,,,,,,,,,,,,317.03,296.80,,,,335.16,308.36,,,322.04,353.90,362.82,,,,,,,,346.23,,384.16,297.41,,,,,333.91,365.91,301.27,338.56,,,415.66,407.00,,,,379.13,370.68,341.33,321.99,340.34,327.43,298.17,290.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-13 22:02:26.190000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.51,396.37,,,,,,,,,,,,,,,,,,,,,,309.47,298.17,,,,,,,,,,,,,249.78,268.32,289.90,273.22,329.16,335.94,336.11,,,,,,,,319.96,321.78,,,,,397.96,333.68,376.69,414.45,367.58,,,,,,,,,,,,,309.75,,,,,,,,324.58,326.51,357.50,369.66,319.83,357.26,323.94,405.16,419.61,374.87,,,,,,,,,,,,,,,,,,,
2000-10-15 22:01:56.204000,L7,,413.70,369.61,,319.79,321.99,308.00,337.24,351.95,312.88,345.64,376.11,350.60,412.62,411.92,349.05,388.15,372.80,377.82,366.68,374.62,360.74,,,,,,379.27,372.10,313.03,365.07,356.23,324.48,341.36,325.94,330.54,368.23,,,305.12,340.74,270.47,264.74,,,288.30,301.38,338.21,,,,,,,,,,,,,,,,,,,,,398.70,381.90,314.17,,,388.67,322.26,,,,,,,328.41,,,,,,,,,,274.07,335.16,299.99,316.59,,,,,357.61,348.58,,304.66,343.18,315.60,283.88,339.59,,,,323.45,,,,,,,,,,293.61,355.50,351.90,397.99,,,261.84,308.81,324.34,343.22,341.55,,,,337.74,290.50,316.50,410.23,361.37,339.10,384.33,380.13,284.89,,335.43,,,,,,,282.90,332.66,302.01,317.66,318.37,340.29,298.44,336.08,308.94,300.35,284.27,342.88,326.09,312.49,284.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-03 22:02:12.432000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.66,,,,,,,,269.57,275.14,,,,,,,,,,313.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.40,366.56,341.59,,,,,,,,,,
2001-02-04 22:02:14.384000,L7,,363.70,325.66,308.01,325.97,332.56,326.48,315.45,,323.61,373.06,369.56,378.39,371.38,,,,,,,,,,,,,,,,,,,341.27,280.36,,,,,,,,,,,,339.39,370.97,275.03,315.87,357.94,275.58,359.07,,,,,,,,,,351.72,318.61,363.20,350.74,346.85,,410.45,370.74,382.09,407.01,,381.64,410.13,399.92,,,302.35,418.33,,,,,,,,321.04,335.47,274.62,,,,,,,,,,,338.60,,316.15,366.59,393.51,,,,,,,,305.01,331.27,369.05,357.04,,410.48,403.77,415.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.27,300.74,,,,,,,,,,,,,,282.60,349.02,362.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
