dates,nzd0132-0000,nzd0132-0001,nzd0132-0002,nzd0132-0003,nzd0132-0012,nzd0132-0013,nzd0132-0014,nzd0132-0015,nzd0132-0016,nzd0132-0017,nzd0132-0018,nzd0132-0019,nzd0132-0020,nzd0132-0021,nzd0132-0022,nzd0132-0023,nzd0132-0024,nzd0132-0025,nzd0132-0026,nzd0132-0027,nzd0132-0028,nzd0132-0029,nzd0132-0030,nzd0132-0031,nzd0132-0032,nzd0132-0033,nzd0132-0034,nzd0132-0035,nzd0132-0036,nzd0132-0037,nzd0132-0038,nzd0132-0039,nzd0132-0040,nzd0132-0041,nzd0132-0042,nzd0132-0043,nzd0132-0044,nzd0132-0045,nzd0132-0046,nzd0132-0047,nzd0132-0048,nzd0132-0049,nzd0132-0050,nzd0132-0051,nzd0132-0055,nzd0132-0056,nzd0132-0060,nzd0132-0061,nzd0132-0062,nzd0132-0064,nzd0132-0065,nzd0132-0066,nzd0132-0068,nzd0132-0069,nzd0132-0070,nzd0132-0071,nzd0132-0072,nzd0132-0073,nzd0132-0074,nzd0132-0075,nzd0132-0076,nzd0132-0077,nzd0132-0078,nzd0132-0079,nzd0132-0080,nzd0132-0081,nzd0132-0082,nzd0132-0083,nzd0132-0084,nzd0132-0085,nzd0132-0086,nzd0132-0087,nzd0132-0088,nzd0132-0089,nzd0132-0090,nzd0132-0091,nzd0132-0092,nzd0132-0093,nzd0132-0101,nzd0132-0102,nzd0132-0103,nzd0132-0104,nzd0132-0107,nzd0132-0108,nzd0132-0109,nzd0132-0110,nzd0132-0111,nzd0132-0112,nzd0132-0113,nzd0132-0114,nzd0132-0115,nzd0132-0116,nzd0132-0117,nzd0132-0118,nzd0132-0119,nzd0132-0120,nzd0132-0121,nzd0132-0122,nzd0132-0123,nzd0132-0124,nzd0132-0125,nzd0132-0126,nzd0132-0127,nzd0132-0128,nzd0132-0133,nzd0132-0134,nzd0132-0135,nzd0132-0136,nzd0132-0137,nzd0132-0138,nzd0132-0139,nzd0132-0140,nzd0132-0141,nzd0132-0142,nzd0132-0143,nzd0132-0144,nzd0132-0145,nzd0132-0146,nzd0132-0147,nzd0132-0148,nzd0132-0149,nzd0132-0150,nzd0132-0151,nzd0132-0152,nzd0132-0153,nzd0132-0154,nzd0132-0155,nzd0132-0156,nzd0132-0157,nzd0132-0158,nzd0132-0159,nzd0132-0160,nzd0132-0161,nzd0132-0162,nzd0132-0163,nzd0132-0164,nzd0132-0165,nzd0132-0166,nzd0132-0167,nzd0132-0168,nzd0132-0169,nzd0132-0170,nzd0132-0171,nzd0132-0172,nzd0132-0173,nzd0132-0179,nzd0132-0180,nzd0132-0181,nzd0132-0182,nzd0132-0183,nzd0132-0184,nzd0132-0185,nzd0132-0186,nzd0132-0187,nzd0132-0188,nzd0132-0189,nzd0132-0190,nzd0132-0191,nzd0132-0192,nzd0132-0193,nzd0132-0194,nzd0132-0195,nzd0132-0196,nzd0132-0004,nzd0132-0005,nzd0132-0006,nzd0132-0007,nzd0132-0008,nzd0132-0009,nzd0132-0010,nzd0132-0011,nzd0132-0052,nzd0132-0053,nzd0132-0054,nzd0132-0057,nzd0132-0058,nzd0132-0059,nzd0132-0063,nzd0132-0067,nzd0132-0094,nzd0132-0095,nzd0132-0097,nzd0132-0098,nzd0132-0099,nzd0132-0100,nzd0132-0105,nzd0132-0106,nzd0132-0129,nzd0132-0130,nzd0132-0131,nzd0132-0132,nzd0132-0174,nzd0132-0175,nzd0132-0176,nzd0132-0177,nzd0132-0178,nzd0132-0197,nzd0132-0096,nzd0132-0270,nzd0132-0271,nzd0132-0282,nzd0132-0283,nzd0132-0284,nzd0132-0275,nzd0132-0276,nzd0132-0277,nzd0132-0198,nzd0132-0199,nzd0132-0200,nzd0132-0201,nzd0132-0202,nzd0132-0203,nzd0132-0204,nzd0132-0205,nzd0132-0206,nzd0132-0210,nzd0132-0211,nzd0132-0212,nzd0132-0213,nzd0132-0214,nzd0132-0215,nzd0132-0216,nzd0132-0217,nzd0132-0218,nzd0132-0219,nzd0132-0220,nzd0132-0221,nzd0132-0222,nzd0132-0223,nzd0132-0224,nzd0132-0225,nzd0132-0226,nzd0132-0227,nzd0132-0228,nzd0132-0229,nzd0132-0230,nzd0132-0231,nzd0132-0232,nzd0132-0233,nzd0132-0234,nzd0132-0235,nzd0132-0236,nzd0132-0237,nzd0132-0238,nzd0132-0239,nzd0132-0207,nzd0132-0208,nzd0132-0209,nzd0132-0241,nzd0132-0242,nzd0132-0266,nzd0132-0267,nzd0132-0273,nzd0132-0274,nzd0132-0278,nzd0132-0279,nzd0132-0280,nzd0132-0306,nzd0132-0307,nzd0132-0308,nzd0132-0309,nzd0132-0250,nzd0132-0251,nzd0132-0292,nzd0132-0293,nzd0132-0294,nzd0132-0244,nzd0132-0245,nzd0132-0246,nzd0132-0260,nzd0132-0261,nzd0132-0262,nzd0132-0263,nzd0132-0264,nzd0132-0299,nzd0132-0300,nzd0132-0240,nzd0132-0243,nzd0132-0247,nzd0132-0248,nzd0132-0249,nzd0132-0252,nzd0132-0253,nzd0132-0254,nzd0132-0255,nzd0132-0256,nzd0132-0257,nzd0132-0272,nzd0132-0281,nzd0132-0285,nzd0132-0286,nzd0132-0287,nzd0132-0288,nzd0132-0289,nzd0132-0290,nzd0132-0291,nzd0132-0295,nzd0132-0296,nzd0132-0297,nzd0132-0298,nzd0132-0301,nzd0132-0302,nzd0132-0258,nzd0132-0259,nzd0132-0265,nzd0132-0268,nzd0132-0269,nzd0132-0303,nzd0132-0304,nzd0132-0305,satname
1999-08-26 22:04:44.971,,,465.8,462.92,462.34,461.42,480.8,,,,350.06,,,360.92,,,466.76,381.45,403.38,416.25,,,414.46,,398.68,,,,,,,,,,,,,464.26,476.12,489.31,504.75,,,,,,,,,418.68,,,,,,,,,,,,,,,,498.23,,,,,,358.72,326.97,321.92,,,478.41,475.33,487.42,428.89,505.99,,370.9,,,,,512.78,485.34,472.28,,,517.55,523.54,,,492.75,468.36,,,,506.48,497.3,533.5,521.07,523.64,,,539.72,280.28,,,,220.86,,,287.63,,,492.09,,501.66,,,,,,,,,,,,,,,,,,,,,,,,462.87,507.52,,,,,,,,,,327.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-27 22:04:48.949,416.53,,478.14,479.82000000000005,465.42999999999995,469.95500000000004,486.975,491.45,420.87,404.13,362.78,378.01,,365.55,370.72,416.67,474.27,398.96000000000004,412.485,421.44,424.25,427.61,433.565,480.26,407.70000000000005,,505.51,508.04,506.77,490.8,500.31,502.81,506.95,503.37,492.81,478.25,501.02,469.105,480.56,500.33000000000004,506.04499999999996,518.19,498.97,514.99,505.37,,,503.81,502.05,437.985,529.57,522.53,488.22,535.08,532.34,504.97,537.35,,241.35,,291.73,278.92,,,,499.08000000000004,,,,,,339.89,309.745,314.855,,489.98,490.095,491.48,492.665,441.79499999999996,510.31,516.17,377.435,510.97,445.47,,523.76,525.05,500.735,489.2,521.84,535.94,522.75,528.125,520.01,544.18,501.025,482.115,532.57,526.41,,516.475,507.91499999999996,536.62,524.06,532.1949999999999,534.07,540.12,545.75,270.38,243.41,274.47,,229.085,,,276.24,,,495.365,500.28,510.485,,,,507.79,,,,,,,,,,,,,,,,,,,,474.28,512.175,,,,,,,,,,308.745,,,,,,,415.63,441.38,454.86,367.0,,420.09,447.12,463.37,519.47,488.91,473.3,,378.62,508.31,,457.82,,,506.48,426.54,,486.82,465.41,,543.54,522.02,532.49,514.44,,,,528.25,497.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-01-01 22:04:37.439,416.53,,478.14,479.82000000000005,465.28999999999996,470.67,487.74666666666667,487.44,424.645,402.97,376.01,387.225,394.87,365.55,370.72,416.67,474.27,398.96000000000004,412.485,421.44,424.25,427.67,441.00666666666666,479.37,411.26,429.63,504.16499999999996,504.47,502.775,490.08000000000004,501.35,507.325,503.405,494.425,480.88,462.77,495.705,479.75333333333333,486.56,503.68,511.34666666666664,518.185,498.97,514.99,498.39,452.75,,503.81,502.05,446.7366666666667,525.955,528.71,499.76,535.105,533.855,508.665,531.155,523.03,230.315,,293.78,296.925,,,,499.08000000000004,,,529.99,,526.89,339.89,309.745,314.855,491.95,497.95000000000005,490.095,491.48,498.13000000000005,444.19666666666666,511.33,515.9649999999999,377.435,520.56,447.26,,521.905,526.0,503.05999999999995,494.00333333333333,522.325,529.84,523.8033333333333,531.6066666666667,529.99,542.73,498.33,488.51666666666665,531.675,530.44,,520.4266666666667,513.0133333333333,538.9766666666667,525.1933333333333,532.5466666666666,530.695,539.7,545.75,270.38,243.41,274.47,,229.085,,524.2,276.24,536.86,534.03,498.0833333333333,494.135,514.23,518.11,520.17,527.55,504.87,469.41,439.66,479.38,502.46,507.0,530.47,524.05,509.76,515.2,507.87,508.74,514.77,537.47,532.26,452.66,499.8,509.15,520.82,496.52,479.24,511.49666666666667,505.48,514.64,481.61,498.96,538.3,528.57,518.64,518.96,518.71,308.745,493.43,524.31,523.81,493.28,495.83,,415.63,441.38,454.86,367.0,,424.485,448.405,460.985,519.47,488.91,473.3,,382.98,491.425,,461.90999999999997,206.64,181.75,505.93,439.76,498.41,486.71500000000003,466.475,,541.5799999999999,523.535,527.135,511.45000000000005,,472.06,,514.075,492.185,332.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-01-17 22:04:35.821,416.53,,478.14,479.82000000000005,465.28999999999996,470.38,482.48,482.43666666666667,424.1166666666666,400.62000000000006,382.39750000000004,387.225,394.9,361.1333333333334,370.54,413.44,474.27,407.6966666666667,416.71000000000004,424.27,428.945,422.93,445.48,468.31666666666666,414.3125,437.895,501.15000000000003,504.47,481.4666666666667,488.4866666666667,495.82666666666665,508.1566666666667,495.5833333333333,488.99333333333334,474.9666666666667,462.77,492.07,483.1775,488.97249999999997,503.53,509.2125,510.81,485.04,496.03999999999996,497.22333333333336,448.83500000000004,,500.03,485.28,451.5725,501.8233333333333,528.4966666666667,491.5733333333333,533.71,533.97,512.02,528.14,522.505,230.315,521.34,368.42333333333335,296.925,529.73,509.85,,504.4566666666667,547.11,522.68,521.27,521.24,522.53,339.89,309.745,314.855,494.58,504.58666666666664,490.095,491.48,498.13000000000005,440.925,510.89,513.0766666666667,377.435,528.3066666666667,455.25666666666666,,523.4466666666666,523.1525,502.5775,496.7125,521.1533333333333,524.5566666666667,525.3025,532.84,527.41,535.81,501.65250000000003,492.125,518.67,530.44,,524.5075,513.6075,538.135,526.5625,532.5466666666666,527.2766666666668,539.7,545.75,270.38,243.41,274.47,,229.085,,526.425,276.24,536.86,539.9,502.41499999999996,490.94,517.61,515.755,510.58,518.595,499.75333333333333,472.04,439.19000000000005,482.07,494.86,497.445,534.5,520.3399999999999,509.41499999999996,519.69,519.335,514.3299999999999,514.165,536.575,528.39,454.64,499.91499999999996,497.505,520.72,488.065,481.8825,513.3225,510.555,516.21,492.405,502.695,542.395,532.08,525.78,522.73,523.19,308.745,497.845,525.2349999999999,524.3,497.19,496.995,455.72,415.63,441.38,454.86,367.0,,424.3333333333333,448.405,460.985,510.005,489.14,463.365,492.59,382.98,491.3933333333334,,464.5933333333333,211.52499999999998,184.26999999999998,505.93,442.81333333333333,488.795,483.84,466.84666666666664,,536.9266666666666,523.3966666666666,527.135,511.45000000000005,,461.775,477.51,504.6166666666666,493.89000000000004,340.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-24 22:03:46.662,,,,,465.01,470.80499999999995,477.985,477.92999999999995,425.73999999999995,398.86500000000007,402.0150000000001,396.44,394.9,352.3,370.36,410.21,,425.17,425.16,429.93,433.64,420.59,457.39500000000004,462.345,420.92499999999995,437.895,498.97,500.9,468.81500000000005,487.33000000000004,493.58500000000004,510.83000000000004,489.9,481.805,466.0450000000001,447.29,487.595,497.25,497.38499999999993,506.7299999999999,512.38,507.12,471.11,477.09,493.15000000000003,448.83500000000004,,496.25,468.51,465.15999999999997,487.95,531.48,493.25,533.0250000000001,534.7850000000001,515.545,523.5350000000001,522.505,219.28,521.34,406.77,314.93,529.73,509.85,,515.21,547.11,522.68,521.27,521.24,522.53,,,,494.58,511.89,,,509.06,440.05500000000006,511.46999999999997,511.53000000000003,,536.975,460.15,,523.29,521.2550000000001,504.41999999999996,504.22499999999997,520.81,518.865,527.855,537.5550000000001,531.11,531.625,502.2800000000001,502.135,511.71999999999997,534.47,,532.5400000000001,519.3,539.65,529.065,533.25,523.8800000000001,539.28,,,,,,,,526.425,,536.86,539.9,509.4649999999999,486.27,524.735,515.755,510.58,518.595,495.735,472.04,439.19000000000005,482.07,494.86,497.445,534.5,520.3399999999999,509.41499999999996,519.69,519.335,514.3299999999999,514.165,536.575,528.39,454.64,499.91499999999996,497.505,520.72,488.065,489.485,514.47,510.555,516.21,492.405,502.695,542.395,532.08,525.78,522.73,523.19,,497.845,525.2349999999999,524.3,497.19,496.995,455.72,,,,,,426.45500000000004,449.69,458.6,500.54,489.37,453.43,492.59,387.34,482.93500000000006,,467.98,211.52499999999998,184.26999999999998,505.38,450.95000000000005,488.795,482.35,467.56499999999994,,533.62,524.085,521.78,508.46,,461.775,477.51,492.79999999999995,491.88500000000005,340.155,,298.07,,444.29,,,546.1,507.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.03,337.06,,,,518.38,,,506.74,430.54,,,,,,,,322.27,324.56,558.01,530.47,,516.76,504.94,,,,,,,296.59,,,558.14,519.02,506.21,,354.42,334.78,,,,,,,496.97,,,,,,,,,,500.59,,,387.2,,,367.51,,,,,,,,,387.74,320.73,316.57,315.87,,,,L7
2000-07-11 22:03:17.779,,,,,,469.51,466.68,472.43,423.06,395.92,401.56,,394.93,352.3,370.36,410.21,,425.17,425.16,429.93,433.64,413.45,458.9,446.21,423.47,446.16,495.12,,438.85,485.3,484.78,509.82,479.94,478.13,463.14,,484.8,493.45,496.21,503.08,502.81,496.06,471.11,477.09,494.89,444.92,,496.25,468.51,466.08,453.56,528.07,475.2,530.92,534.2,518.73,522.11,521.98,,521.34,517.71,,529.73,509.85,,515.21,547.11,522.68,512.55,521.24,518.17,,,,497.21,517.86,,,,431.11,509.57,507.3,,543.8,471.25,,526.53,514.61,501.13,504.84,518.81,513.99,529.8,536.54,522.25,521.97,511.62,502.95,492.66,,,536.75,515.39,535.61,530.67,,520.44,,,,,,,,,528.65,,,545.77,515.41,484.55,527.75,513.4,500.99,509.64,489.52,474.67,438.72,484.76,487.26,487.89,538.53,516.63,509.07,524.18,530.8,519.92,513.56,535.68,524.52,456.62,500.03,485.86,520.62,479.61,489.81,518.8,515.63,517.78,503.2,506.43,546.49,535.59,532.92,526.5,527.67,,502.26,526.16,524.79,501.1,498.16,455.72,,,,,,424.03,,,500.54,489.37,453.43,492.59,,491.33,,469.96,216.41,186.79,,448.92,479.18,478.09,467.59,,527.62,523.12,,,,451.49,477.51,485.7,497.3,348.09,,301.27,,446.84000000000003,,,540.24,516.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.03,337.06,,,,518.38,,,506.74,430.54,,,,,,,,333.015,330.01,555.995,536.145,,503.155,490.2,,,,,502.11,489.01,294.855,243.07,,553.98,525.105,505.765,397.8,362.735,342.28999999999996,374.74,354.7,,,,,497.645,,,,,,,434.59,427.96,,488.04499999999996,,,387.2,,,362.33,,,,,,,,421.7,387.425,334.275,319.245,307.425,,,,L7
2000-09-13 22:02:26.190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.41,,522.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.27,,446.84000000000003,,,540.24,516.7,,,,,,,,416.94,,,,444.73,,511.57,,,,209.97,,,294.52,,,,,,327.3,,350.37,324.27,,367.6,,509.55,,,493.3,412.99,,337.59,,,,,296.49,333.015,330.01,555.995,536.145,,503.155,490.2,,,,382.98,502.11,507.865,293.68,236.68,,553.98,525.105,505.765,397.8,362.735,342.28999999999996,374.74,354.7,,,,,497.645,,,,,,,434.59,427.96,,488.04499999999996,,369.7,379.42499999999995,,,362.33,,,,,,,,421.7,387.425,334.275,319.245,307.425,,,,L7
2000-10-15 22:01:56.204,,420.45,511.76,496.8,458.38,466.9,492.34,488.4,421.51,404.71,424.54,397.58,,352.98,375.21,,,,,,,,,,,477.51,500.49,492.3,401.09,392.87,497.89,502.83,507.6,499.18,483.05,479.92,498.77,334.42,491.46,507.49,,518.03,498.92,508.59,502.13,,,492.52,498.17,456.58,443.73,,,,,509.85,510.06,517.8,,509.57,516.94,,528.93,485.61,,480.63,519.66,533.46,510.36,520.04,508.54,321.46,,,478.47,495.58,514.01,518.61,490.33,468.96,518.44,518.53,,521.66,450.9,,531.49,532.2,506.27,503.27,528.01,497.47,524.51,532.29,521.62,539.36,501.28,501.19,,532.05,,530.35,519.71,535.91,527.09,530.04,,,,281.41,277.68,297.22,307.83,268.95,,,,536.35,518.69,492.45,480.86,520.89,509.5,514.55,520.97,496.32,472.54,446.77,485.15,502.81,488.5,,,501.69,513.26,513.87,,506.29,531.75,,463.62,,515.66,514.87,495.71,492.45,,507.87,514.79,522.9,491.65,537.15,531.28,,,,,,,,,,447.97,425.92,441.79,453.88,372.32,,427.51,447.57,465.32,512.6,499.41,482.83,500.83,,,,441.09,,,,429.58,499.04,480.99,465.93,,541.98,526.31,512.61,508.52,517.46,477.11,507.9,495.05,486.64,380.32,,301.27,,446.84000000000003,,,540.24,516.7,,,,,,,,416.94,,,,444.73,,511.57,,,,209.97,,,294.52,,,,,,327.3,,350.37,324.27,,367.6,,509.55,,,493.3,412.99,,337.59,,,,,296.49,333.015,330.01,555.995,536.145,,503.155,490.2,,,,382.98,502.11,507.865,293.68,236.68,,553.98,525.105,505.765,397.8,362.735,342.28999999999996,374.74,354.7,,,,,497.645,,,,,,,434.59,427.96,,488.04499999999996,,369.7,379.42499999999995,,,362.33,,,,,,,,421.7,387.425,334.275,319.245,307.425,,,,L7
2001-01-03 22:02:12.432,,420.45,530.4649999999999,515.105,458.38,466.9,492.34,488.4,421.51,404.71,424.54,397.58,,352.98,375.21,,,,,,,,,,,477.51,497.855,479.865,401.09,392.87,497.89,502.83,507.6,499.18,483.05,479.92,498.77,327.20500000000004,491.46,507.49,,518.03,498.92,513.015,502.13,,,492.52,498.17,456.58,443.73,,,,,509.85,510.06,517.8,,509.57,516.94,,528.93,485.61,,489.115,519.66,533.46,510.36,520.04,508.54,321.46,,,478.47,509.63,514.01,502.11999999999995,490.33,468.96,518.44,518.53,,521.66,450.9,,531.49,532.2,506.27,503.27,528.01,497.47,524.51,532.29,521.62,539.36,501.28,501.19,,532.05,,530.35,519.71,535.91,527.09,530.04,,,,281.41,277.68,297.22,326.04999999999995,268.95,,484.8,,536.35,518.69,492.45,452.64,512.01,509.5,514.55,520.97,496.32,472.54,438.335,469.16999999999996,502.81,488.5,,,501.69,513.26,513.87,,506.29,531.75,,463.62,,505.04999999999995,525.24,489.82,492.45,,507.87,514.79,522.9,491.65,537.15,531.28,,,,,,,,,,447.97,434.45500000000004,429.995,453.88,372.01,378.12,427.51,447.57,465.32,516.5600000000001,499.41,482.83,502.71500000000003,,,,441.09,,,,429.58,499.04,480.99,465.93,445.2,541.98,526.31,512.61,508.52,506.0,469.755,507.9,495.05,486.64,380.32,,304.47,,449.39,,,534.38,526.11,,,,,,212.59,,414.635,,,,457.565,395.18,510.79999999999995,,,,204.01999999999998,,,284.495,,,,,,327.3,393.01,336.71,311.48,505.19,381.675,,500.72,,,479.86,395.44,,332.92499999999995,,,,,303.67,343.76,335.46,553.98,541.82,,489.55,483.48,,,,382.98,493.505,507.865,292.225,236.68,,549.82,531.19,505.32,397.8,371.05,349.8,374.74,354.7,,,,,498.32,,,,,,,427.32,411.615,,486.95500000000004,,387.51,371.65,,,357.15,,,,,,297.13,,421.7,387.11,347.82,321.92,298.98,,,,L7
2001-02-04 22:02:14.384,,413.23,530.4649999999999,515.105,458.38,466.9,492.34,488.4,421.51,394.095,424.54,397.58,359.98,352.45500000000004,364.685,,448.9,,400.68,419.4,,376.92,,,,477.51,497.855,479.865,391.65,398.545,497.89,502.83,507.6,499.18,462.355,479.92,498.77,337.94,487.42499999999995,499.045,468.02,502.715,498.92,513.015,502.13,,,492.52,498.17,456.58,443.73,,428.49,,,509.85,510.06,517.8,,500.115,514.595,,528.93,477.43,517.84,480.16333333333336,519.66,533.46,510.36,520.04,508.54,393.125,353.99,,478.47,509.63,514.01,502.11999999999995,484.83,468.96,513.5600000000001,514.085,,511.65,450.9,364.99,518.97,521.215,501.32499999999993,500.115,521.785,479.94000000000005,522.36,532.29,521.62,539.36,483.29499999999996,501.19,,532.05,,530.35,519.71,527.3,525.5250000000001,529.285,,,547.74,281.41,277.68,297.22,316.93,268.95,488.79,498.09000000000003,,536.35,518.69,492.45,456.55333333333334,511.3233333333333,503.45,497.25,520.97,496.32,461.68,438.335,469.16999999999996,502.81,488.5,507.15,,501.69,504.57,513.87,,506.29,530.0450000000001,,463.62,,503.83,525.24,489.82,492.45,486.59,506.48,506.38,485.76000000000005,491.65,537.15,531.28,,,,,,,,,,428.275,434.45500000000004,414.4433333333333,453.88,372.01,378.12,420.155,447.57,465.32,516.5600000000001,499.41,482.83,502.71500000000003,324.89,,,441.09,,,,420.195,483.015,478.71500000000003,458.83500000000004,445.2,523.0550000000001,512.97,512.61,508.52,506.0,469.755,507.9,477.265,486.64,380.32,,,,,,,,,,,,,,212.59,,414.635,,,,457.565,395.18,510.79999999999995,,,,204.01999999999998,,,284.495,,,,,,327.3,393.01,336.71,311.48,505.19,381.675,,500.72,,,479.86,395.44,,332.92499999999995,,,,,303.67,,,,,,,491.5,,,,382.98,484.9,526.72,291.33,230.29,,,,,,,,,,,,,,,,,,,,,420.05,395.27,,498.41,,387.51,371.65,,,,,,,,,297.13,,,,,,,,,,L7
