dates,satname,nzd0144-0000,nzd0144-0001,nzd0144-0002,nzd0144-0003,nzd0144-0004,nzd0144-0005,nzd0144-0008,nzd0144-0007,nzd0144-0006
1999-08-26 22:04:44.971000,L7,294.01,291.55,288.30,297.49,290.46,296.44,,,
1999-09-20 21:58:32.521000,L7,293.86,291.09,,,,,,,
1999-09-27 22:04:48.949000,L7,294.70,284.05,,,,,299.30,,
1999-11-14 22:04:42.286000,L7,302.05,288.74,,,,,,,
1999-12-09 21:58:33.708000,L7,285.73,282.02,,,,,300.03,282.59,
1999-12-09 21:58:57.676000,L7,287.72,282.31,,,,,296.35,,
2000-02-18 22:04:29.218000,L7,308.47,292.42,,,,,291.37,,
2000-03-30 21:58:09.573000,L7,297.05,294.20,,,,,,,
2000-09-13 22:02:26.190000,L7,289.36,,,,,,,,
2000-09-22 21:56:05.544000,L7,,,,373.15,374.58,333.28,,,
2000-09-22 21:56:29.431000,L7,,,,368.03,372.38,331.90,,,402.47
2001-08-24 21:54:24.664000,L7,295.33,,,,,,,,
2001-09-25 21:54:04.740000,L7,296.01,,,,,,,,
2001-10-11 21:53:46.024000,L7,287.02,,,,,,,,
2001-10-11 21:54:09.862000,L7,286.69,,,,,,,,
2002-01-06 22:00:31.992000,L7,,,,,,,301.43,,
2002-02-16 21:54:54.191000,L7,300.37,322.21,304.39,301.18,303.18,321.86,352.78,291.01,313.70
2002-10-14 21:53:43.769000,L7,293.08,,,,,,300.61,,
2002-12-24 22:00:09.147000,L7,,,,,,,297.40,,
2003-01-25 22:00:18.779000,L7,299.38,,,,,,,,
2003-10-25 21:43:40.253000,L5,292.77,292.03,299.17,,,,,,
2003-11-17 21:50:09.452000,L5,291.86,300.70,302.42,289.27,298.15,,,,
2004-09-25 21:50:07.312000,L5,294.60,299.37,304.13,284.59,,,,,
2004-11-19 21:56:55.269000,L5,287.58,289.63,292.80,,,,,,
2005-02-16 21:52:13.954000,L5,,,314.42,306.43,316.26,319.11,333.16,321.48,328.33
2005-03-11 21:58:44.158000,L5,291.28,299.33,301.46,281.79,,,,,
2005-04-12 21:58:55.193000,L5,287.36,292.67,300.14,,,,,,
2006-02-03 21:55:55.062000,L5,297.85,310.70,306.85,286.29,295.67,,,,
2006-02-03 21:56:19.035000,L5,293.24,306.25,302.64,,,,,,
2006-04-08 21:57:12.628000,L5,294.02,296.67,302.10,,,,,,
2006-04-08 21:57:36.601000,L5,289.72,292.42,299.23,,,,,,
2006-12-11 22:06:52.177000,L5,309.14,310.89,306.70,292.73,298.49,,,,
2007-02-13 22:06:47.368000,L5,290.74,304.82,306.78,292.25,,,,,
2007-09-18 21:58:42.182000,L5,292.96,299.41,302.34,284.77,,,,,
2008-12-25 21:50:34.359000,L5,303.33,310.04,305.25,,,,,,
2009-02-02 21:57:22.411000,L5,297.60,300.82,298.72,,,,,,
2009-02-11 21:51:25.536000,L5,295.19,300.00,301.19,,,,,,
2009-11-26 21:56:28.873000,L5,291.43,293.67,303.34,,,,,,
2010-01-13 21:56:25.416000,L5,297.25,297.00,302.49,,,,,,
2010-01-29 21:56:53.427000,L5,292.63,295.14,290.47,,,,,,
2010-12-31 21:55:56.533000,L5,296.89,301.56,299.15,,,,,,
2011-04-13 22:01:34.017000,L5,291.69,295.52,290.93,,,,,,
2013-05-20 22:13:50.559000,L8,307.04,,,,,,,,
2013-08-17 22:08:03.120000,L8,310.91,314.70,313.35,,,,319.52,,
2013-09-02 22:07:40.639000,L8,305.44,,,,,,318.33,,
2013-09-02 22:08:04.598000,L8,304.01,,,,,,317.47,,
2013-11-05 22:07:22.900000,L8,307.48,,,,,,,,
2013-11-12 22:13:32.202000,L8,310.20,,,,,,322.06,,
2013-11-21 22:07:13.797000,L8,306.36,,,,,,,,
2013-11-21 22:07:37.752000,L8,305.30,,,,,,,,
2013-12-14 22:13:21.591000,L8,312.31,,,,,,,,
2014-01-24 22:06:45.554000,L8,313.00,314.41,315.57,,,,,,
2014-01-24 22:07:09.509000,L8,308.99,,,,,,,,
2014-01-31 22:12:52.806000,L8,309.65,,,,,,,,
2014-02-09 22:06:33.299000,L8,311.91,,,,,,,,
2014-02-09 22:06:57.254000,L8,314.52,,,,,,325.63,,
2014-03-20 22:12:13.789000,L8,307.39,,,,,,,,
2014-03-29 22:05:52.007000,L8,327.30,327.21,333.51,323.19,330.36,328.17,357.07,327.54,340.34
2014-03-29 22:06:15.961000,L8,312.84,,,,,,,,
2014-04-05 22:11:58.702000,L8,,,,,,,320.09,,
2014-04-21 22:11:42.175000,L8,304.49,,,,,,,,
2014-04-30 22:05:22.578000,L8,305.47,,,,,,,,
2014-08-20 22:05:42.763000,L8,304.64,,,,,,,,
2014-08-20 22:06:06.726000,L8,304.21,,,,,,,,
2014-10-30 22:11:58.859000,L8,305.29,,,,,,,,
2014-11-08 22:06:16.124000,L8,305.27,,,,,,,,
2015-01-02 22:11:50.958000,L8,311.14,,,,,,,,
2015-01-27 22:05:35.378000,L8,310.63,,,,,,,,
2015-02-28 22:05:24.487000,L8,315.90,317.88,316.44,,,,327.11,,
2015-07-29 22:11:25.856000,L8,306.96,,,,,,,,
2015-08-23 22:05:48.569000,L8,,,,,,,313.96,,
2015-09-24 22:06:01.750000,L8,,,,,,,316.24,,
2016-04-03 22:05:16.685000,L8,,,,,,,326.10,,
2016-09-10 22:05:51.530000,L8,304.07,,,,,,317.33,,
2016-09-10 22:06:15.488000,L8,305.46,,,,,,321.34,,
2017-02-01 22:05:40.248000,L8,312.41,,,,,,,,
2017-03-05 22:05:27.019000,L8,309.95,,,,,,322.06,,
2017-04-06 22:05:10.007000,L8,308.75,,,,,,321.49,,
2017-04-06 22:05:33.966000,L8,307.49,,,,,,320.79,,
2017-12-02 22:05:46.939000,L8,,,,,,,317.22,,
2017-12-02 22:06:10.894000,L8,,,,,,,317.50,,
2018-01-19 22:05:38.704000,L8,308.14,,,,,,,,
2018-01-19 22:06:02.658000,L8,310.13,,,,,,,,
2018-07-05 22:10:54.795000,L8,310.39,315.66,315.94,286.12,,,,,
2018-08-06 22:11:10.291000,L8,304.75,,,,,,,,
2018-08-31 22:05:35.273000,L8,304.98,,,,,,316.69,,
2018-09-07 22:11:24.397000,L8,309.79,,,,,,321.85,,
2018-09-16 22:05:15.874000,L8,,,,,,,316.32,,
2018-09-16 22:05:39.825000,L8,307.06,,,,,,318.32,,
2018-10-02 22:05:47.245000,L8,308.80,313.77,313.01,,,,320.14,,
2018-10-18 22:05:53.709000,L8,305.90,,,,,,317.31,,
2018-11-03 22:05:33.462000,L8,305.76,,,,,,,,
2019-02-14 22:11:33.473000,L8,312.41,,,,,,321.58,,
2019-03-02 22:11:29.304000,L8,308.90,,,,,,317.52,,
2019-04-12 22:05:06.784000,L8,,,,,,,320.55,,
2019-04-12 22:05:30.743000,L8,307.22,,,,,,322.05,,
2019-11-06 22:06:00.727000,L8,309.14,,,,,,321.88,,
2019-11-06 22:06:24.678000,L8,,,,,,,314.73,,
2020-01-09 22:06:13.711000,L8,,,,,,,323.93,,
2020-01-25 22:06:09.569000,L8,310.53,,,,,,318.16,,
2020-02-26 22:05:36.872000,L8,308.87,,,,,,,,
2020-03-13 22:05:54.202000,L8,,,,,,,314.32,,
2020-12-26 22:05:56.607000,L8,,,,,,,318.60,,
2021-02-19 22:11:51.945000,L8,,,,,,,315.91,,
2021-04-01 22:05:24.398000,L8,,,,,,,320.70,,
2021-04-01 22:05:48.357000,L8,,,,,,,323.90,,
2021-04-24 22:11:25.382000,L8,307.03,,,,,,322.21,,
2021-09-24 22:06:20.847000,L8,314.12,319.62,320.65,307.86,314.25,317.35,343.63,323.82,313.12
2022-02-23 22:05:44.132000,L9,310.56,313.46,313.71,,,,,,
2022-07-16 22:12:03.012000,L8,306.51,,,,,,,,
2022-10-05 22:05:58.861000,L9,,,,,,,328.29,,
2022-10-21 22:06:29.540000,L9,,,,,,,317.90,,
2023-02-17 22:12:13.542000,L9,313.13,,,,,,334.72,,
2023-02-18 22:05:50.040000,L8,310.89,,,,,,,,
2023-03-06 22:06:02.229000,L8,309.17,,,,,,314.53,,
2023-03-14 22:05:47.276000,L9,,,,,,,317.72,,
2023-03-14 22:06:11.235000,L9,,,,,,,312.54,,
2023-03-22 22:05:52.850000,L8,,,,,,,319.59,,
2023-03-30 22:05:35.326000,L9,307.38,,,,,,,,
2023-04-07 22:05:40.262000,L8,309.91,,,,,,,,
2023-08-13 22:05:32.097000,L8,307.56,,,,,,,,
2023-08-21 22:05:52.129000,L9,304.58,,,,,,316.34,,
2023-08-28 22:11:44.258000,L9,307.74,,,,,,,,
2023-08-29 22:06:02.142000,L8,308.57,,,,,,,,
2023-11-08 22:11:57.030000,L8,308.43,,,,,,304.98,,
2023-11-09 22:06:12.836000,L9,306.87,,,,,,308.53,,
2023-11-25 22:05:56.641000,L9,309.33,,,,,,,,
2024-01-11 22:11:56.446000,L8,309.52,,,,,,,,
2024-01-12 22:05:54.962000,L9,310.66,,,,,,,,
2024-01-20 22:06:07.304000,L8,,,,,,,319.49,,
2024-01-28 22:05:54.259000,L9,309.85,,,,,,,,
2024-02-04 22:12:07.739000,L9,,,,,,,329.94,,
2024-02-28 22:11:48.245000,L8,,,,,,,330.79,,
2024-03-24 22:05:18.113000,L8,,,,,,,325.13,,
2024-04-08 22:11:47.225000,L9,308.92,,,,,,320.51,,
2024-04-16 22:11:19.307000,L8,,,,,,,326.95,,
2024-09-24 22:05:49.470000,L9,303.64,,,,,,,,
2024-10-26 22:06:12.211000,L9,306.82,,,,,,321.11,,
2024-12-13 22:05:46.012000,L9,,,,,,,330.02,,
2024-12-21 22:06:04.889000,L8,309.35,,,,,,,,
2025-01-06 22:05:42.612000,L8,,,,,,,314.61,,
2025-01-22 22:05:37.651000,L8,308.35,,,,,,,,
2025-01-22 22:06:01.605000,L8,309.57,,,,,,,,
2025-02-07 22:05:41.306000,L8,,,,,,,302.25,,
2025-02-07 22:06:05.260000,L8,,,,,,,301.61,,
2025-02-23 22:05:31.534000,L8,,,,,,,322.07,,
2025-02-23 22:05:55.493000,L8,,,,,,,330.08,,
2025-03-19 22:05:54.855000,L9,,,,,,,314.63,,
2025-03-26 22:11:41.456000,L9,,,,,,,330.43,,
2025-04-12 22:05:36.436000,L8,,,,,,,303.41,,
2025-08-25 22:11:51.919000,L8,,,,,,,321.42,,
2025-09-03 22:05:45.116000,L8,308.49,313.77,312.65,,,,324.23,,
2025-09-18 22:12:01.813000,L9,,,,,,,328.93,,
2025-09-19 22:05:51.369000,L8,,,,,,,320.49,,
2025-09-19 22:06:15.328000,L8,,,,,,,320.33,,
2025-11-06 22:06:19.899000,L8,306.95,,,,,,326.45,,
