dates,nzd0144-0000,nzd0144-0001,nzd0144-0002,nzd0144-0003,nzd0144-0004,nzd0144-0005,nzd0144-0008,nzd0144-0007,nzd0144-0006,satname
1999-08-26 22:04:44+00:00,294.01,291.55,288.3,297.49,290.46,296.44,,,,L7
1999-09-20 21:58:32+00:00,293.935,291.32,288.3,297.49,290.46,296.44,,,,L7
1999-09-27 22:04:48+00:00,294.19,288.8966666666667,288.3,297.49,290.46,296.44,299.3,,,L7
1999-11-14 22:04:42+00:00,296.155,288.8575,288.3,297.49,290.46,296.44,299.3,,,L7
2000-02-18 22:04:29+00:00,298.61800000000005,289.57,288.3,297.49,290.46,296.44,295.33500000000004,,,L7
2000-03-30 21:58:09+00:00,302.52333333333337,291.78666666666663,,,,,291.37,,,L7
2000-09-13 22:02:26+00:00,293.20500000000004,294.2,,,,,,,,L7
2001-10-11 21:53:46+00:00,287.02,,,,,,,,,L7
2002-01-06 22:00:31+00:00,287.02,,,,,,301.43,,,L7
2002-02-16 21:54:54+00:00,293.695,322.21,304.39,301.18,303.18,321.86,301.43,291.01,313.7,L7
2002-12-24 22:00:09+00:00,,,,,,,297.4,,,L7
2003-01-25 22:00:18+00:00,299.38,,,,,,297.4,,,L7
2003-11-17 21:50:09+00:00,291.86,300.7,302.42,289.27,298.15,,,,,L5
2005-03-11 21:58:44+00:00,291.28,299.33,301.46,281.79,,,,,,L5
2005-04-12 21:58:55+00:00,289.32,296.0,300.79999999999995,281.79,,,,,,L5
2006-02-03 21:55:55+00:00,297.85,310.7,306.85,286.29,295.67,,,,,L5
2006-04-08 21:57:36+00:00,293.785,301.56,303.04,286.29,295.67,,,,,L5
2006-12-11 22:06:52+00:00,309.14,310.89,306.7,292.73,298.49,,,,,L5
2007-09-18 21:58:42+00:00,292.96,299.41,302.34,284.77,,,,,,L5
2009-02-02 21:57:22+00:00,297.6,300.82,298.72,,,,,,,L5
2009-02-11 21:51:25+00:00,296.395,300.40999999999997,299.95500000000004,,,,,,,L5
2009-11-26 21:56:28+00:00,291.43,293.67,303.34,,,,,,,L5
2010-01-29 21:56:53+00:00,292.03,294.405,296.905,,,,,,,L5
2011-04-13 22:01:34+00:00,291.69,295.52,290.93,,,,,,,L5
2013-05-20 22:13:50+00:00,307.04,,,,,,,,,L8
2013-09-02 22:07:40+00:00,306.24,,,,,,318.33,,,L8
2013-11-12 22:13:32+00:00,307.56,,,,,,320.195,,,L8
2013-11-21 22:07:37+00:00,306.98,,,,,,320.195,,,L8
2013-12-14 22:13:21+00:00,308.3125,,,,,,320.195,,,L8
2014-01-31 22:12:52+00:00,308.58000000000004,,,,,,320.195,,,L8
2014-02-09 22:06:33+00:00,309.135,,,,,,320.195,,,L8
