dates,nzd0150-0000,nzd0150-0001,nzd0150-0002,nzd0150-0003,nzd0150-0004,nzd0150-0005,nzd0150-0006,nzd0150-0007,nzd0150-0008,nzd0150-0009,nzd0150-0010,nzd0150-0011,nzd0150-0015,nzd0150-0016,nzd0150-0017,nzd0150-0026,nzd0150-0027,nzd0150-0012,nzd0150-0013,nzd0150-0014,nzd0150-0018,nzd0150-0019,nzd0150-0023,nzd0150-0024,nzd0150-0025,nzd0150-0020,nzd0150-0021,nzd0150-0022,satname
1999-10-22 21:58:28+00:00,,362.41,366.93,,,,,,,,,,320.69,313.22,,,,,,,,,,,,,,,L7
2000-03-14 21:58:11+00:00,,362.41,352.21000000000004,,,,,,,,,,320.69,313.22,,,,,287.23,301.33,,,288.11,275.47,269.37,,277.47,255.19,L7
2000-09-06 21:56:22+00:00,,,337.49,,,,,,,,,,,,,,,,291.68,305.40999999999997,,,289.06,275.47,269.37,320.22,280.425,255.67,L7
2001-06-05 21:55:16+00:00,,,,,,337.61,320.66,,,,,,353.54,331.62,325.62,329.34,337.65,,302.28,308.24,287.52,282.46,288.56,277.78,275.3,309.89,285.86,258.27,L7
2001-09-09 21:54:12+00:00,,,,345.48,355.0,330.36,326.515,,,,,,353.54,331.62,309.31,327.42999999999995,332.19,,327.53499999999997,320.19,299.52,289.975,288.56,277.78,289.21500000000003,312.23,285.725,256.325,L7
2001-10-11 21:53:46+00:00,,384.22,,345.48,355.0,330.36,326.515,,,,,,353.54,331.62,309.31,327.42999999999995,332.19,,327.53499999999997,320.19,299.52,289.975,288.56,277.78,289.21500000000003,312.23,285.725,256.325,L7
2002-01-31 21:54:26+00:00,,384.22,334.11,345.48,346.15,336.68,332.37,317.6,278.5,,,309.05,333.75,316.63,285.025,321.315,323.645,,341.94500000000005,330.685,297.96500000000003,314.73,287.92,278.05,288.485,321.435,283.61,254.375,L7
2002-04-05 21:54:25+00:00,,384.22,334.11,,337.3,350.25,,317.6,278.5,288.73,299.01,325.21500000000003,342.3,329.94,311.08000000000004,324.77,330.91999999999996,,330.425,332.82000000000005,316.905,341.735,303.58000000000004,278.05,273.84,329.03499999999997,281.345,254.37,L7
2002-08-27 21:53:36+00:00,,,330.52,353.16,359.31,367.86,344.08,318.23,311.92,296.36,297.97,323.095,322.185,318.745,327.865,327.75,332.125,297.27,315.2,323.17,341.53999999999996,343.34000000000003,330.35,,,332.53499999999997,281.06,,L7
2002-09-12 21:53:31+00:00,,,330.52,353.16,340.66999999999996,356.295,339.585,319.555,315.21000000000004,304.2166666666667,303.1166666666667,321.4433333333333,321.56,317.3566666666666,313.0366666666667,318.68,326.18,304.225,315.59999999999997,323.13000000000005,331.5933333333333,334.94,330.35,285.77,278.22,332.53499999999997,279.27,263.37,L7
2002-10-14 21:53:19+00:00,374.68,388.91,330.52,353.16,357.93,356.295,339.585,319.555,315.21000000000004,311.96000000000004,305.17,311.47499999999997,306.915,304.40999999999997,297.0,311.80499999999995,318.63,304.225,308.525,316.49,322.69,326.65999999999997,341.46,285.77,278.22,335.3,277.48,263.37,L7
2003-03-23 21:54:40+00:00,374.68,388.91,,,392.45,,,,,,,351.97,343.15,344.15,338.84,331.71,334.26,340.26,319.12,308.27,339.55,341.43,350.29,336.56,326.09,330.8,310.68,,L7
2003-08-06 21:42:27+00:00,,,,,,,,,,,,351.97,343.15,344.15,338.84,319.495,320.0,340.26,319.12,308.27,324.71000000000004,330.935,336.29,322.49,314.54999999999995,318.185,291.88,277.13,L5
2003-09-07 21:43:00+00:00,339.85,338.38,347.71,353.91,359.42,368.0,369.19,358.51,349.42,346.46,344.91,349.545,344.755,342.15,335.755,314.03999999999996,313.9066666666667,344.94,331.55,328.575,323.80333333333334,332.44,332.50666666666666,318.62333333333333,308.09666666666664,318.59666666666664,289.33666666666664,278.8,L5
2003-10-25 21:43:40+00:00,339.85,338.38,340.445,346.98,345.295,359.41999999999996,369.19,358.51,349.42,346.46,344.91,347.12,345.0,332.01,325.9,304.0466666666666,304.33,349.62,343.98,350.86,312.6466666666667,324.13999999999993,322.3733333333334,310.21666666666664,299.85333333333335,305.9533333333334,275.31,278.81333333333333,L5
2004-02-14 21:44:33+00:00,334.16,338.38,339.2266666666667,344.34999999999997,345.5,358.1933333333333,369.895,359.06,352.48,355.28999999999996,351.925,347.12,340.4266666666667,329.34999999999997,324.1566666666667,300.84666666666664,303.4633333333333,342.82,338.935,346.70666666666665,314.3933333333333,327.4266666666667,321.7266666666667,311.2233333333333,297.09666666666664,309.70666666666665,284.78000000000003,285.7133333333333,L5
2004-04-02 21:44:54+00:00,334.24,340.3,336.1433333333333,339.56999999999994,342.6933333333333,357.66,196.49,208.17000000000002,225.675,364.12,358.94,,337.3833333333333,325.3566666666666,320.97666666666663,296.99666666666667,304.02,336.02,333.89,344.7633333333333,309.5733333333333,323.88999999999993,320.32,312.8833333333333,302.1033333333333,306.31333333333333,288.17333333333335,289.84666666666664,L5
2004-04-18 21:45:25+00:00,333.8966666666667,339.93,336.1325,340.13999999999993,344.7025,359.855,143.02666666666667,162.99333333333334,187.02333333333334,364.12,358.94,,337.09,327.3275,322.48249999999996,296.8275,303.4175,336.02,333.89,344.34499999999997,309.495,323.34499999999997,317.265,310.0075,299.0375,305.845,288.05,285.56,L5
2004-05-20 21:46:20+00:00,333.8966666666667,339.93,337.1166666666667,340.18499999999995,349.2133333333333,362.86000000000007,143.02666666666667,162.99333333333334,187.02333333333334,303.545,320.49,323.38,329.83,322.0525,317.63250000000005,295.1933333333333,302.71333333333337,330.29499999999996,320.94,336.885,310.6333333333333,325.6166666666666,316.39000000000004,309.56333333333333,298.2633333333334,310.17,294.53333333333336,287.8,L5
2004-07-23 21:48:09+00:00,333.8966666666667,339.93,337.1166666666667,340.18499999999995,349.2133333333333,362.86000000000007,143.02666666666667,162.99333333333334,187.02333333333334,251.07333333333335,275.1666666666667,259.01,333.586,326.088,321.48400000000004,297.915,304.7925,280.06333333333333,266.67,336.885,312.59749999999997,326.79249999999996,317.08500000000004,310.14750000000004,298.7,311.905,294.405,288.29,L5
2004-09-25 21:49:43+00:00,336.61,345.9866666666667,337.28,341.28,355.71000000000004,366.4200000000001,25.843333333333334,63.25,100.82333333333334,173.70333333333335,211.41333333333333,221.04666666666665,334.1625,326.6025,321.6875,302.9175,311.23249999999996,252.08499999999998,233.06,336.37999999999994,316.25,328.28749999999997,322.25,315.64,305.96999999999997,314.4,293.395,289.655,L5
2005-01-15 21:51:45+00:00,,358.1,,,365.4,,17.47,53.465,79.78999999999999,131.76333333333332,163.65333333333334,165.83666666666667,348.61,342.23,336.89,311.88500000000005,331.9866666666666,179.6,158.13,,324.105,333.29999999999995,330.09000000000003,322.655,311.91499999999996,321.9599999999999,295.73499999999996,296.525,L5
2005-03-04 21:52:28+00:00,337.18,350.18,334.1,345.07,359.84,,22.01,57.71333333333333,86.94666666666667,130.21333333333334,156.91333333333333,151.69,339.9,340.11,335.5,307.105,328.3566666666666,157.66,152.83,,326.26,331.615,326.865,317.55,311.52,320.56,293.305,294.555,L5
2005-03-20 21:52:38+00:00,335.505,345.18,334.1,346.45,361.3433333333333,372.71,24.5825,58.147499999999994,87.775,133.3225,159.72750000000002,154.74,339.9,341.88,338.185,304.3933333333334,324.76,154.8,152.585,,322.6766666666667,332.17333333333335,324.7633333333333,312.98,305.6566666666667,316.65000000000003,293.66,292.91333333333336,L5
2005-04-21 21:52:46+00:00,338.01666666666665,343.7,334.1,349.1033333333333,357.3933333333334,371.32,25.1025,58.2475,87.82000000000001,135.4375,157.6825,157.005,343.745,342.73333333333335,334.89000000000004,299.5433333333333,320.46,155.92,149.85,,323.4866666666667,331.20666666666665,320.09666666666664,304.76,297.28333333333336,312.56,297.45666666666665,291.9533333333334,L5
2005-06-08 21:53:09+00:00,338.01666666666665,343.7,334.1,349.1033333333333,357.3933333333334,371.32,25.1025,58.2475,87.82000000000001,135.4375,157.6825,157.005,336.1033333333333,334.88,328.9075,299.5433333333333,320.46,155.92,149.85,329.4,323.4866666666667,331.20666666666665,320.09666666666664,304.76,297.28333333333336,312.56,297.45666666666665,291.9533333333334,L5
