dates,satname,nzd0152-0000,nzd0152-0001,nzd0152-0002,nzd0152-0003,nzd0152-0004,nzd0152-0005,nzd0152-0006,nzd0152-0011,nzd0152-0012,nzd0152-0007,nzd0152-0008,nzd0152-0009,nzd0152-0010
1999-10-22 21:58:28.758000,L7,363.35,353.58,358.47,345.27,342.46,354.07,348.94,266.57,271.79,,,,
1999-12-09 21:58:33.708000,L7,333.46,,,,,,,306.91,302.99,,,,
1999-12-09 21:58:57.676000,L7,336.85,,,,,,,,,,,,
1999-12-25 21:58:52.197000,L7,282.12,257.53,,,,,,,,,,,
2000-01-10 21:58:52.465000,L7,,348.55,314.19,376.34,275.38,293.47,288.14,,,288.08,,,
2000-02-27 21:58:16.566000,L7,346.36,338.65,,,,,,,266.54,,,,
2000-02-27 21:58:40.521000,L7,349.54,340.91,,,,,,256.49,268.48,,,,
2000-03-14 21:58:11.336000,L7,380.10,377.09,386.81,375.86,376.19,389.22,384.14,362.58,374.68,388.97,371.33,329.41,375.51
2000-03-14 21:58:35.291000,L7,307.76,299.89,321.00,315.04,327.27,335.36,338.86,326.94,328.77,337.26,335.07,328.05,325.76
2000-03-30 21:58:09.573000,L7,354.75,,,,,,,,,,,,
2000-03-30 21:58:33.541000,L7,321.99,317.31,387.37,387.73,383.15,386.71,383.93,368.22,361.55,387.95,387.48,376.05,364.76
2000-08-05 21:56:44.750000,L7,,,,,315.80,337.00,323.14,333.64,329.12,398.26,350.43,360.63,340.00
2000-08-05 21:57:08.715000,L7,,,,,312.90,333.36,321.30,335.26,329.23,325.50,309.09,297.80,294.24
2000-09-06 21:56:22.949000,L7,322.69,321.48,281.44,,,,,264.59,267.81,,,,
2000-09-22 21:56:05.544000,L7,279.83,,,,,,,,,,,,
2000-09-22 21:56:29.431000,L7,311.71,300.19,292.98,300.90,,,,,264.13,,,,
2000-12-11 21:56:00.959000,L7,316.74,342.73,280.26,274.67,,,,261.78,266.83,,,,253.82
2001-01-12 21:56:30.696000,L7,326.25,321.28,279.45,295.11,,,,266.21,271.27,273.75,268.68,266.00,259.19
2001-03-01 21:55:57.624000,L7,,,,,320.59,323.07,332.30,328.39,353.43,340.06,335.26,339.46,337.42
2001-03-01 21:56:21.596000,L7,,,,324.63,327.70,329.97,340.00,336.75,359.14,348.44,347.29,343.81,344.68
2001-06-05 21:55:16.607000,L7,347.62,338.20,352.20,348.52,351.56,347.16,339.99,272.88,278.34,279.69,276.18,276.02,265.36
2001-06-05 21:55:40.577000,L7,314.46,330.94,299.87,334.95,,,,270.38,274.00,277.78,273.78,271.60,262.18
2001-06-21 21:55:05.323000,L7,,,,,,,,269.36,267.07,,274.54,274.33,266.83
2001-09-09 21:54:12.928000,L7,300.37,326.90,,,,,,263.13,268.67,,,,
2001-09-09 21:54:36.880000,L7,,,,,,,,251.25,263.46,,,,
2001-09-25 21:54:04.740000,L7,296.43,301.59,337.42,334.76,271.05,270.54,,269.73,274.89,,,,
2001-09-25 21:54:28.694000,L7,335.10,338.81,350.18,343.44,272.59,277.16,285.22,271.51,275.60,282.41,272.23,269.91,260.52
2001-10-11 21:53:46.024000,L7,351.96,346.27,322.33,338.62,337.95,,,261.77,269.81,273.83,269.87,265.55,260.01
2001-10-11 21:54:09.862000,L7,351.87,346.01,346.77,341.78,339.34,,,261.51,270.54,273.94,269.91,265.49,260.19
2001-12-30 21:54:13.275000,L7,351.44,362.80,364.49,366.63,320.82,284.90,293.32,276.78,311.89,285.83,313.12,307.65,305.17
2001-12-30 21:54:37.254000,L7,332.92,346.17,354.54,351.42,352.09,356.67,351.45,272.01,278.00,278.95,274.43,272.78,264.35
2002-01-15 21:54:23.534000,L7,340.30,340.99,350.23,340.56,323.07,343.32,,268.69,274.29,276.38,271.20,267.94,261.31
2002-01-31 21:54:50.570000,L7,340.51,325.20,271.86,,,,,266.30,272.11,274.81,268.70,270.93,259.26
2002-02-16 21:54:54.191000,L7,311.29,308.51,,,,,,,259.33,,,,
2002-03-20 21:54:24.081000,L7,363.11,354.50,316.07,315.29,318.24,317.10,322.08,,,327.75,,,
2002-03-20 21:54:48.224000,L7,363.86,357.65,363.42,314.72,319.54,317.24,322.42,,,328.14,,,
2002-05-23 21:54:18.991000,L7,,,,,,,,304.14,304.01,,,,303.22
2002-08-27 21:54:00.253000,L7,327.63,325.35,328.60,321.94,,,,258.38,270.67,,,,
2002-09-12 21:53:31.762000,L7,326.19,347.51,358.04,352.10,316.13,317.48,,,,,,,
2002-10-14 21:53:19.813000,L7,,,315.24,312.61,319.11,391.61,383.92,348.79,343.19,382.56,370.37,369.66,354.48
2002-10-14 21:53:43.769000,L7,,,309.99,386.43,388.38,390.33,383.12,348.90,340.76,380.31,367.18,363.59,353.17
2002-10-30 21:53:25.867000,L7,384.05,376.35,381.22,377.69,371.83,370.13,373.88,351.32,339.99,365.53,358.62,352.04,351.40
2002-12-01 21:53:52.985000,L7,346.47,338.52,,,,,,263.01,273.40,,,,254.66
2002-12-01 21:54:16.937000,L7,346.20,336.74,,,,,,268.01,273.41,276.58,269.96,271.49,259.50
2003-01-18 21:54:06.301000,L7,382.96,378.13,373.03,367.54,376.84,372.16,384.75,356.87,343.93,382.22,372.35,366.24,352.85
2003-01-18 21:54:30.278000,L7,381.37,380.56,371.10,366.90,314.70,322.27,319.48,315.34,311.02,322.44,312.36,308.12,308.57
2003-02-19 21:54:18.740000,L7,,,,,333.07,334.27,287.17,272.73,280.73,284.21,278.18,274.70,266.27
2003-03-23 21:54:16.760000,L7,301.23,336.84,345.58,344.75,,,,,261.29,,,,
2003-03-23 21:54:40.711000,L7,,,,,,,,,259.52,,,,
2003-05-26 21:54:19.958000,L7,,,,,324.67,323.93,325.57,384.94,357.80,324.34,311.35,309.15,305.36
2003-05-26 21:54:43.917000,L7,,,,,323.99,324.05,323.43,304.20,307.33,321.36,311.14,308.99,302.44
2003-07-21 21:42:09.884000,L5,300.67,281.07,284.52,280.83,,,,,,,,,
2003-08-06 21:42:27.230000,L5,304.59,293.58,278.58,276.42,,,,,,,,,
2003-10-25 21:43:40.253000,L5,326.92,311.70,297.15,293.66,,,,,,,,,
2004-02-14 21:44:33.705000,L5,331.27,313.92,312.23,306.20,286.96,301.81,295.21,282.04,266.40,293.06,291.54,282.85,283.28
2004-04-02 21:44:54.996000,L5,306.48,294.21,288.01,288.52,,,,,,,,,
2004-04-18 21:45:25.586000,L5,291.97,280.09,279.63,281.83,,,,,,,,,
2004-05-04 21:45:52.076000,L5,296.78,280.87,280.31,282.87,,,,,,,,,
2004-05-20 21:46:20.465000,L5,305.05,287.35,284.99,286.27,,,,,,,,,
2004-06-21 21:47:16.748000,L5,340.99,327.39,328.81,326.36,306.59,312.30,312.43,298.81,286.69,344.83,294.37,303.02,294.83
2004-06-21 21:47:40.721000,L5,341.54,330.70,328.58,329.99,307.17,312.30,314.10,298.94,289.91,345.63,300.29,303.02,294.75
2004-07-23 21:48:09.192000,L5,295.95,289.11,284.58,286.26,,,,,,,,,
2004-07-23 21:48:33.165000,L5,293.04,285.52,281.29,283.12,,,,,,,,,
2004-09-09 21:49:19.975000,L5,287.15,279.87,278.54,278.01,,,,,,,,,
2004-09-25 21:49:43.196000,L5,349.01,322.14,315.22,310.06,287.40,290.28,287.25,280.93,265.68,283.95,276.68,273.28,275.19
2005-01-15 21:51:45.464000,L5,290.61,285.71,288.77,287.86,,,,,,,,,
2005-03-04 21:52:52.217000,L5,,,,,292.34,300.91,292.83,,,295.55,280.16,276.57,
2005-03-20 21:52:38.190000,L5,358.31,328.19,329.14,322.52,307.27,308.23,299.66,279.32,265.14,289.08,280.61,275.14,274.42
2005-04-21 21:52:46.920000,L5,283.70,269.78,269.00,271.15,,,,,,,,,
2005-05-23 21:53:00.685000,L5,288.46,275.02,275.12,274.52,,,,,,,,,
2005-06-08 21:53:09.034000,L5,294.89,283.59,285.23,284.36,,,,,,,,,
2005-10-30 21:53:39.558000,L5,293.79,276.26,274.97,274.55,,,,,,,,,
2006-02-19 21:56:15.936000,L5,310.66,292.51,290.27,290.57,,,,,,,,,
2006-04-08 21:57:12.628000,L5,293.09,280.79,282.00,281.40,,,,,,,,,
2007-01-05 22:00:28.480000,L5,301.49,286.64,282.20,278.30,,,,,,,,,
2007-09-18 21:58:42.182000,L5,291.35,278.02,278.98,280.48,,,,,,,,,
2008-12-25 21:50:10.387000,L5,293.46,276.87,276.59,279.86,,,,,,,,,
2009-12-12 21:56:13.982000,L5,291.83,281.97,280.88,283.33,,,,,,,,,
2010-01-13 21:56:25.416000,L5,293.07,284.95,282.90,282.63,,,,,,,,,
2010-02-14 21:56:32.865000,L5,294.98,282.95,275.17,276.62,,,,,,,,,
2010-10-28 21:55:27.339000,L5,289.63,280.11,286.39,285.53,,,,,,,,,
2010-11-13 21:55:25.438000,L5,321.48,319.75,318.27,318.31,293.27,294.69,282.83,272.93,262.36,277.82,275.92,270.84,265.26
2010-12-31 21:55:32.560000,L5,293.22,283.45,282.30,288.34,,,,,,,,,
2011-02-17 21:55:37.006000,L5,315.86,298.13,300.24,295.91,,,,,,,,,
2013-04-11 22:07:51.092000,L8,355.42,342.89,291.71,299.65,,,,279.05,281.03,286.19,279.89,279.96,268.43
2013-05-29 22:07:41.466000,L8,,,,,,,,262.87,263.88,,,,
2013-06-30 22:07:36.163000,L8,293.10,290.27,293.20,296.21,281.36,285.26,291.45,280.79,283.26,293.10,284.08,281.59,275.49
2013-06-30 22:08:00.117000,L8,289.15,288.07,289.73,293.19,277.99,280.00,,277.34,279.27,281.71,279.49,277.57,269.31
2013-08-17 22:08:03.120000,L8,278.92,278.46,279.91,284.96,,,,,,,,,
2013-09-02 22:07:40.639000,L8,285.87,288.55,286.69,292.41,275.66,279.57,,273.85,271.84,,276.46,274.34,264.02
2013-09-02 22:08:04.598000,L8,286.09,288.79,286.83,292.58,275.79,279.77,,274.00,272.30,,276.37,275.11,264.30
2013-10-20 22:07:26.886000,L8,278.76,277.34,281.69,285.56,,,,,263.35,,,,
2013-11-05 22:07:22.900000,L8,280.15,278.10,282.91,287.56,,,,,260.99,,,,
2013-11-05 22:07:46.855000,L8,279.86,277.86,282.51,286.89,,,,,260.12,,,,
2013-11-21 22:07:13.797000,L8,355.66,318.54,323.59,320.85,317.21,324.45,323.45,313.75,305.29,319.19,306.54,310.10,306.26
2013-11-21 22:07:37.752000,L8,357.44,329.80,323.78,320.10,315.37,358.29,374.61,360.34,304.41,343.67,304.67,310.51,305.53
2013-12-07 22:07:14.870000,L8,358.11,342.20,354.67,347.75,339.16,333.90,328.47,342.25,310.83,350.71,312.67,305.67,303.14
2014-01-24 22:06:45.554000,L8,350.31,298.61,292.73,298.53,275.76,279.76,,273.87,278.78,280.61,277.30,274.37,267.89
2014-01-24 22:07:09.509000,L8,353.49,303.60,295.00,301.76,277.37,282.77,,276.00,280.88,283.24,280.42,276.93,271.35
2014-02-09 22:06:33.299000,L8,295.95,294.16,289.97,296.80,278.13,281.27,,274.86,279.56,281.82,279.67,276.83,266.74
2014-02-09 22:06:57.254000,L8,296.69,294.77,290.09,296.84,277.19,281.26,,274.75,277.94,280.99,277.67,276.36,266.55
2014-02-25 22:06:20.497000,L8,290.55,292.06,290.78,295.62,277.01,280.17,,273.66,277.83,280.04,367.20,292.01,322.56
2014-02-25 22:06:44.447000,L8,292.91,292.25,291.24,296.86,276.10,280.12,,273.49,275.98,279.15,277.43,278.24,266.62
2014-03-29 22:05:52.007000,L8,300.36,302.79,296.49,303.40,281.36,288.48,295.15,277.48,281.89,287.88,283.60,278.09,270.05
2014-03-29 22:06:15.961000,L8,301.22,324.39,296.98,304.70,282.18,289.74,296.69,278.50,282.24,288.85,284.31,279.93,272.13
2014-04-30 22:05:22.578000,L8,300.54,305.29,299.91,303.19,284.43,292.49,293.96,281.76,283.85,291.19,284.55,282.07,282.52
2014-04-30 22:05:46.536000,L8,297.74,297.97,296.91,299.53,280.51,286.89,290.80,276.98,279.83,285.60,279.22,274.58,269.40
2014-05-16 22:05:09.831000,L8,,,,,,,,259.78,263.18,,,,
2014-06-17 22:05:44.904000,L8,,,,,,,,,265.62,,,,
