dates,satname,nzd0161-0000,nzd0161-0001,nzd0161-0002,nzd0161-0003,nzd0161-0004,nzd0161-0043,nzd0161-0044,nzd0161-0045,nzd0161-0046,nzd0161-0047,nzd0161-0048,nzd0161-0049,nzd0161-0065,nzd0161-0066,nzd0161-0089,nzd0161-0090,nzd0161-0091,nzd0161-0092,nzd0161-0094,nzd0161-0095,nzd0161-0105,nzd0161-0106,nzd0161-0117,nzd0161-0118,nzd0161-0119,nzd0161-0140,nzd0161-0141,nzd0161-0142,nzd0161-0149,nzd0161-0150,nzd0161-0151,nzd0161-0152,nzd0161-0175,nzd0161-0176,nzd0161-0177,nzd0161-0178,nzd0161-0184,nzd0161-0185,nzd0161-0186,nzd0161-0210,nzd0161-0211,nzd0161-0272,nzd0161-0273,nzd0161-0274,nzd0161-0275,nzd0161-0276,nzd0161-0277,nzd0161-0279,nzd0161-0280,nzd0161-0281,nzd0161-0282,nzd0161-0283,nzd0161-0298,nzd0161-0299,nzd0161-0132,nzd0161-0133,nzd0161-0134,nzd0161-0135,nzd0161-0136,nzd0161-0137,nzd0161-0024,nzd0161-0025,nzd0161-0026,nzd0161-0027,nzd0161-0028,nzd0161-0069,nzd0161-0070,nzd0161-0071,nzd0161-0072,nzd0161-0073,nzd0161-0074,nzd0161-0017,nzd0161-0018,nzd0161-0019,nzd0161-0023,nzd0161-0148,nzd0161-0153,nzd0161-0154,nzd0161-0187,nzd0161-0188,nzd0161-0189,nzd0161-0190,nzd0161-0221,nzd0161-0222,nzd0161-0223,nzd0161-0224,nzd0161-0225,nzd0161-0005,nzd0161-0226,nzd0161-0234,nzd0161-0235,nzd0161-0236,nzd0161-0237,nzd0161-0238,nzd0161-0249,nzd0161-0250,nzd0161-0251,nzd0161-0252,nzd0161-0253,nzd0161-0254,nzd0161-0255,nzd0161-0256,nzd0161-0257,nzd0161-0258,nzd0161-0259,nzd0161-0029,nzd0161-0030,nzd0161-0031,nzd0161-0032,nzd0161-0033,nzd0161-0034,nzd0161-0228,nzd0161-0229,nzd0161-0230,nzd0161-0231,nzd0161-0232,nzd0161-0233,nzd0161-0038,nzd0161-0039,nzd0161-0040,nzd0161-0041,nzd0161-0096,nzd0161-0097,nzd0161-0244,nzd0161-0245,nzd0161-0271,nzd0161-0129,nzd0161-0130,nzd0161-0131,nzd0161-0162,nzd0161-0163,nzd0161-0164,nzd0161-0165,nzd0161-0166,nzd0161-0167,nzd0161-0168,nzd0161-0169,nzd0161-0170,nzd0161-0064,nzd0161-0067,nzd0161-0102,nzd0161-0103,nzd0161-0104,nzd0161-0107,nzd0161-0108,nzd0161-0155,nzd0161-0156,nzd0161-0157,nzd0161-0158,nzd0161-0159,nzd0161-0160,nzd0161-0161,nzd0161-0076,nzd0161-0077,nzd0161-0078,nzd0161-0079,nzd0161-0055,nzd0161-0056,nzd0161-0057,nzd0161-0058,nzd0161-0059,nzd0161-0075,nzd0161-0080,nzd0161-0081,nzd0161-0082,nzd0161-0083,nzd0161-0084,nzd0161-0086,nzd0161-0087,nzd0161-0088,nzd0161-0114,nzd0161-0115,nzd0161-0116,nzd0161-0125,nzd0161-0126,nzd0161-0127,nzd0161-0128,nzd0161-0085,nzd0161-0054,nzd0161-0263,nzd0161-0264,nzd0161-0265,nzd0161-0266,nzd0161-0267,nzd0161-0020,nzd0161-0021,nzd0161-0022,nzd0161-0051,nzd0161-0052,nzd0161-0053,nzd0161-0227,nzd0161-0124,nzd0161-0138,nzd0161-0098,nzd0161-0099,nzd0161-0100,nzd0161-0101,nzd0161-0110,nzd0161-0111,nzd0161-0112,nzd0161-0113,nzd0161-0035,nzd0161-0036,nzd0161-0213,nzd0161-0214,nzd0161-0215,nzd0161-0216,nzd0161-0060,nzd0161-0006,nzd0161-0109,nzd0161-0139,nzd0161-0199,nzd0161-0200,nzd0161-0201,nzd0161-0202,nzd0161-0203,nzd0161-0204,nzd0161-0206,nzd0161-0207,nzd0161-0208,nzd0161-0209,nzd0161-0212,nzd0161-0262,nzd0161-0268,nzd0161-0284,nzd0161-0285,nzd0161-0286,nzd0161-0287,nzd0161-0297,nzd0161-0309,nzd0161-0172,nzd0161-0173,nzd0161-0174,nzd0161-0217,nzd0161-0061,nzd0161-0218,nzd0161-0219,nzd0161-0220,nzd0161-0146,nzd0161-0147,nzd0161-0261,nzd0161-0303,nzd0161-0304,nzd0161-0305,nzd0161-0306,nzd0161-0182,nzd0161-0183,nzd0161-0191,nzd0161-0192,nzd0161-0194,nzd0161-0195,nzd0161-0196,nzd0161-0197,nzd0161-0198,nzd0161-0062,nzd0161-0171,nzd0161-0063,nzd0161-0093,nzd0161-0007,nzd0161-0008,nzd0161-0037,nzd0161-0042,nzd0161-0240,nzd0161-0241,nzd0161-0242,nzd0161-0243,nzd0161-0269,nzd0161-0270,nzd0161-0278,nzd0161-0009,nzd0161-0010,nzd0161-0011,nzd0161-0012,nzd0161-0013,nzd0161-0014,nzd0161-0015,nzd0161-0016,nzd0161-0260,nzd0161-0050,nzd0161-0205,nzd0161-0295,nzd0161-0296,nzd0161-0300,nzd0161-0301,nzd0161-0193,nzd0161-0179,nzd0161-0180,nzd0161-0246,nzd0161-0247,nzd0161-0288,nzd0161-0292,nzd0161-0293,nzd0161-0294,nzd0161-0302,nzd0161-0307,nzd0161-0308,nzd0161-0181,nzd0161-0289,nzd0161-0291,nzd0161-0121,nzd0161-0122,nzd0161-0123,nzd0161-0068,nzd0161-0239,nzd0161-0144,nzd0161-0145,nzd0161-0143,nzd0161-0248,nzd0161-0290,nzd0161-0120
1999-09-27 22:05:12.911000,L7,,,,,,,,,,,,,,,379.32,378.69,,,377.11,401.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.10,386.56,354.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.28,,,,,,,,,,,,,,,,,,,431.42,404.80,396.57,,,,,,,,,,,374.98,367.52,349.36,407.06,419.36,,,,,413.72,409.06,398.50,381.30,,,,336.57,,,,,,,,,417.90,,,,,,,,,,,,,,,,,362.62,409.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-14 22:04:42.286000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.65,326.85,336.19,,,,,,,,,,,,,383.45,349.59,367.88,324.42,316.05,318.07,354.97,,341.84,374.94,373.26,,,,,,,,,,,,,,,,,,,,,349.30,398.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.36,,,,,,,,,,,,,,,,,397.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.44,312.15,,,,403.67,,291.63,352.88,,,408.63,336.05,292.93,,,,351.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.20,391.46,402.46,,,,,,,,,311.79,,,,,,,375.07,307.80,367.41,326.57,,,,,387.71,310.09,,,,,,,,,,,
2000-01-01 22:04:37.439000,L7,,,,,,,,,,,,,,,,,,,,,,,369.00,340.19,334.32,378.53,,375.10,295.82,,,,361.55,,,,311.34,325.76,342.92,302.40,344.58,355.46,377.11,,,,,328.38,312.10,295.99,266.93,383.72,,,380.68,382.22,343.79,316.55,398.82,331.58,,,,,,,,,,,,,,,,348.80,,,297.66,317.57,332.69,327.25,322.54,305.79,,,,,,,,,,,377.25,360.96,323.75,353.88,347.31,,280.43,300.66,307.16,371.09,,,,,,,,,,,,,,,,,,,,397.00,310.22,326.82,330.90,331.67,358.12,351.30,,,,,,,,,,,,,,,,,,,320.72,327.72,355.29,359.92,,,,,,,,,,,,,,,,,,,394.00,392.17,390.54,363.79,328.51,352.99,334.37,,,,,,,,,,,,,,,424.93,379.90,,,,,,,,380.50,,,315.20,,,,,,,356.23,314.40,330.01,335.94,362.79,374.02,318.48,287.64,,,,355.68,,,353.86,363.40,306.42,376.00,,408.56,302.35,314.52,356.48,384.53,,411.44,378.64,346.08,364.86,402.20,,,,,,,250.17,320.63,,327.42,332.77,304.62,327.72,335.02,,,,,,,,,,,,355.71,,,,,,,,,,,,,,293.55,,,,,,,,,,369.93,,,,,,411.14,,,,,389.56,432.00,,,342.47,,347.23,,,
2000-02-18 22:04:29.218000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.23,336.69,334.13,348.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.87,,,,,,,,,,,,,,,,,,,,,,,,,,,395.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-24 22:03:46.662000,L7,,,,,,443.58,423.63,,398.97,448.71,356.09,436.60,,,311.97,,,,,,,,,,,,,,,,,,,273.84,376.75,337.38,,,,,,,,,328.40,334.73,350.15,280.72,351.00,291.75,288.94,362.20,274.78,266.73,,,,,,,,,,,,,,,,,,,,,,,,,,310.97,358.93,377.50,337.01,318.30,296.41,,,,,,,,,,,,,,,,,,,,,,,351.30,359.27,349.24,,,,,,,,,,,468.25,,332.93,,,,,,,379.89,406.40,367.78,379.48,369.13,395.34,338.73,368.56,,,,,,,,,,,,,,,423.33,,,,,,,,,,,,,,,,381.81,398.26,333.93,,,,429.87,351.89,358.06,329.01,385.27,,,,,,,,,,333.19,,,,,,390.88,370.05,356.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.90,,,,334.66,,,,,,,,,,,,,,,,,341.75,,317.26,,,,,,,,,,,,,,452.26,,,,,,,,,,,,,,,,,472.21,,295.12,286.13,341.26,342.15,,,,,,,,,,,,,385.89,,,,,,,,,,,,,
2000-07-11 22:03:17.779000,L7,306.84,327.79,353.96,374.21,403.20,405.28,446.05,423.47,437.59,452.70,353.30,346.51,426.28,429.92,415.78,402.73,327.38,395.03,412.47,316.48,432.81,351.74,416.77,330.03,434.81,373.38,389.43,358.41,355.92,374.59,307.79,354.22,360.98,299.88,384.33,347.44,340.22,320.42,289.08,349.56,383.14,292.69,342.00,367.71,346.48,332.84,351.01,280.18,335.63,309.03,265.10,265.85,256.48,342.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-12 22:02:54.094000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.67,274.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.86,270.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-13 22:02:26.190000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.38,366.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.25,422.72,384.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-15 22:02:20.178000,L7,,,,,,,,,,,,,447.36,,387.87,356.06,369.95,337.22,378.96,375.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.14,354.53,,,,,,,,,,,,,,,,,,,,,348.77,370.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.90,,,,,,,,,,,,,,,,435.58,346.68,,,,,,,,,332.29,376.93,443.89,417.51,413.21,405.32,345.81,,389.01,431.52,,,390.40,410.28,339.02,364.82,,,,,,,,405.76,,,,,,,,,,371.94,,,,,,,399.82,390.78,408.17,423.78,367.38,423.03,,,,,,,,,,402.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.21,342.75,,,,,,,,,,,,,,,,,,355.26,,,,,,,,,,,,,,,,,,,,,413.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-03 22:02:12.432000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.78,380.74,342.57,288.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.91,,,,,,
