dates,nzd0169-0000,nzd0169-0001,nzd0169-0002
1999-12-25 21:58:52+00:00,,305.79,216.19
2001-01-03 22:02:12+00:00,,,211.71
2001-01-12 21:56:30+00:00,,307.08,211.71
2001-03-01 21:56:21+00:00,,306.83,213.66000000000003
2001-03-17 21:56:16+00:00,,307.50666666666666,214.11666666666667
2001-09-09 21:54:36+00:00,,308.365,244.60000000000002
2001-12-30 21:54:37+00:00,,307.20500000000004,271.055
2002-01-22 22:00:40+00:00,,307.62,269.03000000000003
2003-10-25 21:44:04+00:00,274.07,250.51,268.36
2004-03-17 21:45:08+00:00,259.705,244.305,268.36
2004-08-24 21:49:18+00:00,252.34,235.73000000000002,
2004-11-03 21:56:42+00:00,261.145,238.76,
2005-04-21 21:53:10+00:00,256.01,244.16,
2005-11-22 22:00:23+00:00,238.49,,
2006-02-19 21:56:39+00:00,241.845,,
2006-04-08 21:57:36+00:00,246.33333333333334,,
2007-09-25 22:04:48+00:00,,267.36,305.69
2010-12-31 21:55:56+00:00,214.76,265.85,235.71
2013-04-11 22:08:15+00:00,,,214.73
2013-11-05 22:07:46+00:00,209.75,315.36,
2013-12-14 22:13:21+00:00,209.75,315.36,216.77
2014-02-09 22:06:57+00:00,209.75,315.36,214.515
2014-02-16 22:12:38+00:00,205.39,314.935,214.85
2015-02-12 22:05:51+00:00,,,212.47
2016-09-10 22:06:15+00:00,,314.56,
2017-01-16 22:06:11+00:00,206.66,314.56,
2017-05-08 22:05:23+00:00,206.66,,213.3
2017-08-19 22:11:53+00:00,,,214.375
2017-12-02 22:06:10+00:00,,,215.29
2018-09-07 22:11:24+00:00,,,220.17
2018-10-18 22:05:53+00:00,166.49,313.66,219.14499999999998
2019-02-07 22:05:47+00:00,166.56,313.66,220.14333333333332
2019-02-14 22:11:33+00:00,166.56,313.66,218.57
2019-03-02 22:11:29+00:00,166.56,313.66,218.82599999999996
2020-02-01 22:11:53+00:00,,,219.67
2020-03-13 22:05:54+00:00,188.12,310.02,219.67
2020-12-26 22:06:20+00:00,166.54,284.04,221.4
2021-02-12 22:06:07+00:00,166.54,298.20000000000005,223.96
2021-11-18 22:12:32+00:00,,317.76,227.34
2022-10-21 22:06:29+00:00,,316.26,223.93
2022-12-24 22:06:26+00:00,,316.26,222.155
2023-02-25 22:11:52+00:00,205.3,316.26,222.33
2023-03-30 22:05:59+00:00,205.3,316.26,221.88
2023-04-07 22:05:40+00:00,205.3,316.26,221.57399999999998
2023-11-08 22:12:20+00:00,,313.06,
2024-01-12 22:06:18+00:00,,312.105,
2024-01-28 22:06:18+00:00,209.14,310.62666666666667,227.04
2024-02-29 22:05:47+00:00,209.14,310.62666666666667,225.945
2024-12-13 22:05:46+00:00,172.26,308.68,224.94
