dates,nzd0179-0000,nzd0179-0002,nzd0179-0003,nzd0179-0004,nzd0179-0005,nzd0179-0006,nzd0179-0007,nzd0179-0014,nzd0179-0015,nzd0179-0016,nzd0179-0017,nzd0179-0018,nzd0179-0019,nzd0179-0001,nzd0179-0008,nzd0179-0020,nzd0179-0021,nzd0179-0022,nzd0179-0023,nzd0179-0024,nzd0179-0025,nzd0179-0026,nzd0179-0027,nzd0179-0028,nzd0179-0029,nzd0179-0009,nzd0179-0010,nzd0179-0011,nzd0179-0012,nzd0179-0013,satname
1999-12-09 21:58:33+00:00,,43.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-03-14 21:58:11+00:00,,44.57,101.75,,,98.74,,,,,,,,112.1,,,,,,,,,,,,,,,,,L7
2000-03-30 21:58:33+00:00,,44.57,100.845,38.77,,106.815,,,,,,,,112.1,,,,,,,,,,,,,,,,,L7
2000-08-05 21:57:08+00:00,,55.495,100.17333333333333,51.540000000000006,42.5,95.92999999999999,,,,,,,,106.88499999999999,,,,,,,,,,,,,,,,,L7
2001-01-12 21:56:30+00:00,54.42,62.599999999999994,103.49000000000001,58.36,38.985,85.07499999999999,145.07,,,,,,,101.67,95.43,,,,,,,,,,,,,,,,L7
2001-06-05 21:55:40+00:00,49.58,60.68,104.59,52.41,35.47,95.99,130.125,,,,,,,,88.61500000000001,,,,,,,,,,,,,,,,L7
2001-06-21 21:55:29+00:00,49.58,60.68,104.59,52.41,26.59,105.94999999999999,130.125,,,,,,,,88.61500000000001,,,,,,,,,,,,,,,,L7
2001-09-09 21:54:36+00:00,46.269999999999996,61.56,95.9,46.47,17.71,115.91,115.18,,,,,,,,81.8,,,,,,,,,,,,,,,,L7
2001-09-25 21:54:28+00:00,46.269999999999996,60.97666666666667,98.63666666666666,46.47,17.71,115.91,115.18,,,,,,,92.45,81.8,,,,,,,,,,,,,,,,L7
2001-10-11 21:53:46+00:00,46.269999999999996,54.105000000000004,99.0825,46.31,28.095,115.91,115.18,,,,,,,92.45,81.8,,,,,,,,,,,,,,,,L7
2002-01-31 21:54:26+00:00,47.8,51.78333333333334,98.43333333333332,46.31,38.48,,,327.29,332.42,330.16,337.15,337.08,324.58,92.45,347.61,329.58,329.4,321.85,314.5,307.2,,,,,,352.13,353.5,348.75,340.71,334.98,L7
2002-02-16 21:54:54+00:00,47.8,46.300000000000004,98.43333333333332,38.43666666666667,38.48,83.97,,327.29,332.42,330.16,337.15,337.08,324.58,92.45,347.61,329.58,329.4,321.85,314.5,307.2,,,,,,352.13,353.5,348.75,340.71,334.98,L7
2002-08-27 21:54:00+00:00,,,104.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-01-18 21:54:30+00:00,,,104.82,,,,,339.07,335.32,344.86,338.09,342.49,328.32,,345.2,332.86,338.23,324.54,321.28,325.51,339.64,345.59,350.15,354.48,353.61,351.03,348.39,345.96,340.66,336.38,L7
2003-07-21 21:42:33+00:00,,59.63,73.22,,47.63,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2003-08-06 21:42:51+00:00,,42.335,60.82,,47.63,103.67,102.97,,,,,,,,,,,,,,,,,,,,,,,,L5
2003-10-25 21:44:04+00:00,,42.335,60.82,,47.63,103.67,102.97,308.54,313.22,312.06,313.17,309.34,307.72,,323.0,301.84,306.71,294.58,293.73,297.44,305.86,307.03,315.02,321.78,327.27,326.77,323.74,312.61,311.9,302.62,L5
2004-05-20 21:46:20+00:00,,,,,,102.68,,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-06-21 21:47:16+00:00,,41.11,83.7,60.75,,102.68,,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-09-25 21:50:07+00:00,,41.11,83.7,60.75,,102.68,,,,,,,,,,,,,272.22,286.2,292.05,287.06,285.84,296.14,305.61,,,,,,L5
2005-01-15 21:52:09+00:00,,,,,,,,305.24,309.56,309.66,311.8,308.69,306.36,,318.32,307.23,313.41,301.15,287.64,297.96500000000003,302.03499999999997,302.14,301.53499999999997,309.59000000000003,305.61,323.44,323.24,311.88,307.44,304.77,L5
2005-04-21 21:53:10+00:00,,,,,,,,305.24,309.56,309.66,311.8,308.69,306.36,,318.32,307.23,313.41,289.19,288.4,296.88,302.24,304.855,303.40999999999997,311.355,307.56,323.44,323.24,311.88,307.44,304.77,L5
2005-05-23 21:53:00+00:00,43.64,35.59,48.27,,29.67,,106.82,305.24,309.56,309.66,311.8,308.69,306.36,,318.32,307.23,313.41,289.19,288.4,296.88,302.24,304.855,303.40999999999997,311.355,307.56,323.44,323.24,311.88,307.44,304.77,L5
2005-06-08 21:53:33+00:00,43.64,36.3,48.27,84.65,41.415,126.04,97.75999999999999,305.24,309.56,309.66,311.8,308.69,306.36,74.33,318.32,307.23,313.41,289.19,288.4,296.88,302.24,304.855,303.40999999999997,311.355,307.56,323.44,323.24,311.88,307.44,304.77,L5
2005-10-30 21:53:39+00:00,43.64,36.3,48.27,84.65,41.415,126.04,97.75999999999999,279.79,287.6,289.19,290.76,288.94,278.29,74.33,290.66,287.37,282.27,280.07,276.15,286.38,291.35,289.7,286.23,296.91,302.55,297.0,,,,279.78,L5
