dates,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0014,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0018,nzd0181-0019,nzd0181-0020,nzd0181-0021,nzd0181-0022,nzd0181-0023,satname
1999-10-22 21:58:28+00:00,,,,,302.24,,300.55,,310.84,314.46,323.27,,,,,,,,338.61,337.12,356.36,,,,L7
1999-12-09 21:58:33+00:00,,,,,319.065,,300.55,,329.28999999999996,314.46,341.02,,,,,,,,338.61,337.12,356.36,,,,L7
1999-12-25 21:58:52+00:00,178.85,297.34,308.61,292.0,310.25333333333333,281.32,297.03,288.63,323.4766666666667,299.81,334.46666666666664,300.22,311.22,317.74,,296.7,276.94,319.44,338.905,336.795,347.84000000000003,276.72,,,L7
2000-03-14 21:58:35+00:00,187.2,302.28499999999997,306.92,296.2,306.4075,286.195,296.67333333333335,289.08500000000004,319.1875,300.37666666666667,329.2,305.365,315.85,314.53,283.98,298.845,277.245,315.41999999999996,335.98,334.3933333333334,344.54333333333335,283.21500000000003,,281.48,L7
2000-03-30 21:58:33+00:00,188.8033333333333,302.8833333333333,307.76666666666665,298.40333333333336,303.754,288.78,296.65,287.24666666666667,315.91999999999996,300.9175,326.818,304.6433333333334,317.2033333333334,312.9266666666667,287.04,297.75666666666666,277.16,313.13666666666666,335.5,333.5325,343.06,285.87666666666667,294.51,286.69,L7
2000-05-17 21:58:07+00:00,188.8033333333333,302.8833333333333,307.76666666666665,298.40333333333336,304.1325,294.2975,295.34999999999997,287.24666666666667,317.75200000000007,296.40333333333336,327.705,304.6433333333334,317.2033333333334,323.2375,287.04,301.28499999999997,283.6575,322.52,339.125,334.6175,344.2325,293.13,302.14,286.69,L7
2001-01-12 21:56:30+00:00,204.2,306.29,318.63,302.04,303.15,291.16,299.33,291.32,310.73,302.65,322.58,316.04,323.83,319.91,292.6,302.58,280.48,319.99,,338.58,340.87,286.13,243.25,302.45,L7
2001-05-20 21:55:29+00:00,204.2,306.29,318.63,303.855,296.13,291.1,297.16499999999996,288.255,309.02,303.455,318.905,314.14,323.16999999999996,319.31500000000005,284.14,302.875,281.125,318.74,331.13,338.58,340.71000000000004,291.56,237.39,292.72,L7
2001-06-05 21:55:40+00:00,204.2,306.29,318.63,303.855,296.13,291.1,297.16499999999996,288.255,309.02,303.455,318.905,314.14,323.16999999999996,319.31500000000005,284.14,302.875,281.125,312.98,317.23,338.58,334.6466666666667,291.56,230.88,279.76,L7
2001-06-21 21:55:29+00:00,204.2,309.15,318.96000000000004,291.8866666666667,295.37,286.03000000000003,297.6433333333334,285.3566666666666,308.08,290.32666666666665,318.06333333333333,314.34999999999997,323.34666666666664,319.96333333333337,283.74666666666667,301.94666666666666,281.55333333333334,311.9625,321.16,338.58,334.025,290.81333333333333,234.1575,279.08000000000004,L7
2001-09-09 21:54:36+00:00,,312.01,319.29,286.81000000000006,291.48,283.46500000000003,296.80000000000007,282.375,305.28,289.3233333333333,315.80500000000006,313.505,323.105,317.00666666666666,281.44666666666666,301.44,280.9866666666667,309.28666666666663,327.715,356.52,335.81,292.98,247.22,271.29,L7
2001-09-25 21:54:04+00:00,,312.01,319.29,286.81000000000006,291.48,283.46500000000003,296.80000000000007,282.375,305.28,289.3233333333333,315.80500000000006,313.505,323.105,318.72749999999996,291.305,303.83000000000004,284.0075,312.88,330.312,356.86,335.81,295.94,258.88800000000003,271.29,L7
2001-10-11 21:53:46+00:00,,310.685,315.57500000000005,291.9766666666667,291.1666666666667,286.6066666666667,296.8966666666667,285.08666666666664,305.49,293.2525,315.3733333333334,313.3733333333334,321.9533333333333,318.194,296.45799999999997,302.82,282.776,312.254,329.91833333333335,349.4266666666667,336.02799999999996,295.13,263.4166666666667,275.635,L7
2002-02-16 21:54:54+00:00,,289.6,298.21500000000003,277.0,276.03,270.615,280.57,274.615,294.82666666666665,302.34000000000003,300.595,300.425,305.095,310.40749999999997,293.84499999999997,295.905,277.0525,309.6066666666667,330.96,341.2775,330.46999999999997,283.865,295.70666666666665,282.65,L7
2002-08-27 21:53:36+00:00,185.39,303.14,305.45,276.34,292.53,278.57,293.95,281.71,302.65,301.92,315.6,311.6,319.4,314.52,277.9,298.77,273.35,311.41,328.22,327.18,334.55,281.17,,292.1,L7
2002-10-14 21:53:43+00:00,185.39,303.14,305.45,288.505,295.765,283.825,294.79999999999995,286.38,303.11,304.51,315.86,312.285,320.38,314.745,283.47,299.65999999999997,276.515,311.28,329.285,328.94,335.93,286.76,290.35,310.57500000000005,L7
2003-07-21 21:42:09+00:00,166.69,297.77,311.56,279.43,,,263.63,,,,291.05,290.59,304.25,305.71,258.89,,272.25,288.03,316.6,309.39,330.68,273.71,,,L5
2003-08-06 21:42:27+00:00,162.755,297.21,313.08500000000004,283.15999999999997,,,262.33500000000004,255.61,,,293.45500000000004,290.59,297.81,306.15999999999997,276.14,,271.645,287.52,320.855,314.995,331.20500000000004,273.71,,,L5
2004-07-23 21:48:33+00:00,,,,,,,,,,,,,,,,,372.82,366.41,373.62,372.44,374.37,368.1,,352.22,L5
2005-01-15 21:52:09+00:00,,,,,,,,,,,,,,,,,356.7,355.115,370.435,365.25,367.155,358.34000000000003,,345.775,L5
2005-01-24 21:46:06+00:00,,,,,,,,,,,,,,,,,323.685,332.87,356.425,349.84000000000003,355.41999999999996,335.145,257.26,339.33,L5
2005-02-25 21:46:35+00:00,,,,,,,,,,,261.32,286.99,290.27,293.87,,,323.685,332.87,356.425,349.84000000000003,355.41999999999996,335.145,257.26,339.33,L5
2005-04-21 21:53:10+00:00,166.63,283.99,303.47,276.92,252.49,265.96,268.4,268.73,273.58,279.41,279.155,295.28499999999997,297.02,300.05,262.63,264.32,303.75,314.7733333333333,341.50666666666666,335.8833333333334,343.3333333333333,313.97666666666663,243.125,339.33,L5
2005-05-23 21:53:00+00:00,160.45999999999998,279.82500000000005,301.61,271.645,234.28500000000003,260.275,262.82,262.01,267.695,279.41,280.8633333333333,293.99,293.06666666666666,300.0566666666667,262.63,263.01,293.3125,305.78,335.20500000000004,329.59000000000003,337.82,302.635,243.125,339.33,L5
2005-06-08 21:53:09+00:00,158.85,280.6266666666667,305.8566666666667,275.67333333333335,241.46333333333334,260.22999999999996,266.52,266.55,268.43333333333334,268.475,283.01,295.32,295.3225,300.5,262.63,263.2033333333333,289.26,302.59000000000003,333.16999999999996,326.692,336.954,298.246,236.23333333333335,339.33,L5
2005-07-26 21:53:30+00:00,158.85,275.55,304.4375,275.67333333333335,241.46333333333334,260.22999999999996,266.52,266.55,268.43333333333334,268.475,283.01,294.456,294.46799999999996,300.052,262.63,261.8025,266.575,283.55,318.115,312.24,328.25,270.355,225.72000000000003,,L5
2005-10-30 21:53:39+00:00,154.95999999999998,272.7366666666667,304.76,275.04999999999995,235.95,257.365,265.58,265.46,265.86,257.54,286.865,293.90333333333336,292.76666666666665,300.05333333333334,,260.96333333333337,267.4733333333333,285.2066666666667,327.92499999999995,320.9475,335.905,269.9266666666667,222.45,350.77,L5
2006-02-19 21:56:15+00:00,,,,,,,,,,,,,,,,,,,350.91,342.8,349.78,,,348.71,L5
2006-04-08 21:57:12+00:00,,,,,,,,,,,,,,,,,,,350.91,342.8,349.78,,,351.4833333333333,L5
2006-06-27 21:58:48+00:00,178.41,298.44,317.97,284.52,272.44,275.97,272.45,279.59,278.86,285.03,299.68,305.22,308.42,307.38,,267.42,271.9,290.52,319.57,317.32,325.94,285.75,233.94,351.8399999999999,L5
2006-07-13 21:59:02+00:00,178.41,293.83500000000004,310.46000000000004,277.29499999999996,253.58000000000004,275.97,258.44,267.78499999999997,278.86,285.03,293.33500000000004,300.71500000000003,304.70500000000004,306.105,,267.42,269.27,289.42999999999995,316.775,313.86,327.675,277.635,233.94,351.8399999999999,L5
2006-12-13 21:54:31+00:00,178.41,293.83500000000004,314.4066666666667,285.1566666666667,262.9766666666667,283.96500000000003,272.02,277.62333333333333,290.29,297.355,299.7266666666667,307.24333333333334,311.56333333333333,309.28666666666663,300.21,273.855,273.7133333333333,290.96999999999997,318.12,315.21,328.5366666666667,284.25666666666666,241.91,,L5
2007-01-30 21:54:48+00:00,,317.31,329.425,314.73,299.76000000000005,303.64,305.27,306.46000000000004,310.19500000000005,316.935,319.85,326.485,329.97,321.15,307.28,289.165,294.19500000000005,305.34000000000003,333.765,330.245,342.395,310.015,255.475,277.37,L5
2009-11-26 21:56:28+00:00,,327.61,346.35,337.33,323.32,324.63,316.85,323.47,322.42,325.65,333.22,339.67,337.55,329.59,312.97,299.4,305.07,315.23,338.56,334.54,346.76,319.09,260.55,273.42,L5
2010-01-13 21:56:49+00:00,,323.89,344.015,332.07,317.865,319.985,313.94,319.91,319.15,327.42499999999995,333.85,338.365,337.405,328.14,316.31500000000005,299.92999999999995,303.43,314.9,341.03499999999997,337.265,349.04999999999995,319.65999999999997,259.20000000000005,271.1,L5
2011-02-01 21:55:35+00:00,,329.58,346.28,329.78,311.23,309.63,304.44,307.84,318.41,326.85,334.12,341.3,343.95,337.9,326.35,301.88,309.5,317.08,335.42,334.95,344.63,316.12,255.16,267.85,L5
2013-04-11 22:08:15+00:00,,329.04,333.26,320.23,316.34,313.63,315.02,308.52,323.17,322.57,333.04,337.59,338.96,331.82,295.23,313.78,294.86,323.81,340.14,338.13,345.67,309.33,287.72,,L8
2013-05-29 22:07:41+00:00,,313.545,323.695,295.11,299.645,294.065,299.21,284.885,310.46000000000004,292.96000000000004,320.355,327.16499999999996,329.26,323.385,295.23,304.2,286.105,316.39,334.4,333.235,338.32500000000005,284.53499999999997,287.72,210.44,L8
2013-06-30 22:07:36+00:00,,308.19666666666666,314.65333333333336,284.77333333333337,293.89666666666665,286.69,293.67333333333335,275.8233333333333,305.40333333333336,280.6666666666667,315.94666666666666,322.8066666666667,325.09,319.50333333333333,295.23,300.97666666666663,282.81333333333333,313.26666666666665,331.87333333333333,331.34666666666664,335.6333333333334,275.32,287.72,210.44,L8
2013-08-17 22:08:03+00:00,,304.77750000000003,310.425,279.7825,290.04499999999996,282.5625,290.0875,273.10249999999996,302.375,275.9975,313.52750000000003,319.875,322.2475,316.57,276.46500000000003,297.605,280.53000000000003,311.555,329.86,329.81,334.0,272.4425,287.72,213.24,L8
2013-09-02 22:08:04+00:00,,301.558,306.652,276.026,287.802,279.77200000000005,287.492,271.74,299.26800000000003,271.67600000000004,311.602,317.476,319.946,314.306,276.46500000000003,295.052,278.934,309.556,327.942,328.428,332.762,269.868,287.72,212.30999999999997,L8
2013-11-21 22:07:13+00:00,,294.002,301.818,266.412,280.74,271.822,280.61,264.486,294.084,261.684,306.32800000000003,312.806,315.38199999999995,309.094,257.7,290.05,274.946,305.658,324.86,325.90599999999995,328.352,262.98400000000004,,212.30999999999997,L8
2014-01-24 22:07:09+00:00,,298.2325,307.1325,277.695,286.94,278.4725,287.59999999999997,276.72749999999996,299.435,276.29,310.7525,316.8875,320.7875,311.41499999999996,277.345,292.97749999999996,278.0075,308.375,327.705,328.2475,331.78999999999996,275.2475,277.98,242.2266666666667,L8
2014-02-09 22:06:33+00:00,,301.414,311.26599999999996,283.918,291.012,282.85,292.03,281.566,303.276,283.804,314.052,319.76800000000003,323.22200000000004,314.43199999999996,284.4766666666667,296.514,280.154,310.79200000000003,330.18199999999996,330.38599999999997,334.844,280.55,278.5,255.0325,L8
2014-02-25 22:06:20+00:00,,308.188,320.09399999999994,295.162,298.372,290.692,301.58750000000003,290.654,309.27200000000005,295.404,318.604,324.32000000000005,327.442,318.46799999999996,297.19666666666666,301.154,283.79,314.034,333.416,332.71999999999997,338.658,288.642,279.2866666666667,276.54,L8
2014-03-29 22:05:52+00:00,,313.065,330.142,307.77000000000004,310.278,301.31399999999996,312.64,300.126,317.26599999999996,310.11400000000003,326.45199999999994,331.868,334.73,326.04,297.19666666666666,307.85600000000005,291.602,321.21,337.438,336.178,342.93,298.81000000000006,279.6225,302.1925,L8
2014-04-30 22:05:46+00:00,,315.15999999999997,330.895,309.3066666666667,310.0916666666667,302.53,312.96799999999996,301.22666666666663,318.28666666666663,311.79833333333335,327.91333333333336,332.81166666666667,335.3933333333333,327.03000000000003,296.475,308.77000000000004,291.66833333333335,322.495,338.6933333333333,337.52500000000003,344.26500000000004,299.6016666666667,279.466,300.826,L8
