dates,nzd0185-0000,nzd0185-0001,nzd0185-0002,nzd0185-0003,nzd0185-0004,nzd0185-0005,nzd0185-0006,satname
1999-09-29 21:52:52+00:00,328.9,308.76,300.44,284.44,268.22,267.7,264.9,L7
1999-12-09 21:58:57+00:00,328.9,308.76,302.64,286.82,274.34000000000003,275.52,265.815,L7
2000-03-14 21:58:35+00:00,328.9,308.76,315.60999999999996,286.82,274.34000000000003,275.52,265.815,L7
2001-09-09 21:54:36+00:00,,,,281.36,266.87,270.49,259.63,L7
2001-09-25 21:54:28+00:00,,,335.8,300.35,286.275,287.905,280.24,L7
2001-10-11 21:54:09+00:00,,306.59,335.8,300.35,286.275,282.50333333333333,277.31333333333333,L7
2002-01-24 21:48:42+00:00,,306.59,343.375,310.8433333333333,296.04333333333335,287.42,277.31333333333333,L7
2002-02-16 21:54:54+00:00,333.15,306.59,320.20666666666665,300.3125,285.7625,281.892,269.315,L7
2002-03-20 21:54:48+00:00,330.27,306.79999999999995,305.2825,300.7525,285.5075,281.618,268.5575,L7
2002-08-27 21:54:00+00:00,327.39,329.29999999999995,263.855,283.275,266.535,268.685,263.1,L7
2002-10-14 21:53:43+00:00,,347.96,267.2,283.43,267.22,268.25,266.09000000000003,L7
2002-10-23 21:47:39+00:00,338.3,334.94,284.88,284.23,269.24,263.25,261.1666666666667,L7
2003-05-10 21:54:46+00:00,,,,302.54,297.09,273.57,276.37,L7
2003-05-26 21:54:43+00:00,348.6,,329.22,294.62,284.195,273.77,282.365,L7
2003-07-21 21:42:33+00:00,344.33000000000004,324.43,324.73,297.34999999999997,280.84666666666664,273.77,282.365,L5
2003-08-06 21:42:51+00:00,341.93666666666667,322.53499999999997,320.46000000000004,297.96000000000004,279.3225,273.77,282.365,L5
2003-08-15 21:36:48+00:00,342.4975,326.0466666666667,321.54,299.56,280.906,272.09666666666664,282.365,L5
2003-10-18 21:37:48+00:00,342.4975,333.5,326.216,304.74333333333334,285.78833333333336,280.37,283.86,L5
2003-11-19 21:38:14+00:00,342.4975,333.5,326.216,305.184,286.99666666666667,287.8725,287.22,L5
2004-03-17 21:45:08+00:00,,355.86,339.795,323.82000000000005,305.50333333333333,302.30333333333334,283.99333333333334,L5
2004-04-02 21:45:18+00:00,335.54,338.745,331.16,323.82000000000005,305.50333333333333,302.30333333333334,283.99333333333334,L5
2004-04-18 21:45:49+00:00,339.17,324.495,321.27,306.61,303.155,300.86,282.565,L5
2004-05-20 21:46:44+00:00,339.17,325.59666666666664,320.9,304.07,289.915,298.14,278.68,L5
2004-07-07 21:48:09+00:00,338.38000000000005,326.7925,321.58000000000004,302.945,286.09,298.14,278.68,L5
2004-07-23 21:48:33+00:00,339.5425,327.13800000000003,321.38666666666666,302.854,285.6325,285.43,270.78999999999996,L5
2004-10-20 21:44:28+00:00,339.915,328.90000000000003,328.37,308.5475,288.85,289.73,276.27,L5
2004-10-27 21:50:47+00:00,336.79,325.555,323.262,306.056,286.608,282.81333333333333,270.85999999999996,L5
2005-01-15 21:52:09+00:00,336.78499999999997,322.02,324.0733333333333,310.5733333333333,292.24666666666667,282.81333333333333,276.77,L5
2005-01-24 21:46:06+00:00,331.81,314.945,318.85,305.40000000000003,286.31333333333333,279.20666666666665,281.3933333333333,L5
2005-02-09 21:46:19+00:00,331.67333333333335,314.1133333333333,315.26250000000005,300.6925,280.995,277.02750000000003,275.44,L5
2005-04-21 21:53:10+00:00,332.53499999999997,315.7825,305.725,290.6925,268.84000000000003,267.1233333333334,270.70666666666665,L5
2005-06-08 21:53:33+00:00,332.385,317.1825,307.505,288.8933333333334,265.9066666666667,266.19500000000005,276.03999999999996,L5
2005-07-19 21:47:39+00:00,333.604,319.63,309.49,291.755,268.7375,266.19500000000005,257.58,L5
2006-02-19 21:56:39+00:00,331.7,317.49,304.63,291.16,273.25,257.0,250.52,L5
2006-04-08 21:57:36+00:00,331.7,317.49,322.84000000000003,308.755,287.135,278.41999999999996,266.385,L5
2006-07-13 21:59:02+00:00,338.12,324.69,322.76,307.1466666666667,287.28666666666663,279.12666666666667,266.32666666666665,L5
2006-07-22 21:52:58+00:00,339.44,325.4066666666667,321.74,304.9775,283.5925,279.12666666666667,266.32666666666665,L5
2006-10-10 21:53:56+00:00,343.30999999999995,329.365,320.64,301.20000000000005,280.04999999999995,280.54,285.395,L5
2006-12-13 21:54:31+00:00,343.30999999999995,338.8733333333333,328.05,308.66,287.7733333333333,289.485,284.0433333333333,L5
2007-01-30 21:54:48+00:00,,348.62,335.985,316.91499999999996,297.8,293.64,285.93,L5
2008-12-25 21:50:34+00:00,,,,,334.0,327.79,312.71,L5
2009-11-26 21:56:28+00:00,367.82,336.88,330.69,314.97,295.44,291.63,276.84,L5
2009-12-12 21:56:37+00:00,367.82,342.91499999999996,335.385,318.275,298.095,294.195,278.87,L5
2010-01-13 21:56:49+00:00,367.82,342.91499999999996,339.09999999999997,322.4433333333333,303.3566666666666,298.8966666666667,282.75666666666666,L5
2010-10-28 21:55:51+00:00,335.89,316.06,305.49,288.26,263.68,258.54,251.21,L5
2010-12-31 21:55:56+00:00,349.025,327.54499999999996,316.88,299.875,279.64,273.75,262.285,L5
2013-04-11 22:08:15+00:00,364.26,,,340.09,327.47,314.63,289.27,L8
2013-05-29 22:08:05+00:00,343.53499999999997,312.89,304.84,314.43499999999995,298.73,291.25,275.245,L8
2013-06-30 22:08:00+00:00,342.2,323.505,319.17999999999995,312.21,299.61333333333334,291.13,277.37,L8
2013-07-16 22:07:36+00:00,338.985,320.88,315.0466666666666,306.8775,293.36,286.15,273.89,L8
2013-11-05 22:07:46+00:00,333.215,321.9525,316.34499999999997,297.0675,284.0075,278.255,269.2375,L8
2013-11-21 22:07:37+00:00,333.215,321.9525,316.34499999999997,300.416,287.73,281.546,271.416,L8
2014-01-24 22:06:45+00:00,332.12,317.6,311.45500000000004,300.96666666666664,296.34000000000003,288.88,266.20000000000005,L8
2014-02-09 22:06:57+00:00,334.49333333333334,320.3233333333333,312.8866666666667,300.1175,293.42,287.29999999999995,267.40250000000003,L8
2014-03-29 22:05:52+00:00,336.09000000000003,322.825,315.4425,300.578,294.125,287.655,268.912,L8
2014-04-30 22:05:22+00:00,334.224,320.724,312.976,298.28833333333336,289.40999999999997,283.626,267.95166666666665,L8
