dates,satname,nzd0186-0000,nzd0186-0001,nzd0186-0002,nzd0186-0003,nzd0186-0004,nzd0186-0005,nzd0186-0006,nzd0186-0007
1999-09-29 21:52:52.243000,L7,317.54,302.95,215.22,259.04,325.55,330.99,292.96,298.76
1999-10-15 21:52:49.322000,L7,238.32,,,,,274.48,290.08,
1999-12-09 21:58:57.676000,L7,231.58,,,,247.08,292.62,278.71,298.52
2000-02-27 21:58:40.521000,L7,237.76,210.59,230.71,208.39,256.94,217.24,257.71,293.38
2000-03-14 21:58:35.291000,L7,239.61,240.01,242.13,255.54,210.72,278.25,286.39,221.23
2001-06-05 21:55:40.577000,L7,289.50,263.15,269.31,257.15,323.67,333.26,303.67,287.00
2001-06-21 21:55:29.297000,L7,237.05,258.34,255.25,256.27,254.76,206.34,301.73,292.05
2001-09-09 21:54:36.880000,L7,,,,,226.01,217.99,196.26,
2001-09-25 21:54:28.694000,L7,233.91,,,165.63,240.11,245.59,276.96,207.14
2001-10-11 21:54:09.862000,L7,,,244.80,249.37,236.90,284.15,287.78,281.83
2002-01-24 21:48:42.967000,L7,335.15,325.29,259.25,262.84,253.66,292.78,295.30,299.10
2002-02-25 21:48:47.943000,L7,238.31,,,,237.72,180.64,275.88,201.35
2002-03-20 21:54:48.224000,L7,191.46,,,,,,,
2002-08-27 21:54:00.253000,L7,250.19,251.92,247.14,249.62,253.21,250.89,299.13,243.99
2002-10-14 21:53:43.769000,L7,241.72,237.72,,,248.57,277.60,280.83,286.33
2002-10-23 21:47:39.211000,L7,316.32,294.68,,,240.51,318.89,291.41,283.37
2003-01-18 21:54:30.278000,L7,306.28,259.37,,,249.34,311.21,286.35,292.56
2003-05-10 21:54:46.466000,L7,244.49,254.46,238.09,244.34,256.85,230.82,,
2003-05-26 21:54:43.917000,L7,,,,,243.38,198.87,285.67,
2003-07-21 21:42:33.857000,L5,,198.25,198.60,230.41,215.08,215.76,199.83,300.81
2003-08-06 21:42:51.203000,L5,,217.63,198.08,216.92,220.93,221.89,224.59,303.42
2003-08-15 21:36:48.503000,L5,246.58,235.36,214.00,231.92,223.96,221.78,277.43,303.80
2003-10-18 21:37:48.406000,L5,311.12,277.81,293.72,303.94,304.72,327.10,333.92,323.18
2003-10-25 21:44:04.226000,L5,276.72,246.03,263.46,231.43,245.22,296.41,319.57,312.24
2003-11-19 21:38:14.402000,L5,346.98,321.02,329.06,350.89,353.28,358.72,378.19,406.52
2004-02-14 21:44:57.678000,L5,333.21,325.87,334.12,340.90,344.07,348.88,358.25,350.31
2004-03-01 21:45:02.553000,L5,302.89,277.55,292.48,311.92,316.44,330.81,339.17,333.00
2004-03-17 21:45:08.368000,L5,,,,,,,273.99,285.33
2004-04-02 21:45:18.969000,L5,,,,,,177.10,320.37,313.16
2004-05-20 21:46:44.438000,L5,267.17,214.85,266.28,225.09,225.80,203.63,187.74,303.12
2004-06-30 21:41:46.478000,L5,253.29,249.51,276.98,290.60,296.34,306.63,,302.37
2004-07-07 21:48:09.180000,L5,271.01,221.85,207.35,231.01,230.98,200.63,246.72,303.81
2004-07-23 21:48:33.165000,L5,246.41,234.60,200.73,219.65,213.53,296.50,276.82,297.23
2004-10-20 21:44:28.706000,L5,354.97,340.63,339.65,342.15,348.60,349.36,355.43,359.50
2004-10-27 21:50:47.740000,L5,,,,,,,296.15,296.47
2005-01-24 21:46:06.161000,L5,330.50,295.60,300.06,307.41,316.30,325.72,331.52,332.92
2005-02-09 21:46:19.482000,L5,,,,,,,274.32,291.48
2005-02-25 21:46:35.721000,L5,275.04,215.24,196.41,218.38,221.81,258.26,294.37,298.47
2005-03-13 21:46:47.612000,L5,333.41,313.10,321.18,331.77,332.07,338.06,349.06,347.12
2005-03-29 21:46:54.602000,L5,275.78,218.52,198.16,223.26,217.08,226.39,300.10,303.61
2005-06-01 21:47:18.718000,L5,,,290.75,300.35,300.91,329.16,328.85,333.22
2005-06-08 21:53:33.007000,L5,,,201.84,216.62,197.86,189.10,189.77,
2005-07-19 21:47:39.248000,L5,,,201.28,224.88,218.99,205.85,247.93,302.93
2006-02-28 21:50:40.410000,L5,281.82,227.75,209.67,219.91,217.52,294.72,301.09,301.97
2006-04-08 21:57:36.601000,L5,303.11,272.94,292.47,300.36,302.22,318.53,329.07,322.69
2006-07-13 21:59:02.335000,L5,,177.35,218.31,234.91,275.37,303.25,270.39,308.28
2006-07-22 21:52:58.572000,L5,284.17,192.42,271.37,235.19,293.40,314.91,308.78,232.48
2006-08-23 21:53:23.469000,L5,345.02,328.53,339.36,334.82,341.33,355.32,359.61,357.54
2006-10-10 21:53:56.892000,L5,327.01,304.02,311.88,321.95,326.39,343.87,350.00,345.06
2006-12-13 21:54:31.554000,L5,359.08,323.83,335.93,347.96,345.46,349.78,356.21,350.23
2007-01-30 21:54:48.635000,L5,361.16,339.24,330.61,339.84,342.28,344.79,354.33,358.40
2008-12-25 21:50:34.359000,L5,334.87,313.66,322.98,336.16,334.64,344.59,352.57,351.68
2009-11-26 21:56:28.873000,L5,338.33,302.99,319.67,328.91,325.97,334.26,341.77,342.56
2009-12-12 21:56:37.955000,L5,283.71,207.80,215.68,229.31,235.49,249.79,308.18,
2010-01-13 21:56:49.389000,L5,349.13,332.20,335.98,341.08,342.67,342.91,355.62,357.80
2010-10-28 21:55:51.312000,L5,,,,,,,,275.26
2010-12-31 21:55:56.533000,L5,295.30,265.26,277.47,284.79,293.31,310.57,321.28,315.02
2011-01-09 21:49:46.887000,L5,328.84,307.60,320.68,330.32,332.28,341.88,348.70,346.94
2011-01-16 21:55:58.174000,L5,368.65,354.45,341.64,357.83,355.93,346.75,354.13,357.98
2011-01-25 21:49:47.233000,L5,346.75,319.61,334.50,351.04,344.29,351.67,362.59,359.59
2011-02-17 21:56:00.979000,L5,341.15,326.86,331.23,338.75,347.94,341.67,352.57,363.51
2013-04-11 22:08:15.067000,L8,,,247.63,168.02,217.39,262.41,281.62,293.72
2013-05-22 22:01:53.656000,L8,,252.46,252.86,220.35,210.31,197.43,279.82,291.58
2013-05-29 22:08:05.425000,L8,246.12,205.53,259.34,262.57,275.93,291.40,287.50,300.20
2013-06-30 22:07:36.163000,L8,,257.33,261.50,266.78,277.15,301.59,288.08,298.67
2013-06-30 22:08:00.117000,L8,,257.34,261.70,266.68,277.32,302.26,287.85,298.92
2013-07-16 22:07:36.609000,L8,,,252.34,171.36,200.69,250.00,278.44,296.41
2013-08-17 22:08:03.120000,L8,,,,,213.25,249.52,271.99,288.71
2013-09-02 22:07:40.639000,L8,,248.95,248.35,166.47,219.09,261.38,280.66,291.49
2013-09-02 22:08:04.598000,L8,,249.97,248.46,166.44,219.40,261.79,280.42,291.83
2013-10-20 22:07:26.886000,L8,297.37,270.83,273.48,279.36,288.80,308.95,307.25,308.00
2013-11-05 22:07:22.900000,L8,192.41,,,,230.82,287.96,280.53,298.00
2013-11-05 22:07:46.855000,L8,251.82,,,,226.72,282.62,277.18,293.84
2013-11-21 22:07:13.797000,L8,,,,,,,269.39,293.15
2013-11-21 22:07:37.752000,L8,,,,,224.61,272.26,278.13,290.47
2013-12-07 22:07:14.870000,L8,,,,,227.81,282.24,277.27,292.79
2014-02-09 22:06:57.254000,L8,280.61,259.95,271.39,276.53,285.00,310.66,304.17,305.46
2014-02-25 22:06:44.447000,L8,,,,,219.78,283.65,280.19,291.95
2014-03-29 22:05:52.007000,L8,,,,,,,273.15,292.26
