dates,satname,nzd0190-0000,nzd0190-0001,nzd0190-0002,nzd0190-0003,nzd0190-0004,nzd0190-0005,nzd0190-0006,nzd0190-0007,nzd0190-0008,nzd0190-0009,nzd0190-0010,nzd0190-0011,nzd0190-0012,nzd0190-0013,nzd0190-0014,nzd0190-0015,nzd0190-0016,nzd0190-0017,nzd0190-0018,nzd0190-0019,nzd0190-0020,nzd0190-0021,nzd0190-0022,nzd0190-0023,nzd0190-0024,nzd0190-0025,nzd0190-0026,nzd0190-0027,nzd0190-0028,nzd0190-0029,nzd0190-0030,nzd0190-0031,nzd0190-0032,nzd0190-0033,nzd0190-0034,nzd0190-0035,nzd0190-0036,nzd0190-0037,nzd0190-0038,nzd0190-0039,nzd0190-0040,nzd0190-0041,nzd0190-0042,nzd0190-0043,nzd0190-0044,nzd0190-0045,nzd0190-0046,nzd0190-0047,nzd0190-0048,nzd0190-0049,nzd0190-0050,nzd0190-0051,nzd0190-0052,nzd0190-0053,nzd0190-0054,nzd0190-0055,nzd0190-0056,nzd0190-0057,nzd0190-0058,nzd0190-0059,nzd0190-0060,nzd0190-0061,nzd0190-0062,nzd0190-0063,nzd0190-0064,nzd0190-0065,nzd0190-0066,nzd0190-0067,nzd0190-0068,nzd0190-0069,nzd0190-0070,nzd0190-0071,nzd0190-0072,nzd0190-0073,nzd0190-0074,nzd0190-0076,nzd0190-0077,nzd0190-0078,nzd0190-0079,nzd0190-0080,nzd0190-0081,nzd0190-0082,nzd0190-0083,nzd0190-0084,nzd0190-0085,nzd0190-0086,nzd0190-0087,nzd0190-0088,nzd0190-0089,nzd0190-0090,nzd0190-0091,nzd0190-0092,nzd0190-0093,nzd0190-0094,nzd0190-0095,nzd0190-0096,nzd0190-0097,nzd0190-0098,nzd0190-0099,nzd0190-0100,nzd0190-0101,nzd0190-0102,nzd0190-0103,nzd0190-0104,nzd0190-0105,nzd0190-0106,nzd0190-0107,nzd0190-0108,nzd0190-0109,nzd0190-0110,nzd0190-0075
1999-09-27 22:05:12.911000,L7,271.14,372.98,484.44,501.17,514.63,522.65,534.01,533.49,510.31,493.02,487.42,453.48,411.26,366.09,304.00,262.81,341.24,335.89,270.74,300.89,283.26,293.48,180.39,175.24,195.10,194.34,190.94,198.07,219.78,248.04,214.40,209.28,201.47,188.46,186.24,185.66,181.22,474.55,429.61,237.61,242.47,267.64,316.41,378.67,472.41,447.47,347.94,268.41,467.16,442.99,449.83,484.66,399.26,447.63,416.76,407.86,472.61,332.90,451.16,449.35,452.14,404.38,394.74,405.86,412.00,381.92,286.00,468.48,462.75,460.81,375.11,231.38,214.43,207.91,202.92,481.58,442.59,334.16,210.89,229.33,195.17,363.83,490.70,499.65,490.84,474.16,538.51,530.27,503.26,492.85,509.24,460.10,502.16,508.19,555.65,489.20,511.92,495.87,508.00,517.81,361.44,190.78,206.88,305.95,364.70,229.34,231.72,274.27,373.26,394.21,
1999-11-14 22:05:06.309000,L7,159.19,185.69,214.41,198.04,351.53,373.43,537.13,535.38,520.63,513.79,529.83,542.19,501.54,447.03,401.19,332.13,297.18,279.46,261.17,251.25,246.44,242.84,249.18,249.53,210.44,217.22,247.15,257.59,297.32,284.41,253.57,224.76,195.44,361.62,380.35,358.01,423.92,470.78,499.11,538.21,534.08,535.29,426.66,176.40,183.03,234.71,235.35,262.36,263.44,314.34,328.43,376.08,374.91,439.10,485.41,493.11,556.77,535.55,521.34,472.72,495.20,479.29,473.38,491.09,540.60,511.89,492.30,454.98,555.53,524.27,541.02,463.85,455.32,415.10,375.18,360.39,354.87,347.24,317.29,299.24,257.11,247.76,299.23,325.85,270.81,268.62,204.73,222.59,221.47,205.63,,,,186.42,379.78,357.27,279.09,,,,,,,,,,,307.21,336.32,323.69,366.23
1999-12-09 21:58:57.676000,L7,406.21,527.10,534.54,514.23,495.09,457.82,421.35,408.09,387.46,381.65,253.84,189.85,269.32,239.66,191.36,170.62,,,520.44,547.83,499.98,,,,,,458.27,518.88,386.81,432.06,422.59,525.95,436.28,464.49,500.07,285.98,387.26,277.40,305.63,254.59,452.88,513.93,476.45,379.99,357.38,356.69,213.22,269.26,308.50,351.57,422.50,508.78,523.15,498.65,551.98,542.02,529.15,520.67,489.62,476.70,449.59,421.73,426.96,435.19,454.03,456.74,455.76,513.47,523.34,303.93,301.11,436.04,436.32,299.94,291.67,300.98,314.64,325.74,373.70,355.25,407.09,405.18,221.51,192.86,183.04,327.87,407.66,,295.88,405.77,184.03,227.38,271.48,228.52,249.48,284.49,254.28,227.00,257.92,225.87,256.81,276.91,285.95,317.89,308.37,321.38,330.49,446.08,486.49,485.51,295.77
1999-12-25 21:58:52.197000,L7,451.41,471.58,,,,358.26,333.30,347.10,349.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.15,478.82,461.71,452.84,475.88,516.46,522.97,,,,,,,,,,,,,,,,,,508.05,502.29,504.12,503.69,526.43,533.82,540.36,,,,458.33,435.54,425.03,415.02,342.05,329.42,299.00,300.92,301.03,294.35,,322.56,320.79,300.47,302.59,,,,,,,,,,,,,,228.15,236.08,234.33,,,,,,,181.27,476.67,330.89
2000-11-09 21:56:21.390000,L7,254.77,264.04,481.50,467.19,386.04,309.73,426.81,434.63,402.16,395.57,410.53,422.02,392.50,373.37,470.72,484.55,373.51,454.26,522.84,407.58,,,497.09,484.70,372.54,356.85,355.27,390.23,418.06,508.70,509.84,517.94,488.11,451.47,447.38,432.75,490.39,479.51,464.57,440.19,445.97,451.53,377.48,383.47,335.77,336.11,345.15,355.82,399.82,,321.37,289.00,496.78,259.35,,,364.99,376.02,516.08,516.04,517.14,416.72,307.96,,,,,,438.79,462.73,479.03,486.29,496.28,503.81,388.09,451.83,484.19,486.22,446.86,422.66,337.53,255.56,298.54,296.29,320.70,304.74,276.79,187.74,276.61,238.41,232.68,232.17,228.91,243.87,277.97,254.22,353.81,367.75,298.75,318.22,312.09,307.36,376.44,310.33,510.37,496.54,482.58,547.31,333.92,395.10,480.31
2001-01-03 22:02:36.401000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.90,500.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.60,247.77,182.43,259.46,260.56,206.14,234.80,215.02,464.95,500.12,455.76,493.36,464.44,206.03,324.78,374.71,400.96,
2001-01-12 21:56:30.696000,L7,444.32,468.69,477.18,521.98,520.97,473.79,366.60,351.95,261.97,241.27,211.20,242.63,165.72,,415.07,430.56,448.53,477.40,474.70,220.81,207.06,251.61,246.11,237.97,236.67,313.49,291.62,303.87,240.25,361.57,368.40,414.98,469.53,453.46,449.59,442.78,455.66,434.49,400.95,322.30,276.09,362.33,414.53,485.46,493.77,548.78,459.41,473.63,486.48,528.39,549.22,,,,,,,515.87,511.91,498.51,557.40,548.21,542.64,381.04,534.10,,307.21,256.88,455.56,296.08,230.45,456.14,398.58,427.41,415.00,422.19,412.96,424.38,434.73,416.25,397.98,391.45,302.99,246.94,375.67,372.06,411.17,307.69,260.41,274.38,282.67,282.96,220.70,314.37,430.96,430.92,392.09,291.23,288.64,249.79,311.28,307.51,401.92,435.32,338.21,501.36,499.19,531.73,501.33,493.88,420.13
2001-02-04 22:02:38.355000,L7,174.73,211.98,230.16,252.40,272.08,296.93,359.48,310.26,,,338.87,306.72,260.79,178.17,302.60,302.25,288.97,281.57,,,,,,,,,,,,,,,,,,,,524.44,477.01,485.89,497.43,513.29,488.89,537.16,545.88,,,,,,,,,,,,,,542.72,551.55,521.78,521.21,487.98,530.97,495.61,472.35,422.15,412.38,418.09,410.84,414.94,411.09,417.98,426.83,421.78,387.32,323.20,329.41,319.54,241.72,296.42,279.86,242.11,233.00,216.89,,,230.71,220.56,189.71,182.59,,,,,,,,,,,,,,,,,,235.50,202.55,421.56
2001-03-17 21:56:16.575000,L7,,,,,,,550.52,428.96,464.35,479.87,501.06,,,,,293.78,318.35,342.97,341.06,375.74,399.23,504.98,452.73,469.19,486.24,527.60,512.50,,,,,182.31,229.94,310.35,321.88,,,,435.96,399.36,440.58,493.14,549.79,523.72,550.45,,,,,,,,,,,,,,,,,,,,,,,,,,,470.69,467.76,489.82,513.21,510.10,454.89,463.36,460.97,425.93,417.90,342.99,385.01,382.46,362.45,545.24,481.16,469.29,488.71,436.83,424.62,430.83,531.60,389.16,400.85,216.90,341.58,354.21,314.09,357.76,371.53,384.52,358.61,357.13,423.29,408.02,414.66,399.74,523.40,492.61,517.46
2001-03-24 22:02:23.691000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.52,408.32,384.98,362.23,337.09,319.88,309.40,311.76,313.55,313.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
