dates,nzd0190-0000,nzd0190-0001,nzd0190-0002,nzd0190-0003,nzd0190-0004,nzd0190-0005,nzd0190-0006,nzd0190-0007,nzd0190-0008,nzd0190-0009,nzd0190-0010,nzd0190-0011,nzd0190-0012,nzd0190-0013,nzd0190-0017,nzd0190-0018,nzd0190-0019,nzd0190-0020,nzd0190-0021,nzd0190-0022,nzd0190-0023,nzd0190-0024,nzd0190-0025,nzd0190-0026,nzd0190-0027,nzd0190-0028,nzd0190-0029,nzd0190-0030,nzd0190-0031,nzd0190-0032,nzd0190-0033,nzd0190-0034,nzd0190-0035,nzd0190-0036,nzd0190-0037,nzd0190-0038,nzd0190-0039,nzd0190-0040,nzd0190-0041,nzd0190-0054,nzd0190-0055,nzd0190-0056,nzd0190-0057,nzd0190-0058,nzd0190-0059,nzd0190-0060,nzd0190-0061,nzd0190-0062,nzd0190-0066,nzd0190-0067,nzd0190-0068,nzd0190-0102,nzd0190-0103,nzd0190-0104,nzd0190-0105,nzd0190-0079,nzd0190-0080,nzd0190-0081,nzd0190-0082,nzd0190-0083,nzd0190-0069,nzd0190-0070,nzd0190-0071,nzd0190-0072,nzd0190-0014,nzd0190-0015,nzd0190-0016,nzd0190-0084,nzd0190-0085,nzd0190-0073,nzd0190-0074,nzd0190-0075,nzd0190-0077,nzd0190-0078,nzd0190-0065,nzd0190-0086,nzd0190-0087,nzd0190-0088,nzd0190-0093,nzd0190-0094,nzd0190-0095,nzd0190-0096,nzd0190-0097,nzd0190-0098,nzd0190-0089,nzd0190-0106,nzd0190-0107,nzd0190-0108,nzd0190-0109,nzd0190-0110,nzd0190-0042,nzd0190-0043,nzd0190-0044,nzd0190-0050,nzd0190-0051,nzd0190-0052,nzd0190-0053,nzd0190-0076,nzd0190-0064,nzd0190-0099,nzd0190-0100,nzd0190-0101,nzd0190-0045,nzd0190-0046,nzd0190-0063,nzd0190-0090,nzd0190-0091,nzd0190-0092,nzd0190-0049,nzd0190-0047,nzd0190-0048,satname
1999-09-27 22:05:12+00:00,192.64,230.19,230.48,,,,,142.26,177.96,134.08,114.96,101.12,87.95,55.43,,,,,,,,,,,,,,,,,,,,,,,,,,546.09,531.41,493.49,483.45,486.2,479.34,487.71,501.23,458.67,,,,171.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-11-14 22:05:06+00:00,192.64,230.19,230.48,,,,,142.26,177.96,134.08,114.96,101.12,87.95,55.43,,,,,,,,,,,,,,,,,,,,,,,,,,546.09,531.41,493.49,483.45,486.2,479.34,487.71,501.23,458.67,,,,171.45,186.37,,195.43,,,,,,,,,,,,,,,,,,,,,,,,158.82,189.93,,,179.44,,,,,,,,,,417.71,,,,,,,,,201.66,,,,156.78,152.97,,,,,L7
2000-10-15 22:02:20+00:00,162.93,,206.29,150.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-02-04 22:02:38+00:00,162.93,,206.29,150.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.93,279.14,263.63,226.43,,,420.78,398.6,407.98,,,,,,,,,,,472.42,,,,,,,,,,,,,,,,,,,,,,,,,,,189.38,,,453.87,,,,,,,L7
2001-09-09 21:54:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.92,314.19,,,,,,,,,,,,,,,,,,,278.57,267.8,251.87,244.1,,,,,,,,,,,,,,,,,,,,,,,176.66,,,,,,,,,306.67,,,,,,,,,,,,,,,,,,,,,L7
2002-01-06 22:00:55+00:00,177.2,209.98,228.37,176.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.92,314.19,,,,,,,,,,,,,,,,,,,278.57,267.8,251.87,244.1,,,,,,,,,,,,,,,,,,,,,,,176.66,,,,,,,,,306.67,,,,,,,,,,,,,,,,,,,,,L7
2002-02-16 21:54:54+00:00,177.2,209.98,228.37,176.36,,,,,,,122.95,102.61,,,,,,,,,,,,,,,,,,,,,,,,312.92,314.19,,,,,,,,,551.83,,498.08,493.71,454.95,426.44,,,,,287.46500000000003,287.625,265.46500000000003,263.79,288.74,371.18,346.8,345.69,357.67,,,,,249.01,330.44,,304.79,,290.51,,244.84,228.49,215.83,,,,176.66,,,,,,,,,306.67,361.2,398.77,,,,,323.03,,,,,,,480.71,,,,,,,L7
2002-10-05 21:59:55+00:00,168.9,215.85,215.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-01-18 21:54:30+00:00,168.9,215.85,215.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.37,,263.61,,510.76,511.2,511.17,490.02,477.37,469.51,469.3,472.77,463.18,,,,,,,218.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.69,345.98,380.07,484.34,505.15,501.2,504.45,,410.4,,,,424.87,445.4,450.97,,,,476.46,460.94,454.2,L7
2003-01-25 22:00:42+00:00,173.82,211.445,211.655,153.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.37,,263.61,,510.76,511.2,511.17,490.02,477.37,469.51,469.3,472.77,463.18,,,,,,,218.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.69,345.98,380.07,484.34,505.15,501.2,504.45,,410.4,,,,424.87,445.4,450.97,,,,476.46,460.94,454.2,L7
