dates,satname,nzd0191-0000,nzd0191-0001,nzd0191-0002,nzd0191-0010,nzd0191-0011,nzd0191-0012,nzd0191-0013,nzd0191-0014,nzd0191-0015,nzd0191-0016,nzd0191-0017,nzd0191-0018,nzd0191-0019,nzd0191-0020,nzd0191-0021,nzd0191-0022,nzd0191-0023,nzd0191-0024,nzd0191-0025,nzd0191-0026,nzd0191-0027,nzd0191-0028,nzd0191-0029,nzd0191-0030,nzd0191-0031,nzd0191-0032,nzd0191-0033,nzd0191-0034,nzd0191-0035,nzd0191-0036,nzd0191-0037,nzd0191-0038,nzd0191-0047,nzd0191-0048,nzd0191-0049,nzd0191-0050,nzd0191-0051,nzd0191-0052,nzd0191-0053,nzd0191-0054,nzd0191-0055,nzd0191-0056,nzd0191-0057,nzd0191-0058,nzd0191-0003,nzd0191-0004,nzd0191-0005,nzd0191-0006,nzd0191-0007,nzd0191-0008,nzd0191-0009,nzd0191-0039,nzd0191-0040,nzd0191-0041,nzd0191-0042,nzd0191-0043,nzd0191-0044,nzd0191-0045,nzd0191-0046,nzd0191-0059
1999-09-29 21:52:52.243000,L7,,,,,,,,,311.39,315.67,309.69,303.33,295.17,292.97,290.32,292.86,299.08,300.15,287.25,299.00,302.19,218.57,226.04,215.79,227.25,222.89,223.64,217.43,321.65,325.70,325.09,329.44,345.04,345.40,347.95,342.31,,,,,,,,,,,,,,,,325.34,317.35,316.62,322.35,311.66,326.67,336.05,339.19,
1999-10-15 21:52:49.322000,L7,,282.52,242.18,335.78,321.76,309.37,304.53,323.80,224.68,225.63,229.35,225.68,221.99,217.79,215.45,219.42,227.48,229.08,239.23,242.40,234.05,234.03,237.42,239.51,241.66,242.96,248.33,250.88,341.97,337.79,320.01,333.98,368.57,330.81,340.82,347.72,359.01,362.62,368.32,268.35,267.12,254.83,79.49,252.54,270.28,267.81,269.93,252.01,279.93,284.90,279.86,263.96,261.25,256.59,254.38,256.87,358.47,359.62,365.51,199.62
1999-12-09 21:58:57.676000,L7,,,,,,,,,,,,,,,,,,,,,,222.22,221.05,215.47,222.59,210.15,211.39,229.32,228.06,224.62,,250.94,,,,,,,,,,,,,,,,,,,,248.81,237.39,247.54,,,,,,
2000-02-20 21:52:29.720000,L7,301.22,275.69,245.98,310.98,312.11,318.82,334.70,332.16,331.50,299.10,325.87,223.77,221.69,218.78,214.32,226.69,229.70,229.20,238.28,239.26,237.66,294.39,299.01,235.10,242.89,244.82,252.81,249.08,253.15,255.95,263.83,337.11,348.17,339.92,265.45,278.07,267.44,280.61,271.18,266.66,280.49,279.89,275.27,266.52,,,,,,,,,,,,,,,,
2000-10-17 21:50:01.277000,L7,,,,257.41,277.95,326.63,331.07,331.84,321.97,341.10,329.98,331.76,322.56,318.96,320.82,309.08,304.88,310.12,323.82,269.53,271.53,274.94,278.57,276.41,278.21,281.49,285.76,293.53,296.26,305.60,306.99,306.59,313.82,313.77,311.03,319.48,327.06,333.60,335.60,339.17,342.99,348.77,254.59,336.44,,,,,,,,302.98,304.87,308.85,311.29,300.09,305.20,311.45,311.63,
2001-01-05 21:50:16.585000,L7,,319.16,323.26,222.89,237.62,235.10,240.80,228.49,328.79,313.82,301.92,276.46,269.51,265.23,274.15,281.93,278.13,284.32,285.71,283.59,280.17,283.53,285.43,287.71,289.19,292.00,294.57,296.45,307.79,305.09,325.88,309.35,319.14,340.58,325.49,343.07,342.77,335.05,336.59,341.32,333.02,344.17,336.54,327.65,333.79,342.85,343.40,333.30,292.61,286.60,294.54,318.68,318.28,308.99,306.63,310.65,303.02,302.15,326.20,
2001-10-11 21:54:09.862000,L7,,334.02,246.78,311.84,318.08,288.57,285.62,284.04,279.35,282.06,348.51,227.53,224.78,222.16,218.74,222.24,228.10,231.82,238.94,240.02,236.79,234.02,237.35,239.02,241.78,244.84,250.58,252.41,253.84,258.13,263.92,264.70,257.16,317.15,272.33,274.40,269.78,283.30,281.00,269.09,265.90,258.09,247.58,256.71,277.60,325.80,318.25,317.64,292.47,313.06,322.71,260.64,259.95,258.28,251.83,259.06,249.87,261.37,257.15,
2002-01-24 21:48:42.967000,L7,,291.62,289.24,234.63,230.04,236.26,239.38,229.11,238.06,232.49,237.62,236.97,235.10,231.52,225.52,234.29,238.91,235.96,244.65,245.50,246.84,246.62,247.98,251.92,251.78,255.72,261.29,259.46,257.36,266.33,272.17,276.20,268.86,247.12,277.23,283.54,277.65,291.61,288.19,279.21,276.28,268.21,261.04,270.46,273.37,266.27,275.28,284.14,292.75,286.80,202.17,267.54,265.45,267.50,267.55,265.38,257.63,268.37,263.67,213.77
2002-01-31 21:54:50.570000,L7,,,,,,,,,,,,,,,,,,,,219.20,205.74,214.41,201.92,211.01,214.86,207.05,,,228.76,226.92,237.85,243.99,,,,,,,,,,,,,,,,,,,,245.07,236.15,234.46,212.11,,,,,
2002-02-16 21:54:54.191000,L7,,,,308.45,306.33,294.68,289.16,298.21,,,,213.17,209.61,204.43,205.71,211.05,215.17,219.05,227.25,229.55,225.17,222.89,226.11,228.20,231.40,233.53,235.80,237.46,241.49,243.39,250.57,255.50,244.07,366.54,310.77,379.25,250.57,274.93,269.20,258.80,261.30,251.89,235.94,201.03,,,,,,256.43,301.96,250.34,249.41,246.76,241.43,250.44,240.00,252.05,245.67,195.51
2002-03-20 21:54:48.224000,L7,311.90,294.42,251.07,234.65,230.67,232.05,233.58,225.23,231.90,226.48,233.36,230.17,225.90,226.60,221.02,227.96,228.83,233.10,240.06,244.47,245.21,240.08,241.22,246.42,245.70,249.06,252.21,252.78,255.25,261.51,267.56,271.67,266.32,243.16,274.91,276.98,276.87,287.38,287.26,274.96,274.07,269.16,262.19,267.55,285.10,279.57,281.83,282.08,292.88,279.58,278.65,265.32,264.10,259.96,258.84,264.44,256.66,266.44,260.60,211.82
2002-08-27 21:54:00.253000,L7,,,,,,,,,,,306.07,305.31,284.52,302.67,,,,,314.05,324.47,314.59,221.87,206.80,215.76,213.62,221.16,328.18,334.82,343.91,351.91,347.91,354.60,,,,,,,,,,,,,,,,,,,,349.90,345.54,342.77,340.12,332.84,342.51,347.18,348.32,
2002-10-23 21:47:39.211000,L7,,,,,,,,,,,,,,,,,,,,,,215.10,305.42,300.82,310.33,311.35,315.19,317.46,323.27,324.98,326.53,332.10,,,,,,,,,,,,,,,,,,,,,312.36,330.30,325.98,314.42,,,,
2003-01-18 21:54:30.278000,L7,,,,,,,,,,,,,,,,,,,,,,,,306.44,310.67,312.47,314.75,317.29,323.37,317.16,327.64,,,,,,,,,,,,,,,,,,,,,,,,332.79,331.54,339.33,336.62,334.06,
2003-07-21 21:42:33.857000,L5,327.99,293.43,280.67,260.81,263.45,267.86,269.96,261.10,263.80,256.92,269.45,264.64,257.04,262.60,260.63,269.07,273.53,275.87,282.16,293.20,285.93,283.90,292.62,287.92,286.96,282.61,294.24,297.63,297.61,300.49,306.90,311.75,303.86,290.85,309.13,316.83,322.56,331.31,329.15,320.75,315.55,296.28,295.90,295.33,251.97,,,,,,241.92,312.82,305.05,309.55,301.59,303.10,298.79,302.71,298.27,
2003-08-06 21:42:51.203000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.94,245.18,250.21,257.43,238.52,,,,,,,,,,,,,,,,,,,243.82,242.64,249.85,250.43,254.55,237.25,244.53,240.85,
2003-08-15 21:36:48.503000,L5,,,,,,,,,,,,,,,,,,,,233.03,227.07,214.84,232.06,230.12,230.32,236.51,244.65,219.07,239.87,,,,245.28,,,,,,,,,,,,,,,,,,,,,237.12,241.88,253.78,249.97,249.22,245.00,
2003-10-18 21:37:48.406000,L5,341.56,297.35,276.04,266.01,264.56,271.14,267.74,266.18,257.89,257.82,264.31,266.02,257.85,261.22,264.33,267.84,270.17,279.84,275.70,277.36,275.75,276.41,276.22,279.14,273.46,284.98,293.41,299.48,297.83,309.07,304.63,311.05,303.24,297.79,306.71,319.93,311.77,318.29,317.05,311.57,311.87,295.51,301.66,303.07,249.76,,,,,206.15,251.78,290.87,290.43,289.65,285.96,291.14,289.96,301.18,297.01,
2003-10-25 21:44:04.226000,L5,329.06,294.28,289.55,258.00,259.42,260.07,263.73,278.31,271.49,271.80,284.22,273.55,274.50,259.04,259.97,258.76,263.72,269.47,271.32,282.43,283.12,281.53,284.84,287.71,288.98,280.03,287.07,288.32,289.97,295.08,294.95,310.88,296.86,287.19,300.88,309.95,319.86,323.17,327.21,319.72,314.36,315.07,297.72,296.80,261.38,242.63,,,,,240.25,305.42,308.18,301.06,300.82,306.94,300.39,294.00,292.30,
2003-11-19 21:38:14.402000,L5,327.56,300.32,280.17,251.23,253.90,259.64,267.04,265.39,265.37,257.87,275.74,263.32,258.88,254.97,259.69,259.56,260.74,267.72,276.19,280.78,280.83,277.54,283.10,283.19,281.66,275.79,288.65,290.39,293.67,295.92,300.19,306.60,293.41,283.71,302.80,319.28,323.78,322.37,326.51,323.58,310.53,309.02,288.80,273.37,254.12,237.33,,,,,241.86,302.27,297.28,307.45,287.04,302.35,283.78,294.60,291.16,
2004-01-22 21:38:40.402000,L5,331.10,289.74,270.64,253.95,244.57,239.25,244.95,,,,,,,,,,,,,,,,,,,,,,,,,,298.61,281.02,292.53,,,303.40,312.86,309.89,308.69,297.02,292.57,289.49,252.22,,,,,209.13,239.30,,291.18,295.37,289.01,296.20,283.02,292.72,295.11,
2004-03-01 21:45:02.553000,L5,,,,,,,,,,,,,,,,,,,216.53,243.64,254.58,248.17,261.32,247.38,248.23,251.35,253.57,259.04,261.23,266.79,278.93,277.82,257.57,241.94,277.04,285.23,279.93,287.33,283.00,279.41,263.10,251.13,,,,,,,,,,267.47,271.07,268.33,259.54,255.91,254.03,256.73,255.16,
2004-03-17 21:45:08.368000,L5,,,,,,,,,,,,,,,,,,,201.62,222.10,216.56,210.79,234.73,211.56,219.79,239.03,241.93,245.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-02 21:45:18.969000,L5,336.68,298.35,281.73,252.40,254.34,262.69,268.04,262.74,261.76,252.80,266.86,254.64,253.59,249.22,251.98,255.31,259.18,280.25,282.71,286.79,279.63,281.99,286.96,269.67,271.62,278.09,285.76,291.69,292.10,303.04,309.06,315.33,295.49,283.24,313.81,319.80,317.29,327.59,324.32,308.72,293.32,292.49,279.88,282.24,257.16,235.81,,,,,223.74,301.58,299.41,305.56,284.54,293.89,289.76,300.84,293.52,
