dates,nzd0197-0000,nzd0197-0001,nzd0197-0002,nzd0197-0003,nzd0197-0004,nzd0197-0005,nzd0197-0006,nzd0197-0007,nzd0197-0008,nzd0197-0009,nzd0197-0010,nzd0197-0011,nzd0197-0012,nzd0197-0013,nzd0197-0014,nzd0197-0015,nzd0197-0016,nzd0197-0017,nzd0197-0018,nzd0197-0019,nzd0197-0020,nzd0197-0021,nzd0197-0022,nzd0197-0023,nzd0197-0024,nzd0197-0025,nzd0197-0026,nzd0197-0027,nzd0197-0028,nzd0197-0029,nzd0197-0030,nzd0197-0031,nzd0197-0032,nzd0197-0033,nzd0197-0034,nzd0197-0035,nzd0197-0036,nzd0197-0037,nzd0197-0038,nzd0197-0039,nzd0197-0040,nzd0197-0041
1999-09-29 21:52:52+00:00,,,,,274.16,240.3,238.12,195.96,201.37,179.94,185.17,210.47,231.62,228.3,235.65,248.25,239.23,230.75,,,254.54,247.36,232.42,237.22,217.4,230.63,,275.08,272.57,266.56,261.85,261.65,284.09,,306.28,243.17,250.12,271.01,,249.91,,
1999-10-15 21:52:49+00:00,,,,,274.16,237.41500000000002,224.82,190.865,197.26,174.93,185.17,210.47,231.62,228.3,235.65,248.25,239.23,230.75,,,254.54,247.36,232.42,237.22,217.4,230.63,,275.08,272.57,266.56,261.85,261.65,284.09,,306.28,239.575,246.845,251.43,,249.91,,
2000-02-04 21:52:37+00:00,,271.99,,,293.99,244.47,224.82,190.865,207.83333333333334,174.93,204.72,224.70999999999998,241.72,247.85500000000002,249.58999999999997,255.36,256.9,243.67,280.38,280.62,262.26,256.24,245.565,246.5,230.405,245.635,297.34,290.28499999999997,283.635,274.7,274.885,277.62,290.69,307.91,314.395,239.575,246.845,251.43,,263.41,,269.83
2000-03-14 21:58:35+00:00,,255.06,181.91,183.18,280.69666666666666,243.63,216.09666666666666,190.65333333333334,207.83333333333334,174.93,204.72,224.70999999999998,241.72,247.85500000000002,249.58999999999997,255.36,256.9,243.67,280.38,269.985,258.52,251.75666666666666,245.565,246.5,230.405,245.635,297.34,290.28499999999997,280.55333333333334,272.68,267.59,270.19666666666666,290.69,307.91,314.395,240.15666666666667,247.5533333333333,246.51,,263.41,,257.395
2000-03-30 21:58:33+00:00,,255.06,181.91,183.18,283.96500000000003,244.74,205.08499999999998,188.0,211.065,169.92,224.27,238.95,251.82,267.41,263.53,262.47,288.38,256.59,291.59000000000003,279.69,260.51,253.95499999999998,258.71,255.78,243.41,260.64,311.07,320.505,284.54499999999996,275.74,270.46,274.46999999999997,297.36,310.12,335.35,238.65000000000003,246.26999999999998,234.26,,276.91,,257.395
2000-08-14 21:50:56+00:00,,238.13,181.91,183.18,265.87,238.10000000000002,200.565,185.925,,,,,,,,,259.39500000000004,230.39,265.395,279.225,251.06,243.76999999999998,231.5,,,,324.8,291.715,269.835,268.325,254.95,255.35,297.43,265.125,348.19,243.435,250.54000000000002,240.785,258.51,249.61,244.85,248.36
2000-10-17 21:50:01+00:00,,,,,277.63,235.09,202.48,181.62,,,,296.58,307.1,230.43,256.31,251.62,224.76500000000004,233.20999999999998,242.925,261.75,254.385,246.89,238.81499999999997,246.66,237.53,,272.39,266.91,271.79499999999996,268.655,262.23,270.83,285.03,217.92,308.66,268.23,264.515,244.97,260.575,253.60999999999999,245.74,252.515
2000-11-09 21:56:21+00:00,,,,,277.63,233.35500000000002,196.285,183.51999999999998,,,,296.58,307.1,230.43,256.31,251.62,224.76500000000004,233.20999999999998,242.925,261.75,254.385,246.89,238.81499999999997,246.66,237.53,,272.39,266.91,271.79499999999996,268.655,262.23,257.095,274.54499999999996,217.92,308.66,268.23,255.41333333333333,239.43999999999997,260.575,253.60999999999999,245.74,252.515
2000-12-20 21:50:16+00:00,237.39,246.66,181.6,205.78,264.275,224.95666666666668,196.285,183.51999999999998,,,,296.58,307.1,229.14,254.005,250.735,223.04000000000005,235.13666666666666,249.92666666666665,262.45,256.01666666666665,251.24,238.48,244.995,218.7,163.26,276.65,276.6333333333334,275.4733333333333,270.1333333333333,266.57666666666665,260.3766666666667,278.1566666666667,214.89999999999998,309.71000000000004,276.69666666666666,262.16999999999996,246.7775,262.06,254.36666666666665,247.32333333333335,254.08666666666667
2001-01-05 21:50:16+00:00,237.39,246.66,181.6,205.78,264.275,224.95666666666668,196.285,183.51999999999998,,,,296.58,307.1,228.22,252.99,250.735,219.65,235.89,252.91750000000002,261.36999999999995,255.9325,251.255,239.48499999999999,224.75333333333333,203.3033333333333,163.26,263.00333333333333,281.775,277.8925,271.35,270.695,262.105,280.0875,220.58,303.25,277.565,261.73400000000004,252.32,261.86249999999995,255.015,247.32333333333335,256.6325
2001-03-10 21:50:10+00:00,237.39,246.66,181.6,205.78,250.92,219.89,190.09,185.42,,,,296.58,303.285,228.22,252.5625,250.95666666666668,221.455,237.2625,261.6925,261.4575,257.18,252.8325,241.13,220.8725,203.3033333333333,162.22,265.7925,281.7075,280.84,271.96500000000003,275.115,262.44,281.038,230.84,305.7275,290.25250000000005,262.00199999999995,252.69,262.89,257.42499999999995,248.5233333333333,257.9875
