dates,satname,nzd0207-0000,nzd0207-0001,nzd0207-0002,nzd0207-0003,nzd0207-0004,nzd0207-0005,nzd0207-0006,nzd0207-0007,nzd0207-0008,nzd0207-0020,nzd0207-0021,nzd0207-0022,nzd0207-0023,nzd0207-0024,nzd0207-0025,nzd0207-0026,nzd0207-0027,nzd0207-0028,nzd0207-0029,nzd0207-0030,nzd0207-0031,nzd0207-0032,nzd0207-0033,nzd0207-0034,nzd0207-0035,nzd0207-0036,nzd0207-0037,nzd0207-0070,nzd0207-0071,nzd0207-0072,nzd0207-0073,nzd0207-0074,nzd0207-0075,nzd0207-0076,nzd0207-0077,nzd0207-0078,nzd0207-0079,nzd0207-0080,nzd0207-0081,nzd0207-0082,nzd0207-0083,nzd0207-0084,nzd0207-0085,nzd0207-0086,nzd0207-0087,nzd0207-0088,nzd0207-0089,nzd0207-0090,nzd0207-0091,nzd0207-0092,nzd0207-0093,nzd0207-0094,nzd0207-0095,nzd0207-0096,nzd0207-0097,nzd0207-0098,nzd0207-0099,nzd0207-0100,nzd0207-0101,nzd0207-0102,nzd0207-0103,nzd0207-0104,nzd0207-0105,nzd0207-0106,nzd0207-0107,nzd0207-0108,nzd0207-0109,nzd0207-0110,nzd0207-0111,nzd0207-0112,nzd0207-0113,nzd0207-0114,nzd0207-0115,nzd0207-0116,nzd0207-0117,nzd0207-0118,nzd0207-0119,nzd0207-0120,nzd0207-0121,nzd0207-0122,nzd0207-0123,nzd0207-0124,nzd0207-0125,nzd0207-0126,nzd0207-0127,nzd0207-0128,nzd0207-0129,nzd0207-0130,nzd0207-0131,nzd0207-0132,nzd0207-0133,nzd0207-0134,nzd0207-0135,nzd0207-0136,nzd0207-0137,nzd0207-0138,nzd0207-0139,nzd0207-0140,nzd0207-0141,nzd0207-0142,nzd0207-0143,nzd0207-0144,nzd0207-0145,nzd0207-0146,nzd0207-0147,nzd0207-0148,nzd0207-0149,nzd0207-0150,nzd0207-0151,nzd0207-0152,nzd0207-0153,nzd0207-0154,nzd0207-0155,nzd0207-0156,nzd0207-0157,nzd0207-0158,nzd0207-0159,nzd0207-0160,nzd0207-0161,nzd0207-0162,nzd0207-0163,nzd0207-0164,nzd0207-0165,nzd0207-0166,nzd0207-0167,nzd0207-0168,nzd0207-0169,nzd0207-0170,nzd0207-0171,nzd0207-0172,nzd0207-0173,nzd0207-0174,nzd0207-0175,nzd0207-0176,nzd0207-0177,nzd0207-0178,nzd0207-0179,nzd0207-0180,nzd0207-0181,nzd0207-0182,nzd0207-0183,nzd0207-0184,nzd0207-0185,nzd0207-0186,nzd0207-0187,nzd0207-0188,nzd0207-0189,nzd0207-0190,nzd0207-0191,nzd0207-0192,nzd0207-0193,nzd0207-0195,nzd0207-0196,nzd0207-0197,nzd0207-0198,nzd0207-0199,nzd0207-0200,nzd0207-0201,nzd0207-0202,nzd0207-0203,nzd0207-0204,nzd0207-0228,nzd0207-0229,nzd0207-0230,nzd0207-0231,nzd0207-0237,nzd0207-0238,nzd0207-0239,nzd0207-0240,nzd0207-0241,nzd0207-0242,nzd0207-0243,nzd0207-0244,nzd0207-0245,nzd0207-0246,nzd0207-0247,nzd0207-0248,nzd0207-0249,nzd0207-0250,nzd0207-0251,nzd0207-0252,nzd0207-0253,nzd0207-0254,nzd0207-0255,nzd0207-0256,nzd0207-0257,nzd0207-0258,nzd0207-0259,nzd0207-0260,nzd0207-0281,nzd0207-0282,nzd0207-0283,nzd0207-0284,nzd0207-0285,nzd0207-0286,nzd0207-0009,nzd0207-0010,nzd0207-0011,nzd0207-0012,nzd0207-0013,nzd0207-0014,nzd0207-0015,nzd0207-0016,nzd0207-0017,nzd0207-0018,nzd0207-0019,nzd0207-0038,nzd0207-0039,nzd0207-0040,nzd0207-0041,nzd0207-0042,nzd0207-0043,nzd0207-0044,nzd0207-0045,nzd0207-0046,nzd0207-0047,nzd0207-0048,nzd0207-0051,nzd0207-0052,nzd0207-0053,nzd0207-0054,nzd0207-0055,nzd0207-0056,nzd0207-0057,nzd0207-0058,nzd0207-0059,nzd0207-0060,nzd0207-0061,nzd0207-0062,nzd0207-0063,nzd0207-0064,nzd0207-0065,nzd0207-0066,nzd0207-0067,nzd0207-0068,nzd0207-0069,nzd0207-0194,nzd0207-0205,nzd0207-0206,nzd0207-0207,nzd0207-0208,nzd0207-0209,nzd0207-0210,nzd0207-0211,nzd0207-0213,nzd0207-0214,nzd0207-0215,nzd0207-0216,nzd0207-0217,nzd0207-0218,nzd0207-0219,nzd0207-0220,nzd0207-0221,nzd0207-0222,nzd0207-0223,nzd0207-0224,nzd0207-0225,nzd0207-0226,nzd0207-0227,nzd0207-0232,nzd0207-0233,nzd0207-0234,nzd0207-0235,nzd0207-0236,nzd0207-0261,nzd0207-0262,nzd0207-0263,nzd0207-0267,nzd0207-0268,nzd0207-0269,nzd0207-0270,nzd0207-0271,nzd0207-0272,nzd0207-0273,nzd0207-0274,nzd0207-0275,nzd0207-0276,nzd0207-0277,nzd0207-0278,nzd0207-0279,nzd0207-0280,nzd0207-0287,nzd0207-0049,nzd0207-0050,nzd0207-0264,nzd0207-0265,nzd0207-0266,nzd0207-0288,nzd0207-0289,nzd0207-0290,nzd0207-0291,nzd0207-0292,nzd0207-0212
1999-09-29 21:52:52.243000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.60,321.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.86,,,,,,334.44,346.72,350.33,,,
1999-10-15 21:52:49.322000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.64,259.83,275.08,287.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.95,273.53,327.61,,,,,,335.25,347.36,367.35,364.14,359.30,
1999-12-09 21:58:57.676000,L7,,,,,,,,,,,273.79,256.83,296.87,291.85,280.71,287.49,294.03,306.34,310.03,313.98,322.69,325.12,312.43,318.12,270.28,,,,,,,,275.58,282.46,284.55,315.01,290.33,303.21,308.63,357.92,355.83,292.63,276.47,268.30,253.04,277.56,282.63,308.98,,,,,394.79,322.51,339.74,,,,,,304.02,215.96,250.63,222.89,227.48,286.25,238.48,229.18,229.36,253.47,224.40,239.65,231.05,228.11,229.22,237.41,224.35,230.97,305.31,288.92,215.79,200.28,246.31,196.37,199.73,216.59,249.45,178.74,176.99,196.88,215.81,219.05,233.09,182.64,211.48,189.51,193.34,204.57,199.99,199.69,204.62,248.49,281.51,292.87,290.55,281.66,288.33,273.90,229.80,219.63,209.80,206.64,260.53,262.42,262.78,197.74,205.11,206.22,217.16,213.25,208.04,234.23,238.47,232.23,210.33,238.65,233.18,221.18,242.39,232.29,219.16,215.21,245.02,238.83,212.40,251.90,261.38,210.81,215.10,221.81,225.42,232.59,239.85,226.47,242.87,243.64,264.27,267.67,279.19,272.87,303.21,283.27,278.42,267.55,261.90,264.71,262.21,,,,,,,,,280.15,279.55,271.81,273.43,275.94,277.17,272.93,277.19,273.05,266.57,241.29,239.48,228.32,219.65,235.64,244.44,225.35,220.41,227.15,234.29,237.52,231.42,223.75,233.88,236.45,231.81,243.03,258.51,274.21,291.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.06,,,,,,,,,,,,,,,,,,,,,,,,,,274.76,276.82,235.05,233.54,240.07,254.35,241.79,272.95,240.15,258.62,273.08,285.29,289.02,305.13,316.63,246.40,257.69,254.45,244.32,299.42,,,234.09,238.89,232.40,305.66,320.92,336.67,336.04,331.07,
2000-01-10 21:58:52.465000,L7,,,,,,,,,,314.48,313.18,320.31,334.95,350.29,355.59,342.28,347.35,343.48,327.11,335.48,347.19,350.66,345.11,383.75,,,,334.43,332.62,308.00,355.48,364.62,316.56,351.56,362.22,350.75,339.64,367.25,351.73,338.58,349.01,335.86,350.14,352.08,346.06,346.66,342.71,328.15,358.24,357.80,353.89,336.06,377.95,410.82,370.81,366.19,359.32,281.68,331.00,309.27,262.33,298.41,,292.97,302.05,288.16,293.23,277.27,294.40,268.61,284.97,308.06,306.64,321.23,276.05,302.67,295.86,233.47,284.57,247.12,269.73,267.45,280.98,242.70,249.13,274.94,229.23,224.95,221.60,250.28,235.23,243.19,233.37,218.69,255.38,257.98,246.52,284.41,280.11,269.29,266.26,277.06,291.53,316.72,299.35,279.64,289.89,269.72,263.74,286.70,276.60,288.19,295.18,291.84,262.63,270.14,259.07,260.64,266.42,252.17,223.06,297.44,243.24,264.17,234.91,259.67,241.08,217.84,241.77,248.11,281.89,263.72,271.99,255.42,252.21,260.87,264.99,236.89,256.82,275.75,263.66,295.81,282.90,243.04,249.28,274.95,280.65,261.79,294.45,273.36,301.32,261.16,269.56,269.57,266.74,271.32,293.74,270.55,269.45,276.94,273.78,,,,,289.07,278.37,272.21,272.93,277.65,280.26,281.28,279.09,275.28,259.78,234.64,237.64,235.50,229.21,226.32,221.74,218.55,221.89,224.40,224.08,235.12,240.37,227.93,240.05,284.33,273.14,297.68,325.18,340.23,352.64,,,,,,,,,295.73,299.57,278.10,327.27,325.50,339.35,346.64,341.48,328.39,359.90,371.58,382.51,345.51,374.14,364.20,395.54,378.31,355.81,366.34,357.63,354.14,307.83,336.46,347.97,331.52,304.53,296.76,326.22,318.63,310.46,332.11,308.48,331.66,270.99,,,,,,,,,,,,,,,,,,,,,,,,,,,267.49,239.71,254.63,235.35,233.76,254.45,264.20,252.24,249.75,261.12,245.63,259.06,276.16,292.23,302.87,295.77,301.10,295.17,365.63,360.12,352.01,243.60,236.03,231.80,359.17,367.28,383.40,384.92,378.56,
2000-02-27 21:58:40.521000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.59,334.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.53,,,,,,349.39,362.80,375.15,373.28,369.65,
2000-03-14 21:58:35.291000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.45,371.47,
2000-04-24 21:52:10.308000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.29,,,,304.09,309.93,329.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.96,210.34,223.67,,,,,,,,,,,,,,,345.56,,,,,,,,,,,
2000-05-26 21:51:48.668000,L7,,,,,,,,,,,,,,337.38,316.12,301.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.90,293.56,263.49,,,,,,,,,305.51,289.33,275.81,266.25,,,,,267.16,257.97,260.58,254.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.76,,,,,,,,,,,,,,,,,,281.61,268.67,,,,,,
2000-08-05 21:57:08.715000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.34,375.62,367.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.97,309.05,333.93,301.51,305.50,,,,,,,,,,,,285.44,216.77,196.98,,,,241.90,322.44,255.13,254.21,,,,281.70,270.12,,,310.25,328.76,,,,,,,,,,,,,,,,,,,,,374.75,386.17,,,,,,,,,,,,,,,,,,,,,374.41,377.24,346.02,,,,,,,,,,,,,,,,,,326.10,322.51,330.49,308.32,296.52,286.75,,,,,,,,,,,,,,,294.49,256.90,296.02,286.32,328.47,379.46,,,,,347.01,357.68,372.16,375.07,369.79,
2000-08-14 21:50:56.232000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.23,369.90,
